region,face recognition
OFC_R,-0.7544238245717737
47s_R,0.6014067641866234
LIPd_R,0.08180692729903485
6a_R,-1.0147485140568553
i6-8_R,-0.7330228631672706
s6-8_R,-0.6831247127023959
43_R,-0.4871247257041683
OP4_R,-0.510005345710961
OP1_R,-0.9996523526709963
OP2-3_R,-1.045252467826101
52_R,-1.204415299878197
RI_R,-0.8751493846459921
PFcm_R,-0.9411542529444241
PoI2_R,-1.3028935886043334
TA2_R,-1.5346795804832285
FOP4_R,-0.3691633354042688
MI_R,-1.0516062383412397
Pir_R,-1.0222894804811948
AVI_R,-0.26724336140136584
AAIC_R,-0.5957665405997878
FOP1_R,-0.11196027650243826
FOP3_R,-0.4854685402177909
FOP2_R,0.8027104487946649
PFt_R,-0.8899451429334144
AIP_R,-0.73629430436286
EC_R,1.88037835786983
PreS_R,0.5597803504338943
H_R,1.4733551082687273
ProS_R,-0.3087275417955964
PeEc_R,2.71716763309495
STGa_R,-0.6718180527851215
PBelt_R,-0.9805104528715427
A5_R,-0.9772974172216381
PHA1_R,0.4833005769817996
PHA3_R,3.538744740498931
STSda_R,-0.7303629486730887
STSdp_R,-0.3212872105090034
STSvp_R,0.059416574014413324
TGd_R,-0.1480439876243701
TE1a_R,0.5976202760722896
TE1p_R,1.009724670550668
TE2a_R,1.1797160325934846
TF_R,2.9400053145756457
TE2p_R,2.1922200805803933
PHT_R,1.9921984924910086
PH_R,4.509762333069076
TPOJ1_R,2.654944919344458
TPOJ2_R,3.87548082586748
TPOJ3_R,0.9836853853151553
DVT_R,-0.914180522148042
PGp_R,-0.13683493776053418
IP2_R,-0.2206661673699545
IP1_R,-0.8180119010506237
IP0_R,0.5571471042437326
PFop_R,-0.784252612377595
PF_R,0.10887345264522626
PFm_R,-0.5509054270655029
PGi_R,-0.8534967103699832
PGs_R,-0.3807374301944932
V6A_R,-0.7315322590045144
VMV1_R,1.3965906547958604
VMV3_R,4.859210410605852
PHA2_R,1.2556260861858932
V4t_R,4.53899115111734
FST_R,4.946952338838516
V3CD_R,1.458070487569801
LO3_R,1.544243540261987
VMV2_R,3.716707705382658
31pd_R,-0.7579760752368957
31a_R,-0.995557459587222
VVC_R,6.9091780671497025
25_R,-1.5464710672714772
s32_R,-1.1165831026128847
pOFC_R,-1.0094866851593578
PoI1_R,-1.0786749589043723
Ig_R,-0.3315230473050543
FOP5_R,0.41732489437312326
p10p_R,-0.6327391603543496
p47r_R,-0.0977322566842617
TGv_R,0.8912763765840475
MBelt_R,-1.420464721559766
LBelt_R,-1.1950419985205076
A4_R,-0.7600999782806451
STSva_R,0.320157875765908
TE1m_R,0.7582894992610991
PI_R,-1.637429364506481
a32pr_R,-0.8295395956798755
p24_R,-1.3822776332056694
