region,psychosis
V1_L,-0.6838415218130999
MST_L,-1.6947390925119303
V6_L,1.6281454930824664
V2_L,-0.5788676102592496
V3_L,-0.4907176394861898
V4_L,-1.656160842581732
V8_L,-1.430021768447802
4_L,-1.4049952582327252
3b_L,-1.6793654797967945
FEF_L,-0.01815339997518651
PEF_L,-0.1078640392308852
55b_L,-0.24512442344603064
V3A_L,-0.5993797266238207
RSC_L,2.0445945963782948
POS2_L,3.774537299282773
V7_L,-0.43416036177123846
IPS1_L,-0.3659017996841809
FFC_L,-2.217123691489557
V3B_L,-0.8341067179119356
LO1_L,-1.6826063739613775
LO2_L,-2.9949935769866296
PIT_L,-2.9019431809773226
MT_L,-2.0093091652548107
A1_L,0.017305198508641557
PSL_L,-0.7319622338808696
SFL_L,0.379092463586112
PCV_L,1.751483111935286
STV_L,0.8351311998479397
7Pm_L,0.9101518808278203
7m_L,2.317494526068484
POS1_L,2.231032622817165
23d_L,0.9604718929605391
v23ab_L,3.9068712527948066
d23ab_L,1.7381414287482608
31pv_L,0.6043415438895824
5m_L,-0.43798981517475954
5mv_L,-0.06005525592997112
23c_L,0.5402100049786305
5L_L,-0.1735254972176232
24dd_L,-0.3021331683189958
24dv_L,1.069230952747049
7AL_L,-0.9664014371497475
SCEF_L,0.01087343665968224
6ma_L,-0.35307884312044313
7Am_L,1.0330203571818566
7Pl_L,0.24481648129643016
7PC_L,-2.2994765785005886
LIPv_L,-3.317910881660267
VIP_L,-1.5353002250049705
MIP_L,-2.8512147336549334
1_L,-1.201922069680499
2_L,-2.6087452847120054
3a_L,-1.187849800878776
6d_L,-0.9850893867179724
6mp_L,-1.1406430200473279
6v_L,-0.0939241641518359
p24pr_L,1.540739937466243
33pr_L,1.8437822786058966
a24pr_L,2.7797294603405382
p32pr_L,1.7312123152209844
a24_L,1.2085768230548444
d32_L,1.0559052973575374
8BM_L,0.26926065683888606
p32_L,0.5247163176527272
10r_L,0.17723258883656295
47m_L,0.5845496533687928
8Av_L,0.6579262715413793
8Ad_L,1.4532070392758092
9m_L,0.8340031887541888
8BL_L,0.09287183167608697
9p_L,0.5905951795878897
10d_L,0.6336226680964513
8C_L,0.0805341575266282
44_L,1.176057169319562
45_L,0.1557832030445683
47l_L,0.4726200120963176
a47r_L,0.5602788268686365
6r_L,-0.23750661393739067
IFJa_L,-0.0014096239851092741
IFJp_L,-1.1995351066256572
IFSp_L,0.7927981676663143
IFSa_L,-0.1957032915292046
p9-46v_L,0.15014675339444397
46_L,-0.10272587308689565
a9-46v_L,1.0681251330966788
9-46d_L,1.0431430948858178
9a_L,0.194914451303458
10v_L,-0.3334730261295581
a10p_L,0.42599750127882224
10pp_L,-0.10800105098007717
11l_L,-0.3858359051159839
13l_L,-1.160876918425683
OFC_L,-0.3656697377058926
47s_L,-1.1403639723370227
LIPd_L,-2.7555607111542315
6a_L,-0.7436565941612299
i6-8_L,0.05315361358764725
s6-8_L,0.3214783647911047
43_L,0.04393181474154965
OP4_L,0.05623831588356481
OP1_L,-1.2130728071132044
