region,learning
47s_L,-0.917529561406474
LIPd_L,1.7748548590018605
6a_L,0.7180836909897845
i6-8_L,0.41270267408744765
s6-8_L,0.2892606197925243
43_L,-0.9407466490144041
OP4_L,-0.7520353459923166
OP1_L,-1.8756370024920495
OP2-3_L,-0.5585710556931356
52_L,-0.632177845020638
RI_L,-0.5511334986164911
PFcm_L,-2.2324833984923615
PoI2_L,-0.06900373841566985
TA2_L,-1.5688450138263021
FOP4_L,-1.3193802637936347
MI_L,-0.47234800442137054
Pir_L,-0.9510005651990592
AVI_L,0.8510616993409088
AAIC_L,-0.8719361927413312
FOP1_L,-1.082808782915951
FOP3_L,0.10150027009014582
FOP2_L,0.2558708264123456
PFt_L,-1.107027821319384
AIP_L,0.44025345823669365
EC_L,0.9874152401133455
PreS_L,5.204208407353223
H_L,7.585663001260023
ProS_L,-0.1543311270333363
PeEc_L,0.8082629172619294
STGa_L,-1.8530810202298618
PBelt_L,-2.902442341347559
A5_L,-1.8861416445897925
PHA1_L,3.9421054255235224
PHA3_L,3.03296645814504
STSda_L,-1.3448110060257856
STSdp_L,-3.0954351433552247
STSvp_L,-2.5936030044280267
TGd_L,-1.3746640548849496
TE1a_L,-0.8710167000801623
TE1p_L,-0.2387656220816228
TE2a_L,-0.32168928582936795
TF_L,0.9981537896586856
TE2p_L,0.5984693055496326
PHT_L,-1.321399429996117
PH_L,0.7916706618211875
TPOJ1_L,-1.6451326527472183
TPOJ2_L,-2.161797124527028
TPOJ3_L,-0.45264515259735405
DVT_L,0.012903206305029087
PGp_L,0.843064124847585
IP2_L,0.3605231307597615
IP1_L,1.6798146690403033
IP0_L,2.6127152162646734
PFop_L,-1.7414543352933511
PF_L,-1.0480967871047584
PFm_L,-0.7081414143692322
PGi_L,-1.53866633320715
PGs_L,-0.28502245390424663
V6A_L,0.3768522746197103
VMV1_L,0.7486197127498838
VMV3_L,0.2625427420996059
PHA2_L,6.980431960912029
V4t_L,0.3161315307999195
FST_L,-0.5014900476302598
V3CD_L,1.1202797523400727
LO3_L,0.1397434801563471
VMV2_L,0.841462324277769
31pd_L,-2.3517179609314067
31a_L,-0.2735877510018671
VVC_L,1.6598257363003919
25_L,-0.283003448696335
s32_L,-0.4386301039579002
pOFC_L,1.9533369637525986
PoI1_L,0.11331302245432251
Ig_L,-0.5084591670216291
FOP5_L,-0.11203188135028919
p10p_L,-0.6647415917009696
p47r_L,-0.6092985274070805
TGv_L,-0.31868921962602736
MBelt_L,-1.9553943033963246
LBelt_L,-2.683439413241642
A4_L,-1.619193950135543
STSva_L,-1.6915249488195239
TE1m_L,-1.3458771237708627
PI_L,-0.5670080274305628
a32pr_L,-1.9871159062455692
p24_L,-0.9465491652461159
V1_R,0.9043962707737533
MST_R,-0.5834418441116597
V6_R,0.006394969866604206
V2_R,0.4879750639601592
V3_R,0.6915088847314883
V4_R,0.7495649289915137
V8_R,0.641943486231798
4_R,-1.0705792555380071
3b_R,-0.7321832355915805
FEF_R,-0.4921090434109086
PEF_R,-0.5562830229990627
55b_R,-0.9521234273924607
V3A_R,0.2895446525881391
RSC_R,-0.20444302159044783
POS2_R,-0.2686958864376627
V7_R,0.8815688596111465
IPS1_R,1.2014770733407363
FFC_R,0.3469960158751776
V3B_R,1.9132636645235188
LO1_R,0.7903744038956085
LO2_R,-0.0027255695850496335
PIT_R,0.1783032983011458
MT_R,-1.5178623861056058
A1_R,-2.812012833001492
PSL_R,-1.7160600349229274
SFL_R,-1.5315219020885784
PCV_R,-1.226261181064188
STV_R,-2.371190025011143
7Pm_R,1.1338109126818232
7m_R,-3.0427480927924666
POS1_R,-0.5980607021089427
23d_R,-0.7083765512148996
v23ab_R,-1.8763353812949966
d23ab_R,-0.9371788719048701
31pv_R,-0.7951287285026506
5m_R,-1.219861833177588
5mv_R,-0.6754572138575473
23c_R,-1.001602173900933
5L_R,-0.5514668287979599
24dd_R,-0.08685228218152612
24dv_R,1.027723629881374
7AL_R,-0.19800035545165826
SCEF_R,-0.5333479323856946
6ma_R,-0.7825247533745846
7Am_R,-0.010530226653352112
7Pl_R,1.1472501003055031
7PC_R,-0.1719091114420959
LIPv_R,0.9905999023574608
VIP_R,0.525577783235427
MIP_R,1.0598735206289962
1_R,-0.7459884639693287
2_R,-1.1259191669289674
3a_R,-1.0786020757203918
6d_R,-0.9706479766643668
6mp_R,-0.9405321476635663
6v_R,-0.4984874479273307
p24pr_R,-0.186611855075656
33pr_R,-1.7871549606554555
a24pr_R,-1.8084729470883651
p32pr_R,-0.7780240264984774
a24_R,-1.0279852692827949
d32_R,-2.0948474208566803
8BM_R,-1.8331752218714366
p32_R,-1.427286913595511
10r_R,-0.9152054372649083
47m_R,-0.2946533275380469
8Av_R,-1.3537030582512222
8Ad_R,-1.119679273148957
9m_R,-2.4126058720107926
8BL_R,-2.153122711547555
9p_R,-1.2686146624315173
10d_R,0.05855242495888894
8C_R,-1.5302133567773581
44_R,-1.8846487137464305
45_R,-2.058649215311185
47l_R,-1.0509271542609868
a47r_R,-0.33219385173671134
6r_R,-1.588720907723246
IFJa_R,-1.7472487218597539
IFJp_R,-2.1282020996595388
IFSp_R,-1.0613141781734694
IFSa_R,-1.5107869878997278
p9-46v_R,-0.6337624046824961
46_R,-0.5151903904404213
a9-46v_R,-0.16194787624855048
9-46d_R,-0.7184800194024503
9a_R,-0.8677954711612434
10v_R,-1.0119112756457085
a10p_R,0.09698616740993321
10pp_R,0.1554422432802042
11l_R,-0.7023064840924269
13l_R,-1.0767191502688787
OFC_R,-1.077338065460345
47s_R,-0.3749546372600363
LIPd_R,1.5272063897034482
6a_R,0.5883069039522038
i6-8_R,-0.625054253436919
s6-8_R,-0.6821722553923303
43_R,-1.4678133899394572
OP4_R,-2.0003940176668715
OP1_R,-1.6812573507460238
OP2-3_R,-1.5172559023540337
52_R,-2.213610715043153
RI_R,-2.5644397480892245
PFcm_R,-2.245142253297222
PoI2_R,-1.569013847945666
TA2_R,-1.7493686500314323
FOP4_R,-1.059268047598512
MI_R,-0.8003694952091132
Pir_R,-1.3042917114794295
AVI_R,1.0442285992608804
AAIC_R,-0.07950971433757391
FOP1_R,-1.5015733757439784
FOP3_R,-0.5393864397678635
FOP2_R,-0.7809360353843958
PFt_R,-1.3112695259874407
AIP_R,-0.20449535264740543
EC_R,3.5024859940739486
PreS_R,5.452511995858033
H_R,6.961290556703417
ProS_R,0.6486602478065735
PeEc_R,1.2335052028896518
STGa_R,-1.8446331360881734
PBelt_R,-3.520335139889915
A5_R,-3.0855983298572514
PHA1_R,4.644074498205392
PHA3_R,3.2388936807326787
STSda_R,-2.0828452725903457
STSdp_R,-2.3826403121921627
STSvp_R,-2.391306021805904
TGd_R,-0.6951651312619914
TE1a_R,-1.6817433457550883
TE1p_R,-1.097970224044
TE2a_R,-0.591558099931409
TF_R,0.5830677060274172
TE2p_R,-0.0620780461453676
PHT_R,-1.3556879458739797
PH_R,0.5511255154921498
TPOJ1_R,-2.3889863564850584
TPOJ2_R,-2.551586068721419
TPOJ3_R,-3.1667300806076097
DVT_R,0.2739218487970964
PGp_R,-1.1141347049959271
IP2_R,-0.35194260040607084
IP1_R,0.41496703191631296
IP0_R,1.6300447946193424
PFop_R,-2.05542783001786
PF_R,-0.8892079975702771
PFm_R,-1.1787704381998776
PGi_R,-2.760952430642784
PGs_R,-0.935680595387675
V6A_R,-0.12659820866413576
VMV1_R,1.488232091604273
VMV3_R,-0.18914976984402038
PHA2_R,6.979997441403865
V4t_R,0.2948935516816786
FST_R,-0.7212163335549118
V3CD_R,1.3377675229033896
LO3_R,-0.9385240498067635
VMV2_R,1.0000946435737281
31pd_R,-0.4226987820733753
31a_R,-0.8876410900240321
VVC_R,1.3953566921592677
25_R,0.7667710883087985
s32_R,-0.5023494527322767
pOFC_R,1.7301501731724995
PoI1_R,-1.2114102734917653
Ig_R,-1.3935450147150994
FOP5_R,-1.3221223156996154
p10p_R,-0.5887300019348918
p47r_R,-1.2231325288992914
TGv_R,-0.4268285845485145
MBelt_R,-3.0145188325635885
LBelt_R,-3.501226330154996
A4_R,-2.9429146169771485
STSva_R,-0.9412703474896047
TE1m_R,-0.9781674835068487
PI_R,-1.7190879969763706
a32pr_R,-0.9730534015978665
p24_R,-1.513661778603232
