region,learning
V1_L,0.44480857207350327
MST_L,-0.8642716263273975
V6_L,-0.5286591603293496
V2_L,0.2217356709040984
V3_L,0.1998155548882997
V4_L,0.6891742635216275
V8_L,0.7852467730214523
4_L,-1.0387885806031425
3b_L,-1.0835623064063133
FEF_L,0.546442216079979
PEF_L,0.46665779294284276
55b_L,-0.24774076645846255
V3A_L,-0.28238749074978625
RSC_L,0.26836437093627535
POS2_L,-0.7771903258334897
V7_L,1.1467640261001193
IPS1_L,2.071635951668316
FFC_L,1.7762458656018807
V3B_L,1.0718806079253076
LO1_L,0.4406933374556465
LO2_L,0.6581715530096447
PIT_L,1.16025636401647
MT_L,-0.5165726557770158
A1_L,-2.987925023102655
PSL_L,-1.41099293752801
SFL_L,-1.1200431422853099
PCV_L,-1.7615579587369867
STV_L,-1.8367327510345601
7Pm_L,-0.6744775776838161
7m_L,-3.230394262234649
POS1_L,-0.5379351069405279
23d_L,-0.4765514505430833
v23ab_L,-1.5413868767720207
d23ab_L,-1.1763932727810202
31pv_L,-1.2826184670542082
5m_L,-1.668235106797374
5mv_L,-1.3945143442292058
23c_L,-0.816184299590339
5L_L,-0.630677223923764
24dd_L,0.40551462580117
24dv_L,0.519239155747679
7AL_L,-0.9451433555782979
SCEF_L,-0.40221987934186576
6ma_L,-0.5352743256753509
7Am_L,-0.12307992445516013
7Pl_L,0.5908279648632231
7PC_L,-0.6182473023067366
LIPv_L,0.825258299024394
VIP_L,0.32136377874113775
MIP_L,1.0981373934924374
1_L,-0.758291078579587
2_L,-1.2462473865141763
3a_L,-0.8718376145343641
6d_L,-0.2922659662107729
6mp_L,-1.8805807873384823
6v_L,0.0074731202096977
p24pr_L,-0.7831628511446644
33pr_L,-2.141235712077043
a24pr_L,-2.13728490001114
p32pr_L,-0.37416808277857877
a24_L,-0.6285446767469564
d32_L,-2.168014983709094
8BM_L,-1.9060116364616053
p32_L,-0.8507221788775383
10r_L,-0.5801747579290153
47m_L,-0.818721948310912
8Av_L,-0.21823990445959668
8Ad_L,-0.3186024725713229
9m_L,-2.195428413003336
8BL_L,-1.3173142212030338
9p_L,-1.357012300968935
10d_L,0.29711920292526134
8C_L,-0.6608533624693314
44_L,-0.7130703393049919
45_L,-0.8530833239834822
47l_L,-1.2751408307966352
a47r_L,-0.7653009942844683
6r_L,-0.357269468350756
IFJa_L,-0.01534049342552608
IFJp_L,0.7926421803758931
IFSp_L,0.8245644321462356
IFSa_L,-0.686364224149454
p9-46v_L,-0.27720015339085574
46_L,-1.0363812691737473
a9-46v_L,-0.6650376635767334
9-46d_L,-1.0561540543635262
9a_L,-1.371234097346108
10v_L,-0.9855014632624809
a10p_L,-1.2106430666733765
10pp_L,-0.5333433035542584
11l_L,-0.8532500560252072
13l_L,-0.6708039887833209
OFC_L,-0.92618532742711
