region,fixation
p47r_L,-1.464091139233725
TGv_L,-1.0948115148448785
MBelt_L,-3.56139581982624
LBelt_L,-3.9120457802816584
A4_L,-2.663231819251103
STSva_L,-2.6835848384992653
TE1m_L,-0.777593933696699
PI_L,-2.7327434547509837
a32pr_L,-2.4714767035114864
p24_L,-3.7872517041178932
V1_R,5.6231776655079395
MST_R,8.35571974254942
V6_R,5.197189052049293
V2_R,4.3092566113270365
V3_R,5.274247397810691
V4_R,8.814842806757733
V8_R,10.133955896861208
4_R,-0.982340926825234
3b_R,-1.0219481004700173
FEF_R,0.39516679013267264
PEF_R,1.2910758888224718
55b_R,-0.22429991272915129
V3A_R,4.21364961347036
RSC_R,-1.15042278089903
POS2_R,1.8266356605463054
V7_R,7.041639460425801
IPS1_R,6.1806948725433415
FFC_R,9.221465904409602
V3B_R,8.487019966109612
LO1_R,9.420975889032613
LO2_R,9.345519075697537
PIT_R,9.529421573903244
MT_R,6.003392360671716
A1_R,-3.4801089491312807
PSL_R,-1.1618692177756473
SFL_R,-1.802033536076601
PCV_R,-0.400519736042439
STV_R,-1.32212608375815
7Pm_R,3.2337953227114644
7m_R,-1.1755117601924918
POS1_R,0.03577716108523861
23d_R,-1.5560979110183013
v23ab_R,-0.3542729653347543
d23ab_R,-1.7042196729658214
31pv_R,-1.1587493681019287
5m_R,-1.5764835345325299
5mv_R,-0.29155135961579354
23c_R,-0.6310855989752414
5L_R,-0.6167353605132027
24dd_R,-0.7526096098684371
24dv_R,-0.8475877245446816
7AL_R,1.4919690552476321
SCEF_R,-1.4807048752733472
6ma_R,-1.2481567070695325
7Am_R,2.3476221210068378
7Pl_R,3.232291975583192
7PC_R,1.6611289305685537
LIPv_R,5.104922167138328
VIP_R,3.794382085261093
MIP_R,5.075434644447184
1_R,-0.8234570307166909
2_R,-0.530644757322935
3a_R,-1.771022364732943
6d_R,-1.1868184722140578
6mp_R,-1.0829484423819467
6v_R,0.4879758880246983
p24pr_R,-0.9793151942606148
33pr_R,-2.7374789608065297
a24pr_R,-2.684389345328822
p32pr_R,-1.255058771071341
a24_R,-2.8631807645409233
d32_R,-2.7766323690023955
8BM_R,-1.7700825575153902
p32_R,-3.211906588134414
10r_R,-2.93009791040961
47m_R,-1.6906084301292486
8Av_R,-1.2955259579121323
8Ad_R,-1.4521769319390947
9m_R,-2.3743482471674073
8BL_R,-1.7903133261533455
9p_R,-1.4983448742299736
10d_R,-0.2765870036082413
8C_R,-1.5391909365465197
44_R,-1.855728231852619
45_R,-2.3957685272855054
47l_R,-1.640935774578306
a47r_R,-1.93871963621023
6r_R,-0.5264122458646739
IFJa_R,-0.7194639665931245
IFJp_R,-0.16458517847452692
IFSp_R,-0.6806033060212623
IFSa_R,-1.4271934644679998
p9-46v_R,-0.5532599114587097
46_R,-1.177520074469824
a9-46v_R,-1.0618081966322668
9-46d_R,-1.5690129555127759
9a_R,-1.4183284638444387
10v_R,-1.4579897717253931
a10p_R,-1.2238532706450123
10pp_R,-0.892506366421052
11l_R,-2.005378056674159
13l_R,-2.529400505329565
OFC_R,-1.4111808718133232
47s_R,-2.7293531320908624
LIPd_R,4.071469050658627
6a_R,1.6873779965660185
i6-8_R,-0.4482804171577805
s6-8_R,-1.7223845320476514
43_R,-2.056301385334221
OP4_R,-2.848268341915323
OP1_R,-2.203248615329456
OP2-3_R,-1.6421619496361168
52_R,-2.728988460554107
RI_R,-1.8810681864110288
PFcm_R,-1.7151265424447442
PoI2_R,-2.70860576177745
TA2_R,-3.4372753396794353
FOP4_R,-1.5487307293500874
MI_R,-1.464139814023979
Pir_R,-3.018420174758145
AVI_R,-0.752277686036304
AAIC_R,-2.933545725000579
FOP1_R,-1.508429602634347
FOP3_R,-1.0639855745933897
FOP2_R,-0.2533959392157973
PFt_R,-0.39173977475929767
AIP_R,2.5797028430052458
EC_R,-0.13075095305690004
PreS_R,-1.308805995856289
H_R,-0.6482359449496964
ProS_R,-0.7028963732263195
PeEc_R,-0.23740568689057712
STGa_R,-2.6218130522928904
PBelt_R,-3.912765283801669
A5_R,-3.5254483707499324
PHA1_R,-0.63508871953209
PHA3_R,1.903851892854945
STSda_R,-2.9478893180236003
STSdp_R,-2.512996529345594
STSvp_R,-1.988244620328111
TGd_R,-1.5657754909502701
TE1a_R,-1.6417726811519773
TE1p_R,-0.3758048616986683
TE2a_R,-0.7436979146915238
TF_R,0.47155946943620547
TE2p_R,2.2029067769182116
PHT_R,0.7570559051675699
PH_R,8.664355135450116
TPOJ1_R,0.1492739110307752
TPOJ2_R,1.8576491963030881
TPOJ3_R,-0.6684037537357437
DVT_R,3.3397972119637576
PGp_R,1.2016035638648135
IP2_R,1.9918686489291648
IP1_R,2.0670610754246646
IP0_R,6.291159725370083
PFop_R,-1.9146878214657526
PF_R,0.34817100066530915
PFm_R,-0.09486922014531106
PGi_R,-0.927083369309077
PGs_R,0.2044960001464612
V6A_R,2.7927236816425314
VMV1_R,2.5587014220730304
VMV3_R,6.837276260538058
PHA2_R,0.4894465048295101
V4t_R,11.75640400799823
FST_R,7.76353136039165
V3CD_R,7.161416648906691
LO3_R,3.427707405917393
VMV2_R,3.422156193613898
31pd_R,0.09134922032511163
31a_R,-0.5855327708231931
VVC_R,5.838662635749171
25_R,-3.0012197648820678
s32_R,-2.16086393365857
pOFC_R,-2.8231107511552724
PoI1_R,-2.6582659509409265
Ig_R,-1.4969795587988908
FOP5_R,-1.1135707560330608
p10p_R,-1.8942383958445639
p47r_R,-1.742697364669286
TGv_R,-0.8814866281634458
MBelt_R,-3.8537379620441126
LBelt_R,-3.4969225622310285
A4_R,-3.0215669707270107
STSva_R,-1.596388083520202
TE1m_R,-0.8946442486404643
PI_R,-3.5062507735479342
a32pr_R,-2.3502256537028665
p24_R,-3.6210954464992406
