region,fixation
V1_L,5.723167035744558
MST_L,6.361016160513849
V6_L,1.689269789136281
V2_L,3.499414021786194
V3_L,3.700651725046179
V4_L,6.553862691088571
V8_L,9.008360904443611
4_L,-1.1437176940768947
3b_L,-1.2500666884088132
FEF_L,0.622043977786821
PEF_L,-0.42925374563520513
55b_L,-0.4965144513727003
V3A_L,2.2808908980284213
RSC_L,-0.45076999103809395
POS2_L,0.3515348616939645
V7_L,5.807895422233292
IPS1_L,6.36788215886671
FFC_L,10.035778952300756
V3B_L,8.436831724159322
LO1_L,6.546206879138389
LO2_L,9.038498882412933
PIT_L,10.063286962498845
MT_L,7.437091038645431
A1_L,-3.844825381788917
PSL_L,-0.9374325047818379
SFL_L,-1.690895496171733
PCV_L,-0.963564362315889
STV_L,-1.0304431191635968
7Pm_L,0.8310009516228996
7m_L,-1.1706508881489113
POS1_L,-0.15279851091257687
23d_L,-1.806434507717435
v23ab_L,-0.40951891313740857
d23ab_L,-1.394241000150226
31pv_L,-0.7467773948371046
5m_L,-1.7125662159186807
5mv_L,-0.9995778385119264
23c_L,-0.6378482934635674
5L_L,-0.607542962896028
24dd_L,-0.2655101808329013
24dv_L,-0.32645415080483364
7AL_L,0.17498394898757744
SCEF_L,-1.0451874449446228
6ma_L,-1.123780387952123
7Am_L,0.663038178675187
7Pl_L,2.187131605746804
7PC_L,1.271002883844389
LIPv_L,5.298469146957054
VIP_L,3.130406688183768
MIP_L,4.959826292169083
1_L,-0.7546374995509649
2_L,-0.33653944831877197
3a_L,-1.5024231766713503
6d_L,-0.595818960472841
6mp_L,-2.0011312389529325
6v_L,-0.4675270790283056
p24pr_L,-1.465633416522204
33pr_L,-2.496167789195156
a24pr_L,-2.7921440020208435
p32pr_L,-0.8295012468587039
a24_L,-2.5676672552047255
d32_L,-2.583034620409524
8BM_L,-2.0108363846968578
p32_L,-2.208577459997078
10r_L,-1.6055945555349342
47m_L,-1.5945235849513926
8Av_L,-1.085454412387271
8Ad_L,-1.4677160789691608
9m_L,-2.4171950307043364
8BL_L,-1.3490167558819226
9p_L,-2.1562553431651925
10d_L,-1.1105218353888937
8C_L,-1.916165385554571
44_L,-1.4197247513383315
45_L,-1.7562833354522653
47l_L,-2.7949222288565925
a47r_L,-1.4138189046441096
6r_L,-1.1086030035469774
IFJa_L,0.12103664302542298
IFJp_L,1.3584019271934105
IFSp_L,-0.7345847422720773
IFSa_L,-1.046902781095233
p9-46v_L,-1.1897061616790725
46_L,-1.9085139622010847
a9-46v_L,-1.4854033504421664
9-46d_L,-2.0952459071739127
9a_L,-1.378990066221023
10v_L,-1.1120368264775506
a10p_L,-1.6331675550767624
10pp_L,-0.8508421258280776
11l_L,-1.4873835465142677
13l_L,-1.78931937404011
OFC_L,-1.6657734132133233
47s_L,-2.379808106455956
LIPd_L,4.557103530195166
6a_L,1.3626395848794643
i6-8_L,-0.052545233046923816
s6-8_L,-1.026524624582271
43_L,-2.7397113959124053
OP4_L,-2.4364475018141882
OP1_L,-3.0564492942553554
OP2-3_L,-1.5391606182122464
52_L,-2.460046237747138
RI_L,-1.2903741426157471
PFcm_L,-2.635163572196662
PoI2_L,-2.4072495558472533
TA2_L,-3.6329606823442093
FOP4_L,-1.8079732433505542
MI_L,-2.1051236661167514
Pir_L,-2.7594214978399436
AVI_L,-1.3353557473592028
AAIC_L,-3.2867791883739366
FOP1_L,-3.1838630758474795
FOP3_L,-1.2820482735619483
FOP2_L,-1.8823519752007707
PFt_L,-1.0525996983663046
AIP_L,2.9100001289241075
EC_L,-1.1384835158543312
PreS_L,-0.5561346598383122
H_L,-0.5230468394174176
ProS_L,-0.37117636112343116
PeEc_L,-0.8591169439055024
STGa_L,-1.8892455198544358
PBelt_L,-4.229424997269732
A5_L,-2.9962944672832146
PHA1_L,-0.2959243788182596
PHA3_L,1.27479101457076
STSda_L,-3.0006658767125844
STSdp_L,-2.9849006957759285
STSvp_L,-1.8909468907540452
TGd_L,-1.6787703207060045
TE1a_L,-1.5965192226939269
TE1p_L,0.18083969833619035
TE2a_L,-0.5606542223230068
TF_L,-0.0010035527650573877
TE2p_L,2.4532553454877286
PHT_L,1.2396828238927295
PH_L,8.341194316823325
TPOJ1_L,-0.7844920423392854
TPOJ2_L,0.21508560170415494
TPOJ3_L,1.0964875790125357
DVT_L,2.3443513156587463
PGp_L,3.9208890566819434
IP2_L,2.9953363725169404
IP1_L,4.081116949074254
IP0_L,7.519337448495007
PFop_L,-1.513059049406325
PF_L,-0.2658416141984024
PFm_L,0.0782403153841644
PGi_L,-0.6522840892594548
PGs_L,0.7372629333883093
V6A_L,2.546469140719842
VMV1_L,1.239005653057724
VMV3_L,5.901233457113527
PHA2_L,-0.007491710686124696
V4t_L,9.905142936539264
FST_L,9.702125612245464
V3CD_L,7.53539044265859
LO3_L,3.722982151974916
VMV2_L,1.3059298561039052
31pd_L,-0.7622084835442704
31a_L,-1.533639442581487
VVC_L,6.82137817278499
25_L,-2.571187584084174
s32_L,-1.8908078132268304
pOFC_L,-1.9426258035697608
PoI1_L,-2.036756490703726
Ig_L,-1.5345785814779016
FOP5_L,-1.1656851918588604
p10p_L,-1.4764920674639772
