region,eating
V1_L,0.5671316980441565
MST_L,-1.7681453481455276
V6_L,0.5611258041537616
V2_L,0.2763362064122594
V3_L,0.09555662484334902
V4_L,0.1617995128126261
V8_L,0.1534743256196141
4_L,-1.475633561301219
3b_L,-1.0670647267058264
FEF_L,-1.586601407858998
PEF_L,-2.481934951274579
55b_L,-1.543175026061293
V3A_L,0.17221979399868448
RSC_L,1.3507486597476908
POS2_L,1.8543401904761267
V7_L,0.06644173376935565
IPS1_L,1.0582163106411613
FFC_L,-1.0047738040920569
V3B_L,0.44269926842272045
LO1_L,0.5050838888130894
LO2_L,0.0187134081781151
PIT_L,0.3717591176175749
MT_L,-1.9908693265975517
A1_L,-0.08006977418288755
PSL_L,-1.687859108106264
SFL_L,-0.9745834550040423
PCV_L,1.2106235540103056
STV_L,-2.466442174472606
7Pm_L,0.6930673112340697
7m_L,-0.2948169533991347
POS1_L,0.7316087532848462
23d_L,0.9066501961039306
v23ab_L,1.1971974665344929
d23ab_L,0.6385179169889019
31pv_L,-0.34824280656862583
5m_L,-0.08696026385396063
5mv_L,-0.16704135565023792
23c_L,0.5049659198036138
5L_L,0.25280781519136464
24dd_L,-0.8832074375075504
24dv_L,-0.9537813715772817
7AL_L,-0.2717513335452445
SCEF_L,-2.6905669159919063
6ma_L,-0.5993256139239532
7Am_L,1.5443649812036806
7Pl_L,0.7450804277313336
7PC_L,-0.8899461140369409
LIPv_L,-1.2335937780094262
VIP_L,0.04537063075616876
MIP_L,-0.537996265194123
1_L,-0.4638597630819753
2_L,-0.7915275744277999
3a_L,-1.2544352166452768
6d_L,-0.735547210332353
6mp_L,-1.8043059972652915
6v_L,-1.425456896794222
p24pr_L,0.25403440406131284
33pr_L,1.6020465867209535
a24pr_L,1.316932975767721
p32pr_L,-0.9560954764395119
a24_L,2.100811873226591
d32_L,-1.1436632662672979
8BM_L,-2.5831138405661567
p32_L,1.2633748302670769
10r_L,2.073605821784544
47m_L,0.1967523196131446
8Av_L,-0.8181519028573132
8Ad_L,-0.17516056105734507
9m_L,-0.9413913677171185
8BL_L,-0.31308840753799516
9p_L,-1.2508975325861829
10d_L,0.5817879388644862
8C_L,-1.891610830965975
44_L,-3.7843720111048293
45_L,-2.017455996169874
47l_L,-1.169176198484902
a47r_L,-0.1358846707295024
6r_L,-2.9397528655689764
IFJa_L,-2.9918882100155098
IFJp_L,-2.9788457083689175
IFSp_L,-2.340884120883313
IFSa_L,-2.2466790932893326
p9-46v_L,-0.7103661927169322
46_L,-1.048845639125273
a9-46v_L,-0.6038049892396149
9-46d_L,-0.03166616874611823
9a_L,-0.40005548625589665
10v_L,1.049438670520842
a10p_L,-0.24375508373088656
10pp_L,0.4802166103689034
11l_L,1.873640552045649
13l_L,1.501799450675047
OFC_L,0.9421352257725154
47s_L,0.8968982560334513
LIPd_L,-1.0139483687064674
6a_L,-0.9993535855245006
i6-8_L,-1.5021550038016185
s6-8_L,1.0003728792686333
43_L,0.20372215550026387
OP4_L,0.617514174223377
OP1_L,0.6982322045487456
OP2-3_L,1.6274117213786659
52_L,2.0485416073416625
RI_L,-0.24093378049900702
PFcm_L,-0.9054379151425789
PoI2_L,5.781540963825148
TA2_L,0.13148864956937711
FOP4_L,0.5823651691706896
MI_L,4.724954110099054
Pir_L,1.5289331808662703
AVI_L,1.945788099906617
AAIC_L,2.8015695978330464
FOP1_L,0.8239901388636955
FOP3_L,3.4306175135764616
FOP2_L,1.34484427412566
PFt_L,-0.8371465128603718
AIP_L,-1.1939143716632459
EC_L,-0.4098534886822985
