region,rule
V1_L,-1.1791882206592699
MST_L,-1.6712037122920331
V6_L,0.2156009614482949
V2_L,-1.411904576477067
V3_L,-0.9465232375515977
V4_L,-0.8360450458201658
V8_L,-0.970563292738644
4_L,-0.2802596087416358
3b_L,-1.0488923814100821
FEF_L,2.6249542343639853
PEF_L,2.9299849387374315
55b_L,1.2166076698131991
V3A_L,-0.08645637653042798
RSC_L,-1.8829270758298875
POS2_L,1.4551550687920312
V7_L,0.5416946580975621
IPS1_L,3.4700278541393437
FFC_L,-2.1455106449401478
V3B_L,0.21743783640942804
LO1_L,-0.4684696233044932
LO2_L,-1.4014510275579894
PIT_L,-1.1511763413567824
MT_L,-1.8909364018666845
A1_L,-3.326287888297696
PSL_L,-0.46969296217225925
SFL_L,2.2655318014282897
PCV_L,-1.398332071800246
STV_L,-1.0028819085885277
7Pm_L,1.6418638195097455
7m_L,-0.6722170716007787
POS1_L,0.22655997693003724
23d_L,-1.7398994098561769
v23ab_L,-0.4180237489358228
d23ab_L,-1.3358825401193766
31pv_L,-1.4716038674830298
5m_L,-0.8059451096203762
5mv_L,-1.8610583223132913
23c_L,-2.093713345133685
5L_L,0.10337024963261232
24dd_L,2.568786488479727
24dv_L,4.734095627513549
7AL_L,0.3695934223916591
SCEF_L,5.60037547386823
6ma_L,1.8188505688394336
7Am_L,0.841813156428501
7Pl_L,2.79137080734103
7PC_L,0.7006331784304783
LIPv_L,3.327771544149696
VIP_L,1.3663635166853094
MIP_L,3.0416470933891433
1_L,-0.6562504190211955
2_L,-0.8684087495346751
3a_L,-0.6409121479442403
6d_L,0.41932429622383904
6mp_L,0.8788690140684193
6v_L,1.9815845434301487
p24pr_L,1.4092330314344672
33pr_L,-0.7593758496348751
a24pr_L,0.6803714047193642
p32pr_L,4.578412791230914
a24_L,1.6651547014064811
d32_L,1.7917016479220857
8BM_L,3.4063146316811137
p32_L,1.2839074663512058
10r_L,0.7423581903016048
47m_L,1.966793642510364
8Av_L,2.4552739585435623
8Ad_L,1.7207577741042832
9m_L,2.1486659986592422
8BL_L,1.3772247647793898
9p_L,1.864568319282471
10d_L,1.2345618493821255
8C_L,3.52144824122259
44_L,2.2867925035546315
45_L,1.221887088838292
47l_L,1.5342726623246474
a47r_L,1.406158052674589
6r_L,1.6224024941516884
IFJa_L,2.96860048674301
