region,rule
IFJp_L,2.950753277359836
IFSp_L,4.763140671784914
IFSa_L,2.010503633629104
p9-46v_L,3.6642068055215944
46_L,2.53161648418568
a9-46v_L,2.9355758212473555
9-46d_L,2.1708852659128133
9a_L,1.343594739358711
10v_L,0.3184992777528822
a10p_L,1.324242593479712
10pp_L,0.07994047457898915
11l_L,-0.26875827113958883
13l_L,-1.1248465658027473
OFC_L,-0.3397266590017205
47s_L,-0.23288363208022
LIPd_L,5.131399156094404
6a_L,3.2963216962169883
i6-8_L,3.6403913043987073
s6-8_L,1.4048312976456911
43_L,-0.17595034034106125
OP4_L,-1.2118715660306432
OP1_L,-2.550179852083286
OP2-3_L,-1.9725929051908344
52_L,-2.835356814687482
RI_L,-1.4051804117510465
PFcm_L,-1.4513949931413468
PoI2_L,-2.4128137347492973
TA2_L,-1.7940052544985652
FOP4_L,0.33040594291646846
MI_L,-0.10692602160004061
Pir_L,-2.909151843098522
AVI_L,2.1445574116907418
AAIC_L,-0.09411675291616887
FOP1_L,-0.049414046240224066
FOP3_L,-0.8037960715005488
FOP2_L,-0.7665956997113537
PFt_L,-0.38230173852186977
AIP_L,1.7669973727307857
EC_L,-3.0690961766069957
PreS_L,-3.106581493689656
H_L,-3.667168498658818
ProS_L,-2.2885753458647895
PeEc_L,-2.608029355677446
STGa_L,-1.6734368286149133
PBelt_L,-2.8583378326752533
A5_L,-2.2314042058703225
PHA1_L,-2.5974421820515685
PHA3_L,-2.1637820142053052
STSda_L,-2.6217852264107098
STSdp_L,-3.338367039085604
STSvp_L,-2.861556052411131
TGd_L,-1.4192457210451643
TE1a_L,-1.2326857646072746
TE1p_L,-1.132297974131243
TE2a_L,-1.0218513286008462
TF_L,-2.147644859955866
TE2p_L,-1.7205173630297106
PHT_L,-1.7268705447737085
PH_L,-1.6525563231296752
TPOJ1_L,-2.23851664950434
TPOJ2_L,-0.9537664718282992
TPOJ3_L,-0.0640522303246836
DVT_L,1.6999522428418048
PGp_L,0.04137167002279323
IP2_L,4.727459628713675
IP1_L,4.019718057934739
IP0_L,2.0247957474972824
PFop_L,-0.2328970396977102
PF_L,0.39357287634671617
PFm_L,1.66197452626531
PGi_L,0.3179976212274282
PGs_L,0.47208263833751185
V6A_L,1.1448709965548407
VMV1_L,-2.018089921187046
VMV3_L,-1.5594413854715834
PHA2_L,-2.6531364879107984
V4t_L,-1.852168948364582
FST_L,-2.5837536947502158
V3CD_L,-0.7587667480457495
LO3_L,-0.9497681645557786
VMV2_L,-1.8637808974063388
31pd_L,-1.4742176263331468
31a_L,-0.9700492417721938
VVC_L,-1.668933021744505
25_L,0.35268411299622754
s32_L,2.060085798857911
pOFC_L,-1.3109893029959512
PoI1_L,-2.831078419871217
Ig_L,-2.1924484626615444
FOP5_L,2.1354024501214224
p10p_L,1.0270748468861841
p47r_L,4.084100537284395
TGv_L,-1.5461196530686767
MBelt_L,-3.011552113594277
LBelt_L,-2.9737533735393775
A4_L,-1.9031164041183808
STSva_L,-2.8850179368072633
TE1m_L,-1.2776861490363602
PI_L,-2.763431971594495
a32pr_L,2.3228044266357197
p24_L,-0.08013735001925011
V1_R,-1.1031210643047495
MST_R,-1.6117601349207367
V6_R,0.4039956312204593
V2_R,-1.1596986491705787
V3_R,-0.8218820799179496
V4_R,-0.9435764100578565
V8_R,-1.754653822248046
4_R,-0.8238586256079906
3b_R,-0.9465128603807412
FEF_R,1.4320216334794285
PEF_R,1.4624540544869522
55b_R,1.0259435887165387
V3A_R,-0.3693411828676038
RSC_R,-1.4115245195811041
POS2_R,1.5531615550736777
V7_R,1.2791189301930268
IPS1_R,3.1081945910585325
FFC_R,-1.9366560859393902
V3B_R,1.214002618666162
LO1_R,-0.8943573680490936
LO2_R,-2.0625043027532386
PIT_R,-1.2361126663592417
MT_R,-1.6864937300143426
A1_R,-3.157128145223854
PSL_R,0.06240592980202003
SFL_R,0.4551480841865453
PCV_R,-0.1623561990141003
STV_R,-0.20505004544883945
7Pm_R,2.635444424066653
7m_R,-1.074118481635809
POS1_R,-0.6417378960092269
23d_R,-1.381422983095389
v23ab_R,-1.5414314394556996
d23ab_R,-1.498872307008461
31pv_R,-1.3793377099472706
5m_R,-0.3655506206476288
5mv_R,-0.33451628763338453
23c_R,-1.1565945857124793
5L_R,-0.14130019066258145
24dd_R,1.0048407449060779
24dv_R,2.877190271036451
7AL_R,0.912685371074209
SCEF_R,3.04704937874646
6ma_R,1.4652220391198891
7Am_R,1.0628766518239547
7Pl_R,2.1481544480107297
7PC_R,0.41829420098112297
LIPv_R,3.2012770835419095
VIP_R,1.778111917068081
MIP_R,3.6383374174701233
1_R,-0.6233943389937997
2_R,-0.9748365498915805
3a_R,-1.0242280909218724
6d_R,-0.3542161770461827
6mp_R,1.0043880927861173
6v_R,1.3420768345474978
p24pr_R,0.8679824054650723
33pr_R,-0.802941506249289
a24pr_R,2.7770012292651387
p32pr_R,4.9822837922824625
a24_R,0.23030270745766304
d32_R,2.31182898029703
8BM_R,3.5088744812391934
p32_R,-0.16504991000264785
10r_R,0.5845815383371384
47m_R,0.7127567119432412
8Av_R,1.3638034254439273
8Ad_R,1.1646162361753272
9m_R,2.3750931901414294
8BL_R,0.33968246924909773
9p_R,1.2559881844279088
10d_R,0.4312814733071884
8C_R,3.59812476760541
44_R,1.878587490795397
45_R,0.7002202854803918
47l_R,2.3648405680862132
a47r_R,2.216184502274484
6r_R,3.1072400414449683
IFJa_R,4.697108585766933
IFJp_R,2.1394714248412927
IFSp_R,4.64169592739258
IFSa_R,2.741378372038284
p9-46v_R,4.92292223042889
46_R,3.762158549090322
a9-46v_R,5.569444295420681
9-46d_R,3.4503146795731094
9a_R,3.2783265112440003
10v_R,0.662913065247415
a10p_R,1.1916845159586098
10pp_R,0.5181076794550157
11l_R,0.5032019278109483
13l_R,-0.6374007413824075
OFC_R,-0.05692055470935968
47s_R,0.5894339554417467
LIPd_R,5.472609426028061
6a_R,3.0453043230542356
i6-8_R,2.806973642009155
s6-8_R,0.4308217809341369
43_R,-0.2364813717065818
OP4_R,-1.771995408058952
OP1_R,-2.1135220698632518
OP2-3_R,-2.332548186224179
52_R,-3.4446783850349405
RI_R,-2.434716397874909
PFcm_R,-1.3303107383606485
PoI2_R,-2.4751612709162374
TA2_R,-1.4759650794028758
FOP4_R,0.9864299463733645
MI_R,0.7277110177946815
Pir_R,-1.9217739375279503
AVI_R,2.039906250230864
AAIC_R,1.6226057069166975
FOP1_R,-0.6040763381828214
FOP3_R,-0.933235261963901
FOP2_R,-1.85419948345879
PFt_R,-1.159247596061048
AIP_R,2.5744743371450305
EC_R,-2.870651834139557
PreS_R,-2.5897612842782336
H_R,-3.277307388307015
ProS_R,-1.5020361615358697
PeEc_R,-2.6789372702755845
STGa_R,-0.8747089561569827
PBelt_R,-2.5883967908759176
A5_R,-2.546183165684278
PHA1_R,-2.316202470250965
PHA3_R,-2.541112890684033
STSda_R,-2.4232186850139636
STSdp_R,-3.108971885173933
STSvp_R,-2.329737990781569
TGd_R,-1.5037495508338825
TE1a_R,-1.22089832845814
TE1p_R,-1.1184600997683047
TE2a_R,-0.9857899689941966
TF_R,-1.8829495596977228
TE2p_R,-1.2066873464286239
PHT_R,-0.5692948052560017
PH_R,-1.0063205579953656
TPOJ1_R,-1.3431115384870718
TPOJ2_R,-1.5833563598635934
TPOJ3_R,-0.022469450764157965
DVT_R,1.6662949706611352
PGp_R,0.7216488676664038
IP2_R,4.30794964600989
IP1_R,3.457920165360375
IP0_R,1.661873213978161
PFop_R,-0.6867638514507122
PF_R,0.18640713749558213
PFm_R,1.239107886821142
PGi_R,0.38666748319978456
PGs_R,1.6657193133653128
V6A_R,1.9474673076125846
VMV1_R,-1.6859733303953215
VMV3_R,-2.225564836545513
PHA2_R,-2.6704111228400533
V4t_R,-2.074141425862884
FST_R,-1.8257457834699113
V3CD_R,-0.47002908476228483
LO3_R,-0.5397404460119003
VMV2_R,-1.84843305025421
31pd_R,-0.6655450620681311
31a_R,-0.8541957960256291
VVC_R,-2.2888671740382334
25_R,-0.3204068000399179
s32_R,2.2640721037028335
pOFC_R,-0.7158594227540716
PoI1_R,-3.8784070440802654
Ig_R,-2.8472958071542958
FOP5_R,0.5164144836771107
p10p_R,2.704562086817164
p47r_R,4.898722874355947
TGv_R,-1.776561900251303
MBelt_R,-3.213241822350247
LBelt_R,-3.3488556870319615
A4_R,-1.5355801775404487
STSva_R,-1.6212241963094487
TE1m_R,-1.5505450671494077
PI_R,-3.073179013837154
a32pr_R,3.181353243188196
p24_R,0.3959964501611602
