region,verbal fluency
V1_L,-0.9263304743888132
MST_L,-0.4110207777874129
V6_L,1.3582060172397732
V2_L,-0.5552138547168457
V3_L,-0.36554992804298325
V4_L,-0.8786965148248697
V8_L,-0.07795992400120934
4_L,-0.14491606408547933
3b_L,-0.20363321543687118
FEF_L,3.9188599632975896
PEF_L,5.680687502105048
55b_L,2.9483967514076346
V3A_L,-0.7897113855413391
RSC_L,-0.10120436620527765
POS2_L,3.9412577891666665
V7_L,0.447474605630881
IPS1_L,4.479242515740844
FFC_L,4.173189538782409
V3B_L,-0.09762055412922442
LO1_L,-0.5958921799464438
LO2_L,-0.7596783484507744
PIT_L,0.521485989934035
MT_L,-0.7006616695192
A1_L,-1.6576945084329378
PSL_L,-0.08084097289036644
SFL_L,0.4171995145375474
PCV_L,0.6117466768524806
STV_L,0.07543059265551706
7Pm_L,2.3355342092394804
7m_L,1.9407541883888413
POS1_L,1.5851846422901321
23d_L,-1.168031167370637
v23ab_L,2.65586994992995
d23ab_L,-0.23078224846844728
31pv_L,0.11563772447159268
5m_L,-0.3994684952599765
5mv_L,-1.127762497527253
23c_L,-1.3253173236448557
5L_L,-0.5196876665073049
24dd_L,0.9439336446325478
24dv_L,3.633032532966893
7AL_L,-1.7271782498056318
SCEF_L,5.385705622219955
6ma_L,0.17712593691679548
7Am_L,0.9644998257948787
7Pl_L,2.7389717992456255
7PC_L,-0.043862667731508785
LIPv_L,-0.09931803096381604
VIP_L,-0.5161788640561997
MIP_L,3.334405954737881
1_L,-0.6440720518136567
2_L,-1.1443953657763068
3a_L,-0.13397644623394087
6d_L,-0.24520307905634084
6mp_L,-1.330310130128749
6v_L,3.1003362329777797
p24pr_L,0.40383774132092715
33pr_L,-1.5059743385813047
a24pr_L,0.4217206649483231
p32pr_L,5.850963554522851
a24_L,-2.026450221125353
d32_L,-0.7054600362487445
8BM_L,1.456628962755063
p32_L,-1.5896814999856475
10r_L,-1.8475998195641323
47m_L,1.7073041124381683
8Av_L,1.4180878760340494
8Ad_L,1.4703981481489785
9m_L,-0.46547150204988097
8BL_L,0.14174628141535844
9p_L,0.27367404016263647
10d_L,-0.4910642467797533
8C_L,3.0638173624971805
44_L,8.01275415636569
45_L,4.645436912306974
47l_L,2.784519870058404
a47r_L,0.444400025224349
6r_L,7.662960985860621
IFJa_L,7.260528373890621
IFJp_L,8.437916848308712
IFSp_L,7.176216621322205
IFSa_L,4.921119963828991
p9-46v_L,3.5255680648246237
46_L,0.6810318673603349
a9-46v_L,1.2145839366510829
9-46d_L,0.7211114963020622
9a_L,0.2639716605743104
10v_L,-1.3847092067793063
a10p_L,0.03682818103423434
10pp_L,-0.3643977169861926
11l_L,-0.747654947941444
13l_L,-1.1595381634569928
OFC_L,-1.5197750704383122
47s_L,-0.18022310395719582
LIPd_L,5.444821632863041
6a_L,2.9667164015916527
i6-8_L,4.47723869623535
s6-8_L,0.7568063492661912
43_L,1.4476232988102276
OP4_L,-0.26433087214568335
OP1_L,-2.0996362172249774
OP2-3_L,-1.4140069143169558
52_L,-1.4692531476242479
RI_L,-0.8684153906883588
PFcm_L,-1.9412995327894653
PoI2_L,-1.600570985211856
TA2_L,1.3139616166653572
FOP4_L,3.104366206861712
MI_L,1.1377091244636814
Pir_L,-2.189537107520074
AVI_L,3.7503636801926574
AAIC_L,0.3903559257037099
FOP1_L,2.68636541059621
FOP3_L,0.07254263861167438
FOP2_L,1.011106899126103
PFt_L,-1.5747804462310908
AIP_L,2.065486720487535
EC_L,-2.514749483156957
PreS_L,-1.596500796655973
H_L,-1.3576356707319814
ProS_L,-2.0078785119168248
PeEc_L,-0.8679995989193879
STGa_L,0.9577981483618648
PBelt_L,-0.6053698297104194
A5_L,1.0254835664376813
PHA1_L,-1.469582904074684
PHA3_L,-0.38931067806265685
STSda_L,1.401970159122988
STSdp_L,1.7471712014420666
STSvp_L,3.370291338808439
TGd_L,-0.1023380355468897
TE1a_L,0.7132398846637276
TE1p_L,2.1579520318052126
TE2a_L,0.30810446015827564
TF_L,1.0639916419870434
TE2p_L,2.193676210829167
PHT_L,1.0674510620215136
PH_L,1.3456120173128627
TPOJ1_L,2.5554026462392296
TPOJ2_L,0.7651194046814694
TPOJ3_L,1.8736390192017987
DVT_L,2.0970938564148858
PGp_L,0.4363330106330311
IP2_L,4.311578411708401
IP1_L,5.680650592035629
IP0_L,1.8718908372255072
PFop_L,-1.5921961903385273
PF_L,-0.08976276030008551
PFm_L,0.7306214336608994
PGi_L,0.7421179287734384
PGs_L,0.6361908968479271
V6A_L,1.031503701047172
VMV1_L,-1.5195073626325195
VMV3_L,-0.770684955900833
PHA2_L,-1.2122872184768405
V4t_L,-1.7037405367924383
FST_L,-1.9188792063479614
V3CD_L,-0.8377085743886752
LO3_L,0.2146624905609491
VMV2_L,-1.5723992787476178
31pd_L,1.1671039333191318
31a_L,-0.42654256037213534
VVC_L,0.5191281079257404
25_L,-2.592060137497725
s32_L,-1.877335679583513
pOFC_L,-1.902016629797957
PoI1_L,-1.6715776340174398
Ig_L,-1.1498112432590102
FOP5_L,4.0752365742740775
p10p_L,0.02752047153307386
p47r_L,2.2688249375654954
TGv_L,-0.2515352211661394
MBelt_L,-0.9141933706950548
LBelt_L,-1.0784252511365806
A4_L,-0.06419190651665302
STSva_L,1.1375643195435627
TE1m_L,0.47923929129041953
PI_L,0.02158624040150018
a32pr_L,0.5809075206580124
p24_L,-2.37154050080601
V1_R,-0.7945743921010074
MST_R,-2.867233897417558
V6_R,-0.8762621600620961
V2_R,-0.685582937329081
