region,risk
V1_L,-0.9699671246425263
MST_L,-2.5720452219030907
V6_L,0.18354939293983735
V2_L,-1.1701868643750848
V3_L,-1.3867939762669654
V4_L,-1.8998357245725765
V8_L,-1.5886537487653083
4_L,-2.183810266135974
3b_L,-2.2297010165858553
FEF_L,-0.8997294663075143
PEF_L,-1.2796014158564708
55b_L,-1.393656538250494
V3A_L,-1.3882343965121942
RSC_L,3.073353716489074
POS2_L,2.3911339493383856
V7_L,-1.3045594431318488
IPS1_L,0.7718984169812291
FFC_L,-3.9801921311366817
V3B_L,-0.9690878378414154
LO1_L,-1.72323456392334
LO2_L,-2.962183953167302
PIT_L,-2.8485248873472573
MT_L,-2.9647150084549145
A1_L,-0.8000356366324207
PSL_L,-1.62058069304776
SFL_L,-0.7690625276055503
PCV_L,0.33144472910320244
STV_L,-2.1848392944796102
7Pm_L,0.4104031369545748
7m_L,1.0542756851483857
POS1_L,2.660566102220745
23d_L,1.8621131718010078
v23ab_L,3.7581732443597358
d23ab_L,3.1253378553934583
31pv_L,1.3478889440538147
5m_L,-1.3649599502494565
5mv_L,0.1377303572701825
23c_L,1.3984388646824326
5L_L,-0.8139305346062712
24dd_L,-0.000473811393343276
24dv_L,2.067001346348714
7AL_L,-1.5922308673235421
SCEF_L,-1.0483810643709448
6ma_L,-0.8293997542405683
7Am_L,0.12125639291485689
7Pl_L,0.5722654724904553
7PC_L,-1.7033702000655482
LIPv_L,-1.666696535826578
VIP_L,-1.1432753857900266
MIP_L,-0.9079013832857472
1_L,-1.567313660405001
2_L,-2.407348400908706
3a_L,-1.7572475060029782
6d_L,-1.329381256218074
6mp_L,-2.140871562999246
6v_L,-1.1397864696857292
p24pr_L,2.6575475716332666
33pr_L,4.369383876355235
a24pr_L,4.738693634802342
p32pr_L,2.943983444547434
a24_L,3.712899628241639
d32_L,1.477038841201364
8BM_L,-0.4668112316526447
p32_L,2.7729379322592003
10r_L,1.1089040748088759
47m_L,0.16392934462001493
8Av_L,0.027660066603638584
8Ad_L,1.4699769415545767
9m_L,0.8642298153681472
8BL_L,-0.15804235136225447
9p_L,-0.6339194244750733
10d_L,0.7696772833275024
8C_L,-0.4400745804653339
44_L,-2.4719859455579924
45_L,-1.7624669128229589
47l_L,-0.9738676995275436
a47r_L,-0.13038553202905176
6r_L,-2.4984822309154335
IFJa_L,-0.6227955078928787
IFJp_L,-1.207980403352245
IFSp_L,-0.14381661789664607
IFSa_L,-1.6203075193163419
p9-46v_L,0.03496718526909098
46_L,-0.1033025406868826
a9-46v_L,0.09027382986466727
9-46d_L,0.9767230790968048
9a_L,-0.07274205537715586
10v_L,0.2248393161400544
a10p_L,-0.03197137909575678
10pp_L,0.18380152325545968
11l_L,0.5305917775914505
13l_L,-0.6196474109103601
OFC_L,-0.40253710051656594
47s_L,-0.44158277369766064
LIPd_L,0.09620843632694139
6a_L,-0.18061338245810704
i6-8_L,-0.12260301914856547
s6-8_L,0.5948140471709037
43_L,-0.3612507323244515
OP4_L,-0.9772001420818751
OP1_L,-0.9356849833151892
OP2-3_L,1.919610662598943
52_L,2.527272974112606
RI_L,0.3397711305161999
PFcm_L,-2.482215580108242
PoI2_L,5.279645328218616
TA2_L,0.01907467433976424
FOP4_L,1.9818812953800364
MI_L,5.8159314691179045
Pir_L,0.15256852406333424
AVI_L,2.1866743682103396
AAIC_L,2.8062115380543555
FOP1_L,1.358458249618348
FOP3_L,4.901124416529716
FOP2_L,1.889274388822381
PFt_L,-2.697377645911098
AIP_L,-1.2703116135699675
EC_L,-0.9119929746594184
PreS_L,0.9144608393543445
H_L,0.2145329733986367
ProS_L,0.4535848186161908
PeEc_L,-1.1702036509165465
STGa_L,-2.2828341929983105
PBelt_L,-2.9193087616266333
A5_L,-2.9910959514276527
PHA1_L,-0.09411642387374788
PHA3_L,-1.5464427357602895
STSda_L,-2.619571469377031
STSdp_L,-4.013587673502951
STSvp_L,-4.634707187530976
TGd_L,-1.7193267398796197
TE1a_L,-1.8226418112830447
TE1p_L,-2.583082283786042
TE2a_L,-0.8886394063029427
TF_L,-1.3180095930837208
TE2p_L,-2.2152075080518205
PHT_L,-3.2217517115391145
PH_L,-3.568852054449636
TPOJ1_L,-3.4408572808927915
TPOJ2_L,-2.4533072943158665
TPOJ3_L,-1.0440687221704774
