region,risk
DVT_L,1.2883132905346073
PGp_L,-0.7734161799066908
IP2_L,-0.8499650223782046
IP1_L,-0.21751516851881142
IP0_L,-0.30893870080016145
PFop_L,-1.6703204926230628
PF_L,-1.3673832147960479
PFm_L,-1.0513938372139373
PGi_L,-0.673607141797536
PGs_L,-0.5248742715755039
V6A_L,-0.1146328025679172
VMV1_L,-1.2675353229385928
VMV3_L,-1.0955056408871848
PHA2_L,-0.40714577847736305
V4t_L,-3.5824736009292786
FST_L,-4.427419832215238
V3CD_L,-2.283345091146896
LO3_L,-1.222883087960254
VMV2_L,-1.0774062428469076
31pd_L,1.22759149551306
31a_L,1.4395502576049504
VVC_L,-2.2543093829552983
25_L,1.3233038497757044
s32_L,1.9275287737249178
pOFC_L,0.21845957991385279
PoI1_L,3.5014435827938843
Ig_L,4.082180107334494
FOP5_L,1.3159673406954775
p10p_L,-0.4067706564033195
p47r_L,-0.27437942793482833
TGv_L,-1.0381870948763894
MBelt_L,1.3965940879909025
LBelt_L,-1.5909930289708425
A4_L,-2.281413426396879
STSva_L,-3.0540050382468222
TE1m_L,-1.614100050217383
PI_L,0.24609590615362975
a32pr_L,2.7782678065693123
p24_L,4.447851367202637
V1_R,-0.9498782542672688
MST_R,-2.965488013929798
V6_R,0.6907437255594159
V2_R,-0.7750916856999156
V3_R,-1.1365254981111013
V4_R,-2.0935467317340315
V8_R,-3.023088165929686
4_R,-2.018248842307844
3b_R,-1.828899982850654
FEF_R,-1.1710781414890747
PEF_R,-0.9302344667838804
55b_R,-1.302539614220454
V3A_R,-0.6840467513520666
RSC_R,3.70398976892746
POS2_R,2.6662352775665035
V7_R,-0.8213866164648285
IPS1_R,-0.17011784955259715
FFC_R,-2.3464261823726793
V3B_R,-0.03379577289472874
LO1_R,-2.2622789504286223
LO2_R,-3.4921203835057417
PIT_R,-3.069103463161146
MT_R,-2.7382035834069716
A1_R,0.8610660621952063
PSL_R,-0.9352693302922327
SFL_R,-0.882503302507284
PCV_R,0.6593530387932048
STV_R,-1.0162447567800172
7Pm_R,1.2853977243096106
7m_R,1.8197870222373687
POS1_R,1.829303060892423
23d_R,2.6296918144150294
v23ab_R,3.4283372106012977
d23ab_R,3.980052558393872
31pv_R,4.104060556279614
5m_R,-1.0311181850082447
5mv_R,0.2144376549862099
23c_R,1.7709313641575255
5L_R,-0.5287643888099132
24dd_R,0.16527448535713177
24dv_R,2.1716011429070448
7AL_R,-0.10650360919745556
SCEF_R,-0.2478908164313897
6ma_R,-0.5631377428329926
7Am_R,-0.312272436049673
7Pl_R,-0.43418046960957374
7PC_R,-0.8262707515017061
LIPv_R,-0.2576226717157146
VIP_R,-1.1747731402047492
MIP_R,-0.3792346204999107
1_R,-1.3999972139205155
2_R,-1.4592999140992489
3a_R,-1.7362864872815493
6d_R,-1.7698172944119523
6mp_R,-1.6432441950884749
6v_R,-0.8270467066902328
p24pr_R,3.4511987154348067
33pr_R,4.056034109551708
a24pr_R,4.222865892872546
p32pr_R,2.400079039844794
a24_R,3.2479217035607912
d32_R,2.3770934892901825
8BM_R,0.21079952474911884
p32_R,1.8557721906949822
10r_R,1.049445504713155
47m_R,0.6845782597857784
8Av_R,-0.8304561122931928
8Ad_R,0.3178541392310146
9m_R,0.9230808762323999
8BL_R,-0.8812942408305626
9p_R,0.5430505341854788
10d_R,0.1571511734541823
8C_R,0.1632888031276975
44_R,-0.5485076371403489
45_R,-0.6681248932747337
47l_R,1.2156586072142135
a47r_R,0.9038039111806805
6r_R,0.07900761688710359
IFJa_R,0.441749184522995
IFJp_R,-0.5031413408773346
IFSp_R,0.9530060662251949
IFSa_R,-0.06766756984993105
p9-46v_R,1.8291160920826384
46_R,1.6227738823357074
a9-46v_R,1.9343759479353455
9-46d_R,1.8107886184915658
9a_R,1.2316082306854776
10v_R,0.5050352094886343
a10p_R,0.4875374987511931
10pp_R,0.8579849447790984
11l_R,0.579186249309522
13l_R,-0.2728117963371815
OFC_R,-0.0010488146270557558
47s_R,1.2478322388889034
LIPd_R,0.7305653493075775
6a_R,0.1811380817640692
i6-8_R,0.3372777728023826
s6-8_R,-0.7848641364035761
43_R,0.13157525538988712
OP4_R,-1.4114390437224518
OP1_R,1.652843013823176
OP2-3_R,2.8392117379071395
52_R,2.200874204451887
RI_R,-0.3498994306127088
PFcm_R,-0.5425788203464255
PoI2_R,5.112419973486851
TA2_R,0.7443097825718152
FOP4_R,3.484979573266508
MI_R,6.843133228252946
Pir_R,0.9702286130364439
AVI_R,3.629890925510148
AAIC_R,4.313969784039668
FOP1_R,3.7479061544177683
FOP3_R,4.199156816334128
FOP2_R,3.0525633150406497
PFt_R,-1.5511632664625281
AIP_R,-0.8580477526685163
EC_R,-0.4284469700955047
PreS_R,0.336301680138744
H_R,0.6843435325937589
ProS_R,0.5744565908690457
PeEc_R,-1.2566382927428517
STGa_R,-0.809763835369085
PBelt_R,-2.431381686046112
A5_R,-3.2714897870120176
PHA1_R,-0.18636976278122624
PHA3_R,-0.2668205057183791
STSda_R,-1.504660792690028
STSdp_R,-2.507040335680325
STSvp_R,-3.0208330007342616
TGd_R,-0.9141387210275548
TE1a_R,-0.9210123333422962
TE1p_R,-1.076887157369068
TE2a_R,-0.18200936496827327
TF_R,-0.8239176353730044
TE2p_R,-0.35643005908864034
PHT_R,-1.07914471967832
PH_R,-2.735064708661443
TPOJ1_R,-2.3414476777237203
TPOJ2_R,-2.8912600920167186
TPOJ3_R,-1.578495732762284
DVT_R,1.875254757194459
PGp_R,-0.03276350966171224
IP2_R,-0.23250172661702198
IP1_R,0.28894894446774416
IP0_R,0.23381317221748427
PFop_R,-0.8373980453812164
PF_R,-0.8614840991692392
PFm_R,-0.7187525536492706
PGi_R,-1.5322785173035989
PGs_R,-0.4584870976494387
V6A_R,0.06682465552267403
VMV1_R,-0.709732986425976
VMV3_R,-2.4325738289293044
PHA2_R,0.8464368546100641
V4t_R,-4.008745160875474
FST_R,-3.293847161998769
V3CD_R,-0.24157344262109393
LO3_R,-0.8996139395478966
VMV2_R,-0.9011489285101204
31pd_R,3.373066712405327
31a_R,2.666234369965131
VVC_R,-1.9598211533700367
25_R,1.6272527369244048
s32_R,2.7145300836184862
pOFC_R,0.0689150059572108
PoI1_R,3.984725289028721
Ig_R,4.157905666456925
FOP5_R,1.2123624673761788
p10p_R,1.0080356522411065
p47r_R,1.2807541290849211
TGv_R,-1.2032313028583086
MBelt_R,0.14002853714181754
LBelt_R,-1.5010343188523807
A4_R,-2.117896455487735
STSva_R,-1.1380740496064978
TE1m_R,-1.1402217164805866
PI_R,1.6098020512752678
a32pr_R,3.4786535244032675
p24_R,3.3879664867574366
