region,thought
V1_L,0.043741818570033196
MST_L,0.10796327974968101
V6_L,1.2662075420703074
V2_L,0.5516079866612799
V3_L,0.02203938620831634
V4_L,-0.8222985776793637
V8_L,-0.5306706386545652
4_L,-1.0303779281385945
3b_L,-0.865296978886528
FEF_L,-0.361527333467393
PEF_L,-0.7933241319053915
55b_L,-0.3373256996555222
V3A_L,0.21498026259628933
RSC_L,4.1914898327314285
POS2_L,4.4347651870147455
V7_L,-0.42803566767307266
IPS1_L,0.3749548763377535
FFC_L,-0.45598701035105954
V3B_L,-0.7215661589373036
LO1_L,0.2755213847390419
LO2_L,-0.845596243627455
PIT_L,-1.0231063027305227
MT_L,0.37390775722366937
A1_L,-1.2399435159837877
PSL_L,-0.5017110561898673
SFL_L,1.1532669562164393
PCV_L,1.6081899333611571
STV_L,0.2190361810616864
7Pm_L,2.4208183142473656
7m_L,8.111218127384811
POS1_L,6.156506376689265
23d_L,1.5810642640472294
v23ab_L,14.631788075847338
d23ab_L,7.299194075358711
31pv_L,6.441301523506526
5m_L,-0.7641149223546302
5mv_L,-0.5799104873125083
23c_L,0.36817580276795253
5L_L,-0.6183414322605112
24dd_L,0.20630245707628747
24dv_L,-0.08935188037102619
7AL_L,-1.109913815380882
SCEF_L,0.04125053972767048
6ma_L,-0.9028062394365388
7Am_L,0.5077895576226341
7Pl_L,-0.07036114123233236
7PC_L,-0.9907632772219922
LIPv_L,-0.7588863478877144
VIP_L,-0.5780335124983428
MIP_L,-0.4222967614214913
1_L,-0.8019022276582743
2_L,-1.2333010149628931
3a_L,-0.5969904139581429
6d_L,-0.8547085682376442
6mp_L,-1.2440186204383274
6v_L,-0.6665881401011082
p24pr_L,0.026380549701286126
33pr_L,-0.06810415074420904
a24pr_L,0.2680596704926261
p32pr_L,-0.07810648730340847
a24_L,3.6870299832297238
d32_L,1.69948908977172
8BM_L,1.3296904715497275
p32_L,2.7399740702732327
10r_L,4.029351973162409
47m_L,-0.15669933902448582
8Av_L,-0.019902071808174274
8Ad_L,2.743515104073529
9m_L,3.305350008246493
8BL_L,2.5190760026640735
9p_L,-0.022709959257448228
10d_L,2.4139319690165357
8C_L,-0.7252612458166363
44_L,-0.40258246986112023
45_L,-0.877921966480689
47l_L,-0.7175309529352448
a47r_L,-0.965694124801219
6r_L,-0.4038199982618858
IFJa_L,-0.8534742533716114
IFJp_L,-0.9518640042423673
IFSp_L,-0.6438912011315756
IFSa_L,-0.9937538938855456
p9-46v_L,-0.8978844023949257
46_L,-0.5305453186738697
a9-46v_L,-0.9005321948650791
9-46d_L,-0.3079241111707654
9a_L,0.19176618844022422
10v_L,1.5632527145638706
a10p_L,-1.22085488147787
10pp_L,-0.11279805283019316
11l_L,-1.059488735257384
13l_L,-1.593630601352264
OFC_L,-0.45354900520113933
47s_L,-1.623170419104509
LIPd_L,-0.32077246456445957
6a_L,0.07083114355070105
i6-8_L,0.007072582955263567
s6-8_L,2.0052241383738214
43_L,-0.6459511245698565
OP4_L,-0.04672793749430005
OP1_L,-1.6702649585676277
OP2-3_L,-1.033995748806786
52_L,-0.21741243177456793
RI_L,-0.452934463043647
PFcm_L,-1.8915280108934045
PoI2_L,-1.6074276300598103
TA2_L,-0.7406947069082369
FOP4_L,0.1801465948565875
MI_L,-0.28085887554734285
Pir_L,-2.306245984825134
AVI_L,-1.1477136766362777
AAIC_L,-1.6065210266001364
FOP1_L,-0.7030307745871476
FOP3_L,0.06535546943481076
FOP2_L,-1.432979928803144
PFt_L,-1.2714588976903478
AIP_L,-0.31880470119871157
EC_L,0.5141190284048285
PreS_L,3.051750988991862
H_L,2.917686649916435
ProS_L,1.1648541046015846
PeEc_L,0.20769623092501496
STGa_L,0.17963247514736952
PBelt_L,-0.6712179936557645
A5_L,0.9363698108338726
PHA1_L,3.39574011276802
PHA3_L,0.9921255459974802
STSda_L,1.0561074792243343
STSdp_L,0.20084262817077791
STSvp_L,1.1855812205001346
TGd_L,0.43659484054900016
TE1a_L,2.0878690976919634
TE1p_L,0.03786009996800657
TE2a_L,2.131592685318425
TF_L,0.3971897264443128
TE2p_L,-0.33331566557496745
PHT_L,-0.618017555378651
PH_L,-0.7152305313511057
TPOJ1_L,-0.0709863603999312
TPOJ2_L,1.6340774007203158
TPOJ3_L,5.072131708459349
DVT_L,1.222562685673751
PGp_L,1.7126659077047348
IP2_L,-0.12945202621911384
IP1_L,0.596793013027928
IP0_L,0.45533361837791875
PFop_L,-1.199300982254892
PF_L,-0.10227023748602103
PFm_L,0.24010713461809166
PGi_L,5.479405466859389
PGs_L,3.7537827279353753
V6A_L,-0.11745968646831584
VMV1_L,0.34896528982816755
VMV3_L,-0.7721804585061687
PHA2_L,2.3663475273021954
V4t_L,-0.7118162694553237
FST_L,-0.9957282799578773
V3CD_L,-0.34003691854397156
LO3_L,1.400908036609352
VMV2_L,-0.7929265125141058
31pd_L,7.487703606931171
31a_L,3.22055202033896
VVC_L,0.7810175423934188
25_L,1.8393359229393398
s32_L,3.0066699334875913
pOFC_L,-0.9581644735907283
PoI1_L,-0.9291354497266854
Ig_L,-1.0838097311780461
FOP5_L,-1.2999108199625347
p10p_L,-0.036283514231318655
p47r_L,-1.685732105560395
TGv_L,0.1518489399787797
MBelt_L,-0.2379405766905365
LBelt_L,-0.4767571205656781
A4_L,0.06066792718745602
STSva_L,3.222260614269334
TE1m_L,2.758345148516599
PI_L,-0.29332622543468123
a32pr_L,-0.16647877975693973
p24_L,1.2694579941533726
V1_R,0.3040685021502919
MST_R,-1.271176030597002
V6_R,0.38321677791078734
