region,multisensory
V1_L,4.199158132771544
MST_L,3.5682124515637077
V6_L,0.8566437295273908
V2_L,1.9185249141070055
V3_L,2.0034391042812594
V4_L,3.739234765248301
V8_L,4.381396538174103
4_L,-0.13127341923866984
3b_L,0.6800018289066324
FEF_L,0.17397999970741684
PEF_L,-1.2868214959229936
55b_L,-0.4069975595278626
V3A_L,1.9776840678197667
RSC_L,-1.2727303555851004
POS2_L,-0.878383055846003
V7_L,3.572341251854719
IPS1_L,2.5841776029616526
FFC_L,4.922423140303011
V3B_L,4.8169403246893605
LO1_L,3.5334049926389985
LO2_L,5.295499534727446
PIT_L,5.928884852816946
MT_L,3.5128322166457613
A1_L,7.111423195985225
PSL_L,0.8353711936903024
SFL_L,-1.893387324715748
PCV_L,-0.26330367197282384
STV_L,0.9472441473797019
7Pm_L,-0.3856677223062907
7m_L,-2.3238259448398537
POS1_L,-1.6900493104001606
23d_L,-1.3680761507365338
v23ab_L,-2.442061922887128
d23ab_L,-2.5179491411432653
31pv_L,-2.4642285960608024
5m_L,0.2153104692792142
5mv_L,-0.13058832006147572
23c_L,-0.423324829484173
5L_L,0.3566729765046839
24dd_L,-0.4009987488814225
24dv_L,-1.2443122376944218
7AL_L,0.7725278071672983
SCEF_L,-2.1373332335202124
6ma_L,-0.8977564773438751
7Am_L,0.36287535964497664
7Pl_L,0.38134633347318203
7PC_L,1.624604564922524
LIPv_L,1.5229834331635546
VIP_L,1.4272141937317324
MIP_L,0.5198036649247182
1_L,1.3397569814353985
2_L,3.481278886083862
3a_L,-0.11009715804207433
6d_L,-0.266489914279195
6mp_L,-1.1668934983877626
6v_L,-0.2129123278440777
p24pr_L,-0.8820828315802893
33pr_L,-1.559844423075298
a24pr_L,-2.8812058025335
p32pr_L,-2.5691051165709977
a24_L,-3.2096137909923472
d32_L,-2.361376926591081
8BM_L,-2.8804213332827326
p32_L,-3.1560078246684142
10r_L,-2.2985123141652974
47m_L,-2.3111456181987733
8Av_L,-1.4247145568961408
8Ad_L,-2.090768041015276
9m_L,-2.5518321647215125
8BL_L,-1.5727512149686012
9p_L,-1.9483556505675332
10d_L,-1.4852516929814124
8C_L,-2.7129632868439697
44_L,-2.1848834724310895
45_L,-2.0082457878333924
47l_L,-2.9055131242632126
a47r_L,-1.4268729537380351
6r_L,-1.1607779238297664
IFJa_L,-1.5010106799336196
IFJp_L,-0.9001242165756463
IFSp_L,-2.5037378309493676
IFSa_L,-1.5572503794092354
p9-46v_L,-2.023615667508744
46_L,-2.192735030447231
a9-46v_L,-1.9276516466382576
9-46d_L,-2.3997051750791436
9a_L,-1.6086239339576291
10v_L,-1.029093062458937
a10p_L,-1.9248349319137439
10pp_L,-0.7447945017734405
11l_L,-1.4425120047180935
13l_L,-1.8415676805769847
OFC_L,-1.383974629990931
47s_L,-2.7160159035541938
LIPd_L,-0.029262803594629842
6a_L,-0.5111112827751099
i6-8_L,-1.7425172254787236
s6-8_L,-1.4341986244479918
43_L,0.26050193146087425
OP4_L,1.8020887760161375
OP1_L,3.689015809691548
OP2-3_L,1.1529665994800178
52_L,3.462962890842883
RI_L,2.612664595722085
PFcm_L,4.572039635087716
PoI2_L,0.20217841605085163
TA2_L,-0.5426389026472457
FOP4_L,-1.7793574591453694
MI_L,-1.9249724309937257
Pir_L,-2.243805686127016
AVI_L,-2.3507675648903783
AAIC_L,-3.5145900562936356
FOP1_L,-0.4845013819150484
FOP3_L,-0.6161941597474727
FOP2_L,0.03885212740158123
PFt_L,2.5550236330978957
AIP_L,1.9263762854416666
EC_L,-2.0770137598357445
PreS_L,-1.3584857953589327
H_L,-1.8046457979297366
ProS_L,-0.7353285420461877
PeEc_L,-1.481242442953663
STGa_L,-0.8922315303974989
PBelt_L,9.725981713386945
A5_L,4.24478833181752
PHA1_L,-0.8063808125890657
PHA3_L,-0.18926869120894876
STSda_L,1.4396338809129143
STSdp_L,7.667326823110635
STSvp_L,3.021783181068329
TGd_L,-1.343658331464862
TE1a_L,-0.6384298629137491
TE1p_L,0.719066818563676
TE2a_L,-0.7376039655282
TF_L,-0.90352931462801
TE2p_L,0.42083130735500374
PHT_L,1.3158515430753333
PH_L,5.322812621361827
TPOJ1_L,4.635428490511879
TPOJ2_L,0.24669738988382992
TPOJ3_L,-1.0974693282394221
DVT_L,0.7372301157037354
PGp_L,1.2437189247657907
IP2_L,-0.12206609880267522
IP1_L,0.24353704547145325
IP0_L,3.2920893984723225
PFop_L,1.864102865511711
PF_L,0.7653146066799724
PFm_L,-0.33874449185065175
PGi_L,-2.144242364338159
PGs_L,-1.0353604619334469
V6A_L,1.1636695344215071
VMV1_L,0.41291232467695604
VMV3_L,3.0095318420802846
PHA2_L,-1.3135504658194623
V4t_L,5.006129119888035
FST_L,5.91831389246731
V3CD_L,4.22747474190314
LO3_L,0.9657540846284578
VMV2_L,-0.005619776742387193
31pd_L,-2.45625444186852
31a_L,-1.797332030553566
VVC_L,2.841579792783636
25_L,-2.759746259975193
s32_L,-2.038066474380065
pOFC_L,-2.617928764632355
PoI1_L,1.240905345799261
Ig_L,0.4971807523491539
FOP5_L,-1.2501819825385612
p10p_L,-1.7003266571341222
p47r_L,-2.389949419759678
TGv_L,-1.0563292341907344
MBelt_L,4.445448849673147
LBelt_L,8.8532895822917
A4_L,4.380184934399054
STSva_L,-0.2072984421894593
TE1m_L,0.19387592752353774
PI_L,-0.4341776049305156
a32pr_L,-3.2128591510607136
p24_L,-3.6340787636377834
V1_R,4.096559442278623
MST_R,5.058970410755713
V6_R,2.6439262159878107
V2_R,2.5728120121990563
V3_R,2.656849014662083
V4_R,5.06948712603857
V8_R,4.703866085030345
4_R,0.343978148470782
3b_R,1.073132878375927
FEF_R,0.576911905013445
PEF_R,0.618038590536559
55b_R,0.2314451362015087
V3A_R,2.401006576697304
RSC_R,-0.8778770798893871
POS2_R,-0.3613497920604317
V7_R,3.7088539467629444
IPS1_R,1.5569915809495145
FFC_R,3.0799244367574063
V3B_R,4.4625240895953
LO1_R,5.311325503284048
LO2_R,5.655537477320747
PIT_R,5.020569689276463
MT_R,2.705930539965726
A1_R,7.6090356952213645
PSL_R,0.6121474457168029
SFL_R,-1.4228376594337229
PCV_R,0.3910120429771981
STV_R,1.1457778053580296
7Pm_R,1.737348106903984
7m_R,-2.457974892893862
POS1_R,-1.0812658124276497
23d_R,-1.5872287178388411
v23ab_R,-1.5982061139612436
d23ab_R,-2.2995847226503114
31pv_R,-2.111763182822573
5m_R,0.6653475097346297
5mv_R,1.0495339562230614
23c_R,-0.43009058460820576
5L_R,0.9299548970382931
24dd_R,-0.6382734218318054
24dv_R,-0.6012453901234293
7AL_R,1.4063556194411007
SCEF_R,-1.56344601590806
6ma_R,-0.5805308253751771
7Am_R,2.0368634758145037
7Pl_R,1.626569616252639
7PC_R,1.771550369109239
LIPv_R,2.335025402558372
VIP_R,2.2537475538263694
MIP_R,1.9029372326978662
1_R,1.123462809460566
2_R,2.6556374885174083
3a_R,-0.21596621879351702
6d_R,0.4195369703442034
6mp_R,-0.6017876595829506
6v_R,0.6054019353673352
p24pr_R,-0.8230856435124888
33pr_R,-2.0877856217194886
a24pr_R,-3.1015809372726237
p32pr_R,-2.4264728410933745
a24_R,-3.1948652305320615
d32_R,-2.3028789256399596
8BM_R,-2.0028600019034144
p32_R,-3.484644382211605
10r_R,-3.1585142210060346
47m_R,-2.522063371358456
8Av_R,-0.9465725020590835
8Ad_R,-1.8049933157546307
9m_R,-2.1131337753238566
8BL_R,-1.4824869351007128
9p_R,-1.8249248870468426
10d_R,-0.7242758119708501
8C_R,-2.002834244731379
44_R,-1.5661288418323926
45_R,-1.8779246314105835
47l_R,-1.9898693541825256
a47r_R,-2.0407808498709024
6r_R,-0.41899931200799134
IFJa_R,-0.7663406624579441
IFJp_R,-1.1264930783380052
IFSp_R,-1.6834746519517185
IFSa_R,-1.5870195772620082
p9-46v_R,-1.657714608805979
46_R,-1.2939009825991963
a9-46v_R,-1.7621531173846554
9-46d_R,-1.8411866705840714
9a_R,-1.6779084582423305
10v_R,-1.5514329536545244
a10p_R,-1.367705361476924
10pp_R,-0.9059019195029598
11l_R,-2.042976802339488
13l_R,-2.4211743116862054
OFC_R,-1.0565541696238225
47s_R,-3.2764924588311413
LIPd_R,0.1838361749727549
6a_R,0.35945002479940946
i6-8_R,-0.5512088584300777
s6-8_R,-1.0333598816185028
43_R,0.5091864818858666
OP4_R,1.7872224818906213
OP1_R,3.7592354458127866
OP2-3_R,0.8466840672058425
52_R,4.1360665872880915
RI_R,4.355594672098747
PFcm_R,4.148910540249587
PoI2_R,0.1796256306644059
TA2_R,1.2528876005324634
FOP4_R,-0.8598679744054558
MI_R,-0.9422805441762596
Pir_R,-2.7527030694471577
AVI_R,-1.6923407383091449
AAIC_R,-3.502272477491817
FOP1_R,0.22020009960927045
FOP3_R,-0.40279623304348017
FOP2_R,0.7093530458925307
PFt_R,2.9805270881891524
AIP_R,1.2199419275034378
EC_R,-1.3455731125242256
PreS_R,-1.928295741766382
H_R,-1.9490672407211946
ProS_R,-0.8642827835053237
PeEc_R,-0.9085789377700813
STGa_R,-1.2660889806600353
PBelt_R,7.208799301118849
A5_R,6.248103215620032
PHA1_R,-1.1931787498522752
PHA3_R,-0.22841250096101373
STSda_R,2.8672596961244476
STSdp_R,6.974551636105777
STSvp_R,5.5590499544260155
TGd_R,-1.2246341249049617
TE1a_R,-0.5516551726765743
TE1p_R,1.0500831534851
TE2a_R,-0.8190747339129831
TF_R,-0.3260202705698425
TE2p_R,1.0734455068864879
PHT_R,1.0210656275639294
PH_R,5.163647631165162
TPOJ1_R,4.828403752709528
TPOJ2_R,1.8066796578844506
TPOJ3_R,-0.7437026895488634
DVT_R,0.6987576910073441
PGp_R,-0.5166623037316357
IP2_R,0.32285823510399136
IP1_R,-0.8950498809300661
IP0_R,2.6862312717247554
PFop_R,1.5144703179948693
PF_R,1.9990670800178407
PFm_R,-0.5041363792906284
PGi_R,-2.103610998876465
PGs_R,-1.2029894821830114
V6A_R,0.6188357540330134
VMV1_R,1.2782867434738776
VMV3_R,3.6514093163742434
PHA2_R,-1.0491918651689773
V4t_R,6.917136414862064
FST_R,4.652242853252911
V3CD_R,4.074447574489423
LO3_R,0.9051069842364848
VMV2_R,1.2524603790435398
31pd_R,-0.970987709027622
31a_R,-1.137289927639374
VVC_R,2.004822639040074
25_R,-2.9041377597179023
s32_R,-2.270565904885255
pOFC_R,-2.8269436381509587
PoI1_R,1.0168113381081945
Ig_R,1.1663732441672146
FOP5_R,-0.6807672784282269
p10p_R,-2.1752876360612197
p47r_R,-2.1742142380409906
TGv_R,-0.641681343273606
MBelt_R,5.86668349174551
LBelt_R,9.730572374192883
A4_R,4.248402083217149
STSva_R,2.001811369680142
TE1m_R,0.5547815934794765
PI_R,0.19230836087278425
a32pr_R,-3.063314773841576
p24_R,-3.2258540397205326
