region,mood
V1_L,-0.46596339037006423
MST_L,-1.5250599210374087
V6_L,-0.27069207529424105
V2_L,-0.38892124361010916
V3_L,-0.49304166964281915
V4_L,-1.2456070031762283
V8_L,-1.7595946099712478
4_L,-2.11186161245657
3b_L,-2.266584350341077
FEF_L,-1.3196553358670138
PEF_L,-1.601113081294685
55b_L,-1.2306914254635306
V3A_L,-0.7208555076701368
RSC_L,3.990497968236305
POS2_L,-0.2850890119505865
V7_L,-1.2918111300338544
IPS1_L,-1.5396308886145544
FFC_L,-2.589323109825075
V3B_L,-1.0067541631479366
LO1_L,-1.5024276924899624
LO2_L,-2.456165688764965
PIT_L,-1.8280471013453379
MT_L,-2.182991143965206
A1_L,-2.062766037654824
PSL_L,-2.0563448348226125
SFL_L,0.2562034578517644
PCV_L,-0.5933139278709522
STV_L,-2.0338353674157528
7Pm_L,-2.0332728913637528
7m_L,-0.40776551603850164
POS1_L,2.870638272705837
23d_L,3.5033644534100232
v23ab_L,3.9497574770466706
d23ab_L,3.931112732631799
31pv_L,1.5034282067266005
5m_L,-1.4620102508100978
5mv_L,-0.3039758242826066
23c_L,2.0879540016841323
5L_L,-0.38237307434518397
24dd_L,0.26692237891945886
24dv_L,2.427039422940745
7AL_L,-1.4829945616986107
SCEF_L,-0.3685087092403215
6ma_L,-0.24937911620523137
7Am_L,-0.9996517996851545
7Pl_L,-1.2369469411218705
7PC_L,-2.3610874658159258
LIPv_L,-3.597141206659304
VIP_L,-1.7502248002625107
MIP_L,-3.549799075528176
1_L,-1.232568958498356
2_L,-2.583236926453333
3a_L,-2.0308380102477677
6d_L,-1.2693373371889893
6mp_L,-0.9818861910955885
6v_L,-1.2102570246896474
p24pr_L,4.879739187189888
33pr_L,6.7861036822606575
a24pr_L,7.316539085744031
p32pr_L,4.109957114063692
a24_L,6.4371946436338385
d32_L,2.7926119855403337
8BM_L,0.98028284765646
p32_L,4.91234045371389
10r_L,4.739429843209909
47m_L,2.6187795005263292
8Av_L,0.30593881061139955
8Ad_L,1.1402612367032072
9m_L,2.3954491695594204
8BL_L,0.2665798739595338
9p_L,1.0522421004853764
10d_L,1.5128957493249167
8C_L,-0.386987838450815
44_L,-0.9597829426210901
45_L,-0.4428406756981523
47l_L,1.60399589080194
a47r_L,1.2550179560763524
6r_L,-1.969308400075109
IFJa_L,-0.71941950483557
IFJp_L,-2.625720902343037
IFSp_L,0.4641905129988877
IFSa_L,-0.3107007307348504
p9-46v_L,0.28808414657847514
46_L,0.4114815040448106
a9-46v_L,1.0449781224020815
