region,consolidation
V1_L,-1.4812244810660955
MST_L,-2.3870949470782636
V6_L,0.04868824827443524
V2_L,-0.9789907545399967
V3_L,-0.5773582025887509
V4_L,-0.825901407480908
V8_L,-1.0184860810699516
4_L,5.871573738893261
3b_L,5.6236241551254995
FEF_L,4.933758547411526
PEF_L,1.6933575023753766
55b_L,1.5089588948568817
V3A_L,-0.2721837945418063
RSC_L,-0.26694744640537876
POS2_L,-0.6137733367504765
V7_L,0.1674575973046391
IPS1_L,0.5616445497016594
FFC_L,-0.04356109766989346
V3B_L,-1.1855372871098018
LO1_L,-0.7988637183658035
LO2_L,-1.726717839790273
PIT_L,-1.085674368865542
MT_L,-2.6740185646703654
A1_L,-1.1029598692751295
PSL_L,-0.8796346934061974
SFL_L,0.24473509241411248
PCV_L,-1.196203627742696
STV_L,-1.7330379062981764
7Pm_L,-0.8703023935585525
7m_L,-2.540146824920236
POS1_L,-0.7267233990735413
23d_L,0.8768909149320561
v23ab_L,-1.684688025306779
d23ab_L,-1.170536504620576
31pv_L,-0.9767604221265539
5m_L,2.315945759102881
5mv_L,1.4790261415994492
23c_L,0.7901482962199262
5L_L,1.6705553387282763
24dd_L,6.297313393844727
24dv_L,3.090605250650069
7AL_L,0.5160039807692439
SCEF_L,2.9423962727130655
6ma_L,0.744330066863284
7Am_L,0.5397923701599329
7Pl_L,2.016225883645589
7PC_L,2.1299853353984237
LIPv_L,0.6587258694993615
VIP_L,1.1821571127311072
MIP_L,1.2847821936788977
1_L,2.348630272739676
2_L,3.0826985591493083
3a_L,3.8419436680620027
6d_L,4.255859997737278
6mp_L,3.984812789318053
6v_L,1.2161603003282262
p24pr_L,1.2772967280041674
33pr_L,-2.4774441192526533
a24pr_L,-2.8990669767114245
p32pr_L,-0.8835158276778201
a24_L,-2.5891412810752965
d32_L,-2.6393923605377143
8BM_L,-1.2055003191681584
p32_L,-1.909897124101347
10r_L,-2.4048287334949294
47m_L,-0.9635691486842299
8Av_L,-0.19868974692782898
8Ad_L,-0.5416657827530188
9m_L,-2.486795020491752
8BL_L,-1.0103652333068787
9p_L,-1.301529495906555
10d_L,-0.6677979156798175
8C_L,-0.461088712957767
44_L,-1.4508083233600464
45_L,-1.4431667517366942
47l_L,-1.1996580207894139
a47r_L,-0.809414448601315
6r_L,-0.34002405604474045
IFJa_L,-1.1974249624781197
IFJp_L,-1.6317140480342556
IFSp_L,-0.8454725019600616
IFSa_L,-0.8671037943486218
p9-46v_L,-0.5098056955813185
46_L,-0.5517401371342486
a9-46v_L,-0.43183274189337406
9-46d_L,-0.9745185971669718
9a_L,-1.0728501776516588
10v_L,-1.3550259145289618
a10p_L,-1.194712259472505
10pp_L,-0.8178480236202
11l_L,-1.5606405639483258
13l_L,-1.4672609048836427
OFC_L,-1.083705095557694
47s_L,-1.5506269048128587
LIPd_L,-0.8548166289386698
6a_L,4.468309740327246
i6-8_L,2.905974215142677
s6-8_L,0.28706196062167827
43_L,0.76347361836529
OP4_L,1.162046162815712
OP1_L,0.9163528980747064
OP2-3_L,0.6123218770621844
52_L,-1.0714672645508811
RI_L,0.8221201411891522
PFcm_L,0.6194170006408642
PoI2_L,-0.21624197903055967
TA2_L,-0.7701697312001125
FOP4_L,-1.6336289811402223
MI_L,-1.6672638253852958
Pir_L,-1.0290058564415714
AVI_L,-1.7817231850378794
AAIC_L,-1.9873506179682372
FOP1_L,0.138778358910613
FOP3_L,0.020484192359349434
FOP2_L,0.23296454518340837
PFt_L,1.4154434856680025
AIP_L,2.658614345695655
EC_L,1.66042852235449
PreS_L,4.8304874258493165
H_L,6.343729883406708
ProS_L,-0.5516320508042736
PeEc_L,1.002992363605092
STGa_L,-1.0518059721219744
PBelt_L,-1.0205908697691595
A5_L,-1.435390196404213
PHA1_L,4.2123218403754175
PHA3_L,3.5813445244779767
STSda_L,-1.2900333740571945
STSdp_L,-2.8785804340435632
STSvp_L,-3.1597806078475648
TGd_L,-0.8546947129997182
TE1a_L,-1.0056668590061044
TE1p_L,-0.6645434745423409
TE2a_L,-0.5339083557675955
TF_L,0.7431138184942734
TE2p_L,-0.22268902294506435
PHT_L,-1.5620391693065843
PH_L,-0.7283845513082569
TPOJ1_L,-1.711714831412239
TPOJ2_L,-2.5149273722129246
TPOJ3_L,-0.8896797470645952
DVT_L,-0.18375348989003631
PGp_L,-0.14255050769181876
IP2_L,0.23930392449447305
IP1_L,0.14700706368678595
IP0_L,-0.294461539123173
PFop_L,0.5723514853893038
PF_L,0.0004819963443056838
PFm_L,-0.3036031826279077
PGi_L,-1.3322523148301149
PGs_L,-0.4365263366034656
V6A_L,0.2391836556918246
VMV1_L,0.5653237354241195
VMV3_L,-0.629308657233163
PHA2_L,7.072399325119416
V4t_L,-2.5343805929237533
FST_L,-2.570693570356523
V3CD_L,-0.28975515228844717
LO3_L,-1.2087115513092535
VMV2_L,0.8598069311183764
31pd_L,-1.852897858999491
31a_L,-0.13728511819926592
VVC_L,0.46418107794190605
25_L,-1.8765678274807425
s32_L,-2.047773402778064
pOFC_L,-1.0961681037398663
PoI1_L,-0.44502098223058284
Ig_L,0.3015331915882538
FOP5_L,-1.794607199561933
p10p_L,-0.5412460312884927
p47r_L,-0.8845067998107502
TGv_L,0.09238594048426409
MBelt_L,-1.0401236552249038
LBelt_L,-1.8376905109671098
A4_L,-0.6606722199880368
STSva_L,-1.5626983441945002
TE1m_L,-1.3744062350939819
PI_L,-0.6486592795257213
a32pr_L,-2.595504043886325
p24_L,-2.8035135700035645
V1_R,-1.4230483183363138
MST_R,-2.2529200384088406
V6_R,-1.5867345605659993
V2_R,-1.1545046535466914
V3_R,-0.6619913975975563
V4_R,-1.0611543786371227
V8_R,-2.0828459909823698
4_R,4.029658614000482
3b_R,4.090698962964934
FEF_R,2.7443712883611995
PEF_R,0.2535105212608397
55b_R,0.8999841838509819
V3A_R,-0.37054174898375947
RSC_R,-0.6776340192152964
POS2_R,0.10285827857630196
V7_R,-0.7296806738568353
IPS1_R,-0.9467200564743945
FFC_R,-0.2712807228305183
V3B_R,-0.733064299317447
LO1_R,-0.9675868766732306
LO2_R,-1.6489555957713415
PIT_R,-1.0511981843278984
MT_R,-2.3637940857513478
A1_R,-1.9852651326078428
PSL_R,-0.716516027168004
SFL_R,-0.839961719598377
PCV_R,-0.7160713666284654
STV_R,-1.5917215148515134
7Pm_R,-0.2565793103427007
7m_R,-1.3716634470985425
POS1_R,-0.8274466669587245
23d_R,0.5523486980465634
v23ab_R,-1.6077346426386683
d23ab_R,-0.6902548825962184
31pv_R,-0.7728439702428366
5m_R,1.0194669232466484
5mv_R,0.7115692943271119
23c_R,-0.15401975981490212
5L_R,0.6558504052229162
24dd_R,5.365912138712575
24dv_R,3.1664560063313143
7AL_R,0.7920667059935098
SCEF_R,1.8717066412764563
6ma_R,-0.0523512300609312
7Am_R,0.01976303531356601
7Pl_R,0.13032042207742267
7PC_R,0.8315949008229735
LIPv_R,0.1655761223055858
VIP_R,1.1822599838036574
MIP_R,-0.1899233650510315
1_R,2.378773380121893
2_R,2.532142386532669
3a_R,3.7147519548654566
6d_R,3.3727233471857296
6mp_R,3.385719000126687
6v_R,0.7274482584007556
p24pr_R,1.3237367521919934
33pr_R,-1.9949400886860857
a24pr_R,-3.0441789438842544
p32pr_R,-1.3739795777660004
a24_R,-2.4133281157955913
d32_R,-2.948585155923226
8BM_R,-2.289285780254403
p32_R,-2.3243882727517806
10r_R,-3.0652475133162516
47m_R,-0.96456752732172
8Av_R,-0.8927343324197091
8Ad_R,-0.37032494219788525
9m_R,-2.5011895266012396
8BL_R,-1.323362402792445
9p_R,-1.365273483113648
10d_R,-0.6513163520352871
8C_R,-1.654831164037854
44_R,-1.3775967437187446
45_R,-2.120123831232521
47l_R,-1.9839755452498056
a47r_R,-1.6092292696002461
6r_R,-1.50928444534109
IFJa_R,-2.227131596772166
IFJp_R,-2.4058134186393585
IFSp_R,-1.2886553849920634
IFSa_R,-1.8862362287039258
p9-46v_R,-0.9882231365107297
46_R,-0.6233908107467118
a9-46v_R,-0.9978588127339906
9-46d_R,-0.7414662362606615
9a_R,-0.7943030820302546
10v_R,-1.739290471254484
a10p_R,-0.8822810173440053
10pp_R,-0.6333829838155403
11l_R,-1.0776903746867001
13l_R,-1.8236610111622484
OFC_R,-1.1879562954487453
47s_R,-1.7780244012412354
LIPd_R,-0.48258232439873505
6a_R,2.593182062004673
i6-8_R,0.6816883007299415
s6-8_R,-0.41956705553042095
43_R,-0.014052207823530508
OP4_R,-0.46944308158906356
OP1_R,-0.4671943629969968
OP2-3_R,0.12440834168329065
52_R,-1.7432219630778334
RI_R,-1.2434514456861012
PFcm_R,-0.8184772678046452
PoI2_R,-1.6172173069878562
TA2_R,-1.3785969912619458
FOP4_R,-2.82130425283512
MI_R,-2.8627649083492086
Pir_R,-1.4045902546400482
AVI_R,-2.76731067860705
AAIC_R,-3.0505207956446085
FOP1_R,-1.370853587255317
FOP3_R,-1.8485131346981576
FOP2_R,0.016988880948316767
PFt_R,1.9486115327213236
AIP_R,0.6033238253108887
EC_R,3.0634743924287635
PreS_R,4.782878040730289
H_R,5.608640837261671
ProS_R,0.5111382018429769
PeEc_R,1.0626586822336022
STGa_R,-1.7890527858549563
PBelt_R,-2.3472571278998955
A5_R,-2.306135215797313
PHA1_R,4.367521368530431
PHA3_R,3.134911666160865
STSda_R,-1.0753163438520186
STSdp_R,-2.6124736189868223
STSvp_R,-2.4623428582969384
TGd_R,-0.9348528076549403
TE1a_R,-1.0344371747862247
TE1p_R,-1.042152255661232
TE2a_R,-0.6347042796726935
TF_R,0.8612338111617546
TE2p_R,-0.7884791344156165
PHT_R,-0.7184899338709683
PH_R,-0.7378370721719484
TPOJ1_R,-2.352525194561316
TPOJ2_R,-2.7121573069775398
TPOJ3_R,-2.5139948647196633
DVT_R,-0.9039571236813048
PGp_R,-0.9186208615329924
IP2_R,-0.36565624044568334
IP1_R,-1.4222102046139933
IP0_R,-0.31639589617462555
PFop_R,0.23360327780159698
PF_R,0.4237175999166317
PFm_R,-1.1004284128570256
PGi_R,-1.8856420447296809
PGs_R,-1.3321471105795548
V6A_R,-0.9938070009427844
VMV1_R,0.14412100537266895
VMV3_R,-0.7582440017420827
PHA2_R,6.127807578949956
V4t_R,-2.8311440445725244
FST_R,-2.0218544632741597
V3CD_R,-0.22053030872253532
LO3_R,-1.4657100177779125
VMV2_R,0.18136846437902115
31pd_R,-0.002230643437697673
31a_R,-0.701922216082795
VVC_R,1.4832931118413804
25_R,-1.1951861106781556
s32_R,-1.8669395657904513
pOFC_R,-1.147905015847364
PoI1_R,-0.9664864767323468
Ig_R,-0.314366798271417
FOP5_R,-2.272837243701765
p10p_R,-1.0431980593514065
p47r_R,-2.758391174201799
TGv_R,-0.45874442686134853
MBelt_R,-2.247930674891211
LBelt_R,-2.344950422672281
A4_R,-1.8799360451655727
STSva_R,-0.5739486842930684
TE1m_R,-1.0914270001190542
PI_R,-1.405803855718287
a32pr_R,-2.811467337507868
p24_R,-3.0527474829205934
