region,retrieval
V1_L,-1.0585374794128046
MST_L,-0.5009264164567763
V6_L,3.8003915112894893
V2_L,-0.13288297334680682
V3_L,0.09393312529348695
V4_L,-0.47445104315848735
V8_L,-0.225204425132437
4_L,-1.2937607750460334
3b_L,-1.5032393024676696
FEF_L,1.6632610863784818
PEF_L,1.7641589759357765
55b_L,1.0673058634194295
V3A_L,0.19512162276681635
RSC_L,1.10170529433313
POS2_L,7.304210171306924
V7_L,2.3454346199056735
IPS1_L,6.8140698436780935
FFC_L,2.450656035342942
V3B_L,1.4243802923153004
LO1_L,0.5193644496817343
LO2_L,-1.1175907941913452
PIT_L,-0.13746766800423688
MT_L,-0.6699987300369267
A1_L,-1.9849363515043523
PSL_L,1.070420076473841
SFL_L,0.6751998794017683
PCV_L,1.915555612628152
STV_L,0.21906970884263788
7Pm_L,5.245077483861218
7m_L,4.015093125471783
POS1_L,3.6320960391554427
23d_L,-1.5407406572636138
v23ab_L,3.1998781332505377
d23ab_L,1.229920390169646
31pv_L,1.9300752405007842
5m_L,-0.08982579385628445
5mv_L,-0.4100416537348564
23c_L,-0.9290802947150615
5L_L,0.26326234158143597
24dd_L,-1.306835026823517
24dv_L,0.06314695740007047
7AL_L,0.720454448341285
SCEF_L,1.208528959133756
6ma_L,-0.41894568780049307
7Am_L,3.0821477753758306
7Pl_L,4.424090546536643
7PC_L,1.2201586759825975
LIPv_L,3.6879538580655065
VIP_L,1.8991544997912044
MIP_L,5.920937672095908
1_L,-1.0612689243517222
2_L,-1.1061670533190735
3a_L,-0.9380779372508545
6d_L,-0.7150132602969491
6mp_L,-1.9266222509110187
6v_L,1.3409967487616454
p24pr_L,-2.2684630919803332
33pr_L,-3.3689371323768786
a24pr_L,-2.9092235474995958
p32pr_L,1.3086919046308858
a24_L,-3.0632996095723812
d32_L,-2.4072159783510005
8BM_L,0.9496744822115715
p32_L,-1.9982334483789925
10r_L,-1.9191357490195706
47m_L,1.172783928350858
8Av_L,1.2184653009758544
8Ad_L,1.2908727720648028
9m_L,-1.5512132165491528
8BL_L,0.5391685818055192
9p_L,-0.659344363924327
10d_L,-0.5790060681055883
8C_L,2.087087122587055
44_L,2.8637686246988494
45_L,1.798967116289419
47l_L,1.15438340637949
a47r_L,0.4942962479551491
6r_L,2.3281431546618454
IFJa_L,3.7659422169515486
IFJp_L,3.142229131443238
IFSp_L,4.369836342319325
IFSa_L,2.1026961694739037
p9-46v_L,2.044570251183933
46_L,-0.13752220611868066
a9-46v_L,0.8419969199423002
9-46d_L,-0.1736244133487039
9a_L,-0.4887690296933686
10v_L,-1.2109675232949326
a10p_L,-0.8825163463137744
10pp_L,-0.8035712515735061
11l_L,-1.2980396481181848
13l_L,-1.5508245520504158
OFC_L,-1.12270581344639
47s_L,-0.8493952743125028
LIPd_L,7.2121302469180835
6a_L,1.8965220524520605
i6-8_L,3.013162587382926
s6-8_L,1.517387271112654
43_L,-0.9285651027659722
OP4_L,-0.5642850917691262
OP1_L,-1.0519408703070419
OP2-3_L,-0.5149505045023931
52_L,-1.6462619797143334
RI_L,0.208359204611704
PFcm_L,-0.30108368082035386
PoI2_L,-1.9676994236883556
TA2_L,-0.7942311153764049
FOP4_L,-0.19725154301959189
MI_L,-1.0249259406439921
Pir_L,-1.65463688814385
AVI_L,1.2599858932374166
AAIC_L,-0.6329802759103723
FOP1_L,-1.2570695808823302
FOP3_L,-0.41704737898514255
FOP2_L,0.1805440373068206
PFt_L,-0.28607478673981684
AIP_L,3.2988343446878545
EC_L,1.0834266770157863
PreS_L,4.060727614277111
H_L,5.500200289518308
ProS_L,-0.448391399210222
PeEc_L,1.6582888933015483
STGa_L,-0.049876849062991196
PBelt_L,-1.3043669723091023
A5_L,-0.6083806045855005
PHA1_L,4.006905382585762
PHA3_L,4.147420785743998
STSda_L,0.38153809747752304
STSdp_L,-0.5452032356229207
STSvp_L,0.8669342681373923
TGd_L,-0.2616577617490384
TE1a_L,0.28481506514833593
TE1p_L,2.0985891006793005
TE2a_L,0.29720543343663197
TF_L,1.9821873729203445
TE2p_L,1.6564865027323452
PHT_L,-0.01573294949451593
PH_L,0.7210783968668805
TPOJ1_L,0.7612666903948517
TPOJ2_L,0.5049119556778736
TPOJ3_L,2.6137768788476405
DVT_L,4.61879907674602
PGp_L,2.1271102781393907
IP2_L,6.837035482198847
IP1_L,8.555594017763084
IP0_L,4.805556938217056
PFop_L,-0.5257094739408785
PF_L,1.3069248663877884
PFm_L,3.115272446782329
PGi_L,3.035516323567748
PGs_L,2.7994366278980922
V6A_L,2.747354312351966
VMV1_L,-0.5060772101486405
VMV3_L,-1.1329480167053794
PHA2_L,6.651635237122478
V4t_L,-1.9240876340534963
FST_L,-2.1123313871306917
V3CD_L,0.4776823188066236
LO3_L,0.7180827227086363
VMV2_L,0.0065029189242714475
31pd_L,2.9306769437708278
31a_L,0.4745503866137596
VVC_L,1.2760841341910132
25_L,-2.5669856266611757
s32_L,-2.050925582503507
pOFC_L,-1.8733668526932228
PoI1_L,-1.6838450151863698
Ig_L,-1.3804830243579764
FOP5_L,1.1579177747267408
p10p_L,-0.7740748818779657
p47r_L,1.6203564441886085
TGv_L,0.6295648130670024
MBelt_L,-1.9329827525026253
LBelt_L,-1.6422407187939962
A4_L,-0.6897892021090587
STSva_L,0.44037388543807104
TE1m_L,0.05129930547598871
PI_L,-0.0274308332513618
a32pr_L,-0.9732067501808428
p24_L,-3.4104812488404503
V1_R,-1.0448220052532573
MST_R,-1.4715579007812798
V6_R,2.2722668285583474
V2_R,-0.21449924848230037
V3_R,-0.01160725374628033
V4_R,-0.7475710892914785
V8_R,-2.584215023220052
4_R,-1.4649242812415812
3b_R,-1.1880438967609803
FEF_R,-0.5844750490299361
PEF_R,-1.2233143234275279
55b_R,-1.0732923338022835
V3A_R,-0.0781200986013104
RSC_R,-0.1100619582693904
POS2_R,6.667903310103715
V7_R,2.5669297072580703
IPS1_R,4.992698157958309
FFC_R,-0.29238624574813515
V3B_R,1.9631773817622122
LO1_R,-1.0110472916452604
LO2_R,-2.263935915910578
PIT_R,-1.2030137796292537
MT_R,-1.2185281367255907
A1_R,-2.846654189266095
PSL_R,-0.50496761003587
SFL_R,-1.8702227593237546
PCV_R,3.1771132436522835
STV_R,-0.9104943003636774
7Pm_R,6.516297925449776
7m_R,4.358246515880408
POS1_R,1.9169353105556086
23d_R,-0.6265897957888101
v23ab_R,0.7051410409849933
d23ab_R,1.3192143392774203
31pv_R,1.5331387101964813
5m_R,-0.6680004009217217
