region,gaze
a32pr_L,-1.0144664379414445
p24_L,-1.8617728725084575
V1_R,0.7293762253634518
MST_R,9.836750271472603
V6_R,0.1572805605661511
V2_R,0.4687088499410384
V3_R,0.478065590509874
V4_R,2.617664329909366
V8_R,1.7950315219794564
4_R,-0.16205637075287282
3b_R,-0.02143754068023911
FEF_R,-0.15338467626094762
PEF_R,0.6380486286198577
55b_R,-0.15822061145354308
V3A_R,0.3231978739544176
RSC_R,-1.2877786642913185
POS2_R,-1.1013057433793472
V7_R,0.330310980052862
IPS1_R,-0.2810811931497303
FFC_R,5.647306569661289
V3B_R,2.200136792664438
LO1_R,3.4666046165621114
LO2_R,4.442759052539162
PIT_R,3.878418613188639
MT_R,6.899228027458699
A1_R,-0.4554235880999773
PSL_R,-0.046172653231446495
SFL_R,-0.12916699530444412
PCV_R,-0.07496263117967697
STV_R,2.2045668512288015
7Pm_R,-0.862155698061147
7m_R,-0.7364778709702778
POS1_R,-0.9700708394170225
23d_R,-1.503927842346808
v23ab_R,-1.250258173914834
d23ab_R,-1.5204608972680114
31pv_R,-1.2001920126102514
5m_R,-0.9788522837594937
5mv_R,-0.06365215906377238
23c_R,-0.3986974111854031
5L_R,0.2167107317203591
24dd_R,-1.1225723997949923
24dv_R,-0.8007378817507603
7AL_R,0.2803932842468946
SCEF_R,0.16216007532460902
6ma_R,-0.7482932032329529
7Am_R,0.7113833166241487
7Pl_R,-0.31604592030866946
7PC_R,0.3538858546919328
LIPv_R,0.9419778712132385
VIP_R,0.7597136578628849
MIP_R,0.21307567089891427
1_R,0.1815636110349478
2_R,0.27175636399375336
3a_R,-0.5587529675960904
6d_R,-0.704045901725743
6mp_R,-0.7667880888075753
6v_R,0.5708425195709103
p24pr_R,-1.346848419011021
33pr_R,-2.010325791492399
a24pr_R,-2.0450130061754077
p32pr_R,-1.1880697796533763
a24_R,-2.1549736903508316
d32_R,-0.8369487016317618
8BM_R,0.0355615412664424
p32_R,-1.9177080713331847
10r_R,-1.500129809942674
47m_R,-0.41096532646263334
8Av_R,-1.0078626344823478
8Ad_R,-1.4722729826585803
9m_R,-0.6153891451085097
8BL_R,-0.8250297357149248
9p_R,-0.8543262762777328
10d_R,-0.21639397502371063
8C_R,-1.5795548152982337
44_R,1.5393206859026534
45_R,0.9636747692023768
47l_R,0.1947229215968952
a47r_R,-1.1425427952613374
6r_R,1.4372632578768176
IFJa_R,2.2539431532164342
IFJp_R,1.5128605197929892
IFSp_R,-0.20496286966924177
IFSa_R,-0.17195918574891278
p9-46v_R,-0.4976498275066217
46_R,-1.320058505567224
a9-46v_R,-1.2351625744435202
9-46d_R,-1.263302166118524
9a_R,-0.4849060491220844
10v_R,-0.9732612426033752
a10p_R,-1.0776946108797614
10pp_R,-0.6484888301537168
11l_R,-1.0833747647185814
13l_R,-1.4414564228236717
OFC_R,-0.8300430527519961
47s_R,-0.8328458096835776
LIPd_R,0.08877900556363384
6a_R,-0.6822991973703398
i6-8_R,-1.2371427352335362
s6-8_R,-0.9713149969579787
43_R,0.030046213465502274
OP4_R,-0.9551590023834918
OP1_R,-0.7109030681900698
OP2-3_R,-0.854975188315665
52_R,-1.0305938531773782
RI_R,-0.2223552798574568
PFcm_R,-0.7592272540579178
PoI2_R,-1.285728831751074
TA2_R,0.8269682522514141
FOP4_R,-0.6047114846516196
MI_R,-1.383835212040993
Pir_R,-1.143379335220979
AVI_R,-1.1301952029722973
AAIC_R,-1.451311219901473
FOP1_R,0.02111585050150023
FOP3_R,-0.6662215795742625
FOP2_R,0.944624085255929
PFt_R,-0.19599499202952245
AIP_R,0.08175851290574017
EC_R,0.6996782071487311
PreS_R,-0.9842300145246601
H_R,-1.0421391966686246
ProS_R,-0.6492093045870754
PeEc_R,0.302864340465595
STGa_R,1.4051608872844497
PBelt_R,1.5121895569100994
A5_R,7.129279331272431
PHA1_R,-0.8958012797615317
PHA3_R,0.43807243304576066
STSda_R,5.484132725056197
STSdp_R,6.819592306362922
STSvp_R,8.777132323939885
TGd_R,0.14597622278184633
TE1a_R,1.991045835738445
TE1p_R,2.212886329287295
TE2a_R,0.05579110241611461
TF_R,0.3955023249115119
TE2p_R,0.890377425727124
PHT_R,2.683384522730195
PH_R,2.655656228725367
TPOJ1_R,8.316998988228884
TPOJ2_R,8.342079141417031
TPOJ3_R,3.146979399338812
DVT_R,-0.6744211577263572
PGp_R,0.045689283147652145
IP2_R,0.08257989006454687
IP1_R,-0.9650120715385875
IP0_R,0.7306625835807545
PFop_R,-0.6619655355407547
PF_R,-0.03376677506932174
PFm_R,-0.6083150748398701
PGi_R,-0.2583584884186077
PGs_R,-0.5111851726383333
V6A_R,-0.47938068746831036
VMV1_R,0.013912867111633765
VMV3_R,1.3155471045091685
PHA2_R,-0.9604866453681267
V4t_R,6.7243181198789985
FST_R,6.428917294738969
V3CD_R,1.3323210729844717
LO3_R,2.740549283826648
VMV2_R,0.7936080604809075
31pd_R,-0.7805843798604929
31a_R,-0.7301823132689622
VVC_R,1.7874749747690193
25_R,-1.934548460307481
s32_R,-1.2862173537519503
pOFC_R,-1.3237819965376996
PoI1_R,-1.1865912407463006
Ig_R,-0.7177305216035988
FOP5_R,-0.24866478563946606
p10p_R,-1.415370357233148
p47r_R,-0.770063228354566
TGv_R,0.006733744640821054
MBelt_R,-0.7641227540047726
LBelt_R,0.7054074056036033
A4_R,2.9598463701796183
STSva_R,5.255475720999395
TE1m_R,1.4686600398685459
PI_R,0.5711178024405815
a32pr_R,-1.3698584334353352
p24_R,-1.8398158059622292
