region,gaze
V1_L,0.04883633486013164
MST_L,3.2850318555566096
V6_L,-0.15003585815822157
V2_L,0.03877896837685637
V3_L,0.2530641472021836
V4_L,1.049039501545857
V8_L,1.6797874891208884
4_L,-0.6553570619210606
3b_L,-0.7886062200754933
FEF_L,-0.15042306263041536
PEF_L,-0.8091289831906647
55b_L,-0.38909915841986936
V3A_L,1.5066489352034844
RSC_L,-1.4317675791438254
POS2_L,-0.543032021184261
V7_L,1.8365516752849063
IPS1_L,0.1768420386344988
FFC_L,2.9668268894288747
V3B_L,0.4738954510169021
LO1_L,1.2998124562380806
LO2_L,2.13957739091951
PIT_L,1.1595133716510384
MT_L,1.7992934583782965
A1_L,-0.8990180898129635
PSL_L,1.0658332172365503
SFL_L,-0.15427059648647892
PCV_L,-1.0829509395089119
STV_L,3.165252438009041
7Pm_L,-0.7398292024962961
7m_L,-1.0398504857766688
POS1_L,-1.1221612346352206
23d_L,-1.5763882153440603
v23ab_L,-0.7962858159530002
d23ab_L,-1.5077357448919828
31pv_L,-1.2936258476746474
5m_L,-1.3952664863583686
5mv_L,-1.4253057151480149
23c_L,-1.346580525413804
5L_L,-0.5579041089231763
24dd_L,-1.212147335550426
24dv_L,-1.6287032881885
7AL_L,0.03386869815644911
SCEF_L,-0.9085740226747624
6ma_L,-0.42027085139726
7Am_L,-0.07377762094027793
7Pl_L,0.20727458587881534
7PC_L,0.4793384113462834
LIPv_L,0.49735233427082015
VIP_L,0.7085940337707435
MIP_L,-0.268985590816914
1_L,-0.22915632813766926
2_L,0.08533224762849798
3a_L,-1.042235829667216
6d_L,-0.21022613982135352
6mp_L,-0.7987655092706104
6v_L,-0.3281840511669205
p24pr_L,-2.064988213640639
33pr_L,-1.8189097437927932
a24pr_L,-1.9324038204569933
p32pr_L,-1.5849237854517078
a24_L,-2.454315312420477
d32_L,0.1527912470580066
8BM_L,-0.39370815475184684
p32_L,-2.128140833802456
10r_L,-1.4257873391942795
47m_L,-1.0776569654208288
8Av_L,-0.478639389451696
8Ad_L,-1.0585085850340348
9m_L,-0.700616971166
8BL_L,-0.26040910927988137
9p_L,-0.09078422724704223
10d_L,-0.8098899323893667
8C_L,-1.380482598586918
44_L,0.7270643580782074
45_L,0.7343943981837519
47l_L,0.13460684520657834
a47r_L,-0.6689952392270218
6r_L,-0.40069040271778383
IFJa_L,-0.24859695932499176
IFJp_L,-0.6473611069594977
IFSp_L,-0.883589343825255
IFSa_L,-0.7119268705810434
p9-46v_L,-1.4759379841560525
46_L,-1.1780145312645947
a9-46v_L,-1.16362593058068
9-46d_L,-1.5097881694337627
9a_L,-0.6682101755242437
10v_L,-0.9148396838803073
a10p_L,-1.3550384588342859
10pp_L,-0.5775320425789282
11l_L,-1.0752085550907418
13l_L,-1.3459611926878587
OFC_L,-0.9734696350418327
47s_L,-0.9312116068790341
LIPd_L,0.2327428470728526
6a_L,-0.9030506258905168
i6-8_L,-0.7641309048608339
s6-8_L,-0.4063663334797969
43_L,-0.8563979639423935
OP4_L,-0.7480230555620211
OP1_L,-0.6273387442267677
OP2-3_L,-0.35218167493159436
52_L,-0.3465451420348629
RI_L,0.24442604130836187
PFcm_L,-1.0966546833961508
PoI2_L,-1.4797298257415892
TA2_L,-0.24777210131319324
FOP4_L,-0.6075612747852038
MI_L,-1.3757275076089148
Pir_L,-0.55579180178255
AVI_L,-1.5929652331170432
AAIC_L,-0.7756884080412122
FOP1_L,-0.9599324763970349
FOP3_L,-0.5777829829236963
FOP2_L,-1.111022331836007
PFt_L,0.3008155659079549
AIP_L,0.685629742213476
EC_L,-0.7813497516316027
PreS_L,-0.6513012189773466
H_L,-1.3486574085549041
ProS_L,-1.073334418509395
PeEc_L,-1.1309044476331842
STGa_L,2.1998217785333836
PBelt_L,1.2134888849091614
A5_L,4.049520179028375
PHA1_L,-0.7961355840150138
PHA3_L,-0.8620313293450341
STSda_L,3.1681280753869525
STSdp_L,4.209282322856852
STSvp_L,5.584889178837005
TGd_L,-0.3342449331031996
TE1a_L,0.655539737285131
TE1p_L,1.3389019704599463
TE2a_L,-0.578409074213967
TF_L,-0.9312525922979357
TE2p_L,0.38966504028759646
PHT_L,3.65262001124886
PH_L,1.292272082050561
TPOJ1_L,6.5166052554938885
TPOJ2_L,4.667261975129209
TPOJ3_L,0.23753475290211692
DVT_L,-0.18279338088924146
PGp_L,-0.4124842265256993
IP2_L,0.2082550733127022
IP1_L,-0.5047050159753242
IP0_L,0.5380198937859204
PFop_L,-0.8061034106588227
PF_L,-0.024187047301240328
PFm_L,-0.1812311271157424
PGi_L,-0.35286092529016727
PGs_L,-0.8574116966423172
V6A_L,0.3113656813534988
VMV1_L,-1.0700195882226986
VMV3_L,0.3855034169967655
PHA2_L,-1.195213517616194
V4t_L,2.7607450159534825
FST_L,4.923717398408784
V3CD_L,1.137693198926079
LO3_L,-0.12255276793995014
VMV2_L,-0.4657441564917809
31pd_L,-1.139557522015189
31a_L,-1.7608868845019252
VVC_L,0.958679327330917
25_L,-1.834037433835958
s32_L,-1.6454469652343582
pOFC_L,-1.449583022408089
PoI1_L,-1.2773440276121273
Ig_L,-0.9256250478444068
FOP5_L,-0.3902437773076612
p10p_L,-1.0363650474729975
p47r_L,-1.253251069813248
TGv_L,-0.6074696139625049
MBelt_L,-0.219937859613155
LBelt_L,0.15224304562607519
A4_L,1.7986564454027747
STSva_L,2.920927680587503
TE1m_L,0.2062804746869958
PI_L,0.6692033449068875
