region,monitoring
V1_L,-0.7273697846740961
MST_L,-1.1596552920033587
V6_L,0.15911122307892145
V2_L,-0.5470341367687852
V3_L,-0.8358402280923909
V4_L,-1.4577559799546427
V8_L,-1.2955106076493579
4_L,-0.8516735337168805
3b_L,-0.34848206247618363
FEF_L,0.6006160237429718
PEF_L,0.9391527885042036
55b_L,0.364125478703706
V3A_L,-0.7719161695042271
RSC_L,3.958023819619751
POS2_L,0.9494198450346647
V7_L,-0.8715796930064857
IPS1_L,0.10628348967166838
FFC_L,-1.964481602707493
V3B_L,-1.5348759526471558
LO1_L,-1.0566971616633791
LO2_L,-1.405808750517646
PIT_L,-1.3025713550130706
MT_L,-1.4700816902590075
A1_L,0.008950981510191938
PSL_L,-0.18612956919167803
SFL_L,0.31289492733366453
PCV_L,-0.474740780783743
STV_L,-0.3431474217525508
7Pm_L,-0.6580043644897278
7m_L,0.7474161911419127
POS1_L,2.351290774117055
23d_L,3.923529624051739
v23ab_L,4.51069139041083
d23ab_L,4.634863362189593
31pv_L,2.7376329608607053
5m_L,-1.1187603852990666
5mv_L,-0.3492190334093398
23c_L,2.2097015006066876
5L_L,-1.0664902871331474
24dd_L,1.9573263619310912
24dv_L,4.547481972256702
7AL_L,-1.895467168423848
SCEF_L,2.692668645226259
6ma_L,-0.3468727045486427
7Am_L,-0.48292301986245306
7Pl_L,0.30233732723567325
7PC_L,-1.1108442748070682
LIPv_L,-2.104986733639863
VIP_L,-1.263122664588363
MIP_L,-1.0241301656691562
1_L,-0.7170296731530914
2_L,-1.3243783982437125
3a_L,-0.15812788961385146
6d_L,-1.2339419194051167
6mp_L,-0.7766459014374751
6v_L,0.581339905888237
p24pr_L,6.087474718545663
33pr_L,8.272846744084328
a24pr_L,10.258556297509557
p32pr_L,6.559113010435461
a24_L,3.8506075226822993
d32_L,1.9839601861125278
8BM_L,1.0491202340186236
p32_L,2.5688453859967106
10r_L,0.229938095804349
47m_L,-0.9031890536518227
8Av_L,-0.469185327880586
8Ad_L,1.4455662528949245
9m_L,1.0798498378010588
8BL_L,-0.42320204829183894
9p_L,-0.24171230036509606
10d_L,-0.13909543849636624
8C_L,-0.26281808417706026
44_L,0.9076434458605237
45_L,-0.25968029464802417
47l_L,-0.10853244020409843
a47r_L,-0.5752931425959893
6r_L,1.6506613915888937
IFJa_L,0.7023364729511289
IFJp_L,-0.6362516602771353
IFSp_L,0.1937766131971194
IFSa_L,-0.49513482650494495
p9-46v_L,-0.06211822211331904
46_L,-0.4451606360425251
a9-46v_L,-0.5403709660396084
9-46d_L,0.10709191769610561
9a_L,-0.35546840612023844
10v_L,-0.5005622026539102
a10p_L,-0.47455554786492427
10pp_L,-0.17978836094244713
11l_L,-0.3710337074234128
13l_L,-1.9211790020100412
OFC_L,-0.5625793763606002
47s_L,-1.2379075958695458
LIPd_L,-0.6874793303043957
6a_L,0.2685882359960975
i6-8_L,0.18948032986697302
s6-8_L,0.3028750627629793
43_L,1.2145200873859803
OP4_L,1.114904179017609
OP1_L,-0.5237005512412971
OP2-3_L,-0.147054527029829
52_L,0.029992799070345695
RI_L,0.9530055077332752
PFcm_L,-0.46467397584413117
PoI2_L,-1.29840169156612
TA2_L,0.5233121884359271
FOP4_L,1.1306973047392184
MI_L,1.6593682553569327
Pir_L,-1.9708383941185539
AVI_L,0.7866950687392045
AAIC_L,-0.16886537060787263
FOP1_L,1.7959798243319474
FOP3_L,0.5741831341306359
FOP2_L,-0.5870936782921692
PFt_L,-0.33394907085445863
AIP_L,-0.6493948142964701
EC_L,-1.450365880573815
PreS_L,0.06052668380739296
H_L,-0.4829780389214804
ProS_L,-0.2150960973167631
PeEc_L,-1.260972597547908
STGa_L,0.3157289391675915
PBelt_L,1.4937363483593087
A5_L,3.4285020003047393
PHA1_L,-0.4934906803860977
PHA3_L,-0.7827792475471074
STSda_L,1.6643364578447015
STSdp_L,3.2231649000940843
STSvp_L,2.2539915072994776
TGd_L,-1.1086034904143185
TE1a_L,0.8116178932713826
TE1p_L,0.0234120488775272
TE2a_L,-0.3573237947347981
TF_L,-1.0816026374747585
TE2p_L,-1.2954604101864697
PHT_L,-1.304333311001741
PH_L,-2.124157800149119
TPOJ1_L,1.7532319839785608
TPOJ2_L,-0.48068308858249387
TPOJ3_L,0.4863749711934269
DVT_L,0.29426433131365587
PGp_L,-0.25954785945647585
IP2_L,-0.2738809396414506
IP1_L,-0.4494840248924482
IP0_L,-0.7451184756073959
PFop_L,-0.10466268363641384
PF_L,-0.18612794781061304
PFm_L,-0.37281481957711
PGi_L,0.7763020071834269
PGs_L,-0.1008160272931205
V6A_L,-0.07380995103239703
VMV1_L,-1.2321358166326488
VMV3_L,-1.6745646715335196
PHA2_L,-0.6197999660353352
V4t_L,-1.4979144130242943
FST_L,-2.0163138123452966
V3CD_L,-1.7609823266577893
LO3_L,-0.5770447831662558
VMV2_L,-1.9972437610350995
31pd_L,1.5721519053115436
31a_L,1.1513197611225832
VVC_L,-1.5546643042753068
25_L,1.4232193960396444
s32_L,1.2955950178815665
pOFC_L,-0.3860342396005473
PoI1_L,-0.465124836027581
Ig_L,-1.1065371224788971
FOP5_L,0.25291555473058197
p10p_L,-0.48235994420397793
p47r_L,-0.7662290443215759
TGv_L,-0.9005796257729124
MBelt_L,0.19228689442569452
LBelt_L,1.4453147275080835
A4_L,1.4991672693001734
STSva_L,0.9935995529626369
TE1m_L,0.9686714340972572
PI_L,-0.5234485289989804
a32pr_L,5.310247523122507
p24_L,7.120215485624751
V1_R,-0.8383144428521027
