region,spatial attention
V1_L,1.942270471413007
MST_L,1.1757660629431739
V6_L,3.305472310118558
V2_L,1.562938972777354
V3_L,1.6793291394218968
V4_L,2.952276931123494
V8_L,2.7382997270614036
4_L,-0.2340777782377954
3b_L,-0.45601824980410616
FEF_L,2.1740883987346185
PEF_L,0.6618310471822445
55b_L,0.40840190544182275
V3A_L,2.4847274452658827
RSC_L,-0.7313673045809218
POS2_L,3.3735870125294256
V7_L,6.639750404556656
IPS1_L,10.202826112340885
FFC_L,2.8111212309314286
V3B_L,6.196016361937823
LO1_L,3.8835858876277416
LO2_L,4.0173955503217265
PIT_L,4.198687977870943
MT_L,1.6304939608235818
A1_L,0.30885965879803146
PSL_L,0.2323797088349965
SFL_L,-1.3880595196875931
PCV_L,0.6482206459903719
STV_L,-0.6887961914055479
7Pm_L,4.404405666202176
7m_L,-0.12103964105712244
POS1_L,0.5776256133911413
23d_L,-2.062962992095765
v23ab_L,-0.7812609017452009
d23ab_L,-1.7617717629560086
31pv_L,-1.4065739987767731
5m_L,-1.1323984341459552
5mv_L,-0.7308613734026264
23c_L,-0.8510942854166669
5L_L,0.13431970790140743
24dd_L,-0.15362260478006534
24dv_L,-0.13171132990012743
7AL_L,2.021950980944312
SCEF_L,-0.599611376969699
6ma_L,-0.5241546370066995
7Am_L,3.6472468700475886
7Pl_L,5.7272535157354065
7PC_L,3.6125471864822147
LIPv_L,9.3748928831934
VIP_L,6.0320703120160655
MIP_L,9.754888470831931
1_L,-0.43660970055652165
2_L,0.8823650950567804
3a_L,-0.6361111612870547
6d_L,-0.04905926838111246
6mp_L,-1.5791185517480686
6v_L,0.7196469995528194
p24pr_L,-1.90397067963865
33pr_L,-3.365553332974073
a24pr_L,-3.17281573461099
p32pr_L,-0.6794619409030812
a24_L,-4.649860778622301
d32_L,-3.556674108779089
8BM_L,-2.0060454262187455
p32_L,-4.000178543403136
10r_L,-4.011242395953776
47m_L,-2.407246079703326
8Av_L,-0.16432438660055387
8Ad_L,-0.5580672628145785
9m_L,-3.2124556809753857
8BL_L,-0.5482097499861301
9p_L,-2.014919455531864
10d_L,-1.6360213399096508
8C_L,-0.43004409455487425
44_L,-0.6114625766162419
45_L,-1.984137184899066
47l_L,-2.4644459356500548
a47r_L,-0.9546305818421063
6r_L,0.4267165031421183
IFJa_L,0.5263958465714808
IFJp_L,1.730278685650188
IFSp_L,0.5409622854945918
IFSa_L,-1.0992543026224915
p9-46v_L,-0.01475783721383399
46_L,-0.8974151062797958
a9-46v_L,-0.8418161644915596
9-46d_L,-1.5946485557596506
9a_L,-1.4181552131700121
10v_L,-1.849291111584088
a10p_L,-1.2848980000350203
10pp_L,-0.786561504319721
11l_L,-1.5232545596674114
13l_L,-2.689202550655244
OFC_L,-2.125472444628324
47s_L,-3.1701587959311137
LIPd_L,10.644775355589784
6a_L,3.343994302857085
i6-8_L,1.8433327490885303
s6-8_L,0.0825583898070148
43_L,-1.1281080072204124
OP4_L,-1.229373074991832
OP1_L,-1.5000823712637013
OP2-3_L,-0.890304504546763
52_L,-0.6066208093489077
RI_L,0.5862258027681192
PFcm_L,0.5612009986904736
PoI2_L,-2.592908630837943
TA2_L,-2.687755461738719
FOP4_L,-1.8009755223719197
MI_L,-2.0760291481421107
Pir_L,-3.273689556878077
AVI_L,-0.908395698728636
AAIC_L,-3.6801079736455917
FOP1_L,-1.7660606637434164
FOP3_L,-0.9798530047566584
FOP2_L,-0.6009973721941205
PFt_L,0.41926413693029246
AIP_L,7.496233960891323
EC_L,-0.29877885941871163
PreS_L,0.08667479606535294
H_L,-1.2251652026345035
ProS_L,0.6446950620449332
PeEc_L,-0.34330518396772797
STGa_L,-2.56729555957078
PBelt_L,1.2418884231207588
A5_L,-0.9088169777165207
PHA1_L,1.2263685463951604
PHA3_L,1.4719027405676959
STSda_L,-1.9948041711341349
STSdp_L,0.6140991680388381
STSvp_L,-0.963651730246531
TGd_L,-1.5973771472376768
TE1a_L,-1.2240551344344446
TE1p_L,-0.6153697667756335
TE2a_L,-0.687571979993411
TF_L,-0.37882468882596915
TE2p_L,0.40253940845768116
PHT_L,-0.4267043770385805
PH_L,2.9723622958744573
TPOJ1_L,0.34473754424055386
TPOJ2_L,-1.0841214353688815
TPOJ3_L,-0.1822376554976643
DVT_L,4.9804815400517315
PGp_L,3.074242769607836
IP2_L,9.770111149244517
IP1_L,9.202110963451759
IP0_L,8.227164028502253
PFop_L,-0.8043579112694792
PF_L,1.1334816372215915
PFm_L,2.9109832160322107
PGi_L,-0.016091623252446122
PGs_L,1.364743194554371
V6A_L,4.016148992062835
VMV1_L,1.4730756501611837
VMV3_L,2.726263824986127
PHA2_L,0.7390464767430917
V4t_L,3.913602720409078
FST_L,2.816577930791437
V3CD_L,4.888273931564749
LO3_L,1.0537963175724763
VMV2_L,2.339170825547886
31pd_L,-0.6421378516855499
31a_L,-1.6883098295591406
VVC_L,2.905081609448352
25_L,-4.364149571137117
s32_L,-3.623698258070993
pOFC_L,-2.665941744662095
PoI1_L,-1.957397800085935
Ig_L,-1.4100080897158371
FOP5_L,-0.7084013856388993
p10p_L,-1.329977546445634
p47r_L,-1.2445077393060928
TGv_L,-0.8067114529812622
MBelt_L,-1.090187999637941
LBelt_L,1.4694008379927972
A4_L,-0.2904155209327227
STSva_L,-2.261899540095318
TE1m_L,-0.8643662177972243
PI_L,-2.170558163236215
a32pr_L,-2.9219814536032893
p24_L,-5.126216354910215
V1_R,2.378813601789344
MST_R,3.14096029790057
V6_R,5.46772510933029
V2_R,2.0874071844937054
V3_R,2.5506134609893674
V4_R,3.796392800009055
V8_R,2.29990926884253
4_R,-0.296240110858357
3b_R,-0.05785081451208437
FEF_R,1.1405996183046743
PEF_R,1.0742752262666269
55b_R,0.1108077424911893
V3A_R,3.2057179897270487
RSC_R,-1.2412880496373688
POS2_R,4.581396199420689
V7_R,9.364732464599653
IPS1_R,10.253270492719475
FFC_R,1.4774373709480624
V3B_R,8.550494611764925
LO1_R,4.496725358664472
LO2_R,3.1349672669364406
PIT_R,3.4647951631963747
MT_R,1.8997204489994208
A1_R,0.6982013787618978
PSL_R,-0.38975285930303044
SFL_R,-1.8417097347288824
PCV_R,2.1647660940193316
STV_R,-0.26277035498106394
7Pm_R,7.354538326343817
7m_R,0.04452555124094298
POS1_R,0.22867858625627402
23d_R,-2.004150828945267
v23ab_R,-1.1458132008167505
d23ab_R,-0.7732161655626564
31pv_R,0.0738426886559882
5m_R,-0.7512362011400779
5mv_R,0.30944060107388816
23c_R,-0.45388044273606737
5L_R,0.6582766409673966
24dd_R,-0.7468004878710707
24dv_R,-0.5901090934250739
7AL_R,3.37875047636846
SCEF_R,-0.8399713618098584
6ma_R,-0.5939079093072882
7Am_R,5.5329422220062545
7Pl_R,4.895340278397763
7PC_R,3.944572012774777
LIPv_R,8.97093483741479
VIP_R,6.011323356091815
MIP_R,8.485586422973626
1_R,0.18659392741587782
2_R,1.5734163700424717
3a_R,-0.4036332386987642
6d_R,0.4914620787903126
6mp_R,-0.12054864410311242
6v_R,0.4041384085067128
p24pr_R,-2.0429706297228467
33pr_R,-3.596703771246302
a24pr_R,-3.4470760333264545
p32pr_R,-1.105263657964253
a24_R,-4.676998382623973
d32_R,-2.9425410529834166
8BM_R,-1.7252005093882494
p32_R,-4.097386026636644
10r_R,-4.5249307146669455
47m_R,-1.6265046293590066
8Av_R,-0.8642861131616926
8Ad_R,-1.194080723305331
9m_R,-2.6966704432049564
8BL_R,-1.8327707435424103
9p_R,-1.527419640287619
10d_R,-0.4877539103273174
8C_R,-0.9689025451626658
44_R,-1.0461443308499663
45_R,-2.074921039881113
47l_R,-1.4001660243134026
a47r_R,-1.2368939834258987
6r_R,0.23267972594101094
IFJa_R,-0.6779126372742083
IFJp_R,-0.24320798833861532
IFSp_R,-0.20108613261232267
IFSa_R,-1.5949194076445703
p9-46v_R,0.34235434324925035
46_R,-0.09558928655012294
a9-46v_R,-0.9735996785441755
9-46d_R,-1.0500771335103716
9a_R,-1.4420672968458939
10v_R,-2.4497520618524966
a10p_R,-1.0868648157313676
10pp_R,-0.8111933976942624
11l_R,-1.5560474791945864
13l_R,-2.728590452080594
OFC_R,-1.5480867197014823
47s_R,-2.66212704652369
LIPd_R,9.874734242139278
6a_R,3.6026582729803587
i6-8_R,0.8410974075188166
s6-8_R,-1.1853836802080628
43_R,-1.164581214811997
OP4_R,-1.0871210654854297
OP1_R,-0.18410340271509432
OP2-3_R,-0.5391617575406563
52_R,-0.36727659878039726
RI_R,-0.5676106057495879
PFcm_R,-0.3471392765590971
PoI2_R,-1.9973298975571097
TA2_R,-1.5633676354398613
FOP4_R,-0.802586739312562
MI_R,-1.2391554687129336
Pir_R,-2.6820061299970552
AVI_R,-0.5532109846586831
AAIC_R,-2.647228715034113
FOP1_R,-0.8848948720384996
FOP3_R,-0.7496872673191771
FOP2_R,-0.4163018922506625
PFt_R,0.7612846529252575
AIP_R,7.584210520067922
EC_R,-0.8852975356040806
PreS_R,-0.8520725117408404
H_R,-1.2283093492093782
ProS_R,0.9933870783640464
PeEc_R,-0.4339230769821775
STGa_R,-2.0990940970433636
PBelt_R,0.03549424430069912
A5_R,-0.5739466278682898
PHA1_R,1.5639904422191206
PHA3_R,2.504707959099523
STSda_R,-1.089925569901319
STSdp_R,-0.1639903609477093
STSvp_R,-0.8879435424986306
TGd_R,-1.3000784338685245
TE1a_R,-0.7986356699418372
TE1p_R,0.028669535380023963
TE2a_R,-0.4570736972692143
TF_R,0.3499147606145592
