region,judgment
45_R,-0.7821872275540674
47l_R,0.01939664541831768
a47r_R,-0.39083049918862617
6r_R,0.11685943063591572
IFJa_R,-0.11626898544668868
IFJp_R,-0.9041055870971387
IFSp_R,0.5647084183003197
IFSa_R,-0.7001979130208406
p9-46v_R,0.8635692118547819
46_R,-0.1563191244527855
a9-46v_R,0.4633503829945697
9-46d_R,-0.49162008806704155
9a_R,-0.2396531949767883
10v_R,-1.5324064464143983
a10p_R,-0.7603133036326178
10pp_R,-0.4976719362005905
11l_R,-1.2030687664639022
13l_R,-2.7414848763178767
OFC_R,-1.5598842743996444
47s_R,-1.4504065225014282
LIPd_R,4.692057263032336
6a_R,1.627403587009961
i6-8_R,1.1976326490528215
s6-8_R,-1.107857650245881
43_R,-1.2275497300141638
OP4_R,-1.4710170182900157
OP1_R,-1.855795133389809
OP2-3_R,-1.8442136551642898
52_R,-1.9595667314696674
RI_R,-1.780603777210275
PFcm_R,-1.4962983634616978
PoI2_R,-2.908148470260369
TA2_R,-0.4120750355656588
FOP4_R,-2.19980297158259
MI_R,-2.4239126492601013
Pir_R,-1.5997786326923333
AVI_R,-0.04085979911181375
AAIC_R,-1.419453295222624
FOP1_R,-1.885044226758926
FOP3_R,-2.263845787546804
FOP2_R,-1.6881762559195164
PFt_R,-0.9737875842266637
AIP_R,2.826740460880835
EC_R,-0.7409419616987933
PreS_R,-1.1136591581630417
H_R,-0.3298406759097935
ProS_R,-0.4581296739137475
PeEc_R,0.36422925054537686
STGa_R,1.181714386389313
PBelt_R,-1.2974636457473085
A5_R,0.46551618967631603
PHA1_R,-0.3333804267430273
PHA3_R,0.13315705932223396
STSda_R,2.1357671612923133
STSdp_R,0.42617304544856305
STSvp_R,1.7890897557530117
TGd_R,0.8489161636897719
TE1a_R,2.097167692715952
TE1p_R,1.899771490386788
TE2a_R,1.6032977769537513
TF_R,0.5169443544110829
TE2p_R,0.8646916917559557
PHT_R,2.0271764729631676
PH_R,1.2466154223411536
TPOJ1_R,1.0922813678844485
TPOJ2_R,1.0710856285546393
TPOJ3_R,0.35530529520688603
DVT_R,4.467626247764876
PGp_R,2.2747728356210377
IP2_R,4.631341688677039
IP1_R,4.225536618114639
IP0_R,3.7194135687559045
PFop_R,-0.5470041752779999
PF_R,0.31384826900613616
PFm_R,1.531913307402165
PGi_R,1.4437679381846447
PGs_R,2.0852642673608397
V6A_R,2.8248880403553627
VMV1_R,-0.653987148840148
VMV3_R,-1.09268602885037
PHA2_R,0.23079771811802127
V4t_R,-0.6289793985298773
FST_R,0.6489999057920286
V3CD_R,1.538411309626575
LO3_R,0.9348829036874466
VMV2_R,-1.1722333255736652
31pd_R,2.678859150173799
31a_R,1.6119022143424735
VVC_R,-0.02615909415198523
25_R,-3.7140237380297454
s32_R,-2.552074666995387
pOFC_R,-2.7626407325386864
PoI1_R,-2.7418200384724236
Ig_R,-2.8019794768563258
FOP5_R,-1.5906351357862876
p10p_R,-0.5595945814476809
p47r_R,0.022960083247692022
TGv_R,1.2995928602152391
MBelt_R,-1.2035144581531603
LBelt_R,-2.065168984994233
A4_R,-0.7198348988525293
STSva_R,2.6752856508892777
TE1m_R,0.6977218968665732
PI_R,-0.7210869998144367
a32pr_R,-1.4005206605530234
p24_R,-3.496074634798471
