region,judgment
V1_L,0.22317254871097728
MST_L,1.8421420296530207
V6_L,3.4074749030318108
V2_L,0.29804115579631824
V3_L,0.24196837610013883
V4_L,-0.04129507971556331
V8_L,0.6432747079861771
4_L,-1.5274968609716197
3b_L,-1.7181322517623818
FEF_L,1.350340875991651
PEF_L,1.831949938521198
55b_L,1.1656509020226082
V3A_L,0.3462828843909492
RSC_L,0.42872264773881297
POS2_L,7.934375363874296
V7_L,2.785081207311405
IPS1_L,6.822253299218702
FFC_L,2.4115173328993667
V3B_L,2.591751830629715
LO1_L,1.256980545136913
LO2_L,1.1188168825868505
PIT_L,2.0347986797329476
MT_L,1.9960149482928926
A1_L,-2.269177615165994
PSL_L,1.4520529231749637
SFL_L,-0.27364809568756304
PCV_L,2.5564148189725433
STV_L,1.5963691502430666
7Pm_L,5.900027045469687
7m_L,5.322712268179672
POS1_L,3.352405041670189
23d_L,-1.7019354511136178
v23ab_L,4.040625223859618
d23ab_L,1.0542447149108416
31pv_L,1.259940510145911
5m_L,-0.16200681263072642
5mv_L,-0.9652610199578758
23c_L,-1.4267311499698445
5L_L,0.2761015834832438
24dd_L,-1.047299125280476
24dv_L,-0.07725576087310944
7AL_L,0.7909694127859668
SCEF_L,0.735315980485819
6ma_L,-0.7027900937798892
7Am_L,3.6898395224467215
7Pl_L,4.465333231088679
7PC_L,1.2277358961577105
LIPv_L,3.9118252593505347
VIP_L,1.9336651594936776
MIP_L,5.0127988773515835
1_L,-1.0839462820567105
2_L,-1.0536063620192966
3a_L,-1.5125369845315764
6d_L,-0.7276373800357756
6mp_L,-1.9329601399605538
6v_L,0.6676919182013459
p24pr_L,-1.972013936952255
33pr_L,-3.049075628469956
a24pr_L,-3.119965000399727
p32pr_L,-0.05153559652535891
a24_L,-2.8765755948928646
d32_L,-1.791867664199561
8BM_L,0.2618919375193884
p32_L,-2.379484504866732
10r_L,-1.717688376954611
47m_L,-0.04544697114275576
8Av_L,0.5723188500413559
8Ad_L,0.9248580312708703
9m_L,-0.8419770048620551
8BL_L,0.6791555635093367
9p_L,-0.5754689022165523
10d_L,-0.8612654900899873
8C_L,0.7861963344640417
44_L,2.3791001547233783
45_L,1.6830767504859911
47l_L,0.3896497931317693
a47r_L,0.026864277043449326
6r_L,1.0153066015860759
IFJa_L,2.0275947310468068
IFJp_L,1.5146074390321087
IFSp_L,2.667425513128204
IFSa_L,0.9182505785593391
p9-46v_L,0.8520557747987266
46_L,-0.5809467887892363
a9-46v_L,-0.22881882431833128
9-46d_L,-0.43168758886713343
9a_L,-0.4001067288692786
10v_L,-1.4019513417686054
a10p_L,-1.155799436926996
10pp_L,-0.7761451236640591
11l_L,-1.5536758567223514
13l_L,-2.3198306656976846
OFC_L,-1.7859169786242972
47s_L,-1.702385562678842
LIPd_L,6.577779397123634
6a_L,1.3670240916117378
i6-8_L,1.713670765612411
s6-8_L,0.6153507112751946
43_L,-1.2591446886413378
OP4_L,-1.005533585131825
OP1_L,-2.063938794356455
OP2-3_L,-1.5399710132145144
52_L,-1.359546195916595
RI_L,-0.17169564676561952
PFcm_L,-1.0002820410201057
PoI2_L,-2.3470024821342848
TA2_L,0.1707317087744241
FOP4_L,-0.7734937102747298
MI_L,-2.0584746217784122
Pir_L,-1.8574767436859045
AVI_L,-0.39636568720491866
AAIC_L,-1.9571536855157161
FOP1_L,-0.8656702057368124
FOP3_L,-1.5446957465347568
FOP2_L,-0.6263236740227403
PFt_L,-0.7628437252053796
AIP_L,3.9214986676143786
EC_L,-0.6886595690110471
PreS_L,-0.3710663878156643
H_L,-0.3641003641914703
ProS_L,-1.0001530831709844
PeEc_L,0.8983595235672283
STGa_L,0.985770164929921
PBelt_L,-0.23748882375156458
A5_L,1.443147352099125
PHA1_L,0.3594090736959876
PHA3_L,0.20481055674715815
STSda_L,2.8974765119045722
STSdp_L,2.733370371624979
STSvp_L,4.202004128010935
TGd_L,1.1400531558763187
TE1a_L,1.7769120971583299
TE1p_L,1.9801994252600823
TE2a_L,0.8112609591057195
