region,intelligence
V1_L,-0.8222913676572882
MST_L,-2.222114361850924
V6_L,0.43948062929266773
V2_L,-0.6115207036434843
V3_L,-0.7840755868990649
V4_L,-0.8063352757371698
V8_L,-1.7553859029453132
4_L,-0.12588289871498357
3b_L,-0.13353230633609925
FEF_L,0.3713886714847883
PEF_L,-0.1257921019217464
55b_L,-0.10583010425369592
V3A_L,0.12979041494722346
RSC_L,-0.43851473142549596
POS2_L,-0.7879649516923701
V7_L,-0.3729597943495857
IPS1_L,1.4254043593354426
FFC_L,-2.2122637970942605
V3B_L,-0.3077460576116591
LO1_L,-0.5853098838143347
LO2_L,-0.8125925376990472
PIT_L,-1.700151365677594
MT_L,-2.366421167348956
A1_L,-1.0501893448731308
PSL_L,-0.17596888568635177
SFL_L,-0.23262264334770846
PCV_L,-0.86098268601069
STV_L,-1.0668040137603467
7Pm_L,-0.6337459769211479
7m_L,-2.5835687853729823
POS1_L,-0.8088798011884805
23d_L,-0.8908925718835919
v23ab_L,-2.190990743551328
d23ab_L,-1.384895970766471
31pv_L,-1.0469679278611383
5m_L,0.2899975327741193
5mv_L,1.2565123198600705
23c_L,0.5964704364147073
5L_L,0.2600666415485356
24dd_L,0.1306397152345135
24dv_L,-0.15279580394086312
7AL_L,-0.17876295734197484
SCEF_L,-0.5998010305146749
6ma_L,0.030056187106719097
7Am_L,0.5064089231290442
7Pl_L,0.866149733704539
7PC_L,-0.15877190989637124
LIPv_L,0.9023006605326389
VIP_L,0.7429458733417593
MIP_L,0.960917127864821
1_L,-0.7038796427204159
2_L,-0.10692079712317933
3a_L,0.35430419837611343
6d_L,0.06312589266104403
6mp_L,-1.0100214139937087
6v_L,-0.30765474221560113
p24pr_L,-0.9112607814564095
33pr_L,-0.08166027487040001
a24pr_L,-1.0215330820765278
p32pr_L,-0.9415406859273807
a24_L,-0.5286768832414849
d32_L,1.0053798245043777
8BM_L,-1.0513041707828568
p32_L,0.9630374315381537
10r_L,-0.9264101025380956
47m_L,-1.7326956177143542
8Av_L,-0.2056033326236364
8Ad_L,0.1888242580568954
9m_L,-0.9045204384493027
8BL_L,-0.7136749820615002
9p_L,-1.4317842991024627
10d_L,-0.9200307966840305
8C_L,-0.5689683143008195
44_L,-0.6760049536809722
45_L,-1.2329180081143938
47l_L,-1.6261645200226604
a47r_L,0.21669221071074815
6r_L,-0.7575388420598554
IFJa_L,0.2964247605866925
IFJp_L,-0.6337399626423157
IFSp_L,-0.14981573446074758
IFSa_L,-0.4845823204324728
p9-46v_L,-0.04397701965149197
46_L,-0.24235377482645643
a9-46v_L,-0.6006587590445904
