region,reinforcement learning
V1_L,-0.19511193156106904
MST_L,-1.393160109621698
V6_L,-1.0137194725402805
V2_L,-0.08362035546659807
V3_L,-0.29967209732475525
V4_L,-0.3164734402480404
V8_L,-0.5538838847733829
4_L,-0.6786649724919173
3b_L,-0.7319900417623542
FEF_L,-0.7641119763146699
PEF_L,-1.2396039605546876
55b_L,-0.8888625372489626
V3A_L,-0.32664581066156995
RSC_L,0.2986718729607847
POS2_L,-0.8677032805009067
V7_L,-0.6338923117365806
IPS1_L,-0.4000796576683767
FFC_L,-0.6921073656917506
V3B_L,-0.7708057668518574
LO1_L,-0.3082765407551209
LO2_L,-0.5142035454190922
PIT_L,-0.07107289972633571
MT_L,-1.3535184560881788
A1_L,-1.2604187307407588
PSL_L,-1.001564198660534
SFL_L,-0.4388283663786121
PCV_L,-1.071305683431945
STV_L,-1.1669735883538257
7Pm_L,-1.0584987916163229
7m_L,-1.8568880535266614
POS1_L,-0.28186764094357597
23d_L,0.6900777750051207
v23ab_L,0.21904401619310285
d23ab_L,0.21396257466970295
31pv_L,-0.3128581654956712
5m_L,-0.7944349952748614
5mv_L,-1.1382861904943604
23c_L,-0.542946889620524
5L_L,-0.3717166928450324
24dd_L,-0.1532702691405011
24dv_L,-0.35967147577352515
7AL_L,-0.8872347884074767
SCEF_L,-0.8787440587975835
6ma_L,0.07619107640997215
7Am_L,-0.27803533184819407
7Pl_L,-0.44862826094757846
7PC_L,-0.9448753772753733
LIPv_L,-0.8566161532845096
VIP_L,-0.5079301621454306
MIP_L,-0.7056427487309967
1_L,-0.6199395989193235
2_L,-1.2577967250626862
3a_L,-0.7071250030939819
6d_L,-0.29999447341330443
6mp_L,-0.8629494205985715
6v_L,-0.7971848024388541
p24pr_L,0.09077197760298154
33pr_L,0.8778446642582601
a24pr_L,0.8611540223593559
p32pr_L,-0.180232519130961
a24_L,2.4780937906079266
d32_L,-0.2768119086680303
8BM_L,-1.84829503975563
p32_L,1.5416330611064537
10r_L,2.1302706077258255
47m_L,-0.9200916890619063
8Av_L,-0.2655006702770348
8Ad_L,0.1221040046954242
9m_L,-0.23059995678193243
8BL_L,-0.5359148932696904
9p_L,-0.8700432118491445
10d_L,1.0042190803308424
8C_L,-1.1519303630702389
44_L,-1.89836137189974
45_L,-1.1702998433937435
47l_L,-1.520702062500983
a47r_L,-0.6917372250634307
6r_L,-1.3951083870733463
IFJa_L,-1.4608784307252056
IFJp_L,-0.4077683376142885
IFSp_L,-1.135946302389374
IFSa_L,-1.2979366322826769
p9-46v_L,-0.8360910844181562
46_L,-0.7953858356437361
a9-46v_L,-0.48864012574293314
9-46d_L,-0.5762647659582489
9a_L,-0.7573926938624043
10v_L,-0.16645451272780898
a10p_L,-0.6316061333087748
10pp_L,-0.28803636193101373
11l_L,0.02012060773593309
13l_L,-0.08256851193626176
OFC_L,-0.1277087085908922
47s_L,-0.031787952204370695
LIPd_L,0.046663078954008994
6a_L,-0.35267660259074274
i6-8_L,-0.5054403422234955
s6-8_L,1.0770804345318266
43_L,-0.49692005638864967
OP4_L,0.08255792676420144
OP1_L,-0.8769908933538039
OP2-3_L,-0.366190873710407
52_L,-0.2483963997692209
RI_L,-0.7564028355777914
PFcm_L,-1.5989806606504404
PoI2_L,1.165786772780169
TA2_L,-0.6324780270392552
FOP4_L,-0.7802152154109183
MI_L,0.563049872217428
Pir_L,0.22873576868591167
AVI_L,1.192889410543037
AAIC_L,0.1262707352892183
FOP1_L,-0.4826127048581537
FOP3_L,0.27285863031532326
FOP2_L,-0.3749927036284342
PFt_L,-1.145691431112546
AIP_L,-0.45752494550124345
EC_L,-0.9395307624399815
PreS_L,-0.9649711150019153
H_L,-0.9424581576460709
ProS_L,-0.9817920881061477
PeEc_L,-0.8381659585338399
STGa_L,-1.4309588753783793
PBelt_L,-1.4666666567832083
A5_L,-0.9799952090569855
PHA1_L,-0.9199748768603727
PHA3_L,-1.0668032281551387
STSda_L,-0.571301217609756
STSdp_L,-2.141465149112549
STSvp_L,-2.2939936380105888
TGd_L,-1.272565249113965
TE1a_L,-0.7762414155321553
TE1p_L,-0.7097202957244706
TE2a_L,-0.5553934371512336
TF_L,-0.6608245474313216
TE2p_L,-0.24924215464096106
PHT_L,-1.0964392462503372
PH_L,-0.9960398871761279
TPOJ1_L,-1.9153240659313302
TPOJ2_L,-1.970188644969826
TPOJ3_L,-0.9306095422693369
DVT_L,-0.8472753435930666
PGp_L,-0.42168340090513345
IP2_L,-0.6385825026082614
IP1_L,-0.615668733833047
IP0_L,-0.5851299528416134
PFop_L,-1.1393367685887352
PF_L,-0.8282109152012956
PFm_L,-0.6802575790171501
PGi_L,-1.4376741021328636
PGs_L,-0.6235932126934838
V6A_L,-0.6447794157778878
VMV1_L,-0.7690102774879796
VMV3_L,-0.8191012247575293
PHA2_L,-1.2213121108051739
V4t_L,-0.919904846710882
FST_L,-1.634300526836212
V3CD_L,0.6429891006837255
LO3_L,-0.7217674183775067
VMV2_L,-1.5116901857085465
31pd_L,-1.3669515814467772
31a_L,0.3627265761463317
VVC_L,-0.7238249283870987
25_L,1.7431048786569483
s32_L,1.9563634032106452
pOFC_L,3.5416448191172702
PoI1_L,0.43665867096339195
Ig_L,-0.7857021343553023
FOP5_L,-0.01612595600201774
p10p_L,-0.467389290168851
p47r_L,-1.1124947770012237
TGv_L,-0.5930760637023427
MBelt_L,-0.1657479148024939
LBelt_L,-1.0844898299032375
A4_L,-0.732472459705529
STSva_L,-1.6325044512442326
TE1m_L,-1.377460518115739
PI_L,-0.5559932521349128
a32pr_L,-0.4046769931229357
p24_L,2.0200452001616247
V1_R,0.04034647391342097
MST_R,-1.1844080693101433
V6_R,-0.06015517317282769
V2_R,-0.03270384001557773
V3_R,0.09378564109144948
V4_R,-0.3292873467723421
V8_R,0.2791001937294286
4_R,-0.5384149746572133
3b_R,-0.3845285114222414
FEF_R,0.20764960859370749
PEF_R,-0.35213470823819626
55b_R,-0.26989409943346016
V3A_R,-0.7101526530890236
RSC_R,0.500538594167373
POS2_R,-0.7171171179120691
V7_R,-0.6295823332832757
IPS1_R,0.6506249876693357
FFC_R,-0.44832555443806044
V3B_R,-0.13589951385289673
LO1_R,-0.7574706467927581
LO2_R,-0.592147044421133
PIT_R,-0.9081915363049802
MT_R,-1.680116955774013
A1_R,-1.4339460280970764
PSL_R,-0.5811153072915629
SFL_R,-0.44098123614070545
PCV_R,-0.14838644254696035
STV_R,-0.8398699032567097
7Pm_R,0.05823885346789124
7m_R,-1.40984467271814
POS1_R,-0.5735915303805322
23d_R,0.10264386558641772
v23ab_R,-0.6132068560406609
d23ab_R,0.3615682142485822
31pv_R,0.26857177021701056
5m_R,-0.17015501571855562
5mv_R,-0.46915037345297395
23c_R,-0.19663539360347126
5L_R,-0.5392871262633526
24dd_R,0.0972387536209572
24dv_R,1.8159321209872599
