region,sleep
V1_L,-0.2812730652112644
MST_L,-1.4822574159293442
V6_L,-0.4447769053896196
V2_L,-0.4654286534817744
V3_L,-0.19184699065093547
V4_L,-0.05996720756381566
V8_L,0.6706665248522111
4_L,-0.14869525894095434
3b_L,-0.2585206054582437
FEF_L,0.6082233541999983
PEF_L,-1.356643811824183
55b_L,-0.6766404351853691
V3A_L,-0.3720665976778975
RSC_L,0.3225267073324345
POS2_L,-0.8710426706806393
V7_L,-0.27314228280174635
IPS1_L,-0.9921188558956222
FFC_L,-1.2633937236786723
V3B_L,-0.15677281265412202
LO1_L,-0.8242482625564055
LO2_L,-1.1639484234880577
PIT_L,-1.339129540308454
MT_L,-1.1623744173313906
A1_L,0.6980435137868886
PSL_L,-1.017555507348781
SFL_L,-0.820549018406915
PCV_L,-0.3569644303991981
STV_L,-1.0159736434249491
7Pm_L,-0.6355297563288383
7m_L,-1.2642408556475841
POS1_L,-0.538075281401598
23d_L,0.09961039190377421
v23ab_L,0.12253108119972667
d23ab_L,-0.7384570175823781
31pv_L,-1.3038438716734626
5m_L,0.9925180684802547
5mv_L,0.6370554760645396
23c_L,0.26608099387373535
5L_L,-0.03873855930254946
24dd_L,0.2362998243136465
24dv_L,0.001480082921756229
7AL_L,-0.15551126056369263
SCEF_L,-0.8468504017096483
6ma_L,-0.49639875542667783
7Am_L,-0.013002752512149128
7Pl_L,-0.8229481134188378
7PC_L,0.026822403796479582
LIPv_L,-0.9566639106995122
VIP_L,-0.9471527746548368
MIP_L,-2.2342272221338275
1_L,-0.23529187378505562
2_L,-0.46429134878177686
3a_L,0.09659737053703707
6d_L,-0.5249306076823881
6mp_L,0.043857134334136585
6v_L,-0.5452613294032643
p24pr_L,0.5691592529522406
33pr_L,0.0010983141570691615
a24pr_L,0.8094691206579964
p32pr_L,-0.34399391433581167
a24_L,-0.556044831739176
d32_L,-0.752661587318231
8BM_L,-1.2492932446066296
p32_L,-0.9645896088004462
10r_L,-0.6667811493191911
47m_L,-1.5625366815244974
8Av_L,-0.25567200816501273
8Ad_L,-0.4060662491516919
9m_L,-1.555393720796309
8BL_L,-0.8317129630776352
9p_L,-1.1476567979076184
10d_L,-0.8485056593168835
8C_L,-0.8535268273791141
44_L,-1.917226934875572
45_L,-1.6671971972522632
47l_L,-1.4236440765478517
a47r_L,-0.6123492499845773
6r_L,-1.3678915275410883
IFJa_L,-1.6345357324592427
IFJp_L,-0.8655798089244287
IFSp_L,-1.7837366291737584
IFSa_L,-1.716083856207828
p9-46v_L,-1.163442217560429
46_L,-1.1093534911528435
a9-46v_L,-0.28052678194159125
9-46d_L,-0.7848412813760647
9a_L,-0.7098905026146519
10v_L,-0.6878352065141771
a10p_L,-0.19407997263416768
10pp_L,-0.22110798260726278
11l_L,-0.7782081152330705
13l_L,-0.9965379720129798
OFC_L,-0.2796138909092425
47s_L,-1.420045384188094
LIPd_L,-1.7952508653795143
6a_L,-0.22382093945009163
i6-8_L,-0.516696427729076
s6-8_L,-0.8419999448702724
43_L,-0.20721130353017742
OP4_L,0.11007305140626066
OP1_L,0.0800536413936923
OP2-3_L,0.3936401905541897
52_L,0.0244695636831699
RI_L,0.15275530358304584
PFcm_L,-0.6629457325152754
PoI2_L,-0.02318492936021889
TA2_L,-0.4305154393108183
FOP4_L,-0.9163759082609755
MI_L,-0.8713033966886461
Pir_L,-1.1002262325536307
AVI_L,-2.206446166644514
AAIC_L,-1.6616387017941145
FOP1_L,-0.516518400257132
FOP3_L,0.8767574288102755
FOP2_L,-0.18126919505151004
PFt_L,-0.5262676014172446
AIP_L,-0.8709269251386027
EC_L,0.06161740636300818
PreS_L,2.660489150003711
H_L,0.4367994944007855
ProS_L,1.0760299031399188
PeEc_L,-0.145043476783411
STGa_L,-0.7335429460394602
PBelt_L,-0.7784731728913726
A5_L,-1.0658531653306027
PHA1_L,1.4911861547421454
PHA3_L,0.2776433779126202
STSda_L,-1.4419555575639047
STSdp_L,-1.619094015080219
STSvp_L,-1.8311075749864196
TGd_L,-0.7489242563101672
TE1a_L,-1.0907399244579499
TE1p_L,-0.9087205745497308
TE2a_L,0.3018978742152143
TF_L,0.14053962676103118
TE2p_L,-0.4165259934753806
PHT_L,-1.1202042360461908
PH_L,-1.5085760895619134
TPOJ1_L,-1.0046018390299893
TPOJ2_L,-1.489689997443005
TPOJ3_L,-1.6978379261501686
DVT_L,-0.13970137131777263
PGp_L,-0.8350262405211031
IP2_L,-1.1592408989167702
IP1_L,-1.7399316550945747
IP0_L,-0.5903241394218239
PFop_L,0.19966045262118587
PF_L,-0.5195058641175184
PFm_L,-0.6214682218803754
PGi_L,-1.5643669663237691
PGs_L,-0.8013432433022052
V6A_L,-0.3396554731377229
VMV1_L,0.9342262438061681
VMV3_L,1.0170271295491158
PHA2_L,0.5804407367392951
V4t_L,-1.046602706050981
FST_L,-1.3820007074628697
V3CD_L,-0.40816784228164654
LO3_L,-0.9125644773865391
VMV2_L,1.7942731298285826
31pd_L,-1.3920381431994309
31a_L,-0.22305272870570528
VVC_L,0.11327224626474523
25_L,-0.34232686689620817
s32_L,-0.15684522263566308
pOFC_L,-0.5373199576412685
PoI1_L,0.447633956116586
Ig_L,0.7933131354011356
FOP5_L,-1.8158767259816957
p10p_L,-0.13279810600629474
p47r_L,-1.0263192307943387
TGv_L,-0.5748067554754127
MBelt_L,0.4608632700229573
LBelt_L,0.040312402878389324
A4_L,-0.5304192944135221
STSva_L,-2.0180474572812535
TE1m_L,-0.12214819184285629
PI_L,-0.43504619321561805
a32pr_L,-0.7562284678367927
p24_L,0.3972513945362123
V1_R,-0.34668606034608834
MST_R,-0.8132498214861301
V6_R,0.11323220246177676
V2_R,-0.34458860805683617
V3_R,-0.267881956717154
V4_R,-0.35385698867649407
V8_R,-0.6142538759260298
4_R,0.1598137482493497
3b_R,0.10496247183065534
FEF_R,-1.1936392289889843
PEF_R,-1.0314638707025792
55b_R,-1.0688623912475945
V3A_R,-0.41796565225379867
RSC_R,0.012047978300259514
POS2_R,-0.45804051903934
V7_R,-0.8737097881064524
IPS1_R,-1.6481812514513323
FFC_R,-0.06631165564532866
V3B_R,-0.6985983319602245
LO1_R,-0.8268588929097722
LO2_R,-0.9386429530214874
PIT_R,-0.3011442142838968
MT_R,-0.872083777625858
A1_R,0.18775653605397988
PSL_R,-0.8128837149342101
SFL_R,-0.4871484575190983
PCV_R,-0.8259680914268926
STV_R,-1.6751813198158445
7Pm_R,-0.4407471826874485
7m_R,-0.9780212493347694
POS1_R,-0.4392395466076934
23d_R,0.10758678893892724
v23ab_R,-0.38157644763875276
d23ab_R,-0.39347080525517975
31pv_R,-0.41044824585458367
5m_R,1.4079801526690876
5mv_R,0.10518034392176348
23c_R,-0.12687201586818134
5L_R,0.6881644976896655
24dd_R,0.5613695242660544
24dv_R,1.7406979208715905
7AL_R,-0.6533934734631178
SCEF_R,-0.036824608377825835
6ma_R,-0.6208704797376694
7Am_R,-1.0557439292969188
7Pl_R,-0.7077041997575519
7PC_R,-0.33781008308059574
LIPv_R,-1.506619537642124
VIP_R,-1.0433525109180644
MIP_R,-1.5953746604085866
1_R,-0.18317499744981622
2_R,-0.5386577299453031
3a_R,0.05765623872971491
6d_R,-0.8653734604212162
6mp_R,-0.5322112130264307
6v_R,-0.22193645647834498
p24pr_R,2.446025628719988
33pr_R,0.5997161403536666
a24pr_R,0.03231913321062974
p32pr_R,-0.34786296493569674
a24_R,-0.6131867962541142
d32_R,-0.4751157739500623
8BM_R,-0.8327426654646101
p32_R,-0.8137530752918046
10r_R,-0.08140305216766505
47m_R,-0.5467928618046042
8Av_R,-0.8492358112979582
8Ad_R,0.5538476686545555
9m_R,-1.058397112412074
8BL_R,-0.11325650638236813
9p_R,-0.6381083306531183
10d_R,-0.7124955408823003
8C_R,-1.178921756711619
44_R,-1.786461062628165
45_R,-1.9890658978869182
47l_R,-1.10856021432949
a47r_R,-0.6595986168697154
6r_R,-1.5526170129605057
IFJa_R,-1.4463194151768894
IFJp_R,-1.3854814664987165
IFSp_R,-1.6722126314561345
IFSa_R,-1.0338036048947188
p9-46v_R,-0.23844008867058245
46_R,-0.09625032114996483
a9-46v_R,-0.6258377959896086
9-46d_R,0.5704838467962255
9a_R,-0.3532275905476138
10v_R,-0.457911906336299
a10p_R,-0.1540898386584598
10pp_R,-0.3877262066961735
11l_R,-0.33528666835499016
13l_R,-0.13712816857584806
