region,communication
V1_L,-0.9505100086646502
MST_L,0.8025744680259937
V6_L,-0.9353314284066561
V2_L,-0.7974417043448582
V3_L,-0.6324950253145802
V4_L,-0.2367210386857221
V8_L,0.5294049842927222
4_L,0.27669424232096307
3b_L,0.8430504480465156
FEF_L,2.27256421118087
PEF_L,2.2791426003414608
55b_L,1.9701281190570197
V3A_L,-0.24174629438915934
RSC_L,-1.3815484709845882
POS2_L,-0.6963177605189192
V7_L,-0.4224592728918479
IPS1_L,-0.2523435121665208
FFC_L,1.3302598033388373
V3B_L,-1.157656947595032
LO1_L,-0.4240229729949894
LO2_L,0.7610812724850446
PIT_L,1.2496425540569305
MT_L,0.43725425001234486
A1_L,3.16137765390318
PSL_L,1.8816822276205734
SFL_L,-0.4525566997731838
PCV_L,-2.2700173765440943
STV_L,2.6962274619151763
7Pm_L,-1.3088855312685488
7m_L,-1.5746271249687733
POS1_L,-0.41757786021728593
23d_L,-1.1511944424906402
v23ab_L,-1.4753171447787177
d23ab_L,-1.9589885696642961
31pv_L,-1.9122710423669254
5m_L,-1.031344732798254
5mv_L,-1.2471098033470378
23c_L,-1.17557511900181
5L_L,-0.9528179457607965
24dd_L,-0.9717224136589633
24dv_L,-0.25520715117693743
7AL_L,-1.2587182611037526
SCEF_L,1.7968037012681748
6ma_L,-0.8301351921301331
7Am_L,-0.7071189013597774
7Pl_L,-0.0894108545384122
7PC_L,-0.4310632474204216
LIPv_L,-0.22789803757293475
VIP_L,-0.5726753646072217
MIP_L,-0.91913003214748
1_L,-0.29752826468235627
2_L,-0.6988613997414179
3a_L,0.6520233417161557
6d_L,-0.6536129622408485
6mp_L,-0.6297173094589334
6v_L,2.356570859049677
p24pr_L,-1.0355747577756527
33pr_L,-0.9723378176294655
a24pr_L,-0.5511270853189523
p32pr_L,0.6556365293394343
a24_L,-1.3931632233131943
d32_L,-1.4296793170078161
8BM_L,-0.8455507065146185
p32_L,-0.9158809376874562
10r_L,-1.9824912035666873
47m_L,-0.7346637211666447
8Av_L,-0.5811999843728853
8Ad_L,-0.6854436365350682
9m_L,-0.983817075132804
8BL_L,-0.4058581728149957
9p_L,-0.7977936275723375
10d_L,-1.114315680000922
8C_L,-0.22433288789045958
44_L,4.046235191282429
45_L,2.3601984607691278
47l_L,1.8406967748910255
a47r_L,-0.49581531961170716
6r_L,4.760785447221858
IFJa_L,1.5153604601813315
IFJp_L,0.0030243579215163624
IFSp_L,0.6838894876556758
IFSa_L,0.7662040870167783
p9-46v_L,-0.447058618918933
46_L,-0.9806715420145449
a9-46v_L,-1.3158464052225636
9-46d_L,-1.6566667436844935
9a_L,-1.150662495971342
10v_L,-1.2858738119639626
a10p_L,-1.207651977952195
10pp_L,-0.6872541372098236
11l_L,-1.1077022311188607
13l_L,-1.7046474199032944
OFC_L,-1.3287435087682524
47s_L,-1.1144105761137766
LIPd_L,-0.5411474133969045
6a_L,-0.6787315788325464
i6-8_L,-1.2390696334213498
s6-8_L,-0.3513448968555164
43_L,4.093916927376925
OP4_L,3.5863116523792598
OP1_L,0.8985858502775564
OP2-3_L,0.835644936655851
52_L,2.3241675541002014
RI_L,2.961430368941894
PFcm_L,1.9624892129152207
PoI2_L,-0.19597112216685536
TA2_L,3.101605804518346
FOP4_L,2.06156184567881
MI_L,1.3267276792449654
Pir_L,-1.1820422195648512
AVI_L,1.4517648159846706
AAIC_L,-0.7081825582859544
FOP1_L,3.495553431730425
FOP3_L,0.20287773845951745
FOP2_L,0.45356397306281426
PFt_L,0.9145685669751937
AIP_L,-0.038527951932382884
EC_L,-1.7347222905999622
PreS_L,-0.5992868347027576
H_L,-1.2179668612598418
ProS_L,-0.3609394018043707
PeEc_L,-1.2303026246102944
STGa_L,2.7509195449881307
PBelt_L,7.985048200102584
A5_L,11.327565700827341
PHA1_L,-0.5784053669958267
PHA3_L,-0.6143244954878073
STSda_L,6.858412571103658
STSdp_L,12.606303293482002
STSvp_L,10.719460732789509
TGd_L,-0.4039433102347065
TE1a_L,2.509766991725837
TE1p_L,2.9995444036329197
TE2a_L,-0.2431513620994688
TF_L,-0.5793045203785997
TE2p_L,-0.11898285445984333
PHT_L,2.1854362822553774
PH_L,0.8640476929692061
TPOJ1_L,9.223185709806561
TPOJ2_L,1.613829948070811
TPOJ3_L,0.044852042106128344
DVT_L,-0.4702502493861675
PGp_L,-0.7422032184433398
IP2_L,-0.47271682704410434
IP1_L,-0.1989146570932476
IP0_L,-0.7275481397534448
PFop_L,1.252564829055029
PF_L,0.24256393335987955
PFm_L,-0.3486380793724801
PGi_L,-0.18401803498973532
PGs_L,-0.7458327959801434
V6A_L,-0.3322247658917943
VMV1_L,-1.6084525914249492
VMV3_L,-0.6460918986819301
PHA2_L,-1.3119730128180418
V4t_L,0.7569527418954128
FST_L,1.3899561559854365
V3CD_L,-1.15281816653814
LO3_L,-0.4844467087843781
VMV2_L,-1.59328181858805
31pd_L,-1.6319250726501642
31a_L,-2.045522468354443
VVC_L,0.1275571367201391
25_L,-2.215790945774592
s32_L,-1.695679637714452
pOFC_L,-1.8786731169473387
PoI1_L,0.7970092510232722
Ig_L,-0.020339881839529173
FOP5_L,2.0475803591296082
p10p_L,-1.0629857070990396
p47r_L,-0.5446290846292439
TGv_L,-0.5373888314680807
MBelt_L,4.254598120378187
LBelt_L,6.44159477257416
A4_L,6.490120342489226
STSva_L,5.513916609136738
TE1m_L,3.045141743146441
PI_L,1.8457682732008271
a32pr_L,-1.6519576139428593
p24_L,-1.8854791835163447
V1_R,-0.8072431691564279
