region,morphology
V1_L,-0.7451651836408411
MST_L,-1.3425363324018806
V6_L,-0.004269700471933014
V2_L,-0.509652853569044
V3_L,-0.6085010493530746
V4_L,-0.5634703838554433
V8_L,-0.5852432001395166
4_L,-0.19237572166516057
3b_L,0.10131210743568972
FEF_L,-0.46148772055668213
PEF_L,-0.4012383884510333
55b_L,-0.1525711834401657
V3A_L,-0.26737620944298224
RSC_L,-0.35720900439388364
POS2_L,-1.5248860507453503
V7_L,-1.13366943018294
IPS1_L,-0.7830627104293283
FFC_L,2.1834622701174813
V3B_L,-0.9465949264785227
LO1_L,-0.8287494471337122
LO2_L,-0.7290319168592652
PIT_L,-0.5280571672483947
MT_L,-1.9136763652730544
A1_L,0.2578168212727889
PSL_L,0.14238628187466337
SFL_L,-0.781274168902608
PCV_L,-1.4885028287285036
STV_L,-0.21031046381741222
7Pm_L,-2.1368334703968968
7m_L,-2.7848575636056316
POS1_L,-0.8028681673676653
23d_L,-0.8908845121188177
v23ab_L,-2.4995927567843985
d23ab_L,-1.4204570548451079
31pv_L,-1.3227561715183416
5m_L,0.15060441718403833
5mv_L,0.8508450155128566
23c_L,0.4798884728585429
5L_L,0.12996092807572138
24dd_L,-1.008554837690834
24dv_L,-0.8887930246250211
7AL_L,-0.6720769815315386
SCEF_L,-1.080907911938547
6ma_L,-0.6864928584130627
7Am_L,-0.1818690533185071
7Pl_L,-1.328528606456168
7PC_L,-1.2433045926880792
LIPv_L,-1.1609587774375423
VIP_L,-0.46737785030875306
MIP_L,-1.5842023315392342
1_L,-0.5922517451456962
2_L,-0.40007345395398586
3a_L,0.28073548510063373
6d_L,-0.340304950608646
6mp_L,-1.3660955936585477
6v_L,0.05243883911877377
p24pr_L,-1.5253414784115331
33pr_L,-0.21002914717442123
a24pr_L,-1.3066323722051416
p32pr_L,-1.3486689101441989
a24_L,-0.2980794361431715
d32_L,0.06695729223906208
8BM_L,-1.679245432096515
p32_L,0.6570610995620422
10r_L,-0.45503974979470724
47m_L,-0.2993046994831823
8Av_L,-0.6521599666174063
8Ad_L,-0.3513714250760909
9m_L,-1.1776411749549867
8BL_L,-0.7997665367325527
9p_L,-2.0107005969183076
10d_L,-1.0192398768175304
8C_L,-1.2222958380538078
44_L,1.1242816515968899
45_L,0.8174425124863717
47l_L,0.06003298122205625
a47r_L,0.37395160180602494
6r_L,0.6400727805424898
IFJa_L,0.48176630546295984
IFJp_L,-0.6130899263493729
IFSp_L,0.3981479327766879
IFSa_L,0.7970173608410921
p9-46v_L,-0.6907091728171726
46_L,-0.840055575243315
a9-46v_L,-1.4116922797712377
9-46d_L,-0.658660662173959
9a_L,-0.3078970192779211
10v_L,1.1184103299312356
a10p_L,0.6559864890229993
10pp_L,0.9389946890896703
11l_L,1.361935460894799
13l_L,0.6704967771966224
OFC_L,1.337361300650664
47s_L,0.10734066500619746
LIPd_L,-1.4833847432078862
6a_L,-1.9548788011456744
i6-8_L,-2.0787893289105606
s6-8_L,-0.860248270942206
43_L,1.0301239597340048
OP4_L,1.6968345328833327
OP1_L,0.7209222128343282
OP2-3_L,2.4150806903879167
52_L,1.5776913416975922
RI_L,0.7294022202775308
PFcm_L,-1.0085657932570864
PoI2_L,1.9414357059597038
TA2_L,1.1830939292664966
FOP4_L,1.2346199350060403
MI_L,0.7455357076921306
Pir_L,0.3102714083625442
AVI_L,-0.9151266514467838
AAIC_L,-0.07797472854408402
FOP1_L,1.4412973373774787
FOP3_L,1.7387837300070208
FOP2_L,2.2179118600761782
PFt_L,-0.27786332465870917
AIP_L,-1.1832788490461152
EC_L,3.0925214420302147
PreS_L,2.625592754463833
H_L,3.8217890148686107
ProS_L,1.2868752995986532
PeEc_L,3.6109667526724896
STGa_L,0.23889880015545256
PBelt_L,-0.015323433875225305
A5_L,0.24370231004455192
PHA1_L,1.8659507776077082
PHA3_L,1.9828602454326336
STSda_L,1.6967416979439038
STSdp_L,1.01245293259319
STSvp_L,1.4715309013367341
TGd_L,0.610243167726568
TE1a_L,1.2933398555323672
TE1p_L,1.170347083339355
TE2a_L,1.6852629476868866
TF_L,3.162801501154267
TE2p_L,2.386059514026979
PHT_L,1.0104091704156957
PH_L,0.8484345335406482
TPOJ1_L,1.675086834550235
TPOJ2_L,-0.7248859032651325
TPOJ3_L,-1.777284047765902
DVT_L,-0.0049031828251704535
PGp_L,-0.6387294153586326
IP2_L,-2.271054991437528
IP1_L,-1.4826662298635238
IP0_L,-0.714223490049267
PFop_L,-0.5205756610733432
PF_L,-0.6682963316881949
PFm_L,-1.2233623784631649
PGi_L,-1.0452347102122352
PGs_L,-0.9949942893815151
V6A_L,-0.4507792267044751
VMV1_L,-0.5655187269319378
