region,morphology
VMV3_L,-0.49710103876987666
PHA2_L,2.4399919997029365
V4t_L,-1.3530989472219923
FST_L,-0.7508328040206645
V3CD_L,-1.037251030839852
LO3_L,-1.1418956652723418
VMV2_L,0.6097232491608997
31pd_L,-1.0497074080773374
31a_L,0.10645179134938548
VVC_L,0.14290129071350574
25_L,0.0020022471360296146
s32_L,-0.34465793615028467
pOFC_L,0.5413755776837545
PoI1_L,1.5302565824187284
Ig_L,2.059859416965115
FOP5_L,1.277714944166537
p10p_L,-0.042565880672058395
p47r_L,-0.563734308331343
TGv_L,2.484275931687919
MBelt_L,1.1935956273842656
LBelt_L,0.47470697901600595
A4_L,0.07847064460588447
STSva_L,1.8439662945269244
TE1m_L,0.7341943635301764
PI_L,2.149772194119958
a32pr_L,-1.3054095357187143
p24_L,2.415059328984984
V1_R,-0.7918918938996485
MST_R,-2.136860650792787
V6_R,0.02660877402549639
V2_R,-0.4559901390195295
V3_R,-0.837252903456399
V4_R,-0.8618753090990011
V8_R,-2.0716301757242084
4_R,-0.11286077785895597
3b_R,-0.27205026920631015
FEF_R,-1.596509733879975
PEF_R,-2.102731426757331
55b_R,-1.0453537875109489
V3A_R,-0.007514936206628874
RSC_R,0.7527080136647272
POS2_R,-1.577513248257804
V7_R,-1.2851637252722996
IPS1_R,-2.638337878195062
FFC_R,-0.41300516386382524
V3B_R,-0.21776198597715296
LO1_R,-1.0648489121591687
LO2_R,-1.5380966596488066
PIT_R,-0.21702546103357517
MT_R,-1.6971314131508553
A1_R,0.12881924599666963
PSL_R,-1.7116332868337958
SFL_R,-1.1711003111229354
PCV_R,-1.6774347455654606
STV_R,-2.2719349702230978
7Pm_R,-2.3020538845237417
7m_R,-2.4825173563653005
POS1_R,-0.8878814628370479
23d_R,0.11068338041919726
v23ab_R,-1.3870481926949982
d23ab_R,-0.25376798869627143
31pv_R,1.6868520162922702
5m_R,-0.6839920689549431
5mv_R,-0.05976527881608694
23c_R,0.198302151657642
5L_R,0.6888213768820176
24dd_R,-0.3910761023246461
24dv_R,-0.3413758872445469
7AL_R,-0.3627008971671364
SCEF_R,-1.6970811495844955
6ma_R,-0.7578020011501322
7Am_R,-1.1394449927114398
7Pl_R,-1.6069961360384615
7PC_R,-0.10615068711078732
LIPv_R,-1.1049153151809987
VIP_R,-1.1422753405774415
MIP_R,-2.344923521467846
1_R,-0.5616506968211394
2_R,-0.44016180116252507
3a_R,-0.22967257516113257
6d_R,-1.0412094588856482
6mp_R,-0.9377190509257682
6v_R,-0.3401291692007874
p24pr_R,-0.7247307985905937
33pr_R,-1.387395153188943
a24pr_R,-2.932938086616306
p32pr_R,-1.785309882159018
a24_R,-0.898250810842104
d32_R,-1.7231189199100228
8BM_R,-2.2791514067614953
p32_R,-0.7341782405197084
10r_R,-0.7278636472719711
47m_R,-1.073698243033834
8Av_R,-1.357564790600374
8Ad_R,0.4166995173235454
9m_R,-1.5545342319523532
8BL_R,-1.4540822570081018
9p_R,-0.6536724466607369
10d_R,-0.08433020530007154
8C_R,-2.3398399537309538
44_R,-0.8303358549393738
45_R,-1.3360772699664176
47l_R,-1.3913725863513753
a47r_R,-0.6599518924659141
6r_R,-1.7602698580631073
IFJa_R,-2.4206349812761334
IFJp_R,-2.279495151802139
IFSp_R,-1.9658228509818598
IFSa_R,-1.512959599015325
p9-46v_R,-1.6351877961004306
46_R,-0.5173849330060422
a9-46v_R,-1.068899783520719
9-46d_R,-0.796343389344621
9a_R,-0.1909421882284892
10v_R,1.4882442558414872
a10p_R,0.3734033526592871
10pp_R,1.678436858828414
11l_R,0.002485653101775669
13l_R,0.253683524475378
OFC_R,1.4766004372391286
47s_R,-1.2854328696819672
LIPd_R,-2.0013567576324993
6a_R,-2.102412110252286
i6-8_R,0.058010111184458465
s6-8_R,-0.7645346253135247
43_R,0.9938159404457387
OP4_R,0.7445052827776848
OP1_R,1.3096032187886955
OP2-3_R,1.7537700103777756
52_R,0.9668893285920337
RI_R,-0.7634667965197072
PFcm_R,-0.359354787659237
PoI2_R,1.0881813901616397
TA2_R,0.4484992389514364
FOP4_R,-1.0812784319310842
MI_R,-0.8751689310628284
Pir_R,1.5163707112544607
AVI_R,-1.6256403081008868
AAIC_R,-1.361495778957643
FOP1_R,0.7194560109510877
FOP3_R,-0.4747326896960842
FOP2_R,0.6886174168486655
PFt_R,-0.8513491671629019
AIP_R,-2.4008928105737866
EC_R,1.675383728035318
PreS_R,1.390518221888542
H_R,2.26817757815929
ProS_R,1.057351487976508
PeEc_R,1.6579959653128151
STGa_R,-0.26123315664329144
PBelt_R,-0.41049617724884807
A5_R,0.103628600268556
PHA1_R,0.38638591110376763
PHA3_R,0.46519151526176683
STSda_R,2.196194243412912
STSdp_R,0.17660348097035683
STSvp_R,0.693527931899804
TGd_R,0.6051278349966132
TE1a_R,0.6716416040566247
TE1p_R,1.780458292220672
TE2a_R,1.6775407278493024
TF_R,1.7143674996573697
TE2p_R,1.2522528777156776
PHT_R,-0.12229759831242942
PH_R,-1.3178266683762372
TPOJ1_R,-1.138426015571203
TPOJ2_R,-2.1282172247924875
TPOJ3_R,-1.769945860933264
DVT_R,-0.45683425518228804
PGp_R,-0.8602794571541765
IP2_R,-2.909154433924448
IP1_R,-1.324745605798877
IP0_R,-1.0826625942225767
PFop_R,-1.1663548784809714
PF_R,-0.9097431392392867
PFm_R,-1.5379045534229816
PGi_R,-2.3550153234047664
PGs_R,-1.0894906430204139
V6A_R,-1.189137320370793
VMV1_R,-0.12309789641714836
VMV3_R,-1.5412114209909735
PHA2_R,1.3455631836148823
V4t_R,-2.5565086048945513
FST_R,-2.6381255599197346
V3CD_R,-0.6537874289197233
LO3_R,-0.3579155479581158
VMV2_R,-0.42365560808635067
31pd_R,1.2853562255968458
31a_R,-0.09867950237560373
VVC_R,-1.0301005096079732
25_R,0.2810271013982261
s32_R,-0.06027798737813163
pOFC_R,-0.0802458194436911
PoI1_R,2.928561090306087
Ig_R,0.6641556596710394
FOP5_R,-0.9635731940556371
p10p_R,0.06007749832191798
p47r_R,-0.9689920954490491
TGv_R,1.4263283633480772
MBelt_R,0.5274505775578885
LBelt_R,-0.4927170756501411
A4_R,-0.3868952786383848
STSva_R,1.6896728890778363
TE1m_R,1.292052368855464
PI_R,3.5667274422395057
a32pr_R,-1.3561604109912504
p24_R,0.3549293456427562
