region,response inhibition
5L_R,-0.18347413742788754
24dd_R,3.0896108579016146
24dv_R,4.089549447172052
7AL_R,0.79023973249576
SCEF_R,2.9997532682706183
6ma_R,-0.1405889909842665
7Am_R,-0.3475686315954505
7Pl_R,0.2892815028446157
7PC_R,1.5223702189619996
LIPv_R,2.540923253418105
VIP_R,0.3918963321265887
MIP_R,2.376126049821702
1_R,0.8807384744857045
2_R,2.015273719790739
3a_R,1.5036307963333364
6d_R,1.628735976211949
6mp_R,1.8413616095814234
6v_R,2.8616002162730414
p24pr_R,3.4190565319852126
33pr_R,1.5060278686686814
a24pr_R,2.840286135339381
p32pr_R,3.352882312425071
a24_R,-1.479829075413681
d32_R,-0.43019943532749527
8BM_R,0.5435870779164806
p32_R,-1.8452322525458782
10r_R,-3.4004316257397336
47m_R,1.1297587309978063
8Av_R,-0.5516273789406786
8Ad_R,-0.6527683446544571
9m_R,-1.497296719371459
8BL_R,-1.2892182083255397
9p_R,-0.4642950438557528
10d_R,-1.151047266918148
8C_R,0.39281168780085296
44_R,5.503486091006358
45_R,3.7438902859063146
47l_R,3.216765238282849
a47r_R,-0.055841464236996985
6r_R,5.546649585184267
IFJa_R,3.605317168154729
IFJp_R,2.8444462414442455
IFSp_R,3.1300638733033845
IFSa_R,2.871492919321402
p9-46v_R,1.5270976825095148
46_R,0.5254692547172649
a9-46v_R,0.5504003899401866
9-46d_R,0.033342022450414704
9a_R,-0.26467558560631277
10v_R,-2.2531198935422627
a10p_R,-0.451876137457267
10pp_R,-0.5360340564921064
11l_R,-0.3461185585133445
13l_R,-1.6404225376178438
OFC_R,-1.2610612645699297
47s_R,0.46328813313233774
LIPd_R,4.219641595997439
6a_R,2.852560323135109
i6-8_R,0.684625448225114
s6-8_R,-1.0958856833708808
43_R,2.7815109171548866
OP4_R,-0.9172235180593209
OP1_R,-0.204332450799231
OP2-3_R,1.3427283642413528
52_R,-0.9824475665733713
RI_R,-0.9343834859661079
PFcm_R,-0.087689661919379
PoI2_R,0.5463100054533784
TA2_R,-0.08228301891542107
FOP4_R,3.9599503374516387
MI_R,4.003049645762174
Pir_R,-1.2195527905007577
AVI_R,4.766818436413579
AAIC_R,3.989368996220506
FOP1_R,3.419909730820493
FOP3_R,1.805647789175949
FOP2_R,3.4354555358606635
PFt_R,2.1539530438819163
AIP_R,4.223673488158344
EC_R,-2.986783414873473
PreS_R,-3.0767431298628165
H_R,-3.0109015805585373
ProS_R,-2.2120095845698096
PeEc_R,-2.245205271951661
STGa_R,-0.333616529679228
PBelt_R,-2.3025617486281083
A5_R,-2.6129941469484605
PHA1_R,-3.4241612437122986
PHA3_R,-2.940356481608045
STSda_R,-1.8347796600878452
STSdp_R,-2.357651467896499
STSvp_R,-2.235502748090186
TGd_R,-1.300941215178236
TE1a_R,-1.5615722164331292
TE1p_R,-0.4421525458545814
TE2a_R,-0.7983608434905491
TF_R,-1.539645987150947
TE2p_R,-0.5474971424840372
PHT_R,0.08749293243914114
PH_R,-0.4963058482866628
TPOJ1_R,-0.4112320688397302
TPOJ2_R,-1.0436507640246122
TPOJ3_R,-1.7030705624544362
DVT_R,0.42675987843845065
PGp_R,-0.7493951088439768
IP2_R,4.2423877486613515
IP1_R,1.9249337523571763
IP0_R,0.19239666340278522
PFop_R,0.057844076752909084
PF_R,1.5344568553108406
PFm_R,1.062839777445713
PGi_R,-0.4102383958867143
PGs_R,-0.16120546678642675
V6A_R,0.10981632649610573
VMV1_R,-1.8667016210219998
VMV3_R,-2.4997787951130626
PHA2_R,-3.0859091388871
V4t_R,-2.2192643816512376
FST_R,-1.1805360086842878
V3CD_R,-1.088566233101007
LO3_R,-1.1781579939174582
VMV2_R,-2.0644809591344666
31pd_R,0.034559918077722185
31a_R,-0.0643940092257057
VVC_R,-2.56639561429927
25_R,-1.5513529308910543
s32_R,-2.31275222547971
pOFC_R,-1.322128071403978
PoI1_R,-0.4447589974115201
Ig_R,0.2809103038080812
FOP5_R,2.8717380184067998
p10p_R,-1.219946089135858
p47r_R,1.3807509683830321
TGv_R,-1.5477444410970773
MBelt_R,-1.3881077827695905
LBelt_R,-2.2713237317912975
A4_R,-1.4908025294827465
STSva_R,-1.7503377044700668
TE1m_R,-1.4132044260641694
PI_R,-1.5553474467526953
a32pr_R,1.8319234591121774
p24_R,-0.17220483226796443
