region,motor control
7m_R,-2.282219929818053
POS1_R,-2.440107628772805
23d_R,1.0851137015829586
v23ab_R,-2.7840321015282234
d23ab_R,-1.3140396153897502
31pv_R,-0.9732822941839837
5m_R,2.235372250013101
5mv_R,1.2585873583081275
23c_R,0.16987718841362387
5L_R,0.9214144552750655
24dd_R,9.01118933582435
24dv_R,6.192593916591113
7AL_R,1.7931674061311125
SCEF_R,4.175487306838156
6ma_R,0.46536143570523897
7Am_R,0.7642756986031957
7Pl_R,0.21610004770284147
7PC_R,2.104551778195743
LIPv_R,1.757096803576422
VIP_R,2.5144021562849383
MIP_R,-0.04249146379496375
1_R,4.467487916478395
2_R,5.3199207746753565
3a_R,6.927159520130606
6d_R,5.8082691465421945
6mp_R,5.801048518253983
6v_R,1.990895170034556
p24pr_R,3.0861112695130397
33pr_R,-1.1491722177712682
a24pr_R,-2.497622952585915
p32pr_R,-1.1031295611898009
a24_R,-2.53347510434044
d32_R,-2.66969685801248
8BM_R,-1.795252135928558
p32_R,-2.604498251931499
10r_R,-2.9284160555720815
47m_R,-1.812844369088993
8Av_R,-0.28860857347201024
8Ad_R,-0.8184991497614151
9m_R,-1.999305806268411
8BL_R,-0.8074390431062477
9p_R,-1.4573382401993356
10d_R,-1.0126607778423045
8C_R,-1.6106980845143926
44_R,-1.344372799625731
45_R,-2.1576424882155227
47l_R,-1.9194763054190416
a47r_R,-1.6548210270942798
6r_R,-0.002597837184003534
IFJa_R,-2.3874568009339017
IFJp_R,-2.2889218588563334
IFSp_R,-2.4099526383700742
IFSa_R,-1.9234149118396242
p9-46v_R,-1.90699428076078
46_R,-0.9409072386665227
a9-46v_R,-1.6530234241648172
9-46d_R,-1.378992380633555
9a_R,-1.3014020844185075
10v_R,-1.7771792729211802
a10p_R,-1.1423050746312176
10pp_R,-0.5909347857182115
11l_R,-1.4317207581339984
13l_R,-1.9549764690862144
OFC_R,-1.0662688478033149
47s_R,-2.6630242183864965
LIPd_R,-0.9109936053983482
6a_R,3.58306091623695
i6-8_R,0.2712240911276793
s6-8_R,-0.34815214669340894
43_R,2.2413875867907276
OP4_R,1.0837646415844653
OP1_R,0.28352042846494624
OP2-3_R,0.6795363399153027
52_R,-0.9542954687154814
RI_R,0.013284696692849351
PFcm_R,1.1919399140595501
PoI2_R,-1.1789215318606125
TA2_R,-0.54103191218243
FOP4_R,-2.585246910289575
MI_R,-2.3793540609348827
Pir_R,-2.0142637331646394
AVI_R,-3.886149463674245
AAIC_R,-3.4837891948323785
FOP1_R,0.6002763101765008
FOP3_R,-1.7247192906159916
FOP2_R,1.3175682623489993
PFt_R,5.011702937398635
AIP_R,2.8083802910008537
EC_R,-2.0974250411386066
PreS_R,-2.3495734370922587
H_R,-2.407068146274417
ProS_R,-1.8589030510476208
PeEc_R,-1.4521168946986702
STGa_R,-1.672268712333972
PBelt_R,-0.06366067232377878
A5_R,-0.5878718797291789
PHA1_R,-2.367786013644731
PHA3_R,-2.1767241622935543
STSda_R,-1.1410003497541104
STSdp_R,-1.3948495947274444
STSvp_R,-1.3851175591379443
TGd_R,-1.312131310917543
TE1a_R,-1.2082365376207829
TE1p_R,-1.0426104185150884
TE2a_R,-1.2255746910511354
TF_R,-1.2745082976829354
TE2p_R,-1.4162786816174482
PHT_R,-0.7190676258464895
PH_R,-0.824371802968434
TPOJ1_R,-0.9194839307897672
TPOJ2_R,-2.0462259601777233
TPOJ3_R,-2.695850573488943
DVT_R,-1.4280127637839253
PGp_R,-1.6585307484199527
IP2_R,-0.05342176029375951
IP1_R,-2.2198674310915094
IP0_R,-2.0186345516961444
PFop_R,1.5124754075395916
PF_R,1.7833816252281849
PFm_R,-0.7897752858601528
PGi_R,-2.033290775542118
PGs_R,-1.6025126644506011
V6A_R,-0.9550324497052531
VMV1_R,-1.399106773402072
VMV3_R,-1.2503305943037821
PHA2_R,-2.3064219220437856
V4t_R,-0.8585282593561634
FST_R,-1.0235415844678253
V3CD_R,-1.7376003452089401
LO3_R,-1.6733977069109718
VMV2_R,-1.938324889276924
31pd_R,-0.36697279990779996
31a_R,-0.45938198138042824
VVC_R,-1.3457601412877938
25_R,-1.9796787986134823
s32_R,-2.1769923639445623
pOFC_R,-1.8948768675039567
PoI1_R,-1.4142698563687561
Ig_R,-0.1953117527084131
FOP5_R,-2.7209117396421476
p10p_R,-1.7201335509934454
p47r_R,-2.133385081746057
TGv_R,-1.0782813446249602
MBelt_R,-0.9674238388126497
LBelt_R,-0.1808093823117683
A4_R,0.13002513514115255
STSva_R,-1.109819765029047
TE1m_R,-1.223499605453298
PI_R,-2.21727440352423
a32pr_R,-2.9062764131016325
p24_R,-2.8410595850395906
