region,meaning
8Av_L,0.22682335538824663
8Ad_L,-0.028092318284515506
9m_L,-1.264016908763703
8BL_L,-0.07058414398352206
9p_L,-0.8048881283671268
10d_L,-1.176583851296435
8C_L,1.708915070013724
44_L,10.390830079259707
45_L,7.478211655633455
47l_L,5.252710394378244
a47r_L,0.5929358509773331
6r_L,7.51987782347949
IFJa_L,6.657943085026529
IFJp_L,6.888891586837326
IFSp_L,6.504566835322841
IFSa_L,6.748812175863635
p9-46v_L,1.2027053563921568
46_L,-0.9699010784162071
a9-46v_L,-0.6087541197399737
9-46d_L,-1.4801123359020143
9a_L,-1.0683666430858234
10v_L,-0.843622274298134
a10p_L,-1.6828517168643626
10pp_L,-0.5599191522306126
11l_L,-1.022351715989167
13l_L,-0.5820517972636652
OFC_L,-0.8481222800126166
47s_L,0.80006091165645
LIPd_L,2.608819302320497
6a_L,-0.4136362339596038
i6-8_L,-0.0418649574147856
s6-8_L,-0.028352931284263406
43_L,1.4320732935723746
OP4_L,0.48503025552652335
OP1_L,-0.40333874535120134
OP2-3_L,-0.2285888607579342
52_L,0.4443651751451186
RI_L,0.2655813940467676
PFcm_L,-0.38187598945460743
PoI2_L,-0.5309093497295148
TA2_L,3.1373663121044184
FOP4_L,3.3412672086304935
MI_L,1.1482220848873592
Pir_L,-1.1631703393488602
AVI_L,3.5164721458639536
AAIC_L,1.0565244235409594
FOP1_L,2.5384043397085008
FOP3_L,0.8709817784014283
FOP2_L,1.188897400374398
PFt_L,-0.015308044851040504
AIP_L,0.7028931704351369
EC_L,-1.4078023942128524
PreS_L,-0.9543764879407785
H_L,0.01492945121913865
ProS_L,-0.8216705347371516
PeEc_L,1.0969102070062207
STGa_L,4.336010370545409
PBelt_L,1.3441757078631806
A5_L,3.7759591938784958
PHA1_L,-0.259342018614185
PHA3_L,2.1309037322080644
STSda_L,5.705579588375518
STSdp_L,6.202567792320943
STSvp_L,10.171516121768486
TGd_L,1.3209822469210892
TE1a_L,2.6378808035343786
TE1p_L,5.736359948057824
TE2a_L,1.5119294272090051
TF_L,4.409831524307669
TE2p_L,5.204057298064885
PHT_L,4.544136784937981
PH_L,4.424153152977387
TPOJ1_L,7.211302277394144
TPOJ2_L,3.3193061826643935
TPOJ3_L,2.784687681745393
DVT_L,-0.2890664429476992
PGp_L,0.9669645978476463
IP2_L,1.9950314900361699
IP1_L,3.4217643928267423
IP0_L,1.3139366735410838
PFop_L,-0.5459688607080233
PF_L,1.2418333252491713
PFm_L,0.8248346367820482
PGi_L,1.8751010340610992
PGs_L,0.8624006938502526
V6A_L,-0.6690584463524071
VMV1_L,-0.5055720771965501
VMV3_L,0.16713470544952475
PHA2_L,0.6555658513638355
V4t_L,0.6368990864600874
FST_L,1.1734804098857334
V3CD_L,0.04367371054017749
LO3_L,1.0278434312654834
VMV2_L,-1.017498708695385
31pd_L,-0.1615943149442039
31a_L,-1.4584125472174005
VVC_L,2.773996006920011
25_L,-1.6352238765402625
s32_L,-1.3874752019753906
pOFC_L,-1.500238359993103
PoI1_L,-0.6011609222876017
Ig_L,-0.7960370597153487
FOP5_L,4.566132468984713
p10p_L,-1.2888111563783544
p47r_L,2.1750198768166493
TGv_L,1.371749814793633
MBelt_L,0.8050152237258946
LBelt_L,0.8232526454145036
A4_L,1.1709478803637245
STSva_L,6.07418525318663
TE1m_L,2.0858830016705747
PI_L,2.623173861950005
a32pr_L,-0.2401638129900169
p24_L,-2.0223578659569865
V1_R,-0.2581326892559589
MST_R,-1.4068750716855987
V6_R,-1.734224141246565
V2_R,-0.4660814868557956
V3_R,-0.4187999901110574
V4_R,-0.6003282634526987
V8_R,-1.3592070190266228
4_R,-0.8324987199512418
3b_R,-0.4016499566459084
FEF_R,-0.8561038146368913
PEF_R,-1.1080636019514907
55b_R,-0.7395182082028634
V3A_R,-1.207663704005367
RSC_R,-0.8457556924695778
POS2_R,-1.0888305898938662
V7_R,-1.329866012583154
IPS1_R,-1.1401922183195201
FFC_R,-0.12249496173662781
V3B_R,0.0066627614073186915
LO1_R,-0.8785768095828363
LO2_R,-0.6508992267111854
PIT_R,0.09762023067224809
MT_R,-1.4031232283409127
A1_R,-1.109517371171632
PSL_R,-1.7601139774140453
SFL_R,-1.3539068985054192
PCV_R,-2.1765273315624767
STV_R,-1.814744840769593
7Pm_R,-2.0082250851837626
7m_R,-1.9848170165278438
POS1_R,-1.2340401077363172
23d_R,-1.4192007856506197
v23ab_R,-1.6816541725388587
d23ab_R,-1.1628938528186683
31pv_R,-1.161099275024547
5m_R,-1.7913777908103572
5mv_R,-1.9053454781227683
23c_R,-1.452554658894352
5L_R,-0.640765127367796
24dd_R,-2.138033263018199
24dv_R,-1.2226749248566524
7AL_R,-0.36825058673722755
SCEF_R,-0.8950012235016446
6ma_R,-1.5419183783575718
7Am_R,-1.8931682893243569
7Pl_R,-1.7636624651296209
7PC_R,-0.9387215049194468
LIPv_R,-1.408052429055875
VIP_R,-1.6882744582036628
MIP_R,-0.38171392738579824
1_R,-0.43045185057745733
2_R,-0.8697107218741292
3a_R,-0.6752159513702168
6d_R,-0.6829867744344706
6mp_R,-1.7102232358744447
6v_R,-0.3625317830317607
p24pr_R,-1.6951217188516092
33pr_R,-2.3569893818973857
a24pr_R,-2.1467573781719302
p32pr_R,-0.18764597832105825
a24_R,-2.53715277670505
d32_R,-2.1292201638032444
8BM_R,-0.6223019882941969
p32_R,-2.323166878475982
10r_R,-2.6033988015869505
47m_R,0.8452106201610452
8Av_R,-1.667739142602961
8Ad_R,-1.269268387484249
9m_R,-2.1815297323016964
8BL_R,-1.567014156281869
9p_R,-1.4866437600670153
10d_R,-0.74885447356346
8C_R,-2.062402677741651
44_R,1.398494600924158
45_R,0.6340539656864121
47l_R,0.9168491254712922
a47r_R,-1.5567369704754253
6r_R,-0.2649527231162616
IFJa_R,0.6249725495213598
IFJp_R,-1.595096099957352
IFSp_R,-0.6607340673112764
IFSa_R,-0.9559011171016099
p9-46v_R,-1.2249295494079127
46_R,-1.680811447692922
a9-46v_R,-2.09566615113709
9-46d_R,-1.7106990908893653
9a_R,-1.5724199306509075
10v_R,-1.4064360824059494
a10p_R,-1.6633077641344824
10pp_R,-1.0120374801985432
11l_R,-0.9697255243839233
13l_R,-1.4531587960854193
OFC_R,-1.1436359735736894
47s_R,-1.0083521056066886
LIPd_R,-0.7032911595840268
6a_R,-2.431905555951383
i6-8_R,-1.4243609810978464
s6-8_R,-1.2958445667932292
43_R,-0.5736808910438848
OP4_R,-0.7107269084745955
OP1_R,-0.8077014732302623
OP2-3_R,-1.1617939211051143
52_R,-0.775585038695709
RI_R,-1.8167515505140666
PFcm_R,-1.8052980165781125
PoI2_R,-1.5739024941891597
TA2_R,0.13271480180661338
FOP4_R,-0.8119939213360847
MI_R,-0.7040788410885697
Pir_R,-1.2114091194227892
AVI_R,2.3479290298546953
AAIC_R,0.44550190996700545
FOP1_R,-1.6951943955692204
FOP3_R,-1.8603519236441954
FOP2_R,-1.4006335504179572
PFt_R,-1.003043373720233
AIP_R,-1.522437400914001
EC_R,-1.112263059282829
PreS_R,-1.7339712728095853
H_R,-1.3378723518681865
ProS_R,-0.6790212603313569
PeEc_R,-0.5148463219484768
STGa_R,1.3807378163806354
PBelt_R,-0.3818256790724679
A5_R,1.3434237447265966
PHA1_R,-1.3512784359265155
PHA3_R,-1.459359058414298
STSda_R,2.348416598144385
STSdp_R,2.0326312630413605
STSvp_R,1.9390609599219237
TGd_R,-0.24804974098102747
TE1a_R,0.9193810849835401
TE1p_R,0.5708326826410965
TE2a_R,0.833651968621766
TF_R,0.11796860116221683
TE2p_R,0.10511145583717744
PHT_R,0.04960699112650034
PH_R,0.6097454925163708
TPOJ1_R,-0.42491778372554156
TPOJ2_R,-1.2937898612852814
TPOJ3_R,-1.493985680831495
DVT_R,-1.6546372095775608
PGp_R,-0.247024072684038
IP2_R,-0.9085576094317047
IP1_R,0.9139746900160686
IP0_R,-0.31131344088741153
PFop_R,-1.079207864283448
PF_R,-0.9986410033652128
PFm_R,-1.364730188939682
PGi_R,-1.3566135542523468
PGs_R,-0.42784348722417503
V6A_R,-1.419498436283621
VMV1_R,-1.1270982927058182
VMV3_R,-1.14555183662023
PHA2_R,-1.6385973264908866
V4t_R,-1.490052370726031
FST_R,-1.4925043071472879
V3CD_R,-0.46837259622232325
LO3_R,-0.46680495738236044
VMV2_R,-1.2561008006470678
31pd_R,-1.6885752956593774
31a_R,-0.581374946707756
VVC_R,-0.867294367953702
25_R,-2.07886942282021
s32_R,-1.6896104349479582
pOFC_R,-1.975025039063356
PoI1_R,-1.1519900552355105
Ig_R,-1.8616600031043686
FOP5_R,0.6827510879590931
p10p_R,-2.236032440256087
p47r_R,-1.088546254074638
TGv_R,-0.37700389284015967
MBelt_R,-0.49916671731780426
LBelt_R,-0.6090178623412289
A4_R,-0.3375479567536212
STSva_R,2.060005582626435
TE1m_R,-0.009887592130067565
PI_R,0.6939379162018146
a32pr_R,-1.1288762987462635
p24_R,-2.081672115646929
