region,meaning
V1_L,-0.5022449636603276
MST_L,2.3619735477230543
V6_L,-0.42037497914606875
V2_L,-0.02030711107569912
V3_L,0.16438895021746897
V4_L,0.4170936213793648
V8_L,2.2292646032409285
4_L,-0.3747357873318788
3b_L,-0.4959067480469233
FEF_L,3.0114045704287378
PEF_L,4.605672404264093
55b_L,2.1616194040934675
V3A_L,-0.6978425646239157
RSC_L,-1.005670793130794
POS2_L,-0.02542192513649155
V7_L,-0.03926781025641548
IPS1_L,0.7980088717890189
FFC_L,8.46935361213455
V3B_L,0.2181483470034974
LO1_L,0.3211137952278439
LO2_L,1.3537994218705431
PIT_L,3.1314851274337103
MT_L,1.1138220281054592
A1_L,-0.31354864382544145
PSL_L,2.094885203969324
SFL_L,0.4520712318181105
PCV_L,-2.113444829246912
STV_L,2.969852106960966
7Pm_L,-1.5360487457500454
7m_L,-0.8005679248989166
POS1_L,0.36290329915455366
23d_L,-1.6110784637802733
v23ab_L,-0.23372881987015406
d23ab_L,-0.8693727563082085
31pv_L,-0.5689838429374365
5m_L,-1.4631495644540202
5mv_L,-2.111802817361881
23c_L,-1.8385676034440184
5L_L,-0.8041728515174436
24dd_L,-1.4632599347194915
24dv_L,1.2213413974154113
7AL_L,-1.2784691838300142
SCEF_L,4.536605410817084
6ma_L,-0.5427978209544408
7Am_L,-1.0918104620746432
7Pl_L,-1.1899872198185308
7PC_L,-0.6414129632487381
LIPv_L,-0.23827809725501692
VIP_L,-0.9214612365637638
MIP_L,0.41153929086750674
1_L,-0.6287162152778246
2_L,-1.1995818428502876
3a_L,-0.3824417848094616
6d_L,-0.6583715639892194
6mp_L,-1.1230353562444295
6v_L,2.756043798624233
p24pr_L,-1.4201308284473022
33pr_L,-2.0793305200044196
a24pr_L,-1.369529282328072
p32pr_L,2.946668740043093
a24_L,-1.8479967749030624
d32_L,-1.1757833690744162
8BM_L,1.4024709656259948
p32_L,-1.4593923101018693
10r_L,-1.1188704130948717
47m_L,4.140595884911861
