region,emotion regulation
10v_R,2.8433286595197993
a10p_R,1.0788389126831879
10pp_R,1.6787381957930294
11l_R,2.323743164089132
13l_R,1.757542117814408
OFC_R,1.3302851488906937
47s_R,3.142273442215026
LIPd_R,-1.4506316632284095
6a_R,-0.707697188166205
i6-8_R,1.7116266805556564
s6-8_R,0.5957397956419276
43_R,-0.7651596661946238
OP4_R,-1.5118596985442923
OP1_R,-0.9164895874096008
OP2-3_R,-0.980068771359933
52_R,-0.04978234117920489
RI_R,-2.405738030754222
PFcm_R,-1.8941157299615505
PoI2_R,0.454646281222953
TA2_R,-0.28807163336229685
FOP4_R,0.6774944197340935
MI_R,1.1301402373269778
Pir_R,3.742319048890061
AVI_R,2.0028657987808436
AAIC_R,2.257005514423357
FOP1_R,-0.609160653913575
FOP3_R,-0.3874610014276893
FOP2_R,-1.5938316355717912
PFt_R,-1.8877402381044799
AIP_R,-2.632991508716941
EC_R,4.1153716516523025
PreS_R,-0.24615258176024357
H_R,0.38921182462814247
ProS_R,-0.8291811675501063
PeEc_R,-0.34977186120403814
STGa_R,0.8734794795130306
PBelt_R,-1.807353161903965
A5_R,-1.7972153565056803
PHA1_R,-0.02912633091089421
PHA3_R,-0.7514997489593678
STSda_R,-0.7201718009323244
STSdp_R,-1.7755708679270648
STSvp_R,-1.8477079511549592
TGd_R,0.10455599967799142
TE1a_R,-0.5580639354406274
TE1p_R,-1.3287967302455361
TE2a_R,-0.32465348021144996
TF_R,-0.1925451636703739
TE2p_R,-0.04871135778680827
PHT_R,-0.7527851451208898
PH_R,-1.3872339045665152
TPOJ1_R,-1.6904900407569023
TPOJ2_R,-1.1913793935391317
TPOJ3_R,-0.9882758281248484
DVT_R,-1.3142341064932743
PGp_R,-0.7336444337227769
IP2_R,-1.46805705524954
IP1_R,-0.6862831206439839
IP0_R,-1.4758421637902774
PFop_R,-0.8753873321473932
PF_R,-1.2014898469528394
PFm_R,-1.0396378791984515
PGi_R,-1.168773471593556
PGs_R,-0.5087993532852567
V6A_R,-0.497860331798759
VMV1_R,-0.8915827216454641
VMV3_R,-1.3968580219286415
PHA2_R,-0.6003308669589016
V4t_R,-1.5654542899654416
FST_R,-1.151610847413063
V3CD_R,-1.4596869854394994
LO3_R,-0.41263427748729015
VMV2_R,-1.3196557166631335
31pd_R,-0.9697420092931608
31a_R,-1.053218750135994
VVC_R,-1.057788248173164
25_R,3.7081575045732755
s32_R,5.3715316513139735
pOFC_R,2.394059019507792
PoI1_R,0.41474949023773944
Ig_R,-0.6725375746342193
FOP5_R,1.3728019129366944
p10p_R,2.4528488749292396
p47r_R,4.489466027870469
TGv_R,-0.7514468099395788
MBelt_R,-0.5933238993623398
LBelt_R,-1.905571882545387
A4_R,-1.2909067943820558
STSva_R,-0.7747036997139991
TE1m_R,-1.199353195119419
PI_R,0.06794881555902715
a32pr_R,1.8733443812989488
p24_R,2.037376292432754
