region,emotion regulation
V1_L,-1.4269648759405495
MST_L,-1.633626596304517
V6_L,-1.2799339520511266
V2_L,-1.6915383818797844
V3_L,-1.380766545900108
V4_L,-1.3567044507539219
V8_L,-1.1580094481616097
4_L,-1.734519562813559
3b_L,-2.010391708295242
FEF_L,0.018643713485054204
PEF_L,0.005267525801751871
55b_L,0.2552070778884472
V3A_L,-0.9021214202931868
RSC_L,-1.6522332178809123
POS2_L,-1.0493101812863972
V7_L,-1.3057306932475863
IPS1_L,-1.585094306041477
FFC_L,-1.5582539151941601
V3B_L,-1.0925252268859744
LO1_L,-0.8666884317613879
LO2_L,-2.1143105914921274
PIT_L,-1.4472728311880387
MT_L,-1.549954836984438
A1_L,-1.9014905600989163
PSL_L,-1.713100174614252
SFL_L,1.651103729237489
PCV_L,-1.6700966688590053
STV_L,-1.285623341974933
7Pm_L,-1.4863170259761938
7m_L,-1.5574138677001188
POS1_L,-0.760221490236172
23d_L,-1.6119355227678414
v23ab_L,-0.48257565522735957
d23ab_L,-1.8899325126702757
31pv_L,-2.297049145316952
5m_L,-1.605106827301699
5mv_L,-1.6126759061377853
23c_L,-1.7029709189529205
5L_L,-0.5053462136431424
24dd_L,-1.479261522509533
24dv_L,0.6159949014738576
7AL_L,-1.4936393371744012
SCEF_L,0.6511976403434637
6ma_L,0.5778566363568792
7Am_L,-1.1353520527110554
7Pl_L,-0.7649182341477024
7PC_L,-1.7534218717028247
LIPv_L,-1.9833540071770195
VIP_L,-1.1435478990850314
MIP_L,-2.73499434344067
1_L,-1.1898681751309559
2_L,-2.3649380091917607
3a_L,-1.9842040355383301
6d_L,-0.6387011630024576
6mp_L,-1.0104409825460505
6v_L,0.25105481484099795
p24pr_L,0.03383947467830689
33pr_L,0.3407387480864597
a24pr_L,0.5866794498142576
p32pr_L,1.403823114459287
a24_L,4.494925942489364
d32_L,2.5034263373239583
8BM_L,1.9828056227462356
p32_L,3.8962668328971444
10r_L,3.2718041135744906
47m_L,4.079229418861427
8Av_L,1.650791147035757
8Ad_L,1.6050922201885067
9m_L,2.714739854049978
8BL_L,1.4528767478764981
9p_L,2.2616306313433605
10d_L,1.9666303406233112
8C_L,1.7061487777715645
44_L,2.0308106139376054
45_L,1.9232384539646294
47l_L,3.307565102368349
a47r_L,1.8034153189950455
6r_L,-0.12934163833530432
IFJa_L,1.4719664808129223
IFJp_L,-0.3790154678289601
IFSp_L,3.1343995169999386
IFSa_L,1.666715862938557
p9-46v_L,2.298609904926948
46_L,1.632001818660194
a9-46v_L,2.1719651982911192
9-46d_L,2.452467553501712
9a_L,1.8285172465785737
10v_L,2.235799678936996
a10p_L,1.7325898036409153
10pp_L,1.3484673165517524
11l_L,1.4935484153077525
13l_L,2.3880030741940366
OFC_L,2.0782260901246836
47s_L,4.327275401618852
LIPd_L,-1.4564118762938756
6a_L,-0.3892045922921366
i6-8_L,0.9124575464761902
s6-8_L,1.959675534515476
43_L,-0.5806958189653308
OP4_L,-1.314552835252804
OP1_L,-1.961539178343063
OP2-3_L,-0.5843794682403223
52_L,-0.51619619431656
RI_L,-1.5255742332663575
PFcm_L,-2.816597658041197
PoI2_L,0.6502589083072964
TA2_L,0.48494889351942233
FOP4_L,1.125960137470407
MI_L,1.1420438489429967
Pir_L,4.028268375724633
AVI_L,3.205974513443725
AAIC_L,2.7027613900524416
FOP1_L,-0.2640030322433165
FOP3_L,-0.016211280693913397
FOP2_L,-0.6373095633687582
PFt_L,-2.2453861188293316
