region,integration
46_R,-1.1584754317764574
a9-46v_R,-1.179135121189671
9-46d_R,-1.4002416259489743
9a_R,-1.2123442969432596
10v_R,-2.226229314910355
a10p_R,-1.5538366602456926
10pp_R,-1.0096285580018187
11l_R,-1.9267513355602481
13l_R,-2.7196958941552567
OFC_R,-1.5507384418162564
47s_R,-2.068219448102104
LIPd_R,0.3730856650250548
6a_R,1.3744101126290484
i6-8_R,-0.345690139141934
s6-8_R,-1.5197999971030778
43_R,0.9940274454140217
OP4_R,0.8115058816371726
OP1_R,1.4086443858268987
OP2-3_R,0.6824966852219247
52_R,2.8505410431313187
RI_R,0.6487127163416252
PFcm_R,0.5501653132805681
PoI2_R,0.688765755345695
TA2_R,1.4565156914034336
FOP4_R,0.10114855441375824
MI_R,0.8512151027527817
Pir_R,-2.368515289010049
AVI_R,0.07554841636970079
AAIC_R,-1.1890906292760473
FOP1_R,1.3652075779872455
FOP3_R,0.27269702621614755
FOP2_R,1.06471332793692
PFt_R,1.1505193963576368
AIP_R,0.9184214938727896
EC_R,0.8672941386378331
PreS_R,0.9471820599975739
H_R,2.094512962506548
ProS_R,-0.7660832822186293
PeEc_R,0.16868536244562127
STGa_R,-0.8455220660527758
PBelt_R,3.239096459398893
A5_R,4.835605299281982
PHA1_R,0.8709329398053169
PHA3_R,1.6550663631345213
STSda_R,2.65073018663365
STSdp_R,5.785078618874884
STSvp_R,4.456016843192784
TGd_R,-1.382677141716255
TE1a_R,-0.44124823033044513
TE1p_R,0.42447947998052143
TE2a_R,-0.9596395861852659
TF_R,0.15831633762891453
TE2p_R,0.1840749502884514
PHT_R,0.35445948204376004
PH_R,3.223722690969961
TPOJ1_R,2.480415333331772
TPOJ2_R,-0.6513796323031594
TPOJ3_R,-2.603809449514227
DVT_R,-0.1982607421947598
PGp_R,-1.2679209334810224
IP2_R,-0.009716176923482396
IP1_R,-1.33314140243758
IP0_R,1.7149647716101852
PFop_R,-0.3648954417362639
PF_R,0.4798729554190254
PFm_R,-1.4451625647355646
PGi_R,-3.0378737460922665
PGs_R,-1.7139073022892912
V6A_R,-0.32609156689638896
VMV1_R,0.5751122242143342
VMV3_R,1.9353457069032545
PHA2_R,2.460740978940102
V4t_R,4.03218373045113
FST_R,2.310766611752235
V3CD_R,2.043015310310266
LO3_R,-0.47792006483683463
VMV2_R,1.1463274842207816
31pd_R,-1.285963201159431
31a_R,-1.4592851073240722
VVC_R,2.254208923353021
25_R,-2.477444176347375
s32_R,-1.9147192868789706
pOFC_R,-2.3419173505080866
PoI1_R,0.8013267569880365
Ig_R,1.1751904957304329
FOP5_R,-0.7070035389566223
p10p_R,-2.4698517384714336
p47r_R,-2.194244157796738
TGv_R,-0.9034607722214943
MBelt_R,3.5037607627056473
LBelt_R,4.804436121085358
A4_R,2.2044369862866655
STSva_R,2.3841832920184554
TE1m_R,0.2915339796985217
PI_R,-0.34286645403160587
a32pr_R,-2.899131834344438
p24_R,-3.571547929767006
