region,speech production
V1_L,-0.4674324958754931
MST_L,0.016996294942893658
V6_L,-0.8045314348553846
V2_L,-0.3506522191602357
V3_L,-0.48691987765928796
V4_L,-0.41335137743529987
V8_L,-0.6132465806814963
4_L,0.5339301633089886
3b_L,1.427417708679177
FEF_L,1.7099345092591844
PEF_L,1.9560388448588226
55b_L,1.7224677559835981
V3A_L,-0.280429253365894
RSC_L,-0.6784045644865789
POS2_L,-0.7537512978364905
V7_L,-0.7274077110700348
IPS1_L,-1.0691022314693106
FFC_L,-0.5099817643191161
V3B_L,-1.330979272411069
LO1_L,-0.2646426632458216
LO2_L,0.2426704511018503
PIT_L,-0.08257949848837387
MT_L,0.12872125409211105
A1_L,3.0670184138993792
PSL_L,1.7231604992248495
SFL_L,-0.11174759592033269
PCV_L,-1.5571057774290298
STV_L,1.6695078962887437
7Pm_L,-1.2082252255173225
7m_L,-0.9028879678200851
POS1_L,-0.8183581458862564
23d_L,-0.362735535844956
v23ab_L,-1.0440853150634666
d23ab_L,-1.2205939817909992
31pv_L,-1.155294749809769
5m_L,0.005143747752140639
5mv_L,-0.36473237103505257
23c_L,-0.19314664418300692
5L_L,-0.5260092325268768
24dd_L,0.15921109561510943
24dv_L,0.2037296271940005
7AL_L,-0.9037453003614102
SCEF_L,1.6535754514624452
6ma_L,-0.4325024079884642
7Am_L,-0.6237765110496228
7Pl_L,-0.3826806756331358
7PC_L,-0.7214750912256312
LIPv_L,-0.9961453910479162
VIP_L,-0.7684201268816232
MIP_L,-1.2628353674411474
1_L,0.087167169251347
2_L,-0.17519651368026792
3a_L,1.4798457578461297
6d_L,-0.7322060304832279
6mp_L,0.06778054158579576
6v_L,1.879435410574417
p24pr_L,0.03822535638100539
33pr_L,-0.24533537947321923
a24pr_L,0.5514158432935559
p32pr_L,0.36426181615556014
a24_L,-0.33781848834799155
d32_L,-1.1015924214307862
8BM_L,-0.6845782230380113
p32_L,0.0915309497248533
10r_L,-1.6080349936943543
47m_L,-0.5435419973118593
8Av_L,-0.4125281061644687
8Ad_L,-0.19341588383136157
9m_L,-0.6633524966245411
8BL_L,-0.6608100363687842
9p_L,-0.8173605150379836
10d_L,-0.9124583006445837
8C_L,-0.07379008916450565
44_L,2.7036633700470722
45_L,1.3728571132586473
47l_L,1.1390563324891194
a47r_L,-0.3178267466524603
6r_L,3.8178897548335504
IFJa_L,0.11659268831365956
IFJp_L,-0.8902641490598435
IFSp_L,-0.04952970633787312
IFSa_L,0.2501133006029597
p9-46v_L,-0.300865549583811
46_L,-0.637170735781332
a9-46v_L,-0.8814760472618444
9-46d_L,-0.8311527538843954
9a_L,-0.6798359909980953
10v_L,-0.8434567518785063
a10p_L,-0.2881624022589865
10pp_L,-0.3299389587212987
11l_L,-0.3458042936769372
13l_L,-0.9222190360474802
OFC_L,-0.5694553950321682
47s_L,-0.4862876709568481
LIPd_L,-1.5796492678750351
6a_L,-0.9970334337788963
i6-8_L,-0.9689461851813614
s6-8_L,-0.16207314014487922
43_L,4.093969853161577
OP4_L,4.039500206195363
OP1_L,1.378048838979862
OP2-3_L,1.1957917997672456
52_L,2.5596644394386066
RI_L,2.8483861680763574
PFcm_L,1.9100360543086137
PoI2_L,0.47662407436204424
TA2_L,2.8623950953934787
FOP4_L,2.2116268008450044
MI_L,2.2614278607371063
Pir_L,-0.7984135488856935
AVI_L,1.2141502495507028
AAIC_L,0.45166682939780756
FOP1_L,3.7710432055059955
FOP3_L,0.460487504208605
FOP2_L,0.29230144616579146
PFt_L,1.350686143985936
AIP_L,-0.8505454768933369
EC_L,-1.1257109692159657
PreS_L,-0.15180728065664986
H_L,-0.5705641948132768
ProS_L,-0.14954970994374556
PeEc_L,-0.595437799825889
STGa_L,2.2780976759169347
PBelt_L,5.496186094914916
A5_L,8.041728477795049
PHA1_L,-0.4285025466851149
PHA3_L,-0.42369821053484186
STSda_L,4.761887509862297
STSdp_L,8.379879048401882
STSvp_L,7.024462135714942
TGd_L,-0.5956030948727311
TE1a_L,2.0263314660154634
TE1p_L,1.6398507519145507
TE2a_L,-0.023764004210370233
TF_L,-0.2761289393191967
TE2p_L,-0.23375053291697925
PHT_L,0.7709671344114801
PH_L,-0.7692231311080189
TPOJ1_L,6.135205173652098
TPOJ2_L,0.6472694438925931
TPOJ3_L,0.2111176376405231
DVT_L,-1.0083768835682938
PGp_L,-0.5090436176578786
