region,speech production
IP2_L,-1.1933212254341503
IP1_L,-1.3164733518053828
IP0_L,-1.2053243351248208
PFop_L,2.112270800471018
PF_L,0.13470581450953711
PFm_L,-0.2790772613297009
PGi_L,0.14294798751775156
PGs_L,-0.26998681169900707
V6A_L,-0.41755696765340594
VMV1_L,-0.8951581818202891
VMV3_L,-0.7606551755019445
PHA2_L,-0.9099732330701056
V4t_L,0.9250276847082427
FST_L,0.21765651957000856
V3CD_L,-1.3192499400174351
LO3_L,-0.30974556220899113
VMV2_L,-0.9570706243591891
31pd_L,-1.0849507077944134
31a_L,-1.3075620096362646
VVC_L,-0.6630411696367133
25_L,-1.0521231438015137
s32_L,-1.0406775610895125
pOFC_L,-0.9631018906909975
PoI1_L,1.0557742444491063
Ig_L,0.4390236185963731
FOP5_L,1.162060683454638
p10p_L,-0.5309600721095564
p47r_L,-0.5274051873976058
TGv_L,-0.4371295596633858
MBelt_L,3.4435812709172993
LBelt_L,5.030047804487832
A4_L,4.92212276381964
STSva_L,3.4491093338307213
TE1m_L,2.2948522983467683
PI_L,1.097684010372743
a32pr_L,-0.8257881334161807
p24_L,-0.7591724240150539
V1_R,-0.6042683548382384
MST_R,-1.0532724236524786
V6_R,-1.0851018904979048
V2_R,-0.40045247033663217
V3_R,-0.3326353249420085
V4_R,-0.315005467466094
V8_R,-0.3383980920886016
4_R,0.8383138434084707
3b_R,1.316757236777216
FEF_R,0.1640606392019472
PEF_R,1.1994343674872119
55b_R,1.1312975205278075
V3A_R,-0.5415986989039856
RSC_R,-0.36135844276015006
POS2_R,-1.0968344721750742
V7_R,-1.0068679969489973
IPS1_R,-1.570201277795419
FFC_R,-0.313221452514214
V3B_R,-0.7288252611100838
LO1_R,-0.9060082209542478
LO2_R,-0.36145936066053197
PIT_R,-0.4543010124233954
MT_R,-0.8592451481077856
A1_R,3.135695347733553
PSL_R,-0.20510806546658708
SFL_R,-0.3815402177044878
PCV_R,-1.4971511709616998
STV_R,0.015739957670029465
7Pm_R,-2.004510800272042
7m_R,-1.285687078279627
POS1_R,-0.9826053228540931
23d_R,-0.6707572890482634
v23ab_R,-0.9472120823469834
d23ab_R,-0.7152609260356497
31pv_R,-0.3852162555509955
5m_R,-0.16526330593122515
5mv_R,-0.41808685645823923
23c_R,-0.8388242743774641
5L_R,-0.4321496811075515
24dd_R,0.012286995545969587
24dv_R,0.1312700828204978
7AL_R,-0.40884559928531494
SCEF_R,0.41740928155490853
6ma_R,-0.7052568766086075
7Am_R,-0.7762106284838006
7Pl_R,-0.8183007701242758
7PC_R,-0.34279021668175824
LIPv_R,-0.8748673708433963
VIP_R,-0.9646336738413545
MIP_R,-1.6915074045685983
1_R,0.9099508629195443
2_R,-0.38755368128477596
3a_R,0.9320526584781216
6d_R,-0.7697678142867904
6mp_R,-0.7339816445354924
6v_R,0.9745584404378123
p24pr_R,-0.13622605142724464
33pr_R,-0.39737494648766225
a24pr_R,-0.3179839088478903
p32pr_R,-0.09919493404395167
a24_R,-1.345278958142926
d32_R,-1.2422593968097908
8BM_R,-1.0009430149961414
p32_R,-1.5057903088775013
10r_R,-1.5688282925081714
47m_R,-0.9967776881792305
8Av_R,-0.9083032330585007
8Ad_R,-1.1169146863146915
9m_R,-1.275321070366858
8BL_R,-0.7364766179938825
9p_R,0.21509882470943728
10d_R,-0.6472991169066098
8C_R,-1.1513013036959312
44_R,-0.026390833614476663
45_R,-0.032355106529033034
47l_R,-0.6539054591774688
a47r_R,-0.9527950458779546
6r_R,-0.1207413972833678
IFJa_R,-0.5464967140706534
IFJp_R,-1.0199049567312028
IFSp_R,-0.8676361320693926
IFSa_R,-1.0053606653501745
p9-46v_R,-0.9989656199242426
46_R,-0.998297768495581
a9-46v_R,-1.0307733645800108
9-46d_R,-0.5513048606657271
9a_R,-0.3654867676676061
10v_R,-1.086141742845056
a10p_R,-0.6823816349890863
10pp_R,-0.4584548954840918
11l_R,-0.545323011004331
13l_R,-0.7972466633542241
OFC_R,-0.7249219054235609
47s_R,-1.0278605511251937
LIPd_R,-1.550538490515998
6a_R,-1.3062056700086706
i6-8_R,-1.3208164217069611
s6-8_R,-0.8117142329566136
43_R,0.9942888991762352
OP4_R,2.2874388579928278
OP1_R,1.2483960240947503
OP2-3_R,0.7746838311225817
52_R,2.617554906698881
RI_R,1.1910054943052877
PFcm_R,0.9973107293834581
PoI2_R,-0.327821480804153
TA2_R,2.4144904946392987
FOP4_R,0.24800646905927687
MI_R,0.07202863907003311
Pir_R,-1.001805038931174
AVI_R,-0.35891664394467404
AAIC_R,-0.6382439748518863
FOP1_R,0.44154847331468433
FOP3_R,-0.3454529307370492
FOP2_R,0.0766104771948744
PFt_R,-0.46383381954981173
AIP_R,-1.37835500465945
EC_R,-0.8773070995740301
PreS_R,-0.989116990066755
H_R,-0.9820099700714005
ProS_R,-0.5331900215582954
PeEc_R,-0.9502777558495743
STGa_R,1.7688205917314457
PBelt_R,3.2733693117014524
A5_R,7.523259220433153
PHA1_R,-0.7764185645512136
PHA3_R,-0.6249942778484843
STSda_R,4.883346145849836
STSdp_R,8.336722906988593
STSvp_R,7.7640496157008405
TGd_R,-0.540838473060313
TE1a_R,0.9695160791297053
TE1p_R,1.4102328896201124
TE2a_R,-0.39370702293310345
TF_R,-0.7062109639585148
TE2p_R,-0.29111662950543754
PHT_R,0.014070289263584352
PH_R,0.015505239867618918
TPOJ1_R,2.786517565777992
TPOJ2_R,-0.5741673399634768
TPOJ3_R,-0.3446918435403559
DVT_R,-1.0315597979532176
PGp_R,-0.954778516749825
IP2_R,-1.447279168052122
IP1_R,-1.5873629005945644
IP0_R,-0.8556128276134047
PFop_R,0.24348867171502417
PF_R,-0.13489361578686546
PFm_R,-0.762615587937324
PGi_R,-0.6447444187850714
PGs_R,-0.8136769461935015
V6A_R,-1.2213724488121533
VMV1_R,-0.9460509395997967
VMV3_R,-0.8285849397093177
PHA2_R,-0.8903963205298749
V4t_R,0.732147733938978
FST_R,-0.26819265377112955
V3CD_R,-0.9422879004981252
LO3_R,-1.1167543912171425
VMV2_R,-1.0569525264613295
31pd_R,-1.0800097412971856
31a_R,-0.8681678035664651
VVC_R,-0.6936480004692266
25_R,-1.4939773805798855
s32_R,-1.2819165007532105
pOFC_R,-1.3345926573963118
PoI1_R,-0.2011675036750014
Ig_R,0.20588111488666527
FOP5_R,-0.28469573764622935
p10p_R,-1.2718147201367462
p47r_R,-1.2162627578511434
TGv_R,-0.6098286688701596
MBelt_R,3.4442292435317636
LBelt_R,3.8494571759723195
A4_R,3.459337995559187
STSva_R,4.301745240638039
TE1m_R,2.246390976230309
PI_R,0.21273543907134973
a32pr_R,-1.3572832683690732
p24_R,-1.5085831866029227
