region,action
9-46d_L,-0.9145020286287562
9a_L,-0.8328614606462019
10v_L,-1.0541143327272922
a10p_L,-0.9084567816878462
10pp_L,-0.7792138092106767
11l_L,-1.3916660240033378
13l_L,-1.819757520983709
OFC_L,-1.2967577067495402
47s_L,-2.161587974665438
LIPd_L,3.6632156161450617
6a_L,6.644456682851975
i6-8_L,3.273763072838898
s6-8_L,0.5255643893162222
43_L,2.2366675231287236
OP4_L,0.814830047366865
OP1_L,0.35542730658169547
OP2-3_L,0.09570091501065499
52_L,-1.4066035840158693
RI_L,0.8264941706889742
PFcm_L,2.6739958382658466
PoI2_L,-0.8031146178525658
TA2_L,-1.5498775866779377
FOP4_L,-0.5471613187573742
MI_L,-0.5544497106057236
Pir_L,-1.5094723027072747
AVI_L,-1.5864060479841862
AAIC_L,-1.4557581800656578
FOP1_L,1.7600641965352173
FOP3_L,0.5951990190300327
FOP2_L,1.368524740995713
PFt_L,7.196728363489474
AIP_L,8.118983032405742
EC_L,-1.8343345645426854
PreS_L,-2.01564379295852
H_L,-1.8955030562590496
ProS_L,-1.6704536542505242
PeEc_L,-1.4292382010917828
STGa_L,-1.2835702988151978
PBelt_L,-0.9958012607646701
A5_L,-1.29458447227448
PHA1_L,-1.5105810872642713
PHA3_L,-0.9465486550186749
STSda_L,-1.2048932141122224
STSdp_L,-1.339748073345724
STSvp_L,-0.7868679190245893
TGd_L,-1.014407454129169
TE1a_L,-0.44438671975144856
TE1p_L,-0.5893782668294458
TE2a_L,-0.7147409909821423
TF_L,-0.928362605165128
TE2p_L,0.20595033999484347
PHT_L,2.1457075328556354
PH_L,3.8914785518181305
TPOJ1_L,2.116750409442849
TPOJ2_L,0.6404106610552295
TPOJ3_L,-0.6026533082069673
DVT_L,0.6598783659125219
PGp_L,0.014074836828887959
IP2_L,6.570849207171443
IP1_L,1.6710768955837885
IP0_L,1.0734261945382728
PFop_L,3.629143726519768
PF_L,5.530858967683368
PFm_L,2.295855866615891
PGi_L,-0.036292445066875546
PGs_L,-0.06694661798152617
V6A_L,0.6015375593706105
VMV1_L,-0.7685408494346628
VMV3_L,0.7108699976950567
PHA2_L,-1.607739740628953
V4t_L,3.9719019681343264
FST_L,5.115255286841459
V3CD_L,-0.17333523286194266
LO3_L,-0.09614451879618013
VMV2_L,-0.1418822287317461
31pd_L,-1.284404835799611
31a_L,-1.3140234609328147
VVC_L,-0.02807144427572406
25_L,-2.052164746178913
s32_L,-1.166286067992494
pOFC_L,-1.7145842929359212
PoI1_L,-1.6478096157634046
Ig_L,-0.471018031419541
FOP5_L,-1.608054859217411
p10p_L,-1.0343629422008456
p47r_L,-0.6908976324263938
TGv_L,-0.7995893317498538
MBelt_L,-1.398986530754655
LBelt_L,-1.3408378402939096
A4_L,-0.42402319507734815
STSva_L,-0.8281121631666964
TE1m_L,-1.1424838800206596
PI_L,-1.3492079803351447
a32pr_L,-1.5565927177748604
p24_L,-2.4405571066569816
V1_R,-0.4763937486483099
MST_R,3.514283070103905
V6_R,0.20667306916120537
V2_R,-0.6508681897564398
V3_R,-0.26773822188076035
V4_R,-0.0373540130792705
V8_R,-0.8281317773770719
4_R,1.800421415166458
3b_R,1.7945846644324823
FEF_R,3.5415857400266644
PEF_R,1.9648806866350674
55b_R,1.9263295204220812
V3A_R,0.4033108968152297
RSC_R,-0.9838157423665269
POS2_R,-0.08974048196509636
V7_R,1.7819414572443988
IPS1_R,1.8184455145264808
FFC_R,0.29396264607545625
V3B_R,0.9646750005189518
LO1_R,1.699679871441375
LO2_R,2.181587112783235
PIT_R,-0.05679064096324968
MT_R,2.411308396090516
A1_R,-1.7157975458635133
PSL_R,0.9777449820235158
SFL_R,0.44889940635004255
PCV_R,-0.06475941068222964
STV_R,1.6471155375014366
7Pm_R,2.099068009104377
7m_R,-1.584684233706448
POS1_R,-1.9831234953217949
23d_R,-0.5741122360803397
v23ab_R,-1.725879843052781
d23ab_R,-1.1048801753450197
31pv_R,-0.892056301173826
5m_R,0.0453007464420053
5mv_R,-0.21134119892964023
23c_R,-0.611941593298501
5L_R,0.4794929228320814
24dd_R,1.0957292343717908
24dv_R,1.6982205629647078
7AL_R,2.7888633829427354
SCEF_R,0.7514374466059095
6ma_R,0.5850010692819814
7Am_R,2.6830289687630167
7Pl_R,3.011249703046536
7PC_R,2.8287306738573172
LIPv_R,5.981304399598761
VIP_R,3.931198980259408
MIP_R,3.0814824950930633
1_R,1.4901114900586783
2_R,2.728371113043576
3a_R,1.2776785855810289
6d_R,2.66537065423719
6mp_R,1.8282238003862574
6v_R,1.7455100575674924
p24pr_R,-0.2706506029963312
33pr_R,-1.383149210151202
a24pr_R,-0.47189828245891774
p32pr_R,-0.3258495075923791
a24_R,-2.4554748101676593
d32_R,-1.609420642413295
8BM_R,-0.335955359724883
p32_R,-2.0638465586367736
10r_R,-2.1472396768464876
47m_R,-1.3286654994912142
8Av_R,-0.4352433596039349
8Ad_R,-1.2378961369584696
9m_R,-1.3717500457515197
8BL_R,-0.5145211064933082
9p_R,-1.5219621686434097
10d_R,-0.14712200528178856
8C_R,-0.8602009086768354
44_R,-0.4415522827382687
45_R,-1.0496039954396428
47l_R,-1.3530911513959938
a47r_R,-1.2013529387856017
6r_R,1.3243559697539204
IFJa_R,-0.9376711055574247
IFJp_R,-0.14213904441233657
IFSp_R,-1.1228884624319242
IFSa_R,-0.9552101315572605
p9-46v_R,-0.8517120481170112
46_R,-0.8952413996252879
a9-46v_R,-0.8032619529105364
9-46d_R,-1.095705296128122
9a_R,-0.46356493530830406
10v_R,-1.2051859878363196
a10p_R,-1.4175548239877196
10pp_R,-0.7524328903993556
11l_R,-1.1449437808913785
13l_R,-1.904998208816382
OFC_R,-1.1735782571973556
47s_R,-1.9258797088711084
LIPd_R,3.923128208973719
6a_R,2.922144198729158
i6-8_R,-0.354090270471218
s6-8_R,0.09773005071000228
43_R,1.6505505926816586
OP4_R,-0.8376451113336595
OP1_R,-0.33326886287086943
OP2-3_R,-1.0456274527749863
52_R,-2.1608701007564304
RI_R,0.001865360101736314
PFcm_R,1.455050607102025
PoI2_R,-1.598719535602818
TA2_R,-1.4412827436874303
FOP4_R,-1.5594357653580866
MI_R,-1.4955832454918319
Pir_R,-1.9525215248439933
AVI_R,-1.2284906389392896
AAIC_R,-2.041236867931601
FOP1_R,-0.20013107151317155
FOP3_R,-1.283943769763255
FOP2_R,-0.7384524980471281
PFt_R,3.7000059469809163
AIP_R,6.806590475329264
EC_R,-1.7540080749363431
PreS_R,-1.3623351307438762
H_R,-1.9668257135431084
ProS_R,-0.8133741010427313
PeEc_R,-1.1501102270745556
STGa_R,-1.2773853394655335
PBelt_R,-1.744525862259
A5_R,-1.402821769695338
PHA1_R,-1.6770767563634845
PHA3_R,-1.3438523327059926
STSda_R,-1.619730392633642
STSdp_R,-0.9877299536074121
STSvp_R,-0.47059875389406103
TGd_R,-1.0682554187044118
TE1a_R,-0.8890656919826874
TE1p_R,-0.23032349310048933
TE2a_R,-0.8344893975260183
TF_R,-0.6629194526691211
TE2p_R,-0.4378850086330188
PHT_R,0.4445283623762567
PH_R,2.598975505917503
TPOJ1_R,1.402216616730964
TPOJ2_R,0.9260198953430805
TPOJ3_R,-1.0636644301772378
DVT_R,0.9610158465526898
PGp_R,-0.37850434774284314
IP2_R,4.5835681057081
IP1_R,1.2454298516110487
IP0_R,1.2563160906373172
PFop_R,1.058350496595557
PF_R,2.49081349742653
PFm_R,1.359233539103341
PGi_R,-0.2454490277437131
PGs_R,0.3330713277585192
V6A_R,1.09547374031284
VMV1_R,-1.1899281276318665
VMV3_R,0.019386016482592156
PHA2_R,-1.753625327559267
V4t_R,5.843534877568646
FST_R,4.0727382985568585
V3CD_R,0.6484928846096671
LO3_R,0.5259892151768109
VMV2_R,-0.678470983591891
31pd_R,-0.9684902113246744
31a_R,-0.8706484738061971
VVC_R,-0.719690214964531
25_R,-1.8635458654830066
s32_R,-1.6035039710021546
pOFC_R,-1.6582096664566142
PoI1_R,-2.0597878243320302
Ig_R,-1.0472426119839198
FOP5_R,-1.41481667355133
p10p_R,-1.4567549625948242
p47r_R,-0.7137615456100614
TGv_R,-0.735983699000497
MBelt_R,-1.8643355107715112
LBelt_R,-1.8264647791050417
A4_R,-1.177124769783646
STSva_R,-1.5654570427798724
TE1m_R,-1.0410715712534517
PI_R,-1.972880039689137
a32pr_R,-0.7476121852344525
p24_R,-1.993819562234645
