region,action
V1_L,-1.033040805700184
MST_L,1.1290501229959289
V6_L,0.5557462037478834
V2_L,-0.6117731239441679
V3_L,-0.06561790400592238
V4_L,-0.03467780143687674
V8_L,-0.06302685322602314
4_L,3.0015272749217154
3b_L,2.1969518496695115
FEF_L,4.414462788358957
PEF_L,3.7772136337642026
55b_L,1.1992335136577126
V3A_L,0.9536984382910743
RSC_L,-1.4002984211666967
POS2_L,0.318616587381465
V7_L,1.0904615851859596
IPS1_L,2.0094923215289784
FFC_L,0.9912121405786021
V3B_L,-0.11326135554553532
LO1_L,0.02315419668225081
LO2_L,3.3857794065896676
PIT_L,2.6837927881491743
MT_L,1.4778356556949568
A1_L,-1.228202751537784
PSL_L,2.537041519387396
SFL_L,0.214520788727667
PCV_L,-0.9493051376115378
STV_L,1.6130084931806765
7Pm_L,0.867457611289683
7m_L,-1.0465765498232997
POS1_L,-1.6862823086176046
23d_L,-0.6760124584956411
v23ab_L,-2.0655421677274757
d23ab_L,-1.576926298943705
31pv_L,-1.6002128694951767
5m_L,-0.5421388461923039
5mv_L,-0.22133774111051652
23c_L,-0.3043849921915491
5L_L,-0.11176227458125947
24dd_L,1.659013695505286
24dv_L,1.2593389411877227
7AL_L,1.9252007818504546
SCEF_L,1.6117244030058209
6ma_L,1.3120943339255138
7Am_L,1.5500380220018617
7Pl_L,2.6973000509716174
7PC_L,5.412677517560893
LIPv_L,6.625406258356532
VIP_L,3.743123334808249
MIP_L,3.063039276282068
1_L,1.0059940154259845
2_L,2.698082964420978
3a_L,1.9997942246586335
6d_L,2.3133736751033482
6mp_L,1.1588975120474347
6v_L,3.8113721500461866
p24pr_L,0.09876966116577052
33pr_L,-1.2573302103489814
a24pr_L,-1.5426089793451077
p32pr_L,-0.6050016073878263
a24_L,-2.3141402358342473
d32_L,-2.1700628332551957
8BM_L,-0.7103731853372657
p32_L,-2.087308982907428
10r_L,-1.6570842697187125
47m_L,-1.7210014999908902
8Av_L,-0.31910074979631176
8Ad_L,-1.0154669438184245
9m_L,-1.8131180764529033
8BL_L,-0.5776796065897305
9p_L,-1.0714556420764711
10d_L,-0.9392937633478268
8C_L,-0.0570526926109136
44_L,0.6732073058019533
45_L,-0.8709656934232101
47l_L,-0.9898477702942745
a47r_L,-0.28379655456891273
6r_L,3.287925269572153
IFJa_L,0.1196137885107793
IFJp_L,0.656951155986594
IFSp_L,-0.5357616009394102
IFSa_L,-0.3428457304219565
p9-46v_L,-0.29823209688148367
46_L,-0.3605942388349352
a9-46v_L,-0.2666178871610262
