region,concept
V1_L,-0.37099346719056875
MST_L,3.1262288487446077
V6_L,0.10256256463503231
V2_L,-0.02929392330561079
V3_L,0.2320468243636593
V4_L,0.831650016491882
V8_L,3.531342103857441
4_L,-0.31192904942724325
3b_L,-0.17972606635837757
FEF_L,1.677879835447686
PEF_L,1.1888267739120364
55b_L,1.0699889344271336
V3A_L,-0.2195674838436592
RSC_L,-1.3438386148976862
POS2_L,0.13691884268868235
V7_L,0.9583119437420548
IPS1_L,2.4389417973413234
FFC_L,8.033724448781173
V3B_L,0.5376895943923051
LO1_L,1.5993614445455389
LO2_L,3.2338929607236664
PIT_L,6.136080755899234
MT_L,3.14157776429287
A1_L,-0.2695013102061371
PSL_L,1.4499506238370483
SFL_L,-0.7852469102923992
PCV_L,-1.9166528594174614
STV_L,2.619605425879356
7Pm_L,-1.1664145989331756
7m_L,-1.3368312806090268
POS1_L,0.2525351119094783
23d_L,-0.9488572380877849
v23ab_L,-0.47271790894890003
d23ab_L,-1.2728339879751345
31pv_L,-0.7815815031498236
5m_L,-0.9986625152746419
5mv_L,-1.9530242253458003
23c_L,-1.6956459622924265
5L_L,-0.47009572386657744
24dd_L,-1.1391421937109623
24dv_L,-0.7872426148481014
7AL_L,-0.7895452170731622
SCEF_L,1.2361070201113493
6ma_L,-0.8971099036582387
7Am_L,-0.36438151860205653
7Pl_L,0.1790423621551276
7PC_L,0.6766437877299455
LIPv_L,0.9682394066881274
VIP_L,-0.002519021079843396
MIP_L,0.9405808837490481
1_L,-0.3434577443691598
2_L,-0.09272650918080143
3a_L,-0.441909477858804
6d_L,-0.3968021374456263
6mp_L,-0.7437301812960774
6v_L,0.9486999834906393
p24pr_L,-1.3735713585394353
33pr_L,-2.1292558936393857
a24pr_L,-2.400165274605442
p32pr_L,0.21809112726332655
a24_L,-2.878453183285664
d32_L,-2.1307941826630556
8BM_L,-0.13867326298869767
p32_L,-2.631386471658428
10r_L,-1.8426644925930373
47m_L,1.7423766907009384
8Av_L,-0.04059568389935274
8Ad_L,-0.7460612683033068
9m_L,-2.2191564656527225
8BL_L,-0.5235633956215378
9p_L,-1.3332937427019405
10d_L,-1.4001129356168813
8C_L,-0.3670719394808276
44_L,3.9917686990737904
45_L,3.1700861254475736
47l_L,1.5656288010224118
a47r_L,0.040396422177018027
6r_L,2.704012099913623
IFJa_L,2.932228548630743
IFJp_L,1.9947073774139343
IFSp_L,3.373405749076156
IFSa_L,3.308072860361598
p9-46v_L,0.0550419087046823
46_L,-1.175878071910367
a9-46v_L,-1.2823723612265732
9-46d_L,-1.6367544165515557
9a_L,-1.3738920855975767
10v_L,-1.0370803146647074
a10p_L,-1.520924970955862
10pp_L,-0.6047244726968933
11l_L,-1.3896384688721473
13l_L,-1.231450716422788
OFC_L,-0.874376504133183
47s_L,-0.2686178095211822
LIPd_L,2.3119958346823415
6a_L,-0.04194544311280582
i6-8_L,-0.05030481688312941
s6-8_L,-0.6402106756426736
43_L,0.4787098972365395
OP4_L,0.441168812799005
OP1_L,-0.605246062888607
OP2-3_L,-0.7969205196591347
52_L,0.6607063819089929
RI_L,0.3898413268636732
PFcm_L,-0.6201090121979879
PoI2_L,-0.5605518977338187
TA2_L,2.746494450339226
FOP4_L,0.5796688325802244
MI_L,-0.7245827645814685
Pir_L,-0.7979171909228276
AVI_L,0.08955786360565081
AAIC_L,-0.8719374788502825
FOP1_L,1.530439874926091
FOP3_L,-0.05554365355141952
FOP2_L,0.6931357590011675
PFt_L,0.639839564386295
AIP_L,2.4409549912905297
EC_L,0.5568140532379817
PreS_L,-0.06099696611069985
H_L,1.119544968716866
ProS_L,-0.4457678968742731
PeEc_L,3.2661283920307946
STGa_L,3.5925613945329182
PBelt_L,1.6228819886458445
A5_L,3.744509504715833
PHA1_L,1.3050163911275956
PHA3_L,3.553651096391796
STSda_L,6.041272382130506
STSdp_L,5.26603679552905
STSvp_L,7.070490408739427
TGd_L,2.682898869742007
TE1a_L,3.2716638232982054
TE1p_L,4.275747755134689
TE2a_L,1.923765435554797
TF_L,5.190315376794355
TE2p_L,4.140489066307539
PHT_L,4.133425034850361
PH_L,6.1089123413817
TPOJ1_L,5.673506512747805
TPOJ2_L,3.353583453884873
TPOJ3_L,2.485790740234912
