region,concept
DVT_L,0.9319190765893128
PGp_L,0.8605318305489059
IP2_L,2.0679110496423556
IP1_L,2.5569716792501915
IP0_L,1.2747790342153764
PFop_L,-0.5213552755929877
PF_L,1.011177197477104
PFm_L,0.6002027067230951
PGi_L,1.5331694762290788
PGs_L,0.43473921152750306
V6A_L,0.8914384221605698
VMV1_L,0.0024644923035020885
VMV3_L,0.4757339028140857
PHA2_L,1.4496704240286873
V4t_L,2.5862851167381313
FST_L,3.9578006299528568
V3CD_L,1.1928120069354522
LO3_L,2.250825120569171
VMV2_L,-0.5373079243805917
31pd_L,-0.7080129054781916
31a_L,-1.5597241825505042
VVC_L,4.468805254792519
25_L,-2.2218219907819714
s32_L,-1.9589911746340136
pOFC_L,-1.4642256419402335
PoI1_L,-0.30279060190320567
Ig_L,-1.5101133665483395
FOP5_L,1.0459397623620703
p10p_L,-1.586576574370661
p47r_L,0.2731577949662278
TGv_L,2.969287524900912
MBelt_L,1.4669180221876559
LBelt_L,0.8986628282633295
A4_L,1.5388121938309531
STSva_L,5.832454006304126
TE1m_L,2.1673090869558074
PI_L,3.3991233411102644
a32pr_L,-1.5109262456794519
p24_L,-3.218321708784792
V1_R,-0.14162766700551177
MST_R,1.5131172251810694
V6_R,-0.19386875685089497
V2_R,-0.21917670542857057
V3_R,0.12631544505994632
V4_R,0.9996003189561901
V8_R,0.48997305773791416
4_R,-0.3868368303084378
3b_R,-0.06354080563053212
FEF_R,-0.2786491474077236
PEF_R,-1.1050943185780957
55b_R,-0.5980076535409579
V3A_R,-0.8119146185534794
RSC_R,-0.6481226391614157
POS2_R,-1.0571850621858234
V7_R,1.041044053228279
IPS1_R,0.5622652025504257
FFC_R,2.3566869622248565
V3B_R,1.3337469891398808
LO1_R,0.8876368032920248
LO2_R,1.6554155128283965
PIT_R,3.1250097823961616
MT_R,0.3378638738793269
A1_R,-0.9808954984548905
PSL_R,-0.8309825344179324
SFL_R,-1.4156404910458253
PCV_R,-1.4491914605200387
STV_R,-0.8125739813449889
7Pm_R,-1.2290792856302895
7m_R,-1.5181292283702188
POS1_R,-1.0079352403215471
23d_R,-1.0816463734354123
v23ab_R,-1.5722904327848688
d23ab_R,-1.305611725472095
31pv_R,-0.9237799357020385
5m_R,-0.8802718002917947
5mv_R,-1.2749422365324001
23c_R,-1.3308006520028304
5L_R,0.002716762951449082
24dd_R,-1.336052174392269
24dv_R,-0.6791501624040018
7AL_R,1.1247634523479926
SCEF_R,-1.065586491683855
6ma_R,-1.4352143436328575
7Am_R,-0.29187057144949735
7Pl_R,-1.1073785022250802
7PC_R,0.24921444384474506
LIPv_R,0.31021491166481735
VIP_R,0.8032323522136636
MIP_R,0.5471545510470947
1_R,-0.09827133714899476
2_R,-0.3273741841766448
3a_R,-0.4484299896796489
6d_R,0.44962105516354
6mp_R,-1.0063710771090102
6v_R,-0.7432387214830988
p24pr_R,-1.1923759548940966
33pr_R,-2.3674089278386385
a24pr_R,-2.857362223710795
p32pr_R,-1.3836538982988846
a24_R,-3.3175242381854066
d32_R,-2.811851429782821
8BM_R,-1.51934165313367
p32_R,-2.8289136917029145
10r_R,-2.8690005810576165
47m_R,0.060378536596393514
8Av_R,-1.4399944441464534
8Ad_R,-1.5224617535513623
9m_R,-2.4929041139997983
8BL_R,-1.6540733222941209
9p_R,-2.024148460330379
10d_R,-0.7732575569343765
8C_R,-2.184879240772957
44_R,-0.41682433414088155
45_R,-0.42674081736595604
47l_R,0.3926845733835228
a47r_R,-1.2657332527822929
6r_R,-0.4906789152171719
IFJa_R,-0.9221410642957919
IFJp_R,-1.9116579322978513
IFSp_R,-1.6064553362261447
IFSa_R,-1.0839293317162053
p9-46v_R,-1.43026373655457
46_R,-1.9026900228924468
a9-46v_R,-1.339413631483177
9-46d_R,-2.062128111383829
9a_R,-1.5449719443270704
10v_R,-1.5448645903621012
a10p_R,-1.0652416317590079
10pp_R,-0.7546130767995438
11l_R,-1.1744628905456433
13l_R,-1.8282150402050739
OFC_R,-1.1201347461035165
47s_R,-0.9995360887189462
LIPd_R,-0.9318980272975567
6a_R,-1.289323337605412
i6-8_R,-0.4535359053988198
s6-8_R,-1.444011178027351
43_R,0.047159387975163926
OP4_R,-0.2690852478848495
OP1_R,-0.8789888910698695
OP2-3_R,-1.14520954646329
52_R,-0.5240807007010525
RI_R,-1.4149189003774076
PFcm_R,-1.3407234958098697
PoI2_R,-1.4264055494567789
TA2_R,0.8128968243053468
FOP4_R,-2.2186217568387443
MI_R,-1.8791177602616302
Pir_R,-0.8589493766022689
AVI_R,-0.1649892790637069
AAIC_R,-1.2082384400774908
FOP1_R,-1.362884284519242
FOP3_R,-2.3279744827985187
FOP2_R,-1.2749739727575717
PFt_R,-0.20105072953356723
AIP_R,-0.42336442031913035
EC_R,0.7338809136226246
PreS_R,0.13487377565162287
H_R,1.027646249874559
ProS_R,0.08674469820831963
PeEc_R,2.111790127762774
STGa_R,2.4184340882591746
PBelt_R,0.1788979394043464
A5_R,1.9930389622575253
PHA1_R,1.089923372242902
PHA3_R,1.3652913161392288
STSda_R,3.838416420704038
STSdp_R,2.6097394979744593
STSvp_R,3.5927776769213957
TGd_R,1.8073472670150401
TE1a_R,2.524499882786132
TE1p_R,2.1490340938817596
TE2a_R,2.359851509719161
TF_R,1.7558296839658163
TE2p_R,0.9255189078785336
PHT_R,2.0847977725687676
PH_R,3.1614202355297145
TPOJ1_R,1.4374690345732402
TPOJ2_R,0.845806400746356
TPOJ3_R,-0.4656744128070553
DVT_R,-0.5619822313571715
PGp_R,0.4827027067167842
IP2_R,-0.4274121758978436
IP1_R,0.8849420314784341
IP0_R,1.8139323590954237
PFop_R,-0.4438404159493401
PF_R,-0.2639550559125584
PFm_R,-0.8706994081392787
PGi_R,-0.5241994209670716
PGs_R,0.15547590706344777
V6A_R,-0.3619224982437749
VMV1_R,0.2130911438244174
VMV3_R,1.4752448673352763
PHA2_R,1.180299045694321
V4t_R,1.1729627335907635
FST_R,1.8602607173492898
V3CD_R,0.9501259410248187
LO3_R,-0.09721171193234406
VMV2_R,0.9139435645005016
31pd_R,-0.9703759273455476
31a_R,-1.1358678488820346
VVC_R,2.5181348154184815
25_R,-2.6447910365398606
s32_R,-2.230387628900018
pOFC_R,-1.9878165982719826
PoI1_R,-0.9599124009222224
Ig_R,-2.051748767482782
FOP5_R,-1.0324632166493566
p10p_R,-1.8304266894439822
p47r_R,-1.415435404240786
TGv_R,2.818897347899986
MBelt_R,0.30304760263495073
LBelt_R,-0.7139476569767202
A4_R,0.38497282903453733
STSva_R,3.537921494421573
TE1m_R,1.3251630078116354
PI_R,1.2401969226283376
a32pr_R,-2.187526311658283
p24_R,-3.133499459941328
