region,rhythm
V1_L,-1.1042694699977456
MST_L,-3.1090373502632636
V6_L,-0.6508801808302401
V2_L,-1.3839639186879418
V3_L,-1.09965030824588
V4_L,-1.4465807124618009
V8_L,-1.3042655845332523
4_L,5.942705190780445
3b_L,5.912964435542868
FEF_L,4.57066537099515
PEF_L,1.0796061562516912
55b_L,1.7321498822098393
V3A_L,-0.19918832077463494
RSC_L,-1.9253610461471822
POS2_L,-1.9980699202189145
V7_L,-1.13492703343737
IPS1_L,-0.8579826812809295
FFC_L,-1.9576674466355433
V3B_L,-2.6987913597647415
LO1_L,-1.5458301743680416
LO2_L,-0.390865861546839
PIT_L,-0.3017387710880695
MT_L,-3.2474853578703637
A1_L,11.414801485160734
PSL_L,1.2222831497945472
SFL_L,-0.0913316407518881
PCV_L,-1.1363169243171403
STV_L,0.3665515363101614
7Pm_L,-0.8369571937422923
7m_L,-3.06139307491374
POS1_L,-3.109250818036894
23d_L,0.5310470484321379
v23ab_L,-3.036113006619928
d23ab_L,-2.0848132988591663
31pv_L,-2.698641707138378
5m_L,1.6514634693960133
5mv_L,0.8506715481089343
23c_L,0.3508418392218945
5L_L,1.6406879500205072
24dd_L,6.599197390759114
24dv_L,3.699889243635078
7AL_L,1.1213700316941924
SCEF_L,2.7610515688203234
6ma_L,0.4467075552270835
7Am_L,0.46523431635951423
7Pl_L,0.49730011313324646
7PC_L,2.342413456316928
LIPv_L,0.020800542723427996
VIP_L,0.804658592732927
MIP_L,-0.6837356212706558
1_L,2.601531218272862
2_L,4.377348895944146
3a_L,4.089514480265435
6d_L,4.360944940380198
6mp_L,3.9515311985338957
6v_L,1.5874654954548006
p24pr_L,2.126821516574802
33pr_L,-1.556629063233619
a24pr_L,-2.9070907613556214
p32pr_L,-2.3172085138258995
a24_L,-3.8416099673550854
d32_L,-3.2536850312550265
8BM_L,-2.4648000929088636
p32_L,-3.5682734696842657
10r_L,-3.6025517637285156
47m_L,-3.3263548054963974
8Av_L,-0.7500743785860555
8Ad_L,-1.6696645216518975
9m_L,-3.1501445601841156
8BL_L,-1.2379581110240265
9p_L,-1.7461180526453677
10d_L,-1.7947220188010304
8C_L,-1.6152349388076255
44_L,-2.3911046723676472
45_L,-2.85842412676545
47l_L,-3.1299574084977704
a47r_L,-1.637702499746003
6r_L,-0.4135169259198865
IFJa_L,-3.5933233383144203
IFJp_L,-2.452941761743328
IFSp_L,-3.0994326350112935
IFSa_L,-2.302674537623752
p9-46v_L,-1.6956794670607245
46_L,-1.1019668855334865
a9-46v_L,-1.8133495261506454
9-46d_L,-2.0044534691558744
9a_L,-1.724577191851787
10v_L,-1.4298036390805122
a10p_L,-1.8870157397898133
10pp_L,-0.3225255556591268
11l_L,-1.7537100242209709
13l_L,-2.2965786155814523
OFC_L,-1.3645091715677242
47s_L,-3.381390753278936
LIPd_L,-2.1604143570128524
6a_L,3.26245853941081
i6-8_L,0.3268980913321512
s6-8_L,-0.8002074337305752
43_L,3.326918064210037
OP4_L,3.246160619599074
OP1_L,4.312038908103358
OP2-3_L,0.7298757753305125
52_L,5.942260886072772
RI_L,4.647215405997201
PFcm_L,6.1571523785423015
PoI2_L,1.1152441370340367
TA2_L,1.3206839044217293
FOP4_L,-1.7914327489822746
MI_L,-1.745192667744804
Pir_L,-2.581193434746473
AVI_L,-3.268792348884857
AAIC_L,-3.9119782697610104
FOP1_L,2.922299610307465
FOP3_L,-0.77090471115245
FOP2_L,0.9852604100978368
PFt_L,2.758394280559853
AIP_L,2.3356574165939117
EC_L,-2.4425722220822665
PreS_L,-2.189445139323901
H_L,-2.902565693289402
ProS_L,-2.161279428759042
PeEc_L,-1.9186554584275552
STGa_L,-1.9888927203171154
PBelt_L,15.822804594542497
A5_L,5.997791064342424
PHA1_L,-1.6726565650583074
PHA3_L,-2.393017748567328
STSda_L,2.2393161419514636
STSdp_L,11.050744938900413
STSvp_L,2.0299017839813502
TGd_L,-1.4380281984206225
TE1a_L,-0.7974035545830792
TE1p_L,-1.0424724820165425
TE2a_L,-1.0126724475478759
TF_L,-1.5621298428535355
TE2p_L,-2.0940220774876637
PHT_L,-0.7056908290236891
PH_L,-1.1770457327974435
TPOJ1_L,3.9290752962573197
TPOJ2_L,-2.486118720239298
TPOJ3_L,-3.227973421551957
DVT_L,-1.2355720325551824
PGp_L,-1.937344107105975
IP2_L,-0.8951408703333701
IP1_L,-2.3707492199967612
IP0_L,-2.357785436667624
PFop_L,1.5749487000938083
PF_L,0.3333004968333998
PFm_L,-1.000972954995019
PGi_L,-2.5983249161678086
PGs_L,-1.7409200597692998
V6A_L,-0.4422566861943786
VMV1_L,-1.8120322032942053
VMV3_L,-1.5620342313206468
PHA2_L,-2.6918857653339043
V4t_L,-1.0145615807538637
FST_L,-1.5904701836980226
V3CD_L,-2.1563386531830866
LO3_L,-1.98730367300123
VMV2_L,-2.6972840514240235
31pd_L,-3.1288449550378434
31a_L,-0.44294264095640323
VVC_L,-2.1526893318822373
25_L,-3.0726676253374334
s32_L,-2.7940802985399396
pOFC_L,-2.3688265557306747
PoI1_L,1.9686370473103094
Ig_L,0.3839879439670423
FOP5_L,-2.235818407383664
p10p_L,-1.4962854328641833
p47r_L,-2.6908966795868503
TGv_L,-0.8732283696524374
MBelt_L,8.189571719766192
LBelt_L,15.1497416810431
A4_L,6.331124535484234
STSva_L,-0.617645293017551
TE1m_L,-0.44197649985116905
PI_L,-0.6551733375400005
a32pr_L,-3.693244270822368
p24_L,-3.6278415538084974
