region,competition
V1_L,3.030280895981223
MST_L,2.6072208093390503
V6_L,0.03765491487862124
V2_L,1.58845816701389
V3_L,1.723064453420851
V4_L,3.37291409368104
V8_L,4.886482782529696
4_L,-1.781546376338061
3b_L,-2.189105663404154
FEF_L,1.2345117528218492
PEF_L,1.227092893694823
55b_L,0.5013549830908759
V3A_L,0.7415582932959789
RSC_L,-1.4203129441920226
POS2_L,0.02276598528393763
V7_L,2.2541105125024994
IPS1_L,3.428245923171843
FFC_L,6.083812539466934
V3B_L,3.663133559365734
LO1_L,2.832879967818669
LO2_L,3.71016716311513
PIT_L,5.23365596735965
MT_L,2.358649099459336
A1_L,-3.7285444968540777
PSL_L,-1.0822211108073374
SFL_L,0.13385088189776173
PCV_L,-2.3992753404876304
STV_L,-0.612501952797405
7Pm_L,-0.36119325223442433
7m_L,-1.6529916223582704
POS1_L,0.2074082723310343
23d_L,-2.3311608335488523
v23ab_L,-0.5152876902316533
d23ab_L,-2.0877324022035366
31pv_L,-1.7246057361102005
5m_L,-2.394728422755648
5mv_L,-2.6272029547002136
23c_L,-2.5114245272773377
5L_L,-0.8288240584611248
24dd_L,-1.0563138534682743
24dv_L,0.5664677262614293
7AL_L,-1.0795920037475248
SCEF_L,1.368634235561839
6ma_L,-0.29793736817595734
7Am_L,-0.42064298657885146
7Pl_L,1.0349820162780496
7PC_L,-0.7076331768248748
LIPv_L,1.3668756591093545
VIP_L,0.9533480435336312
MIP_L,1.5515213077774102
1_L,-1.3178179416401135
2_L,-2.1785624012509146
3a_L,-2.3080468539057533
6d_L,-0.7786585192354043
6mp_L,-1.9025285127137688
6v_L,0.5980027454494523
p24pr_L,-1.3032649469970305
33pr_L,-1.3909580503141021
a24pr_L,-0.7058839717669165
p32pr_L,1.9307533618455663
a24_L,1.793140316517747
d32_L,1.243072331580259
8BM_L,1.0705808366272165
p32_L,1.5667291682398792
10r_L,1.6755408012724702
47m_L,1.2241995166731605
8Av_L,0.4906357579934179
8Ad_L,0.32142336501751223
9m_L,1.6636283252007735
8BL_L,0.5884571776941384
9p_L,0.47662186319226574
10d_L,1.1770144355070922
8C_L,0.4845644947502996
44_L,2.4881764765573062
45_L,1.8216656087077046
47l_L,0.9696720927154264
a47r_L,0.24239281964966145
6r_L,1.2804849051480411
IFJa_L,2.389492446883512
IFJp_L,2.564812829730522
IFSp_L,3.0032742722727694
IFSa_L,1.8256043005088938
p9-46v_L,1.0860639125542382
46_L,-0.2019397857023333
a9-46v_L,0.6741664779598895
9-46d_L,-0.3533867160559947
9a_L,0.05699468138164524
10v_L,0.11237880950686928
a10p_L,-0.4871365073035094
10pp_L,-0.3232696973174583
11l_L,-0.7457099666491519
13l_L,-1.1486319310758626
OFC_L,-0.7783183752330455
47s_L,-0.3004795530364677
LIPd_L,2.4153968111310142
6a_L,0.5943518136526327
i6-8_L,0.6009563056317654
s6-8_L,0.4051627272505473
43_L,-1.303191729373154
OP4_L,-2.0529247128644132
OP1_L,-3.4594919775628883
OP2-3_L,-1.8815917648482405
52_L,-2.32626475370409
RI_L,-1.89545727596192
PFcm_L,-3.4253175843295276
PoI2_L,-1.8300070607814607
TA2_L,-1.800387266367022
FOP4_L,-0.026650667766166595
MI_L,-0.6697248670744403
Pir_L,-2.2831481645313847
AVI_L,1.817904368767948
AAIC_L,-1.0049233675075349
FOP1_L,-0.7774636181448151
FOP3_L,-0.7647700967533959
FOP2_L,-1.1441015157615253
PFt_L,-2.2542130130272433
AIP_L,-0.38807514107626545
EC_L,-2.185586548087091
PreS_L,-2.079578213099295
H_L,-2.292505683355744
ProS_L,-2.110568685530432
PeEc_L,-1.378094283929441
STGa_L,-0.6755535744475444
PBelt_L,-3.2177724192969035
A5_L,-1.4277784463212324
PHA1_L,-1.6066789600321911
PHA3_L,-0.07413893831441012
STSda_L,-1.0041247957795694
STSdp_L,-1.528579048422345
STSvp_L,0.057659168728396964
TGd_L,-1.1840577815924298
TE1a_L,-0.5951689415530013
TE1p_L,0.7680771331535783
TE2a_L,-0.4012928159575619
TF_L,-0.43537728102367657
TE2p_L,1.4804089479736136
PHT_L,0.5248122577580251
PH_L,4.031293299359081
TPOJ1_L,0.024378463648113496
TPOJ2_L,-0.025045805641035018
TPOJ3_L,0.22055311853530093
DVT_L,1.0252607406736325
PGp_L,1.4655021024328296
IP2_L,0.6553072832962779
IP1_L,2.513829368445904
IP0_L,3.7284969007314537
PFop_L,-2.062451652482216
PF_L,-0.8913674602766147
PFm_L,-0.4534614265683182
PGi_L,-0.9022307544435243
PGs_L,-0.2838095332403503
V6A_L,1.0506386323712167
VMV1_L,-0.5878766371958513
VMV3_L,2.178304214270214
PHA2_L,-1.2028685979400822
V4t_L,3.0769495684572354
FST_L,3.208399909623853
V3CD_L,3.7653642245069086
LO3_L,0.5968706553992799
VMV2_L,-0.6549845723173167
31pd_L,-1.6972831295875632
31a_L,-2.289231519455197
VVC_L,3.3125038131550344
25_L,-0.41566030087532185
s32_L,1.6968677683543858
pOFC_L,-0.6708679473088014
PoI1_L,-1.8618254222266268
Ig_L,-2.0527748295181443
FOP5_L,1.8569943186872238
p10p_L,-0.4666697704232197
p47r_L,2.049375345073067
TGv_L,-1.1734801425962678
MBelt_L,-2.703629734039798
LBelt_L,-3.154845436268872
A4_L,-1.9689459658683666
STSva_L,-1.0899698754835179
TE1m_L,-0.3358428606544402
PI_L,-1.8299312159376107
a32pr_L,0.4095565115689034
p24_L,-0.30200350582066077
V1_R,2.9582530187597507
MST_R,2.3948659796286957
V6_R,2.0155294102029124
