region,recall
V1_L,-0.6486952737498051
MST_L,-1.2021980661087976
V6_L,1.0834500848788586
V2_L,0.003450694689034835
V3_L,0.0826241108502812
V4_L,-0.06634013311206145
V8_L,-0.09383412672152577
4_L,-1.496882076801833
3b_L,-1.524943437096424
FEF_L,0.730034604289614
PEF_L,0.6189827753872326
55b_L,0.3445515854947301
V3A_L,-0.14552095915436167
RSC_L,1.582861869569871
POS2_L,1.7102408339549495
V7_L,0.7116284429315631
IPS1_L,1.3533515479778568
FFC_L,2.3500721633525354
V3B_L,-0.09305714138333993
LO1_L,0.11367756972470718
LO2_L,-1.6278807022338875
PIT_L,-0.7794758627779578
MT_L,-1.336588955480076
A1_L,-1.7541533457646192
PSL_L,-1.3113491556746488
SFL_L,0.5023061996062278
PCV_L,-0.6654918172780577
STV_L,-1.3502462671548665
7Pm_L,0.5912015631290184
7m_L,-0.42172367919000586
POS1_L,2.3651635060502056
23d_L,-0.9631664416052684
v23ab_L,1.1685763093824721
d23ab_L,0.31049131359678517
31pv_L,0.6800637969160156
5m_L,-0.9990932816013041
5mv_L,-0.8488168054984169
23c_L,-0.5510497744777442
5L_L,-0.6960596376940708
24dd_L,-1.4100526046649793
24dv_L,-0.7818003185779479
7AL_L,-1.3145047584394762
SCEF_L,0.19512080633313905
6ma_L,-0.5485076689247741
7Am_L,0.06861852831017831
7Pl_L,1.0809223133486532
7PC_L,-1.127808358880755
LIPv_L,-1.2686374117330628
VIP_L,-0.47243938658895884
MIP_L,0.6375568833880865
1_L,-1.0327421579701992
2_L,-1.9155261905861465
3a_L,-1.190527797057215
6d_L,-0.7605300958421858
6mp_L,-1.6328942130790804
6v_L,0.29043097920751776
p24pr_L,-1.945347177979095
33pr_L,-2.6587075086457945
a24pr_L,-2.3371625370626434
p32pr_L,0.6185040417536513
a24_L,-0.8986248914471252
d32_L,-1.2795432075301594
8BM_L,0.998332757099121
p32_L,-0.23411503048915747
10r_L,-0.30669402295364334
47m_L,1.4150133018012039
8Av_L,0.450167520461161
8Ad_L,0.7914401007705334
9m_L,-0.8356196482151036
8BL_L,-0.17163866039313166
9p_L,-0.21346326045324893
10d_L,0.17772596779225763
8C_L,0.9956736518878214
44_L,0.9226859172789805
45_L,0.7613075047406397
47l_L,1.1985895560906963
a47r_L,0.2934759128597653
6r_L,0.3141273699260859
IFJa_L,1.9817742419421267
IFJp_L,1.144793803936054
