region,distraction
V1_L,-1.1004761476843319
MST_L,0.940473196311953
V6_L,0.043735452593228134
V2_L,-0.8676044694151036
V3_L,-0.6678691662603047
V4_L,-0.5351672687023996
V8_L,-0.41022357939419796
4_L,-0.24598315894410927
3b_L,-0.16154162322388838
FEF_L,2.982717644695275
PEF_L,3.5822357105496003
55b_L,1.3795506304443887
V3A_L,-0.8733556905465619
RSC_L,-1.1495375676959072
POS2_L,-0.6341608016568177
V7_L,1.0439613742728355
IPS1_L,2.925351931453458
FFC_L,-0.2834654064444819
V3B_L,0.6400523560477757
LO1_L,-0.04299178911881252
LO2_L,0.7607573899636847
PIT_L,0.3962937635199242
MT_L,1.8063065346286749
A1_L,-1.1793503965291954
PSL_L,-0.80154526565393
SFL_L,0.6027843719545367
PCV_L,-0.6845161887965946
STV_L,-0.43526365678154516
7Pm_L,-0.16636854343670407
7m_L,-2.298379908475293
POS1_L,-1.4984869926852704
23d_L,0.31788588705135573
v23ab_L,-1.1216193465349076
d23ab_L,-1.4684965561653849
31pv_L,-1.3277526965377697
5m_L,-1.0792982330210725
5mv_L,-0.7897620835590029
23c_L,-0.4322564432963353
5L_L,-0.7738082060105239
24dd_L,1.8554647976117975
24dv_L,4.201250739902274
7AL_L,-0.7199518811022844
SCEF_L,4.566471291933258
6ma_L,1.2416172549199713
7Am_L,-0.25720928285715167
7Pl_L,2.1782173776647307
7PC_L,0.7205783129317276
LIPv_L,1.8149566408132594
VIP_L,0.5251942286764303
MIP_L,2.8597023405002884
1_L,-0.16201854726062886
2_L,-0.0948021926581711
3a_L,-0.1281782334794288
6d_L,-0.04227266138261737
6mp_L,-0.836581684240158
6v_L,1.8828079812196499
p24pr_L,2.1943452083133055
33pr_L,0.921617548160809
a24pr_L,2.1947012312897125
p32pr_L,5.532534462740907
a24_L,-2.5837361820649436
d32_L,0.3625321369361978
8BM_L,2.035607169849404
p32_L,-2.3019505110607925
10r_L,-2.317566713685061
47m_L,-0.24179063470486234
8Av_L,1.0638539589551597
8Ad_L,1.7229703187718535
9m_L,-0.46212745003761335
8BL_L,-0.147781590369827
9p_L,1.4488914764913305
10d_L,-0.41135370086986284
8C_L,2.1781531130781895
44_L,4.697282778710619
45_L,2.392981238918458
47l_L,1.2174734231719142
a47r_L,-0.23975173110303102
6r_L,4.310321688862982
IFJa_L,5.076591782630182
IFJp_L,6.444580158020149
IFSp_L,4.543329178718139
IFSa_L,2.4380146827461697
p9-46v_L,2.3697209724163972
46_L,1.1404326994397378
a9-46v_L,0.9687553518652197
9-46d_L,1.0593721285448177
9a_L,0.7570485438115734
10v_L,-0.844190016101068
a10p_L,1.3054602987867034
10pp_L,0.24860392687497745
11l_L,-0.529167659481896
13l_L,-0.8128185639531914
OFC_L,-1.5689598470512076
47s_L,-0.5290759277488903
LIPd_L,5.031159784953637
6a_L,4.0351005944240885
i6-8_L,4.077264242987403
s6-8_L,0.7903456001775595
43_L,0.9808454619513507
OP4_L,-0.0950175205708133
OP1_L,-1.0096460954515079
OP2-3_L,-0.618458204135359
52_L,-1.3413162816613233
RI_L,-0.35065855558263453
PFcm_L,-0.521681495035947
PoI2_L,-0.9366012944291753
TA2_L,0.05005266191232185
FOP4_L,2.443741437620558
MI_L,1.9578206496753463
Pir_L,-1.9429637198105567
AVI_L,2.3954530000651566
AAIC_L,0.42373892365569665
FOP1_L,1.5587658651321215
FOP3_L,0.840770138089095
FOP2_L,1.1449117783683007
PFt_L,-0.2600031229462975
AIP_L,2.801847988474997
EC_L,-2.161682701159646
PreS_L,-1.6945093669873168
H_L,-2.1589495961415612
ProS_L,-1.7552376458415502
PeEc_L,-2.164258358824733
STGa_L,-0.7767671138973639
PBelt_L,-0.4344084165712073
A5_L,-0.41375327769336173
PHA1_L,-2.1249466671841115
PHA3_L,-1.8696152628404108
STSda_L,-0.6592892706312729
STSdp_L,-0.580083272114893
STSvp_L,-0.33876034069873695
TGd_L,-1.440718012412589
TE1a_L,-0.8300223146911658
TE1p_L,-0.3642995918472401
TE2a_L,-0.7439235004618668
TF_L,-1.6222774455882027
TE2p_L,-0.9918827063626758
PHT_L,0.012114159695432766
PH_L,0.10203705864508003
TPOJ1_L,0.7037415834230212
TPOJ2_L,0.4532519301905984
TPOJ3_L,1.7972612015013065
DVT_L,0.573085726388472
PGp_L,0.7907521349226039
IP2_L,4.210429354510701
IP1_L,3.15924328904734
IP0_L,2.0269041632467264
PFop_L,0.036442241746744944
PF_L,0.21095671082832954
PFm_L,0.0024949371701774876
PGi_L,-0.4630414732067216
PGs_L,-0.059693328501682734
V6A_L,1.0014362161267494
VMV1_L,-1.362039249949886
VMV3_L,-0.739801778941706
PHA2_L,-2.4626532355937947
V4t_L,1.466520245870109
FST_L,0.6311749067615232
V3CD_L,-0.5270946127199528
LO3_L,1.9334850691624914
VMV2_L,-1.4764686464479972
31pd_L,-2.0421717971030473
31a_L,-0.9132387845729341
VVC_L,-0.741292276598919
25_L,-2.386371061629565
s32_L,-2.477225584554355
pOFC_L,-0.7747698567753784
PoI1_L,-1.1816716045161693
Ig_L,-0.6642047179504007
FOP5_L,2.7964045554893873
p10p_L,0.737913067988638
p47r_L,1.3424028469159732
TGv_L,-1.447720154440652
MBelt_L,-0.2342743831459435
LBelt_L,-1.2264978781823015
A4_L,-0.27886703379497957
STSva_L,-1.141616959971334
TE1m_L,-1.0587251861489366
PI_L,-0.9111580013769285
a32pr_L,1.6835786107721196
p24_L,-2.3979614521481882
V1_R,-0.9056943251219655
MST_R,1.5599302876257117
V6_R,-1.0199547202689023
