region,cognitive control
V1_L,-1.474088502954519
MST_L,-2.259669881690083
V6_L,-1.0393301036538
V2_L,-1.6201235340084341
V3_L,-1.3544564690958554
V4_L,-1.4957485888148034
V8_L,-0.713291406451531
4_L,-0.6019044412338219
3b_L,-0.8302757673831158
FEF_L,2.0284328853865974
PEF_L,3.2318249519909075
55b_L,1.002602494456477
V3A_L,-1.2910928379076878
RSC_L,-0.6943925390281738
POS2_L,-0.34344680328886423
V7_L,-1.3255202593319833
IPS1_L,1.237210903220785
FFC_L,-1.7618785138489585
V3B_L,-1.6201146724657611
LO1_L,-1.5714879211296424
LO2_L,-2.0085931742991585
PIT_L,-1.5282636743701905
MT_L,-2.43293883203931
A1_L,-3.3514099556323447
PSL_L,-1.8146876218147483
SFL_L,0.7595193115783883
PCV_L,-1.8913156860784208
STV_L,-1.942740538367968
7Pm_L,-0.01635190144477504
7m_L,-2.0265060863431006
POS1_L,-0.4382610140641709
23d_L,-0.20426921660819847
v23ab_L,-0.10203027461751317
d23ab_L,-0.4039430563830443
31pv_L,-0.8512493055915995
5m_L,-2.1958105383213167
5mv_L,-2.1021814293805163
23c_L,-1.2279683171092004
5L_L,-0.7637760944155577
24dd_L,0.8356380823087118
24dv_L,4.7168389430577164
7AL_L,-1.9778841130773583
SCEF_L,3.7317390471099503
6ma_L,0.935101604730704
7Am_L,-0.9260228316921709
7Pl_L,0.9403914865132329
7PC_L,-0.8727947985803103
LIPv_L,-0.9582242005501785
VIP_L,-0.9045712664033047
MIP_L,0.28512646792222135
1_L,-0.6681078169341345
2_L,-1.4488841401125045
3a_L,-1.1822496988373765
6d_L,0.3287736376728388
6mp_L,-1.102681624664462
6v_L,1.8589006384647313
p24pr_L,2.988702141781285
33pr_L,3.681838852174973
a24pr_L,6.855492799776332
p32pr_L,7.645135433039206
a24_L,3.583381776430783
d32_L,2.5881296622392607
8BM_L,2.725563100339196
p32_L,2.310315305455989
10r_L,0.21065941128124938
47m_L,1.6553009678829986
8Av_L,1.5624764789843384
8Ad_L,1.8242634765152355
9m_L,1.838086474330235
8BL_L,0.2570061343195317
9p_L,1.9831251528380716
10d_L,0.8058640449152411
8C_L,3.9179650423454673
44_L,3.3108873442932523
45_L,2.1039637870537464
47l_L,1.6516554721499297
a47r_L,1.0195900794404935
6r_L,2.704013701061431
IFJa_L,4.7781886717065705
IFJp_L,4.414255022169539
IFSp_L,6.190728190833996
IFSa_L,3.0179302350539188
p9-46v_L,5.388950609443293
46_L,2.4797450487891934
a9-46v_L,2.936832924204746
9-46d_L,3.3000568852640706
9a_L,2.49080122903996
10v_L,0.059214818693000354
a10p_L,1.1881797820423141
10pp_L,0.08082529632275393
11l_L,0.20704637950080165
13l_L,-1.0623949292077415
OFC_L,0.06488047673163391
47s_L,0.2070560243428836
LIPd_L,2.59389674045643
6a_L,3.1345706800993502
i6-8_L,3.6506951156686984
s6-8_L,0.8073612879886335
43_L,-0.6786710172921355
OP4_L,-1.9271342345501101
OP1_L,-2.6649961860670692
OP2-3_L,-2.134039054914678
52_L,-2.825970320979257
RI_L,-1.8974626877790692
PFcm_L,-2.768307162422083
PoI2_L,-2.3449130146261146
TA2_L,-1.4481322368683691
FOP4_L,1.5735613035810065
MI_L,1.4056166391030394
Pir_L,-2.755233957561416
AVI_L,3.0202758528249247
AAIC_L,0.9353856523033363
FOP1_L,-0.013053867472729005
FOP3_L,0.18248566355798007
FOP2_L,-0.7679709818587611
PFt_L,-1.5601015058655485
AIP_L,0.15329912411214686
EC_L,-2.902204960585242
PreS_L,-2.8404643810980574
H_L,-3.1523954985309017
ProS_L,-2.427593010803137
PeEc_L,-2.3571350377915614
STGa_L,-0.9712663909459451
PBelt_L,-3.3762229245591278
A5_L,-2.392353941994604
PHA1_L,-2.8320429553644737
PHA3_L,-2.3327234140322113
STSda_L,-2.2451707418471045
STSdp_L,-3.1839264325739967
STSvp_L,-2.7432679104494997
TGd_L,-1.4051603692834727
TE1a_L,-0.9369284858163326
TE1p_L,-1.2658367197367477
TE2a_L,-1.2082157905719522
TF_L,-2.0035725193025553
TE2p_L,-1.718514834408995
PHT_L,-2.0157245378301316
PH_L,-2.01111738086849
TPOJ1_L,-2.768961575577655
TPOJ2_L,-1.5426018544630127
TPOJ3_L,-0.26004944324553
DVT_L,0.11022658539199548
PGp_L,-0.5927932292890945
IP2_L,2.3319382027229105
IP1_L,1.8273391490879847
IP0_L,-0.2504570797589908
PFop_L,-1.6031938330100046
PF_L,-0.6141272422722448
PFm_L,0.01624265584923636
PGi_L,-0.9418627562576513
PGs_L,-0.6821047520035527
V6A_L,0.2932738601871709
VMV1_L,-1.8355040658470787
VMV3_L,-1.8308121563739457
PHA2_L,-2.467300675947894
V4t_L,-2.6250878349555986
FST_L,-3.2707964304533776
V3CD_L,-1.85693503255473
LO3_L,-0.932268210933231
VMV2_L,-2.158613470523162
31pd_L,-1.7806975446429272
31a_L,-1.4167506331305337
VVC_L,-1.8696127248457095
25_L,1.3472855910044579
s32_L,3.39856663668724
pOFC_L,-0.3929883560460259
PoI1_L,-2.543083774010234
Ig_L,-2.127639088983261
FOP5_L,2.498919079596365
p10p_L,0.7733607224007358
p47r_L,3.385286535522161
TGv_L,-1.7059335006273006
MBelt_L,-3.0260148292382048
LBelt_L,-3.269381735670197
A4_L,-2.411093455707923
STSva_L,-2.530272020984792
TE1m_L,-1.4231154158010046
PI_L,-2.5154304486877734
a32pr_L,5.540027634089641
p24_L,4.4600927996476205
V1_R,-1.1575150681134316
MST_R,-2.582139596013845
V6_R,-1.8231566537055526
V2_R,-1.3389278441669044
V3_R,-1.2241849791482455
V4_R,-1.7393913833856514
V8_R,-2.0801157596120308
4_R,-1.0966492615532741
3b_R,-1.0926025915609867
FEF_R,1.3252586008525504
PEF_R,1.8821005450126005
55b_R,0.9448628087602355
V3A_R,-1.2046490978623279
RSC_R,-0.2485158804234454
POS2_R,-0.2544021736436532
V7_R,-0.7141588289814625
IPS1_R,0.8763225828398192
FFC_R,-1.3801469146974765
V3B_R,-0.022302022558188073
LO1_R,-1.8318080625346427
LO2_R,-2.740507639059729
PIT_R,-1.9892647698677481
MT_R,-2.7318299617195496
A1_R,-2.820012565269221
PSL_R,-1.026413313676091
SFL_R,-0.24395103085295666
PCV_R,-1.4759756646485722
STV_R,-1.2767114758262785
7Pm_R,0.32479796817112133
7m_R,-1.8017719088428699
POS1_R,-1.1165991658007675
23d_R,0.5457110202040621
v23ab_R,-0.4273098006224739
d23ab_R,-0.5154502014079914
31pv_R,-0.7105886872303024
5m_R,-1.7986967292906892
5mv_R,-1.2233426052720424
23c_R,-0.5359156620139042
5L_R,-0.8129279349971511
24dd_R,-0.21130012382571162
24dv_R,2.0572781849865214
7AL_R,-0.7719456453263981
SCEF_R,1.76874452047694
6ma_R,0.7773807181492387
7Am_R,-1.4550398272416836
7Pl_R,0.13256396387781041
7PC_R,-0.7661743779591605
LIPv_R,-0.21649092778927814
VIP_R,-1.613637232136297
MIP_R,0.8505461570898061
1_R,-0.7830364120514071
2_R,-1.069924340834136
3a_R,-1.502319001591537
6d_R,-0.22391045228623624
6mp_R,-0.6856864320422282
6v_R,1.0340774687849552
p24pr_R,3.0502774755188353
33pr_R,3.991531358844878
a24pr_R,8.078234860625658
p32pr_R,7.015162315558966
a24_R,3.3845630756870695
d32_R,3.5298430574691464
8BM_R,3.203288692725059
p32_R,1.092607618636797
10r_R,0.18940528132681508
47m_R,1.594082899268044
8Av_R,1.0718914485559863
8Ad_R,1.5715188036057566
9m_R,1.5984907777352066
8BL_R,0.00598731017448538
9p_R,2.74722975791179
10d_R,0.31848453840768143
8C_R,4.227274758071128
44_R,2.669788973013092
45_R,1.4330314164730973
47l_R,3.244791266520818
a47r_R,2.468714388273287
6r_R,3.0572045416860365
IFJa_R,6.211663015482574
IFJp_R,3.1106916438013226
IFSp_R,5.409137653032607
IFSa_R,2.935594884440742
p9-46v_R,6.03684276991486
46_R,5.477669407343657
a9-46v_R,5.446803383225159
9-46d_R,4.890788133716998
9a_R,2.9821298027952166
10v_R,0.03959310550716664
a10p_R,1.2596496368010204
10pp_R,0.8664213435942264
11l_R,0.5684525685966972
13l_R,-0.7660641446329649
OFC_R,-0.5445927077091682
47s_R,1.2450666054937145
LIPd_R,2.5132983195094827
6a_R,2.3253207322820675
i6-8_R,2.588629060028572
s6-8_R,0.07754931853167742
43_R,-0.43045297788354697
OP4_R,-2.3670834188617174
OP1_R,-1.7632096329118985
OP2-3_R,-1.8478528092604987
52_R,-2.9628528652691224
RI_R,-3.221983478781387
PFcm_R,-2.1470797305545233
PoI2_R,-2.171179110820146
TA2_R,-1.8315153045859454
FOP4_R,1.8727223576923147
MI_R,2.0126248956875674
Pir_R,-1.382066150644665
AVI_R,3.969679319204904
AAIC_R,3.605703657864936
FOP1_R,-0.5299356074380492
FOP3_R,-0.23886529500074358
FOP2_R,-0.8590962386995324
PFt_R,-1.3709730997530811
AIP_R,-0.03103237834901431
EC_R,-2.5660885096459953
PreS_R,-2.6811758455019095
H_R,-2.8375158857165697
ProS_R,-2.0114561074489696
PeEc_R,-2.4220761476037587
STGa_R,-0.2698974582631443
PBelt_R,-3.2297878589978946
A5_R,-3.1721670514333926
PHA1_R,-2.5126088468785
PHA3_R,-2.291535746908126
STSda_R,-2.1929497548037755
STSdp_R,-2.799334347417782
STSvp_R,-2.7283458250570543
TGd_R,-1.1954777072619287
TE1a_R,-1.2727281849076815
TE1p_R,-1.3745966736692796
TE2a_R,-0.9950336266039516
TF_R,-1.682427783921345
TE2p_R,-0.9697580676483705
PHT_R,-1.0483638108874473
PH_R,-1.347855648156628
TPOJ1_R,-2.2400350136122706
TPOJ2_R,-2.27069260171326
TPOJ3_R,-1.427022833129741
DVT_R,-0.26780481691657426
PGp_R,-0.8122859381964761
IP2_R,1.609288530236267
IP1_R,1.6635520091735783
IP0_R,-0.17129496536506167
PFop_R,-1.7166642188306893
PF_R,-0.8490459158816813
PFm_R,-0.3000245784177623
PGi_R,-1.0004927554829999
PGs_R,-0.44281247647750666
V6A_R,-0.02796986314993851
VMV1_R,-1.1783863201466784
VMV3_R,-2.339708299411944
PHA2_R,-2.4368262244263033
V4t_R,-2.8852575069822337
FST_R,-2.3525232275341077
V3CD_R,-1.288842311991828
LO3_R,-1.4934485287905135
VMV2_R,-1.9364535527557194
31pd_R,-0.47758234906764685
31a_R,-0.4054425784750709
VVC_R,-2.3555405926116655
25_R,0.4051924976687348
s32_R,2.190722663132995
pOFC_R,-0.8121248773604837
PoI1_R,-3.3059715815783504
Ig_R,-2.5718490077711036
FOP5_R,2.0039146203547786
p10p_R,2.2266372064317013
p47r_R,4.579180818039507
TGv_R,-1.7598663724057106
MBelt_R,-2.6241386511820255
LBelt_R,-3.1389024745429825
A4_R,-2.4184444186275598
STSva_R,-1.6205757169683428
TE1m_R,-1.763077070360865
PI_R,-2.5307122165128173
a32pr_R,6.045933932237466
p24_R,4.5975438023853155
