region,emotion
V1_L,-0.8829059106755506
MST_L,-1.235752040982487
V6_L,-1.1149192743263845
V2_L,-0.955221163786631
V3_L,-0.7109619699003207
V4_L,-0.11367883775705383
V8_L,2.053056733733927
4_L,-1.689789972528277
3b_L,-1.6196072617172057
FEF_L,-1.6706145600701585
PEF_L,-2.8069342568940923
55b_L,-0.8264059096817392
V3A_L,-1.1276816120628603
RSC_L,-0.3075661491908013
POS2_L,-1.3465464043375681
V7_L,-1.1357839665476026
IPS1_L,-2.659166334659459
FFC_L,2.6920411587732493
V3B_L,-0.4981380162108385
LO1_L,0.13864214436416508
LO2_L,-0.8232782676742451
PIT_L,0.7001012003165559
MT_L,-0.9826493204129121
A1_L,-1.0463541367101632
PSL_L,-1.64927932713745
SFL_L,0.40803739047982546
PCV_L,-0.7586715074657802
STV_L,-1.4561162141121442
7Pm_L,-2.049696376081909
7m_L,-1.2687330162322459
POS1_L,-0.9488912953913543
23d_L,-0.49708090390690174
v23ab_L,-0.36463743381438973
d23ab_L,-0.9009165255003823
31pv_L,-1.5274880150972316
5m_L,-0.7574586616545839
5mv_L,-0.5377416484348714
23c_L,-0.4742007302059032
5L_L,-0.49194917388479487
24dd_L,-1.3580166723103604
24dv_L,-0.531549559870241
7AL_L,-1.4556810162536897
SCEF_L,-1.7208769355569642
6ma_L,-0.6696773087760532
7Am_L,-0.9300821129246227
7Pl_L,-1.4315846777605
7PC_L,-1.4138886773658914
LIPv_L,-2.312396776257223
VIP_L,-1.5854175683869676
MIP_L,-3.431879158266618
1_L,-0.9151530528942255
2_L,-1.4424728167297896
3a_L,-1.6909318508471987
6d_L,-1.255196984105941
6mp_L,-1.381049005202909
6v_L,-1.5398900736874288
p24pr_L,0.48771098016853826
33pr_L,1.44662182309767
a24pr_L,0.4427907979396771
p32pr_L,-1.167166065762243
a24_L,1.749063191915179
d32_L,0.2680355392037941
8BM_L,-0.830387557593745
p32_L,1.6384095456966608
10r_L,0.6182273742822826
47m_L,0.7539944555301978
8Av_L,-0.46231876976023506
8Ad_L,0.08607767203049338
9m_L,-0.01165547722306037
8BL_L,0.22926884263842826
9p_L,-0.13685651696628592
10d_L,0.13683177353743842
8C_L,-1.81830207891307
44_L,-1.004505533353447
45_L,-0.37492811083987837
47l_L,0.5414806662477225
