region,emotion
a47r_L,-0.3680131279859294
6r_L,-2.6886467350024086
IFJa_L,-1.5931898086151308
IFJp_L,-3.3064260968233574
IFSp_L,-1.3753655996066456
IFSa_L,-1.5118268238175134
p9-46v_L,-1.428064176714807
46_L,-0.8203546172670423
a9-46v_L,-1.005369749706294
9-46d_L,-0.03855444778504195
9a_L,-0.210971313585505
10v_L,0.05246372291938387
a10p_L,-0.6107728543568894
10pp_L,0.48715309336009527
11l_L,0.2538383178287382
13l_L,1.2035825419524637
OFC_L,0.5016917596389859
47s_L,2.8449773758915713
LIPd_L,-2.616120868856559
6a_L,-2.2782930102216863
i6-8_L,-1.7181730536059459
s6-8_L,1.3037488781760704
43_L,-1.3025797334542677
OP4_L,-1.2182579214730325
OP1_L,-0.5665985329783586
OP2-3_L,0.37205204115593177
52_L,0.5968677839245815
RI_L,-0.6696466823803041
PFcm_L,-2.0808221271465346
PoI2_L,2.170954880599325
TA2_L,0.6246467716804387
FOP4_L,0.5357130841506038
MI_L,1.3518478238161702
Pir_L,6.932550143912892
AVI_L,0.9880551252774947
AAIC_L,1.6775840762128622
FOP1_L,-0.9849148624721512
FOP3_L,0.7684797127074434
FOP2_L,-0.5411054994703498
PFt_L,-1.7681971010219621
AIP_L,-2.0132033092572126
EC_L,9.066425805161701
PreS_L,1.2559985417917698
H_L,3.4338912247493476
ProS_L,-1.202517095329514
PeEc_L,3.099733490950587
STGa_L,1.1115404223328964
PBelt_L,-1.7103834564283675
A5_L,-1.0564547364234644
PHA1_L,0.7519027990524265
PHA3_L,0.4383671055025321
STSda_L,0.301683608722035
STSdp_L,-1.8768231603440613
STSvp_L,-1.7128781497421546
TGd_L,1.0554159117452784
TE1a_L,-0.6811347231467424
TE1p_L,-1.1837575432619525
TE2a_L,-0.14772140977982862
TF_L,-0.08196948016323745
TE2p_L,0.672069073967256
PHT_L,-0.46327524294225914
PH_L,-0.8251611050343005
TPOJ1_L,-1.1091006202077405
TPOJ2_L,-1.1413259488252847
TPOJ3_L,-1.221016957276455
DVT_L,-1.5600812074911299
PGp_L,-0.6453522966310873
IP2_L,-3.150491367300714
IP1_L,-3.34165091664379
IP0_L,-1.6153555992654518
PFop_L,-0.7885773589072744
PF_L,-1.3778169942929157
PFm_L,-1.6975989028040814
PGi_L,-1.915182189171596
PGs_L,-1.1962255813411573
V6A_L,-1.0469147810047588
VMV1_L,-0.33896007628593183
VMV3_L,1.1274153744430273
PHA2_L,0.6251370624855072
V4t_L,-0.9909061916823444
FST_L,-1.4970294455296975
V3CD_L,-0.48925409584813156
LO3_L,0.4831065812878736
VMV2_L,0.01509635087416072
31pd_L,-1.2227268269069662
31a_L,-1.4939884399108747
VVC_L,2.5468599717187312
25_L,2.5936420324774496
s32_L,0.2762097078907836
pOFC_L,3.6743450030423497
PoI1_L,1.9520502583960786
Ig_L,0.9668975314721316
FOP5_L,0.8002908472029742
p10p_L,-0.21548848492910205
p47r_L,-0.8020019623939257
TGv_L,0.4266771306938434
MBelt_L,0.45714892529328444
LBelt_L,-1.5266131450185376
A4_L,-0.9171730974528842
STSva_L,-0.22068714697979697
TE1m_L,-0.5478994462213743
PI_L,1.786894888416028
a32pr_L,0.49146106946214224
p24_L,0.8815742391911047
V1_R,-0.6038622758624934
MST_R,1.074702661459281
V6_R,-1.145036891099373
V2_R,-0.44860325124579853
V3_R,-0.260733084974991
V4_R,0.2601675430990472
V8_R,0.7439044602845812
4_R,-1.1148265949951772
3b_R,-1.0250765658227095
FEF_R,-0.5032502198536368
PEF_R,-1.0879348722383226
55b_R,0.025863500846473556
V3A_R,-0.5510884554686915
RSC_R,-0.358858654506096
POS2_R,-1.4363128140514916
V7_R,-1.4171897117110994
IPS1_R,-2.620419616424842
FFC_R,5.692741199983023
V3B_R,-0.8882103613474022
LO1_R,0.3727366123482818
LO2_R,1.3524054452838556
PIT_R,1.5121644941712138
MT_R,0.3515113607848357
A1_R,0.014937102330473554
PSL_R,-1.3093128562452432
SFL_R,-0.4849403652266097
PCV_R,-0.615805385657131
STV_R,-0.6532197467226135
7Pm_R,-1.5946110903498643
7m_R,-1.6499472472793126
POS1_R,-1.2962878853422946
23d_R,-0.8727737205060657
v23ab_R,-1.0864546350054902
d23ab_R,-0.9852214655860597
31pv_R,-0.20120211006606967
5m_R,-0.4814401638244726
5mv_R,-0.6555035593614975
23c_R,-0.7970902060159379
5L_R,-0.3430209793055394
24dd_R,-0.7551884393950543
24dv_R,-0.6432262114304902
7AL_R,-0.27016008154780075
SCEF_R,-0.8325270354530295
6ma_R,-0.701578462414724
7Am_R,-1.3199235560590472
7Pl_R,-1.67933171804485
7PC_R,-0.4248130166585317
LIPv_R,-1.3248636505277838
VIP_R,-0.8410945901109208
MIP_R,-1.942249936398246
1_R,-0.5959270351818096
2_R,-1.1155832407317423
3a_R,-1.5749797860837413
6d_R,-1.11141027426883
6mp_R,-1.2765652464176773
6v_R,-1.0557590000783734
p24pr_R,0.08751441519842897
33pr_R,0.3684688893046591
a24pr_R,-0.8887923175252573
p32pr_R,-1.1523893232550289
a24_R,2.0964197499579185
d32_R,0.18413958170405717
8BM_R,-0.4912927033659925
p32_R,0.4141951900482553
10r_R,0.052731371865132395
47m_R,2.4687566397413025
8Av_R,-0.5929706502268128
8Ad_R,-0.6646579713272488
9m_R,0.04275465102659481
8BL_R,-0.4278069747812152
9p_R,-0.7118211497159982
10d_R,0.45305653363401066
8C_R,-1.557126568952726
44_R,-0.08534804388713882
45_R,0.15541013292112527
47l_R,0.5034202754675828
a47r_R,0.6902368838132475
6r_R,-1.0264289075027562
IFJa_R,-0.03678669323390416
IFJp_R,-1.4917021594651865
IFSp_R,-0.562274835861712
IFSa_R,-0.16192102157578134
p9-46v_R,-0.8550461679785581
46_R,-0.9851380388173377
a9-46v_R,0.20042955477812516
9-46d_R,-0.12000675986259221
9a_R,0.8286564165542817
10v_R,0.2066253315023554
a10p_R,-0.58784031660674
10pp_R,0.5827832589850891
11l_R,0.7866650743949883
13l_R,0.1766213553766591
OFC_R,-0.2508207663996752
47s_R,2.2461003375125226
LIPd_R,-2.583934058410417
6a_R,-2.010763024685373
i6-8_R,-0.4448772683281896
s6-8_R,0.015039370144323312
43_R,-1.4396861463215993
OP4_R,-1.0999458215475317
OP1_R,0.6038846488063302
OP2-3_R,0.333435031922442
52_R,1.8388587805166954
RI_R,-0.9884261545289034
PFcm_R,-0.7946142176727089
PoI2_R,1.7172529434736508
TA2_R,-0.2311888466272042
FOP4_R,-0.1757453243106625
MI_R,0.7359533828908713
Pir_R,6.198482871578882
AVI_R,0.39945912644125575
AAIC_R,0.7659412493770145
FOP1_R,-0.5764560992248527
FOP3_R,0.07283749824354778
FOP2_R,-0.245572430794932
PFt_R,-0.864380594491387
AIP_R,-2.7669162363165154
EC_R,9.49576272794526
PreS_R,2.3012097187567955
H_R,4.303323388088137
ProS_R,-0.12434236361837375
PeEc_R,2.4428396779521644
STGa_R,0.8509451666754615
PBelt_R,-1.4484381964342599
A5_R,-1.3747395772066493
PHA1_R,2.267614051476764
PHA3_R,2.454942825843313
STSda_R,0.03619662947889786
STSdp_R,-0.6178189009440188
STSvp_R,-0.7878385329821946
TGd_R,1.0601580004900601
TE1a_R,-0.47571644325386214
TE1p_R,-0.5548715694460551
TE2a_R,0.12272074671834651
TF_R,1.8885488698240211
TE2p_R,1.6191054980419386
PHT_R,-0.053845897117904024
PH_R,0.6929626984153587
TPOJ1_R,-0.3194734425916809
TPOJ2_R,0.3228428542673571
TPOJ3_R,-1.5755253478714206
DVT_R,-1.6229201370524087
PGp_R,-1.0812468419055716
IP2_R,-2.1380447295766354
IP1_R,-1.997591049739206
IP0_R,-1.4962136745975578
PFop_R,0.037958347389630574
PF_R,-0.7166156986426891
PFm_R,-1.1416757601598777
PGi_R,-2.023321612534005
PGs_R,-1.3164045876751962
V6A_R,-1.3968888606942766
VMV1_R,0.39361849524880665
VMV3_R,1.9531086827624402
PHA2_R,2.403831434911127
V4t_R,0.6987986737735253
FST_R,0.9887416116148461
V3CD_R,-0.25702387385468417
LO3_R,0.5393322555055883
VMV2_R,0.8056233526287349
31pd_R,-0.027567517215077737
31a_R,-0.6886204756424095
VVC_R,3.0827489063673004
25_R,3.147181955082978
s32_R,1.351289782129939
pOFC_R,1.858337247937737
PoI1_R,3.1497897197202165
Ig_R,1.4865612719843206
FOP5_R,0.1938485787785752
p10p_R,-0.14281292528346304
p47r_R,-0.3864124773038393
TGv_R,0.39249040621272446
MBelt_R,0.35252922360690725
LBelt_R,-1.0595558344971938
A4_R,-1.4830872036505678
STSva_R,-0.020102438937115996
TE1m_R,-0.6711168543972476
PI_R,1.5468663570781995
a32pr_R,-0.3357845548261812
p24_R,1.0877657506678087
