region,focus
V1_L,-0.7711243159836733
MST_L,-1.2659241576382148
V6_L,0.7409414313733904
V2_L,-0.4642689963217486
V3_L,-0.6864274705047849
V4_L,-1.0375397778088682
V8_L,-1.456565626845092
4_L,-1.5577459454739393
3b_L,-1.655858987857884
FEF_L,1.3149098518681903
PEF_L,1.251202517807326
55b_L,0.3410342813555131
V3A_L,-0.47590827698203725
RSC_L,3.249184551497214
POS2_L,2.149717535659299
V7_L,0.9868694723818997
IPS1_L,2.892111775349081
FFC_L,0.030960807334187303
V3B_L,0.2136609669188561
LO1_L,-0.2148943036967263
LO2_L,-0.7402522317971607
PIT_L,-0.9990015033545956
MT_L,-1.5775201375465604
A1_L,-0.8902345006763078
PSL_L,-1.0510018148456677
SFL_L,-0.002598904539258499
PCV_L,0.036386381507663136
STV_L,-0.9413970970872859
7Pm_L,0.7604103293371609
7m_L,1.2535804240571753
POS1_L,2.3074839177063637
23d_L,1.6534715954636505
v23ab_L,5.929277697921274
d23ab_L,3.5290009918171172
31pv_L,2.238480831039998
5m_L,-1.3712874708539562
5mv_L,-0.9916921743441041
23c_L,0.23941953161641574
5L_L,-0.9839294569285206
24dd_L,0.2878460491195128
24dv_L,2.410441747464525
7AL_L,-1.2598606327548734
SCEF_L,1.4460038293619772
6ma_L,-0.5735713484809875
7Am_L,0.49562551738105576
7Pl_L,1.53239742388513
7PC_L,0.08877782542394548
LIPv_L,0.5820045891225553
VIP_L,0.14430734814762208
MIP_L,2.033754815376249
1_L,-1.1235141411455658
2_L,-1.5857288783083703
3a_L,-1.3331483046492172
6d_L,-1.1998985687614734
6mp_L,-1.9049607290564248
6v_L,0.11413557270595706
p24pr_L,2.6140634592470575
33pr_L,2.7309918975591616
a24pr_L,3.5295578797080727
p32pr_L,3.6389973616378337
a24_L,-0.1568249374728727
d32_L,0.5364659269288271
8BM_L,0.7517015312808147
p32_L,-0.19257973430968223
10r_L,-0.1435883309590076
47m_L,-0.9107124323199397
8Av_L,-0.17917642760655608
8Ad_L,1.2095028745669534
9m_L,0.2568426534762099
8BL_L,-0.038717427769232336
9p_L,-0.5778051067548585
10d_L,-0.10192253518403663
8C_L,-0.3131597636237979
44_L,1.8580472683553486
45_L,-0.04934199128710176
47l_L,-0.3940981724654271
a47r_L,-0.831738637095835
6r_L,1.7367517678832778
IFJa_L,1.5065668074088379
IFJp_L,1.7679997468579989
IFSp_L,0.7953654765140497
IFSa_L,-0.047062907391616136
p9-46v_L,0.039971696367979065
46_L,-0.6484774793489971
a9-46v_L,-0.42535522689998595
9-46d_L,-0.42237490543304296
9a_L,-0.761529889015869
10v_L,-0.33901220099143065
a10p_L,-0.5617127107443854
10pp_L,-0.27721841723329993
11l_L,-1.1107367061409903
13l_L,-1.165856225685926
OFC_L,-0.4834393520602908
47s_L,-1.831815485061346
LIPd_L,3.350945059016565
6a_L,1.4213669676325442
i6-8_L,1.36272539601517
s6-8_L,0.8266939917649822
43_L,-0.22808028369745614
OP4_L,-0.5390201908803957
OP1_L,-1.2937511073146126
OP2-3_L,-0.5809000294402238
52_L,-1.0291441939466237
RI_L,-0.46473492632241936
PFcm_L,-1.833028218180443
PoI2_L,-1.5228441776517214
TA2_L,-0.7387827667692981
FOP4_L,0.7226652571193247
MI_L,0.2500567899995292
Pir_L,-2.031708360873735
AVI_L,0.5803297617184353
AAIC_L,-1.4330304111146763
FOP1_L,0.4024206389262623
FOP3_L,0.8032498073230636
FOP2_L,0.25544073407263923
PFt_L,-1.2311567075425154
AIP_L,1.7241995295961132
EC_L,3.281463742731094
PreS_L,4.411584333800822
H_L,5.574207432098981
ProS_L,-0.3279773206641077
PeEc_L,2.5025228570761464
STGa_L,-1.000005002957467
PBelt_L,-0.8391624421123234
A5_L,0.19226269728111817
PHA1_L,5.217580616547462
PHA3_L,3.6322266683428377
STSda_L,0.09923468929592344
STSdp_L,0.2949689834213176
STSvp_L,0.8225185982936856
TGd_L,-0.5763446057409108
TE1a_L,0.23008444426180144
TE1p_L,-0.5070520994525497
TE2a_L,0.6479766156429168
TF_L,1.4984764764609348
TE2p_L,-0.17187349889457076
PHT_L,-1.1161978055044353
PH_L,-0.8279846273819012
TPOJ1_L,-0.16384480923534664
TPOJ2_L,-1.10209569278354
TPOJ3_L,0.9189431402646099
DVT_L,1.480601755428926
PGp_L,0.8685647650532445
IP2_L,3.3381562414701684
IP1_L,2.73185083484701
IP0_L,1.7007802475833473
PFop_L,-1.230586134208231
PF_L,-0.2792674935302104
PFm_L,0.6979121981483654
PGi_L,1.372343509547499
PGs_L,0.7360472510903245
V6A_L,0.7256092159087077
VMV1_L,-0.1971140824215986
VMV3_L,-0.8740905235353915
PHA2_L,4.938919970112595
V4t_L,-0.9492750361595554
FST_L,-1.940900571067092
V3CD_L,-0.3089508233041672
LO3_L,-0.6832623676947076
VMV2_L,-0.8364347177491269
31pd_L,2.1750982499612577
31a_L,0.6989372115745851
VVC_L,1.367248459257885
25_L,0.028749337695278612
s32_L,-0.22522117158702035
pOFC_L,-0.05444320312466869
PoI1_L,-0.92948057420374
Ig_L,-0.5155632565823551
FOP5_L,0.9485548982766819
p10p_L,-0.38005603624113604
p47r_L,-0.9152200992995125
TGv_L,0.22289160433768768
MBelt_L,-0.5423614780613266
LBelt_L,-0.3870741905942682
A4_L,-0.41685472220385905
STSva_L,0.6202864209250551
TE1m_L,0.5201243207561108
PI_L,-0.4111599616048547
a32pr_L,1.4532601482140945
p24_L,1.285196085784063
V1_R,-0.46836020779231363
MST_R,-1.3443842586179093
V6_R,1.4683845411293277
