region,uncertainty
V1_L,-0.8720360993642419
MST_L,-1.7983306541380313
V6_L,-1.8365929582342875
V2_L,-1.2102515679622161
V3_L,-1.2785627099395243
V4_L,-0.972618750486021
V8_L,-0.3667626487884007
4_L,-1.5457396053574204
3b_L,-1.474786038080609
FEF_L,-0.6357824350028038
PEF_L,-1.1932775098760915
55b_L,-1.118340870922492
V3A_L,-1.4760213375904905
RSC_L,0.4970140585994749
POS2_L,-1.7638173294289436
V7_L,-1.4557933488109367
IPS1_L,-1.03161319583964
FFC_L,-1.5427735644112206
V3B_L,-1.4524259545498608
LO1_L,-0.9317853160718337
LO2_L,-0.9544228892241686
PIT_L,-1.0432762680483025
MT_L,-1.8554487972001663
A1_L,0.5826195065297008
PSL_L,-2.0800068620152454
SFL_L,-1.421708651424869
PCV_L,-1.8296059809443574
STV_L,-2.5795066487812615
7Pm_L,-2.065605414541077
7m_L,-3.23535657156402
POS1_L,-1.4239650140096578
23d_L,-0.26347404921778717
v23ab_L,-2.0644017233039245
d23ab_L,-0.9533077191330842
31pv_L,-1.2965977575006944
5m_L,-1.8808325258882235
5mv_L,-1.4089408692559175
23c_L,-0.6869272177437931
5L_L,-0.98829835612566
24dd_L,-0.4000651639433756
24dv_L,1.301283738689844
7AL_L,-1.7582491773074878
SCEF_L,-0.8536075872881019
6ma_L,-0.9444574450964952
7Am_L,-0.7633885198342883
7Pl_L,-0.5434319425240752
7PC_L,-1.1124840463512293
LIPv_L,-1.6633373226605315
VIP_L,-0.8747789603674206
MIP_L,-1.1662652156222508
1_L,-1.0710427954665378
2_L,-1.9557674201706121
3a_L,-1.3584053996270116
6d_L,-0.9753967102455725
6mp_L,-1.514850649457987
6v_L,-1.1134696715561363
p24pr_L,0.978616483201481
33pr_L,2.733081451179209
a24pr_L,3.896346714724245
p32pr_L,1.4829306907636126
a24_L,1.4126607420271637
d32_L,-0.29321723876184735
8BM_L,-1.7931768801886687
p32_L,0.24686647609688137
10r_L,-0.7420976462406764
47m_L,0.4911793188437527
8Av_L,-0.929046902266417
8Ad_L,-0.1175353678223566
9m_L,-1.5305907548024011
8BL_L,-0.8434518541267758
9p_L,-1.8387815420692621
10d_L,0.13644635388566126
8C_L,-1.4370883805281622
44_L,-2.605471599497403
45_L,-1.7069990072448582
47l_L,-0.6136113610449397
a47r_L,-0.9417155313532747
6r_L,-1.910886591974363
IFJa_L,-1.6197019715635288
IFJp_L,-1.2128538522566696
IFSp_L,-1.3877780429438578
IFSa_L,-2.2279611224443574
p9-46v_L,-1.1646475653529555
46_L,-0.9747845197124584
a9-46v_L,-1.2218240493900276
9-46d_L,-0.31872532854457797
9a_L,-1.1841420739193296
10v_L,-0.5009961714546642
a10p_L,-1.1123557309497385
10pp_L,-0.2899003248487745
11l_L,0.035273895096408464
13l_L,-0.006311876690096787
OFC_L,-0.6864533874051254
47s_L,1.2433211740671533
LIPd_L,-0.4468163082798428
6a_L,-0.4097711169469222
i6-8_L,-0.9141447126819146
s6-8_L,0.2661372257810535
43_L,0.8943900456575183
OP4_L,-0.6394740454137761
OP1_L,-0.088224045020924
OP2-3_L,2.5863576877105863
52_L,4.591940381702956
RI_L,1.1004798135052316
PFcm_L,-1.575728412499727
PoI2_L,9.05376418334546
TA2_L,2.352676833179317
FOP4_L,4.2574481467149115
MI_L,11.075847467014345
Pir_L,2.97023594474874
AVI_L,5.446598348036705
AAIC_L,6.954730923668885
FOP1_L,2.9842015747696617
FOP3_L,7.295528659642028
FOP2_L,3.5319303091019734
PFt_L,-2.0476675011584966
AIP_L,-0.5052645311319568
EC_L,1.0772020075002455
PreS_L,3.5688262389508703
H_L,5.359055991237121
ProS_L,0.07546115938941024
PeEc_L,0.334521468197701
STGa_L,-0.7810090814621132
PBelt_L,-2.0036932933706204
A5_L,-1.992053939459901
PHA1_L,1.9446098282507869
PHA3_L,0.9415329705681708
STSda_L,-0.8830704256457431
STSdp_L,-2.855467773093524
STSvp_L,-3.7678184485407673
TGd_L,-1.0233450143157066
TE1a_L,-1.2969346417470038
TE1p_L,-2.598605984782998
TE2a_L,-1.1162606209529395
TF_L,-0.10215362061740692
TE2p_L,-1.3875178901678555
PHT_L,-2.7619587942653454
PH_L,-1.7080791383677738
TPOJ1_L,-2.717372424390103
TPOJ2_L,-3.2318158781987654
TPOJ3_L,-2.2944969152111767
DVT_L,-1.3983858877900222
PGp_L,-1.0527703194556082
IP2_L,-1.1208174144960963
IP1_L,-1.502626599695698
IP0_L,-1.2895041802148126
PFop_L,-1.2952342875659475
PF_L,-1.2393175566720502
PFm_L,-1.7385666790885554
PGi_L,-2.69249734946882
PGs_L,-1.188060773380966
V6A_L,-0.94756657719579
VMV1_L,-0.7042405898475722
VMV3_L,-1.0485756220350928
PHA2_L,4.125340952179084
V4t_L,-0.8586133576123571
FST_L,-2.0478970286313305
V3CD_L,-1.560471700353071
LO3_L,-0.9479213357624879
VMV2_L,-0.25040123428367794
31pd_L,-2.290233555851168
31a_L,-1.4595985825546185
VVC_L,-0.4532665357788602
25_L,0.699178747900001
s32_L,0.35693735176675984
pOFC_L,1.013403084699529
PoI1_L,6.326010255311292
Ig_L,5.479463328022556
FOP5_L,2.715457867936276
p10p_L,-1.0767084024830371
p47r_L,-2.045440282030718
TGv_L,-0.8507094289807204
MBelt_L,3.705208065485284
LBelt_L,-0.7334867437570842
A4_L,-1.7142012016142378
STSva_L,-1.9170477452689536
TE1m_L,-2.0348592861707426
PI_L,2.559229797743623
a32pr_L,1.4284044203205568
p24_L,2.833878647748447
V1_R,-0.7612926253017885
MST_R,-0.5831918712483508
V6_R,-1.7991057943186
V2_R,-1.0293936792986929
V3_R,-1.058968576699946
V4_R,-0.8004744734835203
V8_R,-1.1306881184621622
4_R,-1.393834168010268
3b_R,-1.1279809862197236
FEF_R,-0.8087151528202953
PEF_R,-0.6634384623858044
55b_R,-1.287522221628045
V3A_R,-1.4041622651478567
RSC_R,0.620673021028813
POS2_R,-1.0429579896531576
V7_R,-1.4263121244941779
IPS1_R,-1.4271166460660798
FFC_R,-0.5869008087542377
V3B_R,-0.08231420699250433
LO1_R,-0.6920507225271707
LO2_R,-1.5325449743714157
PIT_R,-1.6265309191155766
MT_R,-1.9604199685239674
A1_R,2.4602814872492327
PSL_R,-0.8655038657481319
SFL_R,-0.7634036272272122
PCV_R,-1.8502799489682515
STV_R,-0.6784274214336943
7Pm_R,-1.1471002748185788
7m_R,-2.9016804489627552
POS1_R,-1.2804484692837013
23d_R,-0.024748182250916573
v23ab_R,-1.4523347120375645
d23ab_R,-0.624866286662431
31pv_R,-0.5255315546806437
5m_R,-1.304099164379223
5mv_R,-1.0871675424048008
23c_R,-0.805728402981896
5L_R,-0.8205452617463955
24dd_R,-0.17827864334575255
24dv_R,0.8373716257602801
7AL_R,-0.993621339563946
SCEF_R,0.4411248791044949
6ma_R,-1.0628784489518524
7Am_R,-1.2100351712596957
7Pl_R,-0.7186919148677966
7PC_R,-1.078910146972761
LIPv_R,-0.648798725426779
VIP_R,-1.091714770138328
MIP_R,-1.315395899970192
1_R,-1.0469086719903704
2_R,-1.0781549723095427
3a_R,-1.2434204591829279
6d_R,-0.9911222689003483
6mp_R,-1.431839274446194
6v_R,-0.8375463550158153
p24pr_R,1.3950905744106485
33pr_R,3.358962863985024
a24pr_R,4.626039096551731
p32pr_R,2.216015047774243
a24_R,2.9089380561913134
d32_R,-0.04416642522564826
8BM_R,-0.9304170470729234
p32_R,0.7105248463927156
10r_R,-0.2437560940625199
47m_R,0.6811922130811766
8Av_R,-1.794613219805475
8Ad_R,-1.4060795440796439
9m_R,-1.536889970344004
8BL_R,-1.6966869450335176
9p_R,-0.3374710774425118
10d_R,-0.117731798995506
8C_R,-1.5372500542262053
44_R,-0.8626084904148928
45_R,0.10805446875905442
47l_R,0.5484689069746146
a47r_R,-0.4898596748811484
6r_R,-0.03983422071599596
IFJa_R,-1.3066138408905228
IFJp_R,-1.4597504375352421
IFSp_R,-0.9306768809579039
IFSa_R,-1.645926385475444
p9-46v_R,-0.5340717143387003
46_R,-0.4180188448535128
a9-46v_R,-0.683973825889515
9-46d_R,0.4718062982460079
9a_R,-0.6310246145228086
10v_R,-0.8006714645462583
a10p_R,-0.46015171215994455
10pp_R,0.3308690415198352
11l_R,-0.11768309951687164
13l_R,-0.7956080219547313
OFC_R,-0.5226150709876497
47s_R,2.4683905232739627
LIPd_R,-0.5332582260555877
6a_R,-0.8753586110576257
i6-8_R,-1.3071410934043535
s6-8_R,-0.6745820892864427
43_R,0.3399193618450852
OP4_R,-0.9816712163834677
OP1_R,2.612922717920179
OP2-3_R,3.0699245977825416
52_R,4.252104596642875
RI_R,0.19374496515839534
PFcm_R,-0.3326736296664009
PoI2_R,8.263056598434998
TA2_R,1.9199831010487833
FOP4_R,6.4488820468426304
MI_R,11.05669286163763
Pir_R,2.454804392091224
AVI_R,6.5799039762265386
AAIC_R,7.246307200260737
FOP1_R,5.372589859685582
FOP3_R,6.694031051890944
FOP2_R,3.481596852514583
PFt_R,-0.9848881099304506
AIP_R,-1.0382065857224856
EC_R,3.152227394535205
PreS_R,4.1181108889458296
H_R,5.788274385906648
ProS_R,0.24407722560466863
