region,naming
V1_L,0.1563097702798815
MST_L,2.0596423535985893
V6_L,0.3991374410622175
V2_L,0.36969127924119427
V3_L,1.0242922178643596
V4_L,2.644022859207309
V8_L,6.645867046231512
4_L,-0.802097528441831
3b_L,-0.5827016952683369
FEF_L,2.0916100784568634
PEF_L,1.7844837632696728
55b_L,1.1754140200530925
V3A_L,-0.05247514715816152
RSC_L,-2.0969945598817623
POS2_L,-0.5182881174756138
V7_L,2.2875804563000015
IPS1_L,4.70524518107892
FFC_L,11.35650688354016
V3B_L,2.8305326008153098
LO1_L,2.424443041391655
LO2_L,4.327595420429922
PIT_L,8.10204566452457
MT_L,2.0446397659220876
A1_L,-0.2731440922654657
PSL_L,1.2999803071337952
SFL_L,-0.8498672714122333
PCV_L,-2.255433248866755
STV_L,1.4644656127154483
7Pm_L,-1.1475645629076001
7m_L,-2.6471731674532237
POS1_L,-0.8732457278270743
23d_L,-1.06996023143134
v23ab_L,-2.4573314130087143
d23ab_L,-2.530113488413861
31pv_L,-1.613697968650232
5m_L,-1.7767333305741233
5mv_L,-2.2892258004768604
23c_L,-1.8119132564828895
5L_L,-0.8504572844425381
24dd_L,-1.3552507406092276
24dv_L,0.26430399755727274
7AL_L,-1.1181126282309755
SCEF_L,1.662880473035869
6ma_L,-0.858610235484565
7Am_L,-0.6670927455063
7Pl_L,0.7942966127747135
7PC_L,1.0378421780687688
LIPv_L,2.7817469184693815
VIP_L,0.4159716773570905
MIP_L,2.7764164653502568
1_L,-0.581722898650775
2_L,-0.06266214586800965
3a_L,-0.5217062495017384
6d_L,-0.9510948946372573
6mp_L,-1.7659621483532224
6v_L,2.1371232766713613
p24pr_L,-1.0394473609035646
33pr_L,-1.8724116636413843
a24pr_L,-1.3760420396183823
p32pr_L,1.9588591190104712
a24_L,-3.3045048391799217
d32_L,-2.11636665527724
8BM_L,-0.5777292776426068
p32_L,-2.8782350888571404
10r_L,-2.658732963319783
47m_L,1.4359972157087362
8Av_L,-0.018636539592206493
8Ad_L,-0.860782467447969
9m_L,-2.4482488218897114
8BL_L,-0.45695614588581107
9p_L,-1.31113837412573
10d_L,-1.234538217417002
8C_L,0.5249323636715063
44_L,5.516000867808363
45_L,3.566847675321565
47l_L,1.8600731414189127
a47r_L,0.044451373478667414
6r_L,5.559862441484761
IFJa_L,4.954167331735867
IFJp_L,5.041423981187538
IFSp_L,4.5158491232321945
IFSa_L,4.110519224661882
p9-46v_L,0.8631689931795893
46_L,-0.7640955635822779
a9-46v_L,-0.9218383394533941
9-46d_L,-1.594432636944471
9a_L,-1.3602573020260538
10v_L,-1.3226741046679105
a10p_L,-1.1236278057912186
10pp_L,-0.43851857185790266
11l_L,-1.135934305826328
13l_L,-0.9370672280632948
OFC_L,-1.1361668761365382
47s_L,0.0030132471220437915
LIPd_L,5.410102587367851
6a_L,1.0961267122974385
i6-8_L,0.29262700146315057
s6-8_L,-0.5162309714202815
43_L,1.5167058086195186
OP4_L,0.19897803786997065
OP1_L,-0.9392727512852526
OP2-3_L,-0.5977181825192948
52_L,0.0484821625116481
RI_L,0.3513481362646887
PFcm_L,-0.2664303601180184
PoI2_L,-0.5976263661145441
TA2_L,1.4354740530158017
FOP4_L,2.0999298283994814
