region,selective attention
OP4_R,1.1995642473026205
OP1_R,1.1676773527054445
OP2-3_R,-0.4056011067159893
52_R,3.54061032523992
RI_R,1.1589779377507459
PFcm_R,0.24229964208922405
PoI2_R,-0.7998077060494642
TA2_R,1.359731483887157
FOP4_R,0.11457250873226958
MI_R,-0.5852685957571285
Pir_R,-3.017933032814728
AVI_R,0.21999880363856733
AAIC_R,-2.399840328918
FOP1_R,-0.17587262125049738
FOP3_R,-0.23748480146358272
FOP2_R,0.3416356845796802
PFt_R,-0.3404411722161153
AIP_R,3.515449533173317
EC_R,-1.947180005890674
PreS_R,-2.171288833454257
H_R,-2.72673911187658
ProS_R,-1.1970060699661915
PeEc_R,-1.904100226648167
STGa_R,-1.970032359444722
PBelt_R,6.829050694653808
A5_R,4.968637760565841
PHA1_R,-1.4412917689213631
PHA3_R,-0.6238866825507268
STSda_R,1.200548441193381
STSdp_R,6.575737539181484
STSvp_R,3.7135616743104425
TGd_R,-1.686581102230619
TE1a_R,-1.5558086099877468
TE1p_R,0.2041796432131817
TE2a_R,-0.945522781595631
TF_R,-1.0551338850774927
TE2p_R,0.1677460678607407
PHT_R,1.08810182099538
PH_R,4.300204893643391
TPOJ1_R,5.434552400048024
TPOJ2_R,3.312915541702269
TPOJ3_R,0.06685252467404043
DVT_R,3.0424824776893704
PGp_R,0.41626696054225615
IP2_R,3.578336584118318
IP1_R,1.962067199185586
IP0_R,3.358244100384119
PFop_R,-0.14116924400782122
PF_R,-0.08791169609805537
PFm_R,0.5142975159645411
PGi_R,0.24650957112436717
PGs_R,1.2690551788626019
V6A_R,3.470359312490741
VMV1_R,0.019738283257604496
VMV3_R,1.4489369353688066
PHA2_R,-1.4738900070628378
V4t_R,12.548730026077045
FST_R,10.88706813573548
V3CD_R,4.146332447600945
LO3_R,4.577763432436596
VMV2_R,0.3202152401062092
31pd_R,-0.05174680441377034
31a_R,-0.7224468686152228
VVC_R,1.2774943766181242
25_R,-3.0382021814540354
s32_R,-2.6627707918239083
pOFC_R,-2.8197865061238945
PoI1_R,-0.20317940608809837
Ig_R,-0.8164839118467235
FOP5_R,-0.27212744572621206
p10p_R,-1.8155472194334914
p47r_R,-1.3824509654326544
TGv_R,-1.6184523281016294
MBelt_R,6.001470056514284
LBelt_R,8.928834823616832
A4_R,3.6053690964579657
STSva_R,0.30205192942918624
TE1m_R,-0.11215369780425949
PI_R,-0.7493913503735122
a32pr_R,-0.8825792839606261
p24_R,-2.0401581867663903
