region,expectancy
V1_L,-1.028417776750898
MST_L,-2.069836701782788
V6_L,-0.655033566678143
V2_L,-0.9338603291822279
V3_L,-0.8861413431188854
V4_L,-1.0766699210153763
V8_L,-1.2386393208837823
4_L,-0.7023461761893739
3b_L,-0.16204242665981905
FEF_L,-1.5317814917271169
PEF_L,-2.2245208352619428
55b_L,-1.1298214851935535
V3A_L,-0.8463025842486798
RSC_L,0.1300103184772837
POS2_L,-1.3429413404692483
V7_L,-1.0760064183320925
IPS1_L,-1.6736422242361189
FFC_L,-1.4519715910243096
V3B_L,-1.352212598393974
LO1_L,-0.8390260197753295
LO2_L,-0.8548662610447428
PIT_L,-0.8767954760209081
MT_L,-1.9550831612540944
A1_L,2.1982806167248152
PSL_L,0.008342093214404274
SFL_L,-0.8310760968073926
PCV_L,-0.11197531595493108
STV_L,-0.9529233458171283
7Pm_L,-1.4825115193003398
7m_L,-2.6720225482496387
POS1_L,-1.1943198673459343
23d_L,2.784541418427921
v23ab_L,-1.7980109690892354
d23ab_L,-0.6329584284846606
31pv_L,-1.6920063188816463
5m_L,0.9690590227167722
5mv_L,0.9129038447093284
23c_L,1.2623866157695516
5L_L,0.4664409915879145
24dd_L,0.39322295645579536
24dv_L,1.833530606393015
7AL_L,0.6787121547967734
SCEF_L,-0.832587112604639
6ma_L,-0.28584007326015054
7Am_L,-0.18751058922253197
7Pl_L,-0.9721318366463901
7PC_L,0.36912768717946726
LIPv_L,-1.515045029559881
VIP_L,-0.7101866974675651
MIP_L,-2.296667625811073
1_L,0.3084122246540377
2_L,0.37459067290127984
3a_L,-0.3894492144270277
6d_L,-0.6954444635782018
6mp_L,-0.39650346719289764
6v_L,-0.8677230129103045
p24pr_L,3.8583130965054893
33pr_L,5.24746325446741
a24pr_L,3.464871581007586
p32pr_L,1.449535124232365
a24_L,-0.006527796611438534
d32_L,-0.88888918932509
8BM_L,-1.6180116936479538
p32_L,-0.4899936495933037
10r_L,0.5269925846501667
47m_L,-1.3814432709009385
8Av_L,-0.7740093812964316
8Ad_L,-0.2653643290469
9m_L,-1.0476391979821311
8BL_L,-0.8777756324043227
9p_L,-0.8812007242503755
10d_L,-0.4253978881674732
8C_L,-1.8194429621046255
44_L,-2.3552134997712377
45_L,-1.4278924666640582
47l_L,-1.5709992314663992
a47r_L,-0.7875751547883117
6r_L,-1.766744455204152
IFJa_L,-2.570576479110242
IFJp_L,-2.964634415679925
IFSp_L,-1.9246811026637491
IFSa_L,-1.6170687389983762
p9-46v_L,-1.185681909452684
46_L,-0.12597427222446678
a9-46v_L,-0.9705846467578433
9-46d_L,-0.3385654572103173
9a_L,-0.8783355139720258
10v_L,0.23922490356987047
a10p_L,-0.07615305337961048
10pp_L,0.17252696981577728
11l_L,-0.3896459183961056
13l_L,-0.3076520605993276
OFC_L,-0.41589457393900686
47s_L,-0.4406025180243708
LIPd_L,-1.5541894674245136
6a_L,-1.191752034580923
i6-8_L,-1.6569902292424112
s6-8_L,0.13796749048416215
43_L,1.6657114321048014
OP4_L,2.361584848405338
OP1_L,2.2171547285243314
OP2-3_L,1.7202853981414585
52_L,2.6474050163276135
RI_L,0.904367708480781
PFcm_L,2.252419262965358
PoI2_L,4.324598500762799
TA2_L,0.7301319879259907
FOP4_L,0.38671780194430655
MI_L,3.3810241002947783
Pir_L,0.5741378407640543
AVI_L,0.025272174311063506
AAIC_L,0.8944788084013058
FOP1_L,2.4151579112258927
FOP3_L,2.5931548456779008
FOP2_L,2.0134224935623872
PFt_L,1.7709097262984812
AIP_L,-0.5834948290167229
EC_L,0.6729849140372776
PreS_L,0.3972831258905303
H_L,0.5825426827588335
ProS_L,-0.9683731306313285
PeEc_L,-0.4459786617601295
STGa_L,-1.0812448372272894
PBelt_L,0.8497703298702133
A5_L,-0.4968979929343543
PHA1_L,0.02637805863447983
PHA3_L,-0.9536740219402271
STSda_L,-0.5865598502023559
STSdp_L,-2.1678948234028947
STSvp_L,-3.109304891566446
TGd_L,-1.0813990814825276
TE1a_L,-0.5663628500576151
TE1p_L,-1.6884028960052848
TE2a_L,-0.3477857394618235
TF_L,-0.8344382726058333
TE2p_L,-0.9355243802219574
PHT_L,-1.362838544475332
PH_L,-1.3561131144870975
TPOJ1_L,-1.3980085592633889
TPOJ2_L,-2.23875869884696
TPOJ3_L,-2.419933452253727
DVT_L,-0.8074795541850844
PGp_L,-0.9516809500521838
IP2_L,-1.2864365905706363
IP1_L,-2.4501514775738062
IP0_L,-1.5351356724551193
PFop_L,3.652375191557171
PF_L,0.5871927336214506
PFm_L,-1.0085602847613833
PGi_L,-2.374143287130944
PGs_L,-1.205795767204021
V6A_L,-0.6335831798405842
VMV1_L,-0.9662995853077747
VMV3_L,-1.1343122926566764
PHA2_L,-0.9863672349218102
V4t_L,-1.1680415924905896
FST_L,-2.0263763043011758
V3CD_L,-0.8735312858405782
LO3_L,-1.3593262204018408
VMV2_L,-1.3181631168076173
31pd_L,-2.3516736501295883
31a_L,1.0844884043016518
VVC_L,-0.9924864152332487
25_L,0.0009644458847314903
s32_L,-0.127331052003297
pOFC_L,1.2951723501433523
PoI1_L,3.9535582070601634
Ig_L,1.9105979434698368
FOP5_L,0.3877049736001517
p10p_L,-0.6086610731549353
p47r_L,-1.4985976642128456
TGv_L,-0.7460004598235018
MBelt_L,3.669186016020789
LBelt_L,0.5936632726681056
A4_L,0.9417832157605959
STSva_L,-1.4541177408016603
TE1m_L,-1.5444676281892007
PI_L,0.584965848747188
a32pr_L,-0.4006927820569743
p24_L,0.6534433902826812
V1_R,-0.9884379813459554
MST_R,-1.381509817892661
V6_R,-0.7951312807516885
V2_R,-0.9226217241950199
V3_R,-0.9189147587730498
V4_R,-1.0676891352587257
V8_R,-1.1999480778904033
4_R,-0.12596430257344465
3b_R,-0.02669495914969778
FEF_R,0.08405147885539359
PEF_R,0.021330150718571392
55b_R,0.22552241316395039
V3A_R,-0.8517767387431691
RSC_R,0.5951279755289797
POS2_R,-0.8603654966061379
V7_R,-1.3215205360974986
IPS1_R,-1.3537958140260806
FFC_R,-0.9353106305354607
V3B_R,-1.358183653909126
LO1_R,-0.23094994315248857
LO2_R,-0.7667812546306847
PIT_R,-1.0060772186342788
MT_R,-1.7038457036626184
A1_R,3.0388603757458146
PSL_R,1.4143839633909225
SFL_R,-0.623160720394564
PCV_R,-0.11863130135967742
STV_R,0.22429581359591277
7Pm_R,-0.40917828653239774
7m_R,-1.8166884478379859
POS1_R,-0.8813334225200633
23d_R,1.5629926526227007
v23ab_R,-1.3231170321168337
d23ab_R,-0.5571493798203115
31pv_R,-0.493173047177761
5m_R,2.1923643204613685
5mv_R,1.6155514268775308
23c_R,1.0743341463085938
5L_R,1.7889410217447796
24dd_R,1.692380110349429
24dv_R,1.9144680589980065
7AL_R,0.41316973979964444
SCEF_R,0.7372574000962356
6ma_R,-0.7055504515430494
7Am_R,-0.6819550680866873
7Pl_R,-0.971520164337578
7PC_R,1.0912967034787209
LIPv_R,-0.4480555686394284
VIP_R,-0.5975651257897899
MIP_R,-0.9916386828976453
1_R,-0.1344689367875924
2_R,0.918541197569479
3a_R,0.1461622945031442
6d_R,-0.311173108656523
6mp_R,0.005488779800227261
6v_R,-1.063068952867241
p24pr_R,3.0358181832727533
33pr_R,4.292753792158333
a24pr_R,1.8255406330272703
p32pr_R,0.6963286713037633
a24_R,0.4222109465814026
d32_R,-0.3872777102295372
8BM_R,-0.5563694904741472
p32_R,1.0884709465488895
10r_R,0.43848808344901097
47m_R,-0.3070180747569126
8Av_R,-0.32429248893034784
8Ad_R,-0.021791485216851755
9m_R,-0.8067252088152282
8BL_R,-1.0640914644025878
9p_R,0.04386424042132558
10d_R,-0.43726527325620484
8C_R,-0.6552489630912776
44_R,-1.178556246367548
45_R,-0.9771135066868739
47l_R,-0.1750816263178079
a47r_R,0.1501386327121046
6r_R,-0.3089790773966184
IFJa_R,-1.3573390588871275
IFJp_R,-1.9918287245544906
IFSp_R,-0.838505504327602
IFSa_R,-0.07721746550720272
p9-46v_R,-0.2581789682729381
46_R,0.30590882967983213
a9-46v_R,0.219564102025219
9-46d_R,-0.2585254112900317
9a_R,-0.46720757875433655
10v_R,-0.13971504470490892
a10p_R,-0.33837695297955506
10pp_R,-0.2840129525911238
11l_R,-0.5266617220071176
13l_R,0.04234521584482347
OFC_R,-0.31876435313446294
47s_R,0.07906685891559719
LIPd_R,-1.5724788675264876
6a_R,-0.8329486454231084
i6-8_R,-0.49248445225632514
s6-8_R,-0.3394449522145687
43_R,1.887868209285194
OP4_R,0.8054991396588427
OP1_R,3.9424277504862286
OP2-3_R,2.0451805559147784
52_R,3.8313083509313657
RI_R,4.155997104394158
PFcm_R,5.497362332867282
PoI2_R,5.007677556011827
TA2_R,1.3660936854480688
FOP4_R,2.215512680364486
MI_R,5.879732621675122
Pir_R,0.4229992305368981
AVI_R,0.2588447374173865
AAIC_R,2.2020111724192257
FOP1_R,4.516530939087828
FOP3_R,3.0286072994728097
FOP2_R,1.6798726045306613
PFt_R,1.6472019491895393
AIP_R,-0.27985425532926994
EC_R,0.8681236868956186
PreS_R,0.4972513545208118
H_R,0.5552440789475337
ProS_R,-0.11121431714504906
PeEc_R,-0.11010014354500798
STGa_R,-0.18274003019833138
PBelt_R,0.6586402427112988
A5_R,-1.0948313861611805
PHA1_R,0.5212015683161028
PHA3_R,-0.23507709336916954
STSda_R,-0.9434883343826993
STSdp_R,-1.1789389188012094
STSvp_R,-1.7021638281277995
TGd_R,-0.617337104024811
TE1a_R,-1.0277367710362189
TE1p_R,-0.9128280258810489
TE2a_R,-0.6018943640696798
TF_R,-0.38083562482619165
TE2p_R,-0.5267819694092933
PHT_R,-0.9623492392768851
PH_R,-0.9402784435236751
TPOJ1_R,-0.3752677159074323
TPOJ2_R,-1.4148316217859174
TPOJ3_R,-2.034100099784719
DVT_R,-0.6869968912725491
PGp_R,-1.8221321210701318
IP2_R,-0.6534841791428131
IP1_R,-0.8928612854983656
IP0_R,-1.336274762811186
PFop_R,2.723868547304931
PF_R,2.3763307904148596
PFm_R,-0.12808924450455458
PGi_R,-1.816841129210195
PGs_R,-1.1744085543066023
V6A_R,-0.6612472574397196
VMV1_R,0.5440290014548429
VMV3_R,-1.0473175060268127
PHA2_R,0.29365492059170245
V4t_R,-0.9475736510429139
FST_R,-1.304652128049637
V3CD_R,-0.5133093032350118
LO3_R,-0.8684103017653251
VMV2_R,-0.06565621400352649
31pd_R,-0.5898279119904744
31a_R,0.5716928766279026
VVC_R,-0.5880299873301325
25_R,0.6365951969457141
s32_R,0.292127838130738
pOFC_R,0.7212001080474321
PoI1_R,3.8682181829850366
Ig_R,4.1395649610834075
FOP5_R,-0.6556324229740225
p10p_R,-0.40314289785054447
p47r_R,0.01650588922165122
TGv_R,-0.3315991419910772
MBelt_R,1.5614497481673728
LBelt_R,1.2465472903819628
A4_R,-0.17656767944694227
STSva_R,-1.2624474377606416
TE1m_R,-1.0964852248362689
