region,updating
V1_L,-1.486990188637742
MST_L,-1.5076197301655967
V6_L,1.0378268766378858
V2_L,-0.917800140671996
V3_L,-0.4778439470230667
V4_L,-0.11712400625818482
V8_L,0.2362313494327673
4_L,-0.6573120929499067
3b_L,-1.273089584757915
FEF_L,3.113393317796228
PEF_L,3.1045239004654013
55b_L,1.362268700739927
V3A_L,0.4878576197513942
RSC_L,-0.9226564582752437
POS2_L,2.123073068010855
V7_L,2.794987947973911
IPS1_L,8.642878171882654
FFC_L,0.19397588029868448
V3B_L,1.7763669488461615
LO1_L,0.7084508380033663
LO2_L,0.5951200120396641
PIT_L,1.3588145865818502
MT_L,-1.692311517896725
A1_L,-2.1876228275461997
PSL_L,0.7721455742008815
SFL_L,-0.8367771689875776
PCV_L,-0.08821379662172148
STV_L,-0.3620571825196089
7Pm_L,4.770062612866875
7m_L,-1.2205247241601958
POS1_L,0.006233124468741119
23d_L,-1.359602242797179
v23ab_L,-0.8290413158792546
d23ab_L,-1.3193611495994781
31pv_L,-0.934136267787837
5m_L,-0.42523817497211985
5mv_L,-0.5986852913586042
23c_L,-1.1359950022054943
5L_L,0.2074612797027993
24dd_L,0.306770629915953
24dv_L,1.906965717708868
7AL_L,1.6481142063077296
SCEF_L,1.5987108247904052
6ma_L,0.15780699486343258
7Am_L,2.5664684757438283
7Pl_L,6.582573150340902
7PC_L,3.8956212603976126
LIPv_L,7.903677503056902
VIP_L,3.408053295664451
MIP_L,9.396080414975321
1_L,-0.9001669108754815
2_L,-0.08436321813776261
3a_L,-0.6418700878830872
6d_L,0.01233729854944289
6mp_L,-1.1187703194036998
6v_L,1.5466515397105436
p24pr_L,-0.1556444630962171
33pr_L,-2.1496258190135293
a24pr_L,-1.0463197913463216
p32pr_L,2.496833089266267
a24_L,-3.3359613163927393
d32_L,-2.941169613063886
8BM_L,-0.3165570494530524
p32_L,-2.2064960565847724
10r_L,-2.2834552146642415
47m_L,-2.25406276248511
8Av_L,0.5750164121683893
8Ad_L,-0.5711614910817434
9m_L,-2.5901445630839777
8BL_L,-0.5605587626333265
9p_L,-0.8259828823044776
10d_L,-1.3591208446888112
8C_L,1.5869539008201181
44_L,-0.10008387207553206
45_L,-2.0014259715029925
47l_L,-2.0485701226174293
a47r_L,-0.5601938492623626
6r_L,2.1174393320423675
IFJa_L,2.4695123427618237
IFJp_L,3.856791807304709
IFSp_L,1.587453489756184
IFSa_L,-0.05723742020729252
p9-46v_L,2.349777818700884
46_L,0.7594477494259692
a9-46v_L,1.3058591496823362
9-46d_L,0.05974292114746312
9a_L,-1.1227849517674726
10v_L,-1.4191156050783316
a10p_L,-0.9462917442841434
10pp_L,-0.8672922105045557
11l_L,-1.128599697258297
13l_L,-1.7568605171596858
OFC_L,-1.205939764334641
47s_L,-1.8613307562269161
LIPd_L,10.864750365363308
6a_L,4.853792732158619
i6-8_L,5.152131936844401
s6-8_L,-0.06809468108060117
43_L,-0.487733650801253
OP4_L,-0.5718929357033422
OP1_L,-1.4123412392112071
OP2-3_L,-0.6368512798549435
52_L,-1.9236259995290337
RI_L,-0.6208796803938218
PFcm_L,-0.437843030230926
PoI2_L,-1.6392152097732902
TA2_L,-2.239642759147912
FOP4_L,-0.4594363189949591
MI_L,-0.07062439838486007
Pir_L,-1.9206971512986117
AVI_L,1.4776506070723927
AAIC_L,-0.7129426159502938
FOP1_L,-0.7879374104238858
FOP3_L,-0.10926240469664747
FOP2_L,-0.03843822347663987
PFt_L,0.5845421603151549
AIP_L,7.2916047335446
EC_L,-1.783416349795008
PreS_L,-1.6478473702620942
H_L,-1.3744793043586787
ProS_L,-1.2054393866832314
PeEc_L,-1.4863860768808934
STGa_L,-2.047662052655854
PBelt_L,-2.7201853231335873
A5_L,-2.264672135020081
PHA1_L,-1.5122167180871537
PHA3_L,-0.496959581376611
STSda_L,-2.9034903587451364
STSdp_L,-3.052594490011921
STSvp_L,-3.2020842213820684
TGd_L,-1.6929430699609331
TE1a_L,-1.6191975372531757
TE1p_L,-1.1352551194195082
TE2a_L,-1.0714723430640585
TF_L,-1.3566384665841646
TE2p_L,-0.8960737286849465
PHT_L,-1.314037167137863
PH_L,0.5509372436058749
TPOJ1_L,-1.4026301031248096
TPOJ2_L,-1.646277486233945
TPOJ3_L,-0.9293856471044949
DVT_L,3.7721485292982515
PGp_L,0.9787891996843511
IP2_L,11.372641550880752
IP1_L,8.834961639695639
IP0_L,4.7566425639121395
PFop_L,-0.043552971731291544
PF_L,1.743969427779465
PFm_L,3.8579462681099863
PGi_L,0.7908195148951739
PGs_L,1.3168846431301429
V6A_L,2.710024033499598
VMV1_L,-1.5311283008395091
VMV3_L,-0.5922247467513843
PHA2_L,-0.6717000086407994
V4t_L,-0.17868338630175656
FST_L,-1.457194221145669
V3CD_L,1.0836895853164312
LO3_L,-0.545183109337757
VMV2_L,-1.1637899851553293
31pd_L,-1.2885353655368559
31a_L,-0.7120638728519213
VVC_L,0.09393630576100553
25_L,-3.2712850525369372
s32_L,-2.4463801654900914
pOFC_L,-2.1367838362480334
PoI1_L,-1.5567442700949385
Ig_L,-0.6503519614428581
FOP5_L,0.7918002684680442
p10p_L,-1.0727087824972676
p47r_L,0.019730924948298756
TGv_L,-0.6266264857900674
MBelt_L,-2.059570194059129
LBelt_L,-2.6681216025603693
A4_L,-1.4063229935684243
STSva_L,-3.0474571395231442
TE1m_L,-1.6078690104712088
PI_L,-2.0583406534156077
a32pr_L,-1.2092645789497356
p24_L,-3.4919932974552217
V1_R,-1.1902238968824062
MST_R,-0.39413234558095606
V6_R,2.9428911856323916
V2_R,-0.7585546888756783
V3_R,-0.02564337910003151
V4_R,0.46246778047839265
V8_R,-0.13233638319566748
4_R,-1.0413461557297745
3b_R,-1.1613421244215971
FEF_R,1.2753834162274567
PEF_R,1.3486673181941196
55b_R,0.28045739676281695
V3A_R,0.6806713263295892
RSC_R,-1.581960742221191
POS2_R,3.6123946135274223
V7_R,4.357802465852497
IPS1_R,8.35593637064971
FFC_R,-0.4084334707729872
V3B_R,3.288970724493753
LO1_R,-0.0899189446507918
LO2_R,-0.9328227560196167
PIT_R,0.23502207135863157
MT_R,-0.885301437492111
A1_R,-2.492992424792004
PSL_R,0.0010268369525746517
SFL_R,-1.6343904876002795
PCV_R,2.490063114726999
STV_R,-0.3314813601736061
7Pm_R,8.861338784621763
7m_R,0.2999081948764969
POS1_R,-1.1455129014130998
23d_R,-1.2668414620769028
v23ab_R,-1.2857984311817443
d23ab_R,-1.013939270119249
31pv_R,-0.3821154731129444
5m_R,0.05813882188576169
5mv_R,0.7301956438319406
23c_R,-0.4902437445624399
5L_R,0.6070238537930166
24dd_R,-0.042829366135585134
24dv_R,0.8107645183528598
7AL_R,2.351215784579778
SCEF_R,0.12453960660171956
6ma_R,0.7853003717764705
7Am_R,4.394919214966322
7Pl_R,4.873565065418502
7PC_R,2.76771135097909
LIPv_R,7.657596513173921
VIP_R,4.826696810155402
MIP_R,8.052986265009535
1_R,-0.794099618528792
2_R,0.4045666693639011
3a_R,-1.004445978170146
6d_R,-0.15280187990925567
6mp_R,0.9247217060547593
6v_R,0.09535533626365235
p24pr_R,-0.4952060977012806
33pr_R,-1.8719801239055283
a24pr_R,-0.22599209983721488
p32pr_R,2.524218484613487
a24_R,-3.488407594292935
d32_R,-1.9788030771116658
8BM_R,-0.47729220408886763
p32_R,-2.5530808177358217
10r_R,-3.1489061922882526
47m_R,-0.806702321604921
8Av_R,-0.5949409204334887
8Ad_R,0.002238783121033245
9m_R,-2.218662153224938
8BL_R,-0.9722307756526136
9p_R,-0.46073662452085445
10d_R,-0.5318306713215599
8C_R,1.779532708549555
44_R,-0.6412601911143896
45_R,-1.1002230656677117
47l_R,-1.4227288014633572
a47r_R,-0.11772449432400377
6r_R,1.4076390584778222
IFJa_R,1.9046097117444412
IFJp_R,1.5851664754912318
IFSp_R,2.986195521990579
IFSa_R,0.9247365017389628
p9-46v_R,3.2937109873826764
46_R,2.2040160172196015
a9-46v_R,1.4533660795221868
