region,updating
9-46d_R,0.7995851023946201
9a_R,-0.2923845345192569
10v_R,-1.8693294738020776
a10p_R,-0.5144031130746357
10pp_R,-0.7111935399593371
11l_R,-0.28220148399647016
13l_R,-1.558880292229034
OFC_R,-1.4833426616615784
47s_R,-1.0153226114817162
LIPd_R,11.384666457362426
6a_R,7.24606435228108
i6-8_R,3.512940291061734
s6-8_R,-0.5924374846517191
43_R,-1.3482730924672361
OP4_R,-1.5373316700887665
OP1_R,-0.8727643104178943
OP2-3_R,-1.1582369974104392
52_R,-2.686484895448418
RI_R,-0.9985149974742544
PFcm_R,-0.4765991860392368
PoI2_R,-2.027606248969796
TA2_R,-1.7259517163038331
FOP4_R,0.2305263645556746
MI_R,-0.10956861172268201
Pir_R,-1.7189841866975553
AVI_R,1.7842646311660715
AAIC_R,0.17046715767175208
FOP1_R,-1.0242899866530892
FOP3_R,-0.09420186280555345
FOP2_R,-1.09592941018304
PFt_R,-0.20036625673804778
AIP_R,7.846488823177095
EC_R,-1.643288372818806
PreS_R,-1.6863222780112987
H_R,-1.7181048050716072
ProS_R,-1.4133748317815877
PeEc_R,-1.194770078360646
STGa_R,-2.345675163594316
PBelt_R,-3.270824394540153
A5_R,-3.049487020170837
PHA1_R,-1.5106263375525288
PHA3_R,-1.0047696643988162
STSda_R,-2.4882693510114064
STSdp_R,-3.179933660842719
STSvp_R,-2.610252332309337
TGd_R,-1.4338724532699694
TE1a_R,-1.453590675042009
TE1p_R,-0.006243322857494728
TE2a_R,-1.0258497867602165
TF_R,-0.22487050704753148
TE2p_R,-0.818375685974771
PHT_R,0.8122973148385195
PH_R,1.0134149298815773
TPOJ1_R,-1.0425948461123538
TPOJ2_R,-0.5929939014171786
TPOJ3_R,0.02978303477684213
DVT_R,3.920423924858267
PGp_R,0.8963293528494667
IP2_R,10.458755406569821
IP1_R,6.989189608048149
IP0_R,4.9738630273219515
PFop_R,-0.28075557863661893
PF_R,1.3654810567805862
PFm_R,3.796778731818332
PGi_R,1.2280758350247458
PGs_R,2.845292054319241
V6A_R,3.4234195835907864
VMV1_R,-1.0344930502698901
VMV3_R,-0.040434082613100907
PHA2_R,-1.4261887174400016
V4t_R,-1.0898461315825796
FST_R,-0.455649644953507
V3CD_R,1.2314042966903365
LO3_R,-0.7710782402123171
VMV2_R,-0.48373719709482194
31pd_R,0.5112916968360194
31a_R,-0.8486502302098092
VVC_R,-0.05127015126699712
25_R,-2.546094192975539
s32_R,-2.5939587341664865
pOFC_R,-2.0514250783525445
PoI1_R,-2.3258048875613015
Ig_R,-1.639902996838078
FOP5_R,-0.25677050628707554
p10p_R,-0.4705339510519898
p47r_R,-0.06335150427944482
TGv_R,-0.9552336344127847
MBelt_R,-2.992438747742726
LBelt_R,-3.1757425703046427
A4_R,-2.56679604643127
STSva_R,-2.079667776605274
TE1m_R,-1.2297951904361437
PI_R,-2.3156978932557215
a32pr_R,0.16696162101435247
p24_R,-2.6680182785269713
