region,interference
V1_L,-1.018370956626798
MST_L,-1.8071521979060117
V6_L,0.5854720256339949
V2_L,-0.9066877946266529
V3_L,-0.7615365868128205
V4_L,-0.8382789446265295
V8_L,0.48711651531128114
4_L,-0.6432421713470083
3b_L,-0.8457486079311145
FEF_L,2.1735030447122985
PEF_L,2.8362017404271413
55b_L,0.5404568994233527
V3A_L,-0.5683805901452875
RSC_L,-0.16617457990554224
POS2_L,1.2564914589581322
V7_L,1.313340169724793
IPS1_L,5.020525604970936
FFC_L,0.41543906044216566
V3B_L,-0.014050426126306283
LO1_L,-1.0354979498990684
LO2_L,-1.7677320781169459
PIT_L,-0.4963813031759216
MT_L,-2.027480768208612
A1_L,-3.051817951148309
PSL_L,-1.091966059713107
SFL_L,-0.27855369694948673
PCV_L,-1.4068848784091588
STV_L,-1.1876659239275686
7Pm_L,1.392497902330954
7m_L,-0.8057508360121332
POS1_L,0.564375992526056
23d_L,-0.10876751635181349
v23ab_L,0.9997273628721083
d23ab_L,0.44863495673736614
31pv_L,-0.3948577344594801
5m_L,-1.921832016936776
5mv_L,-2.146644765162115
23c_L,-1.469702854191693
5L_L,-0.8614931751011663
24dd_L,1.4282886509850776
24dv_L,5.314464196790799
7AL_L,-1.1843398511615628
SCEF_L,3.9877133679297536
6ma_L,0.2899214926583829
7Am_L,-0.2566088409315188
7Pl_L,2.769230281277567
7PC_L,1.0070808269227736
LIPv_L,3.2052996386067334
VIP_L,0.717203175150367
MIP_L,4.668809113231085
1_L,-0.7809569834472386
2_L,-0.44315939577657715
3a_L,-0.8721327743358918
6d_L,-0.05536634840919822
6mp_L,-1.4226945721925373
6v_L,1.8921977566083414
p24pr_L,3.0524404836541397
33pr_L,2.9331297016435123
a24pr_L,5.298598057250554
p32pr_L,7.398358342613166
a24_L,1.031973363652442
d32_L,0.4337960416939683
8BM_L,1.92972775391008
p32_L,0.16235892539667918
10r_L,-0.9343690032557879
47m_L,0.2638060222250785
8Av_L,0.6657056702064303
8Ad_L,1.1251684450693573
9m_L,0.328809241752326
8BL_L,-0.14375520463930905
9p_L,0.1627749930309386
10d_L,-0.2022685514782823
8C_L,2.2015209536854043
44_L,2.6003766178589878
45_L,1.301320728333041
47l_L,0.6407436338261713
a47r_L,-0.08669098455831821
6r_L,2.879251467523992
IFJa_L,4.551542423564883
IFJp_L,6.374714369151259
IFSp_L,4.791620318918356
IFSa_L,2.1097889953585027
p9-46v_L,2.6699572607457602
46_L,0.9125349978565162
a9-46v_L,1.3663519602752412
9-46d_L,0.662435260270286
9a_L,0.2947258750485442
10v_L,-1.0168034574746574
a10p_L,-0.4996744515386816
10pp_L,-0.4788227169982597
11l_L,-1.2082176296196152
13l_L,-2.4036122371433994
OFC_L,-1.4405069733183629
47s_L,-1.3927783407821248
LIPd_L,7.795443274100645
6a_L,3.513572972152838
i6-8_L,3.348416860765149
s6-8_L,0.22451561268435793
43_L,-1.1100703149469244
OP4_L,-1.9905640569047491
OP1_L,-2.4965888350830445
OP2-3_L,-2.505916838539358
52_L,-2.9079097003996917
RI_L,-1.216961093627927
PFcm_L,-1.8999058192818399
PoI2_L,-2.9687660034381063
TA2_L,-1.642943347625468
FOP4_L,1.1291484703011785
MI_L,1.2338444265331556
Pir_L,-3.444195651474576
AVI_L,2.8377911970774523
AAIC_L,-0.08314998070659084
FOP1_L,-0.6678865347156543
FOP3_L,-0.13478672818527515
FOP2_L,-1.3133346974592508
PFt_L,-0.6284476058785754
AIP_L,5.081794803674057
EC_L,-3.255022661926333
PreS_L,-2.380507954146981
H_L,-2.699963791149326
ProS_L,-2.1241630987108358
PeEc_L,-2.293614277046593
STGa_L,-0.7694257600827878
PBelt_L,-3.2414081402131245
A5_L,-1.6525085504005608
PHA1_L,-2.1660739517126144
PHA3_L,-1.3806551188264535
STSda_L,-1.4643181468248534
STSdp_L,-2.0258971985947802
STSvp_L,-1.4980223350800157
TGd_L,-1.4065285238827943
TE1a_L,-0.8371016003613203
TE1p_L,-0.5319666842661765
TE2a_L,-1.1116000092344727
TF_L,-1.2379248448828808
TE2p_L,-0.9800437456656145
PHT_L,-1.438183657431668
PH_L,-0.766520834212171
TPOJ1_L,-1.5609675578264575
TPOJ2_L,-0.3371651869177198
TPOJ3_L,1.2281143705787974
DVT_L,1.8615254439533615
PGp_L,0.38920824643978436
IP2_L,7.39521770150749
IP1_L,5.907264872697533
IP0_L,2.9126763392230584
PFop_L,-1.240622527242269
PF_L,0.5033876550159088
PFm_L,1.5859272066825505
PGi_L,0.7710945607818198
PGs_L,0.5135398174227441
V6A_L,0.9833191415347932
VMV1_L,-1.5825919895511298
VMV3_L,-0.5369089659584063
PHA2_L,-1.8385820458776243
V4t_L,-2.670248321217491
FST_L,-3.219373640805329
V3CD_L,-1.0762249175152296
LO3_L,0.08852098067023549
VMV2_L,-1.5395194492522037
31pd_L,-1.0395507339331775
31a_L,-1.0641622813017027
VVC_L,-0.4455644957205032
25_L,-1.012160777715658
s32_L,0.05690584355384369
pOFC_L,-2.1880451881813188
PoI1_L,-3.185081444107978
Ig_L,-2.767127082456163
FOP5_L,2.039415567729931
p10p_L,-0.5187373863353126
p47r_L,1.7377462763759537
TGv_L,-1.3820433354517347
MBelt_L,-3.0046489161319645
LBelt_L,-2.966671391177877
A4_L,-2.0300358431927976
STSva_L,-1.5092867366798315
TE1m_L,-0.9014241428746816
PI_L,-2.2400450782001435
a32pr_L,3.8254207892721537
p24_L,1.3445379524068173
V1_R,-0.6689976521937061
MST_R,-2.2329756496211193
V6_R,0.9699430490235681
V2_R,-0.7969594988377776
V3_R,-0.48572424243613366
V4_R,-1.1692923445847019
V8_R,-1.4813096764962705
4_R,-1.1240783758188169
3b_R,-1.091903323931948
FEF_R,0.9363883410876198
PEF_R,1.349407804716817
55b_R,-0.2609763441879819
V3A_R,-0.4206091838238134
RSC_R,0.10513972971726541
POS2_R,2.1362932850271816
V7_R,2.4704482888813537
IPS1_R,5.401238618545098
FFC_R,-1.427122335384026
V3B_R,3.0403662201037545
LO1_R,-1.350932107919408
LO2_R,-2.816742950916246
PIT_R,-1.8549690715115688
MT_R,-2.243943573318582
A1_R,-2.8166084610467297
PSL_R,-0.7391018523151661
SFL_R,-0.9683511521164899
PCV_R,-1.0417622423833273
STV_R,-0.8431484766823489
7Pm_R,2.8259506203807265
7m_R,-0.7276051686792938
POS1_R,-0.33328059483391304
23d_R,0.28744914011865497
v23ab_R,0.3294130215219745
d23ab_R,0.021409041117434444
31pv_R,-0.41566324015642314
5m_R,-1.7583989973887657
5mv_R,-1.2166229377884825
23c_R,-0.8349505890072303
5L_R,-0.7297245087410936
24dd_R,-0.1385546899324427
24dv_R,2.204211737125294
7AL_R,0.2732246296917498
SCEF_R,1.3016228221505322
6ma_R,0.25783367525260487
7Am_R,0.19543632352010923
7Pl_R,1.3830317427395455
7PC_R,0.9340976278279992
LIPv_R,3.7002537184603868
VIP_R,0.2273750168934799
MIP_R,4.225011493891377
1_R,-0.8167032511892196
2_R,-0.2969943330398769
3a_R,-1.2600617774249578
6d_R,-0.2928739318487871
6mp_R,-0.35383273105980817
6v_R,0.5705856043478778
p24pr_R,2.7284862398135146
33pr_R,2.9475666350614205
a24pr_R,6.194490379687191
p32pr_R,5.991179947922994
a24_R,0.8890170098653534
d32_R,1.8067893844324316
8BM_R,1.7665129711246372
p32_R,-0.4185373264488376
10r_R,-1.7735774723668467
47m_R,0.5450542251863576
8Av_R,-0.45564944872006996
8Ad_R,0.12001108115940823
9m_R,0.30090925166427734
8BL_R,-1.1192004945515837
9p_R,0.310227491063096
10d_R,-0.27743888236666125
8C_R,1.3879657129941327
44_R,1.6216445496148961
45_R,0.5349208352498289
47l_R,1.397506340215255
a47r_R,0.9425588577561945
6r_R,2.456950808322136
IFJa_R,3.247561903263092
IFJp_R,2.2684486348367563
IFSp_R,3.6241179490834314
IFSa_R,1.190146553724401
p9-46v_R,3.6862415523635295
46_R,2.3050057721567074
a9-46v_R,3.0511297428761734
9-46d_R,1.8690539010162652
9a_R,1.421738868245975
10v_R,-1.1590879131550793
a10p_R,0.2493981049834205
10pp_R,-0.06892905492956183
11l_R,-0.24500833139344333
13l_R,-2.204038588343291
OFC_R,-1.3722541322486108
47s_R,0.07309592039254974
LIPd_R,7.629573524863999
6a_R,3.6978271227669577
i6-8_R,1.9616634593676738
s6-8_R,-0.9309455791523253
43_R,-0.36162652630079234
OP4_R,-2.148356482963382
OP1_R,-1.8231401934347045
OP2-3_R,-2.150415059426103
52_R,-3.1535067859013943
RI_R,-2.5634473413063645
PFcm_R,-1.5525557167250938
PoI2_R,-2.8373893139759314
TA2_R,-1.9135344833699786
FOP4_R,1.6807387367582451
MI_R,2.1712553515063235
Pir_R,-2.271830902341038
AVI_R,4.594763582640822
AAIC_R,2.6550760505921684
FOP1_R,-0.9162666857694209
FOP3_R,0.004123939324731499
FOP2_R,-0.7308307834957548
PFt_R,-0.7146042290841708
AIP_R,4.045367681691599
EC_R,-2.0540205769576447
PreS_R,-2.1611379552225034
H_R,-2.514364088859639
ProS_R,-1.5517395495929294
PeEc_R,-2.171306502984614
STGa_R,-0.44159961987682367
PBelt_R,-2.858384912629917
A5_R,-2.537423647825559
PHA1_R,-1.6939578860062554
PHA3_R,-2.041162995561153
STSda_R,-1.528067591991657
STSdp_R,-1.7537354876133373
STSvp_R,-1.800245740818794
TGd_R,-1.0272607299025083
TE1a_R,-0.9918158875095149
TE1p_R,-0.8969900615336421
TE2a_R,-0.891076534659961
TF_R,-1.7553432931914772
TE2p_R,-1.0765762966313428
PHT_R,-0.5202659236099276
PH_R,-0.7286326689685322
TPOJ1_R,-1.6446576849479584
TPOJ2_R,-1.562574419083808
TPOJ3_R,-0.24131961976348418
DVT_R,2.216348766783747
PGp_R,0.7103593993425384
IP2_R,6.308373812112442
IP1_R,4.635871292325835
IP0_R,2.677593313103166
PFop_R,-0.8179443381524861
PF_R,-0.07050801978618769
PFm_R,1.0527185330044024
PGi_R,0.24305355691516128
PGs_R,0.9996163111326825
V6A_R,1.7560167417913595
VMV1_R,-0.9536354387592552
VMV3_R,-1.5346712831528067
PHA2_R,-1.6595985523550103
V4t_R,-3.257392573787832
FST_R,-2.293993451118304
V3CD_R,-0.1231215988927028
LO3_R,-0.9421511466676709
VMV2_R,-1.5064520697633699
31pd_R,-0.0019265020370368066
31a_R,-0.620335512872849
VVC_R,-1.4727965510141667
25_R,-1.2052782415469405
s32_R,-0.36306798596093837
pOFC_R,-2.4983653659824547
PoI1_R,-3.815142279878052
Ig_R,-3.031347491114813
FOP5_R,1.5063756143807323
p10p_R,0.8219704995412054
p47r_R,2.234749513665045
TGv_R,-1.7307316692014814
MBelt_R,-2.984629288330221
LBelt_R,-2.748317095081998
A4_R,-2.2778477004609057
STSva_R,-0.9866976389709292
TE1m_R,-1.4645442973472846
PI_R,-2.507627090772428
a32pr_R,4.513012558571922
p24_R,1.9823812333009694
