region,movement
V1_L,-0.11500239438520977
MST_L,-0.27775966713699546
V6_L,-0.14797186340489343
V2_L,-0.2744500255725766
V3_L,-0.34955115962962513
V4_L,-0.48618886287538976
V8_L,-0.38488173643565493
4_L,2.865987264554101
3b_L,2.3450466733491377
FEF_L,2.311184167977423
PEF_L,-0.020544591088930912
55b_L,0.7265473473621162
V3A_L,-0.3127336249713322
RSC_L,-0.12968640231738862
POS2_L,-0.23691677104270734
V7_L,0.46783995643812265
IPS1_L,1.2332456220867625
FFC_L,-1.0278611596519969
V3B_L,-0.16295372503455285
LO1_L,-0.5874142823701116
LO2_L,1.023653768592343
PIT_L,-0.05688606669953481
MT_L,-0.004933496498052336
A1_L,0.2321926058280264
PSL_L,0.6280418029318443
SFL_L,0.005989531179523101
PCV_L,-0.3131736117297154
STV_L,-0.12426689490185179
7Pm_L,1.0693355061567609
7m_L,-0.5361026368866375
POS1_L,-0.9836307718655467
23d_L,0.42707690013104743
v23ab_L,-0.4941587233459583
d23ab_L,-0.28802913996665375
31pv_L,-0.7158810445751552
5m_L,2.1539921844426386
5mv_L,2.574411175847479
23c_L,0.8621012035829975
5L_L,1.1027450830870225
24dd_L,3.8478491501234817
24dv_L,2.6099613040221725
7AL_L,1.5366909266293105
SCEF_L,0.39991506254303694
6ma_L,0.11036831596893686
7Am_L,0.2534711353758092
7Pl_L,0.5498994657953987
7PC_L,2.436073715494798
LIPv_L,2.366424536946295
VIP_L,0.9977469198993529
MIP_L,1.8438463879134568
1_L,1.354543341077398
2_L,2.9868961851584026
3a_L,2.2667866429692007
6d_L,3.90525217482426
6mp_L,1.4248049864991406
6v_L,1.282374752013645
p24pr_L,1.4552497350366267
33pr_L,-0.809928028066915
a24pr_L,-0.934480451247366
p32pr_L,-0.8834180721883835
a24_L,-0.5550793311499934
d32_L,-1.1041898277729676
8BM_L,-0.32502727142140186
p32_L,-0.20718414195174056
10r_L,-0.71537475409106
47m_L,-0.9681576992519768
8Av_L,-0.36351998231707616
8Ad_L,-0.4585477106212027
9m_L,-0.920596995192242
8BL_L,0.17759034557128414
9p_L,-0.6117134665461825
10d_L,-0.34089044630952275
8C_L,-0.2847805922464247
44_L,-0.8566650048018707
45_L,-1.1050638957868497
47l_L,-1.1459863897016365
a47r_L,-0.5919437813687514
6r_L,-0.37956726509963956
IFJa_L,-0.9466681001891265
IFJp_L,0.16766613394661994
IFSp_L,-0.8097355432196693
IFSa_L,-0.9595134502046142
p9-46v_L,-0.4031633344946111
46_L,-0.30613972479344725
a9-46v_L,-0.828323926673488
9-46d_L,-0.6771218869845521
9a_L,-0.3988864994575502
10v_L,-0.35256123311166376
a10p_L,-0.5466061163240382
10pp_L,-0.1844296836325097
11l_L,-0.5233207601226394
13l_L,-0.4330887245562006
OFC_L,-0.4324609432345566
47s_L,-0.7284471684884158
LIPd_L,0.36075306271668933
6a_L,3.0351132998424823
i6-8_L,0.22940299386340135
s6-8_L,-0.3085309996090497
43_L,0.04471124140238658
OP4_L,0.4130993726729033
OP1_L,0.7479238640438837
OP2-3_L,-0.766518771861663
52_L,0.07725738921532822
RI_L,1.8294940923437375
PFcm_L,1.4573704520829212
PoI2_L,-0.16975116672081203
TA2_L,-0.5645515881414386
FOP4_L,-0.9220662412141442
MI_L,-0.9615197518892252
Pir_L,-0.43173117574551045
AVI_L,-0.8404205101364841
AAIC_L,-1.2689068419478895
FOP1_L,0.3364861935323854
FOP3_L,-0.28582268261314764
FOP2_L,-0.04739087766960741
PFt_L,2.979125099952331
AIP_L,2.094802851432806
EC_L,-0.4472298437290664
PreS_L,-0.8808920325534374
H_L,-0.6021646258011575
ProS_L,-0.8955315508162096
PeEc_L,-0.2297642744899087
STGa_L,-0.7460340617926056
PBelt_L,0.5117570126173814
A5_L,-0.309324186810928
PHA1_L,-0.6542080945645743
PHA3_L,-0.8572090699761716
STSda_L,-0.9247055953908201
STSdp_L,-0.2446731115672138
STSvp_L,-0.262836349158157
TGd_L,-0.09855390447695676
TE1a_L,-0.6357729778880968
TE1p_L,-0.6569603962549571
TE2a_L,-0.504333321390139
TF_L,-0.47161430172196916
TE2p_L,-0.7748162200979111
PHT_L,-0.18024496398769604
PH_L,-0.4051341366831587
TPOJ1_L,-0.5023183680778953
TPOJ2_L,-0.0876822623803262
TPOJ3_L,-0.31605060976899285
DVT_L,-0.015397378189492536
PGp_L,-0.12138211746847397
IP2_L,-0.14065868057018693
IP1_L,-0.2563602801491411
IP0_L,1.3892492468552144
PFop_L,0.8323414402633117
PF_L,0.3683445940111292
PFm_L,0.07681827395020625
PGi_L,-0.10401531899832396
PGs_L,-0.19302559261024269
V6A_L,0.4482714858435855
VMV1_L,-0.7714679017663718
VMV3_L,0.07853502224756606
PHA2_L,-1.0457309691027925
V4t_L,1.8893455645502621
FST_L,1.1394821876397203
V3CD_L,-0.8421319195024096
LO3_L,-0.36217146454305776
VMV2_L,-0.11264330031702928
31pd_L,-0.6353848608526569
31a_L,1.1282263617721762
VVC_L,-0.9404134225489909
25_L,-0.9686592453783814
s32_L,-0.6352241503433571
pOFC_L,-0.591132372697989
PoI1_L,-0.12823745390549804
Ig_L,-0.5993045402296544
FOP5_L,-0.9669132312270554
p10p_L,-0.47400185641344433
p47r_L,-1.1872553374846275
TGv_L,-0.49673421904399095
MBelt_L,-0.3228214231489897
LBelt_L,-0.059557277972726086
A4_L,0.261635711927233
STSva_L,-1.0369418555115821
TE1m_L,-0.4679042145860913
PI_L,-1.0706885819697751
a32pr_L,-0.7643069862734507
p24_L,-1.0492335915420943
