region,decision
V1_L,-0.8036695606359383
MST_L,1.338340398613039
V6_L,-0.6030639433366282
V2_L,-0.7631027687212176
V3_L,-0.41135640948208446
V4_L,-0.18799636146303564
V8_L,0.838241412895847
4_L,-0.3299656233840611
3b_L,-0.5632260171179808
FEF_L,2.230163283413765
PEF_L,2.367636568251857
55b_L,0.45500295067506324
V3A_L,-0.7886232104030758
RSC_L,-0.9714165204777256
POS2_L,-0.1569654425542436
V7_L,0.38864756169823905
IPS1_L,2.9056891846395714
FFC_L,2.497335931913687
V3B_L,0.5633942954159876
LO1_L,0.32393531137206066
LO2_L,1.8565235013895585
PIT_L,3.0311362551711194
MT_L,2.1995749043699586
A1_L,-3.635366950119473
PSL_L,-1.0491305757492773
SFL_L,-0.37118971078560153
PCV_L,-1.7806136288681702
STV_L,-1.0474221949158238
7Pm_L,-0.7860239741873117
7m_L,-2.2902522991504406
POS1_L,-0.8110723132589521
23d_L,-0.9186995401690515
v23ab_L,-0.9275037648099308
d23ab_L,-0.8648695794716923
31pv_L,-1.2610791153292356
5m_L,-1.521449267546802
5mv_L,-1.870231988680009
23c_L,-1.3582852064339992
5L_L,-0.9704854680892773
24dd_L,1.09625678548726
24dv_L,2.85218800963955
7AL_L,-1.6157810148117526
SCEF_L,3.342880853457491
6ma_L,0.4573435583558001
7Am_L,-0.19128679883006755
7Pl_L,1.2256436020244252
7PC_L,-0.2019506354350302
LIPv_L,1.765880232625192
VIP_L,0.005616269476310597
MIP_L,2.0521848957139377
1_L,-0.7739656531829373
2_L,-1.32909188617187
3a_L,-0.6483302753831227
6d_L,0.2690670595568058
6mp_L,-1.1975845705681314
6v_L,1.155379980878765
p24pr_L,0.5237811520814729
33pr_L,-0.5169462038543137
a24pr_L,1.0247044022098377
p32pr_L,3.705088295664971
a24_L,0.5420916078896819
d32_L,-1.2007389973921392
8BM_L,0.2433930233217845
p32_L,-0.17947578291358574
10r_L,0.31240138476597523
47m_L,1.1089837024842248
8Av_L,0.318333667666097
8Ad_L,0.11307029474056857
9m_L,-1.151280688884124
8BL_L,-0.6086696054936186
9p_L,-0.6614823954090601
10d_L,-0.0006357439723598623
8C_L,1.0433588523289168
44_L,1.95667947963692
45_L,1.6874828467147809
47l_L,1.0063248638885045
a47r_L,-0.04957663419101464
6r_L,2.082299945802892
IFJa_L,2.7741183655864146
IFJp_L,4.297707263687745
IFSp_L,3.2544993941106624
IFSa_L,1.7681028397548786
p9-46v_L,1.3416881747842262
46_L,-0.21073179189355123
a9-46v_L,0.594048196900953
9-46d_L,-0.4125931058224608
9a_L,-0.5054547462496367
10v_L,-0.21975216580574222
a10p_L,-0.551183670264069
10pp_L,-0.09351058761771144
11l_L,-0.21074113816687157
13l_L,-0.5798501344970396
OFC_L,-0.6705066141323299
47s_L,0.0028393985861329156
LIPd_L,4.471063687334417
6a_L,2.791632091579002
i6-8_L,2.5531266158770776
s6-8_L,0.5242987744817184
43_L,-0.5152665932552096
OP4_L,-1.1428553757249675
OP1_L,-2.6455354664761876
OP2-3_L,-2.102122664738894
52_L,-2.3226289392965676
RI_L,-1.2509933114047624
PFcm_L,-2.5491408966868776
PoI2_L,-1.4238103210334279
TA2_L,-1.0141392686512047
FOP4_L,0.44484777931823893
MI_L,0.9994545202786715
Pir_L,-1.7369690303730656
AVI_L,3.4362709448806976
AAIC_L,0.3600942932802726
FOP1_L,-0.4272959630136179
FOP3_L,-0.21346864769477758
FOP2_L,-0.5447378075737221
PFt_L,-1.3182406284729224
AIP_L,2.1011799408969587
EC_L,-3.105248907628781
PreS_L,-2.5082992301172085
H_L,-2.5565711045181323
ProS_L,-2.1678343028670675
PeEc_L,-1.6723663694551596
STGa_L,-0.7719107290290621
PBelt_L,-3.202943402970225
A5_L,-1.4758926050564045
PHA1_L,-2.013705842680704
PHA3_L,-0.9802291275725853
STSda_L,-0.7951486964060289
STSdp_L,-2.05110185638813
STSvp_L,-0.7580756198187429
TGd_L,-1.2400302387136775
TE1a_L,-0.8016808571347863
TE1p_L,0.15008333206837834
TE2a_L,-0.9581019077632519
TF_L,-0.4228242661333242
TE2p_L,0.4582489297112867
PHT_L,0.15622353412013543
PH_L,2.0675679362182198
TPOJ1_L,-0.15662310539004565
TPOJ2_L,-0.23149896347725984
