region,social cognition
V1_L,-0.23453727252196743
MST_L,0.8918395065821348
V6_L,0.16438623970988703
V2_L,0.035388868511771115
V3_L,0.36978549772353103
V4_L,1.3046160570047176
V8_L,4.037240290374641
4_L,-1.7503254818676115
3b_L,-2.149921362666558
FEF_L,-0.5091884768074333
PEF_L,-0.842967485522624
55b_L,-0.47943276651134414
V3A_L,0.11232665710054884
RSC_L,-0.47530315888380187
POS2_L,1.8573016167840226
V7_L,-0.2710451818455398
IPS1_L,0.44648570720390207
FFC_L,4.073689288725704
V3B_L,-0.8035309498999306
LO1_L,0.9262149340020813
LO2_L,0.3418771524292825
PIT_L,0.9639421753895788
MT_L,-0.25414296286355154
A1_L,-2.295557300285773
PSL_L,-0.5188489281843366
SFL_L,0.3516770803752184
PCV_L,-0.455542217193257
STV_L,0.9918121638257853
7Pm_L,0.5365437703974898
7m_L,1.9448949240406008
POS1_L,1.680482783276577
23d_L,-1.7045665113738138
v23ab_L,3.252971942269904
d23ab_L,0.24274343252228964
31pv_L,0.8292314941427118
5m_L,-1.718476990778517
5mv_L,-1.6780096413519356
23c_L,-1.8116730678991118
5L_L,-0.5434236642339505
24dd_L,-1.747573971211794
24dv_L,-1.241077704184439
7AL_L,-0.867905982020737
SCEF_L,-0.7907075570292678
6ma_L,-0.4244737321255064
7Am_L,-0.02861372092884472
7Pl_L,0.33084442920854634
7PC_L,-1.0548375502177196
LIPv_L,-0.6694765575137119
VIP_L,-0.6489390801698313
MIP_L,-0.7324495297922489
1_L,-1.1351599783312403
2_L,-1.8686926791309668
3a_L,-2.1662658916432784
6d_L,-1.066180346285247
6mp_L,-1.7035238623716369
6v_L,-0.700313751956752
p24pr_L,-2.286863085365281
33pr_L,-2.0425749825708994
a24pr_L,-1.5841315117490948
p32pr_L,-0.34221650682735955
a24_L,0.7592971422958383
d32_L,1.6186881363264747
8BM_L,1.2150753905247706
p32_L,1.017120074878019
10r_L,0.7854200173767866
47m_L,-0.38788606092110695
8Av_L,0.5786505528795102
8Ad_L,0.655993377741632
9m_L,1.85538732104376
8BL_L,0.9626971243511273
9p_L,0.9385539953978018
10d_L,0.7019180102988044
8C_L,-0.16402088199385595
44_L,0.031873647693733985
45_L,0.1819611225235674
47l_L,0.019090503662738074
a47r_L,-0.07632448124769363
6r_L,-1.644503714492539
IFJa_L,-0.16325840937177116
IFJp_L,-0.7214723208907303
IFSp_L,0.4854955137772795
IFSa_L,-0.46544524523423403
p9-46v_L,0.04801606335432607
46_L,-0.15293361257298224
a9-46v_L,0.23007560723576967
9-46d_L,-0.17587246709710772
9a_L,0.22479405326876348
10v_L,0.04621923591057274
a10p_L,-0.4314090482432766
10pp_L,-0.06783450942200181
11l_L,-0.7250171273350348
13l_L,-1.6138404393761603
OFC_L,-0.8323492507534677
47s_L,-0.5792690631639509
LIPd_L,0.35887015314097404
6a_L,-0.7217724727555919
i6-8_L,0.16521197523493109
s6-8_L,0.7078798091203701
43_L,-1.7422864832103575
OP4_L,-1.9962501030507895
OP1_L,-2.004821843414905
OP2-3_L,-1.6617606009817725
52_L,-1.3942785400551259
RI_L,-1.0899299618905938
PFcm_L,-2.752371384311266
PoI2_L,-1.6648949851488832
TA2_L,-1.2574494385514026
FOP4_L,-0.8397497490173226
MI_L,-0.9730898922749228
Pir_L,-1.0561911446495558
AVI_L,-0.9610684369021872
AAIC_L,-0.4702131289477706
FOP1_L,-1.746530801576023
FOP3_L,-0.856864429469951
FOP2_L,-2.0822796267505645
PFt_L,-2.0816499614304904
AIP_L,-1.0776245416179804
EC_L,-0.7796071556792702
PreS_L,-0.7338317595773676
H_L,-1.794024285140925
ProS_L,-1.545590244780699
PeEc_L,-0.8344743399456961
STGa_L,1.0065590304327372
PBelt_L,-1.5621832280319392
A5_L,0.9170739102820209
PHA1_L,-0.571136759568568
PHA3_L,-0.658293356517726
STSda_L,0.8684423346823925
STSdp_L,-0.03850247325705304
STSvp_L,1.3494102203169915
TGd_L,-0.06339058642127615
TE1a_L,0.22357623376353808
TE1p_L,-0.08768956000391288
TE2a_L,-0.3394914946569146
TF_L,-0.7833001155872756
TE2p_L,0.4288134871263665
PHT_L,0.8125341314509742
PH_L,-0.8206154210448351
TPOJ1_L,1.3598124949285568
TPOJ2_L,2.3485747528367735
TPOJ3_L,0.6570214410685989
DVT_L,0.6935079365081918
PGp_L,-0.4548421470079379
IP2_L,-0.6308835429412039
IP1_L,-0.029333954640789868
IP0_L,-0.3327412152356211
PFop_L,-1.9990400046374561
PF_L,-1.0235285663543359
PFm_L,-0.593058955356711
PGi_L,0.5388829229063459
PGs_L,0.07831756817673001
V6A_L,0.15170351557523473
VMV1_L,-1.0604854404524398
VMV3_L,1.4268541622300936
PHA2_L,-0.8506158395663892
V4t_L,0.28535739051433895
FST_L,0.5526434071431009
V3CD_L,0.44771151840158574
LO3_L,-0.39725118323667485
VMV2_L,-0.4018700987468266
31pd_L,1.5501575869021609
31a_L,-0.6755223816363553
VVC_L,2.595719133320492
25_L,-0.7937271154484108
s32_L,0.27098363279792326
pOFC_L,-1.5765518126910372
PoI1_L,-1.9241712709545764
Ig_L,-1.6104965356027268
FOP5_L,-0.37693043842518886
p10p_L,-0.4131006922027758
p47r_L,0.6235806318735976
TGv_L,-0.6366486985642367
MBelt_L,-1.639977588600287
LBelt_L,-1.7415162653671155
A4_L,-0.404108134293332
STSva_L,0.9876076475492477
TE1m_L,-0.008701482668186948
PI_L,-0.5294261087865707
a32pr_L,0.24519578887843022
p24_L,-0.920981907272408
V1_R,0.24391790862053808
