region,working memory
V1_L,-0.6096954191897431
MST_L,-1.7757892698983972
V6_L,-0.8781087627526475
V2_L,-0.6089452115842859
V3_L,-0.5508388100396444
V4_L,-0.6175615010967648
V8_L,-0.8402896652878812
4_L,-0.06094252275592036
3b_L,-0.4971234860739571
FEF_L,2.2699360519006015
PEF_L,2.408873610807982
55b_L,1.4685484014627241
V3A_L,0.011491653453870102
RSC_L,-0.7262424717261101
POS2_L,-0.4986842183359614
V7_L,-0.05438654574798769
IPS1_L,2.6672020020031586
FFC_L,-0.8020222221070611
V3B_L,-0.6279021117387337
LO1_L,-0.9067615568313716
LO2_L,-0.9563663062866768
PIT_L,-0.6975131262064334
MT_L,-1.8737459110553771
A1_L,-0.8038080483744644
PSL_L,-0.9044218638945783
SFL_L,-0.7960742035797277
PCV_L,-0.2045415940325267
STV_L,-0.9416553413410367
7Pm_L,1.6150371449760235
7m_L,-1.5838368037100738
POS1_L,-1.0348953090895774
23d_L,-0.8351778047099081
v23ab_L,-0.47865332301169966
d23ab_L,-1.3496974776521407
31pv_L,-1.1371830834774244
5m_L,0.14087534929578607
5mv_L,-0.3017619476601961
23c_L,-0.9450739306971087
5L_L,-0.05196395169341318
24dd_L,0.646876100553049
24dv_L,1.542814095328985
7AL_L,-0.39354601340822837
SCEF_L,1.795068041845001
6ma_L,0.05995167927844146
7Am_L,-0.08767089791628101
7Pl_L,2.9947878076538035
7PC_L,1.517027826772953
LIPv_L,0.6614206426740091
VIP_L,0.48272254751224014
MIP_L,3.20405031228139
1_L,-0.4149486671357598
2_L,-0.5809066332342634
3a_L,-0.26535733593143024
6d_L,0.19657822047168264
6mp_L,-0.3344970776118147
6v_L,0.5029011605804263
p24pr_L,0.11084013825568143
33pr_L,-0.7652411290430849
a24pr_L,0.3506037014748605
p32pr_L,2.715497819648387
a24_L,-0.8243617892689888
d32_L,-1.330985549563061
8BM_L,-0.7383044276689024
p32_L,-0.13536098725769258
10r_L,-0.5870887946979848
47m_L,-1.5059712824958116
8Av_L,0.2305668027549403
8Ad_L,-0.5392265418167201
9m_L,-0.8717811624439351
8BL_L,-0.9000051477088165
9p_L,-0.29122755425760943
10d_L,-0.554053019583458
8C_L,0.645572916056994
44_L,0.4505638545788796
45_L,-1.0996611109885517
47l_L,-1.567705348845746
a47r_L,-0.47794124421239503
6r_L,1.9713130669015944
IFJa_L,1.8509762597973571
IFJp_L,3.441751632794854
IFSp_L,1.0558251229349334
IFSa_L,0.40337014819752326
p9-46v_L,1.6027184072014509
46_L,0.6705535092386096
a9-46v_L,1.2433134358969589
9-46d_L,0.7184137449078877
9a_L,-0.33522145796930414
10v_L,-0.8077311228385434
a10p_L,-0.5703040907601676
10pp_L,-0.4763278239604285
11l_L,-0.31715712189663947
13l_L,-0.6768795841688484
OFC_L,-0.4945022704429376
47s_L,-0.4676989386202901
LIPd_L,3.503253110147636
6a_L,2.6417921486436806
i6-8_L,4.197483340865101
s6-8_L,-0.3376588391883266
43_L,-0.0323655970862508
OP4_L,-0.5661679372115649
OP1_L,-1.1633184062261779
OP2-3_L,-0.5429246542814815
52_L,-0.1893873471834746
RI_L,-1.0641506735533286
PFcm_L,-1.3967293863413606
PoI2_L,-0.07156281622269339
TA2_L,-0.4768173708302777
FOP4_L,0.4453568462677003
MI_L,0.5770612364168224
Pir_L,-0.0015665490427007778
AVI_L,1.7992489779038825
AAIC_L,0.46097144382241906
FOP1_L,0.4078350873734625
FOP3_L,-0.4711368327327219
FOP2_L,-0.48363363966417117
PFt_L,-1.2132889051556461
AIP_L,1.858748659633388
EC_L,-0.5658218274133782
PreS_L,-1.2896641799734352
H_L,-0.692913321400518
ProS_L,-0.9761964386433918
PeEc_L,-0.5998064423882535
STGa_L,-0.7565016765511102
PBelt_L,-1.1570340737644553
A5_L,-0.5958851926807855
PHA1_L,-1.6995940709143555
PHA3_L,-0.8846652318627641
STSda_L,-1.1789759774779145
STSdp_L,-0.8422202159619727
STSvp_L,-1.683558714358729
TGd_L,-0.4203931638983393
TE1a_L,-0.6826417701485678
TE1p_L,-1.387635850894276
TE2a_L,-0.5937620610862352
TF_L,-0.889050642854676
TE2p_L,-0.9972725492417694
PHT_L,-1.0772111368439847
PH_L,-0.5917168633766221
TPOJ1_L,-1.4212954739069685
TPOJ2_L,-1.7987774779122654
TPOJ3_L,-1.8001916878204198
DVT_L,0.5768729074877875
PGp_L,-0.5702884986734978
IP2_L,3.351514151462838
IP1_L,3.101883786160388
IP0_L,0.41845391844869817
PFop_L,-1.0190177394425366
PF_L,-0.4341477984080123
PFm_L,0.6312189434771055
PGi_L,-0.9782472212239558
PGs_L,-0.20904787240863756
V6A_L,0.23780547093961188
VMV1_L,-0.6435297960290197
VMV3_L,-0.6693322474119384
PHA2_L,-0.9916484438860154
V4t_L,-1.4061426538024742
FST_L,-1.7448902957214434
V3CD_L,-0.79971019407772
LO3_L,-1.3139699378684029
VMV2_L,-1.0044278804450053
31pd_L,-1.3597447908124514
31a_L,-0.7974534723294726
VVC_L,-0.3401718248995901
25_L,-1.8027351009760284
s32_L,-0.9285019691059019
pOFC_L,-0.9714878642936943
PoI1_L,0.18972203135129564
Ig_L,0.27691738720445697
FOP5_L,1.1248146216235135
p10p_L,-0.5425787370596873
p47r_L,-0.03895695165609818
TGv_L,-0.34051032939624437
MBelt_L,-0.15555372484168056
LBelt_L,-1.0914961366993494
A4_L,-0.5256825481072193
STSva_L,-1.2524149081602205
TE1m_L,-0.8260309012590727
PI_L,-0.5051167852568079
a32pr_L,-0.46186972392844633
p24_L,-0.9779214701871422
V1_R,-0.5495164260954523
MST_R,-1.7146236937088686
V6_R,0.05748158961607798
V2_R,-0.5956849859902585
V3_R,-0.5592250492301047
V4_R,-0.6281569171552572
V8_R,-0.2507705507285574
4_R,-0.22524718319328213
3b_R,-0.3547780637857124
FEF_R,1.5884343538601362
PEF_R,0.8513110767344728
55b_R,0.7698941712131782
V3A_R,-0.2880476633140476
RSC_R,-1.1941370126984057
POS2_R,0.2705671418608421
V7_R,0.9162999990917161
IPS1_R,2.972023189153501
FFC_R,-0.369828132157449
V3B_R,-0.34149991060991775
LO1_R,-1.322185856899376
LO2_R,-1.2442260392435496
PIT_R,-0.8103315036533515
MT_R,-1.406823206450008
A1_R,-0.5741903950003188
PSL_R,-0.7760066045962893
SFL_R,-0.7685782682584074
PCV_R,1.3087495565559475
STV_R,-1.4930110547237394
7Pm_R,4.957986962058845
7m_R,-0.43380014459090566
POS1_R,-1.2493714664164397
23d_R,-0.5302549664304618
v23ab_R,-0.6816335469646192
d23ab_R,-0.9934290317652613
31pv_R,-0.5396616012491819
5m_R,0.10170624024881403
5mv_R,-0.40788592905645416
23c_R,-0.46222155820098215
5L_R,0.04558332121336548
24dd_R,0.4684303437057156
24dv_R,0.18389309371026588
7AL_R,-0.3445444574262226
SCEF_R,0.33184072054506686
6ma_R,1.0603923233514396
7Am_R,1.245117622460304
7Pl_R,1.6479184047665532
7PC_R,-0.2631849743769352
LIPv_R,1.1545630628752221
VIP_R,0.1586433437659666
MIP_R,3.0603591104632635
1_R,-0.3892281596299545
2_R,-0.20333188178591183
3a_R,-0.13598574164678603
6d_R,0.10559073391323245
6mp_R,0.9469929561714258
6v_R,-0.041291647570851804
p24pr_R,-0.02210105961798154
33pr_R,-0.3156601332721646
a24pr_R,0.7504785319451623
p32pr_R,2.3793545693384615
a24_R,-1.2001398833218953
d32_R,-0.36533065317277963
8BM_R,0.2632474600683141
p32_R,-0.6474248617094424
10r_R,-1.198460152567506
47m_R,0.15881943858370315
8Av_R,-0.3713552174086432
8Ad_R,0.4283919753429062
9m_R,-0.5794033223971775
8BL_R,-0.018142345463294844
9p_R,0.02429481147857607
10d_R,-0.2244479066162245
8C_R,1.3027737588285422
44_R,-0.023920732858714426
45_R,-0.493797255388525
47l_R,-0.7562525030896107
a47r_R,0.06393977844573807
6r_R,1.2613062094635754
IFJa_R,2.1842216866955977
IFJp_R,0.8842259121473315
IFSp_R,2.4185626034012717
IFSa_R,1.2231229695465613
p9-46v_R,2.881709039189686
46_R,2.577745137490474
a9-46v_R,1.5176322901181776
9-46d_R,0.7459133209044013
9a_R,-0.12685853170951253
10v_R,-1.1376797435009671
a10p_R,-0.3279810601477955
10pp_R,-0.5172343471798047
11l_R,0.3906364275490615
13l_R,-0.5198638270175503
OFC_R,-0.9513975920415376
47s_R,0.060743058238255196
LIPd_R,5.435925499489218
6a_R,5.375178457088101
i6-8_R,3.474538715433311
s6-8_R,-0.4836075979342173
43_R,-0.5966533847687845
OP4_R,-0.3539381031968315
OP1_R,-0.11986195263493997
OP2-3_R,-0.5513917485612599
52_R,-0.5724967560184283
RI_R,-0.7204574216681179
PFcm_R,-0.44681827293638254
PoI2_R,-0.6703450882235698
TA2_R,-0.4085414812306282
FOP4_R,0.5183900949553176
MI_R,0.47939293899432456
Pir_R,-0.4273682593566761
AVI_R,2.7600508518483062
AAIC_R,1.7818457219119688
FOP1_R,-0.12619232854767123
FOP3_R,0.09855126686853964
FOP2_R,-0.5985618032844973
PFt_R,-0.6788776109093957
AIP_R,2.3286626097884455
EC_R,-0.5790821804216925
PreS_R,-1.418140407612281
H_R,-0.9050075273308692
ProS_R,-1.3575360046801577
PeEc_R,-0.25605435563998724
STGa_R,-0.6089121070574788
PBelt_R,-1.381418550246918
A5_R,-1.0552983835632328
PHA1_R,-1.7088221655923794
PHA3_R,-1.3989238766874237
STSda_R,-0.7285796465835168
STSdp_R,-1.0823593569103906
STSvp_R,-1.275524588724238
TGd_R,-0.3761335854397378
TE1a_R,-0.23453707157591672
TE1p_R,0.1501070745365425
TE2a_R,-0.5369144430992916
TF_R,-0.49872059908069444
TE2p_R,-0.47545375102648335
PHT_R,0.6555564394013214
PH_R,-0.19916758960823525
TPOJ1_R,-1.2851219944308063
TPOJ2_R,-0.8067991061866208
TPOJ3_R,-0.26830550409593873
DVT_R,0.6991877784469167
PGp_R,-0.6023002352637558
IP2_R,4.570277086423968
IP1_R,2.7016049839962135
IP0_R,0.6992325453246228
PFop_R,-0.4575601400490063
PF_R,0.040149227003645184
PFm_R,0.9024009220581499
PGi_R,-0.4882038167336322
PGs_R,-0.016627834178230955
V6A_R,0.7591646177990535
VMV1_R,-1.2975494833961492
VMV3_R,0.2163182165241432
PHA2_R,-1.882200365997383
V4t_R,-1.20489579190826
FST_R,-1.0678354909033996
V3CD_R,-0.8625494105938208
LO3_R,-1.4828987030679228
VMV2_R,-1.0128881805377583
31pd_R,-0.33709234141449074
31a_R,-0.6783229888537627
VVC_R,-0.7613970624719812
25_R,-1.1075363211703113
s32_R,-1.4074066521597106
pOFC_R,-1.1283924251758817
PoI1_R,-0.4251647614765757
Ig_R,-0.5556612207682845
FOP5_R,0.7297365952058614
p10p_R,0.02050871307802847
p47r_R,0.28726675026912135
TGv_R,-0.4976057994983353
MBelt_R,-0.7267660313992497
LBelt_R,-0.8689825169505059
A4_R,-1.2127710176370445
STSva_R,-0.8623679730233402
TE1m_R,-0.8460364955072275
PI_R,-0.40340655450197416
a32pr_R,0.8171910100619748
p24_R,-0.47871047904346725
