region,episodic memory
V1_L,-0.7260762959156143
MST_L,-0.6531995120554779
V6_L,2.2544910861162974
V2_L,0.06918767348648308
V3_L,0.14201532308700382
V4_L,-0.46370703489907905
V8_L,-0.8683966857253
4_L,-1.3851144703537943
3b_L,-1.4206034952389681
FEF_L,0.9729672892995621
PEF_L,0.46263821440333047
55b_L,0.43310868897990673
V3A_L,0.17716373848416034
RSC_L,1.9382531351238552
POS2_L,4.131601547642057
V7_L,1.005973704916595
IPS1_L,2.563238046950928
FFC_L,0.2793457600464867
V3B_L,0.1591440368536209
LO1_L,0.21503615798801812
LO2_L,-1.508052102463532
PIT_L,-1.1778827612877016
MT_L,-0.5780134423273048
A1_L,-1.3924511353057094
PSL_L,-0.8030762048159825
SFL_L,0.8276625236206533
PCV_L,0.7459248365207505
STV_L,-0.7605307912915451
7Pm_L,2.4246686012843974
7m_L,2.144694658091588
POS1_L,3.201348759638846
23d_L,-0.6017775859947976
v23ab_L,3.0022157726291123
d23ab_L,1.4137150893619879
31pv_L,1.8143016464729815
5m_L,-0.33784321295949704
5mv_L,-0.30705948305003505
23c_L,-0.33940919316179646
5L_L,-0.3487203296451996
24dd_L,-1.1854568376072963
24dv_L,-0.9334519998015645
7AL_L,-0.65686090265715
SCEF_L,0.044812025452581415
6ma_L,-0.4066791121978559
7Am_L,1.0070266892127686
7Pl_L,2.234195735225142
7PC_L,-0.4863750039825275
LIPv_L,-0.5161574615058895
VIP_L,-0.01754673735330462
MIP_L,1.8118308211135616
1_L,-0.9331342343798135
2_L,-1.541600074692349
3a_L,-1.0776138162901179
6d_L,-0.5819972932851016
6mp_L,-1.481635197967278
6v_L,-0.060446158163884676
p24pr_L,-1.9133625234588099
33pr_L,-2.4592906247087885
a24pr_L,-2.5457547277067456
p32pr_L,0.007403285282726063
a24_L,-2.1118562997233488
d32_L,-1.1825687711179567
8BM_L,1.345025819836592
p32_L,-1.0168883250975242
10r_L,-0.8289161814631627
47m_L,0.4949380580981351
8Av_L,0.5191905423519952
8Ad_L,0.9670790510000963
9m_L,-0.7335861454493616
8BL_L,0.30278801017475304
9p_L,-0.042010744965690454
10d_L,-0.06039026737762542
8C_L,0.8488557979780101
44_L,0.18212720695876172
45_L,0.20327942066084745
47l_L,0.45902511993714745
a47r_L,0.18068668786640496
6r_L,-0.5001758187305868
IFJa_L,1.6126401388575407
IFJp_L,0.6397488831916373
IFSp_L,1.9181639236542196
IFSa_L,0.529842860868477
p9-46v_L,1.2078739206625597
46_L,-0.2740593195648593
a9-46v_L,0.7187339430366593
9-46d_L,-0.15066137411751632
9a_L,-0.27139919704670584
10v_L,-0.3471873093010684
a10p_L,-0.1937072517136538
10pp_L,-0.46467582611168773
11l_L,-0.7480629490309891
13l_L,-1.00204416519332
OFC_L,-0.6030923470328632
47s_L,-0.6486254219413858
LIPd_L,1.3175086786251766
6a_L,0.878547602690975
i6-8_L,2.3146986278788377
s6-8_L,1.2979004134402743
43_L,-1.8093757861677355
OP4_L,-0.7780583863677534
OP1_L,-0.5492239384643075
OP2-3_L,-0.10335480526456395
52_L,-1.0490256358326495
RI_L,-0.1150906744133303
PFcm_L,-1.1070521653987864
PoI2_L,-1.4497926008807045
TA2_L,-0.9822664974775501
FOP4_L,-1.2923673419837005
MI_L,-1.5356692485429504
Pir_L,-0.08932605985647794
AVI_L,0.2886232879637768
AAIC_L,-0.47542055058788013
FOP1_L,-2.407937630587867
FOP3_L,-0.5576132594087253
FOP2_L,-0.5655485089573188
PFt_L,-1.5233616337211295
AIP_L,-0.8876804528714121
EC_L,3.32026381506758
PreS_L,6.619302481371037
H_L,8.140884712404809
ProS_L,0.38325897131233855
PeEc_L,2.7945741587279977
STGa_L,0.0025771121499917945
PBelt_L,-1.2424832916994275
A5_L,-0.4293218041846817
PHA1_L,6.374926614369163
PHA3_L,5.868980984536293
STSda_L,0.3217562828179205
STSdp_L,-1.2203307624342816
STSvp_L,-0.6423838740895879
TGd_L,0.11791286165286198
