region,localization
V1_L,-0.20243938330101616
MST_L,0.6688707074320593
V6_L,-0.3630701746244368
V2_L,-0.41836952062727084
V3_L,0.05462163611154906
V4_L,0.7183396434749778
V8_L,2.2301333851946548
4_L,1.0617317671212387
3b_L,1.3991043802342682
FEF_L,0.6707923935322302
PEF_L,-1.0748622703581872
55b_L,-0.34478842935188037
V3A_L,0.5940037539219885
RSC_L,-1.2045921338428849
POS2_L,-0.9878130142784981
V7_L,0.32968427340339773
IPS1_L,-0.6046643284136539
FFC_L,2.2551297967317896
V3B_L,-0.5012874015891696
LO1_L,0.8021984380892452
LO2_L,1.557077564567259
PIT_L,2.0841930195632354
MT_L,0.4128301563171518
A1_L,9.133162098450363
PSL_L,0.7618548945044465
SFL_L,-1.2928374946064973
PCV_L,-0.4303782444174686
STV_L,0.1014754421358132
7Pm_L,-0.8592035164281218
7m_L,-1.4071331196706667
POS1_L,-1.2087913434270914
23d_L,-0.9223571915737209
v23ab_L,-1.467744210920969
d23ab_L,-1.275248877511678
31pv_L,-1.332806730095085
5m_L,0.6758790734356598
5mv_L,0.2429089020758621
23c_L,-0.4404898934048437
5L_L,0.6371067076066451
24dd_L,0.29467752736600283
24dv_L,-0.8835560254382282
7AL_L,0.36257882092464394
SCEF_L,-1.158659812849411
6ma_L,-0.7305894199837137
7Am_L,0.30984344847183193
7Pl_L,-0.505631305097091
7PC_L,1.0703715048328826
LIPv_L,0.0393273609915787
VIP_L,-0.3664556190520653
MIP_L,-1.346162646823872
1_L,1.3420174404732648
2_L,2.5281788133184944
3a_L,0.7303253604220701
6d_L,0.7047751811977284
6mp_L,0.30182659131936657
6v_L,0.1421896860028251
p24pr_L,-0.6826732456010332
33pr_L,-1.4556559005035703
a24pr_L,-2.636533586874105
p32pr_L,-2.2605613800708064
a24_L,-2.501534865604115
d32_L,-2.219571339678267
8BM_L,-2.083820536154432
p32_L,-2.2078341790900584
10r_L,-2.6060110252906714
47m_L,-2.5826334157256587
8Av_L,-0.6102883428573396
8Ad_L,-1.2028669345707257
9m_L,-2.323824754963953
8BL_L,-0.9103952802302274
9p_L,-0.9314029914585937
10d_L,-1.326987468655173
8C_L,-1.8553968552758626
44_L,-1.375264400981407
45_L,-1.676643609967533
47l_L,-1.98096473584611
a47r_L,-1.3135307688973477
6r_L,-0.8941583060868141
IFJa_L,-1.3234911478155906
IFJp_L,-2.0695974315128685
IFSp_L,-1.5719777619037425
IFSa_L,-1.0601265570966034
p9-46v_L,-1.2645290271801963
46_L,-1.3322540170809027
a9-46v_L,-1.623480439045612
9-46d_L,-2.0311854032577847
9a_L,-1.4858321427985433
10v_L,-1.1282721182445847
a10p_L,-1.569592135113556
10pp_L,-0.5148982296129907
11l_L,-1.2562720305929829
13l_L,-1.445025163805507
OFC_L,-0.7996403179763265
47s_L,-1.9240643712854146
LIPd_L,-1.1539898824738275
6a_L,0.20856976728032064
i6-8_L,-1.121011111138997
s6-8_L,-0.17794875962880832
43_L,1.1824277164237418
OP4_L,3.0995035811164
OP1_L,5.505957426266564
OP2-3_L,1.3545123238738281
52_L,3.395157592065256
RI_L,3.837168746036748
PFcm_L,5.811657289334481
PoI2_L,0.548762740789148
TA2_L,0.6248246433934943
FOP4_L,-1.455249846980308
MI_L,-0.8977949314971826
Pir_L,-1.3458883254889713
AVI_L,-1.7146968946394154
