region,localization
AAIC_L,-2.2883641893971847
FOP1_L,0.19216695998361788
FOP3_L,-0.20743419433347346
FOP2_L,0.4433391010077375
PFt_L,2.086248576741349
AIP_L,1.0349110372610053
EC_L,0.07360049749360173
PreS_L,-0.5064755943499489
H_L,-0.7750659251986302
ProS_L,-1.2765915496011593
PeEc_L,-0.19984020334551228
STGa_L,-1.242685248071828
PBelt_L,11.686566301755157
A5_L,4.623344573824157
PHA1_L,-0.005971392806344473
PHA3_L,-0.33501362012025965
STSda_L,1.6267003973058665
STSdp_L,8.36123205323667
STSvp_L,1.5758797000494371
TGd_L,-0.6137720955686475
TE1a_L,-0.5956476491115579
TE1p_L,-0.8714019761298808
TE2a_L,-0.5790943513307909
TF_L,-0.45760503700343036
TE2p_L,0.22150071829118934
PHT_L,0.744443271839129
PH_L,1.192563280692937
TPOJ1_L,3.3653293335560126
TPOJ2_L,-0.5074731880061614
TPOJ3_L,-0.7870547759294496
DVT_L,-0.43461711487766225
PGp_L,-0.28977028421594286
IP2_L,-0.49591087867536443
IP1_L,-1.1854733190866777
IP0_L,-0.11051802836134915
PFop_L,2.416527472420937
PF_L,0.6603771018095929
PFm_L,-0.03885259578280149
PGi_L,-1.695682258711571
PGs_L,-0.8086989689665028
V6A_L,-0.4007329558957232
VMV1_L,-0.896035313829069
VMV3_L,1.2511604609047748
PHA2_L,-0.22111512426773128
V4t_L,1.7624397028417416
FST_L,1.5839495549334695
V3CD_L,0.2705788256485608
LO3_L,0.10903742707606351
VMV2_L,-0.6792929851189017
31pd_L,-1.6566292987446725
31a_L,-0.8922259736990424
VVC_L,1.4986573461402728
25_L,-2.1974016181766505
s32_L,-2.1516963744541413
pOFC_L,-0.5415405858516592
PoI1_L,1.2843115963306424
Ig_L,1.3940929292989601
FOP5_L,-0.8820869995546267
p10p_L,-1.257079825101607
p47r_L,-1.6880206098692967
TGv_L,-0.38681234606907827
MBelt_L,5.553130517830951
LBelt_L,10.731708394760405
A4_L,5.409375601382953
STSva_L,-0.3944789585326947
TE1m_L,-0.4026450231186763
PI_L,0.11419357338018131
a32pr_L,-2.597719215857514
p24_L,-2.473442789649098
V1_R,-0.39787859433758016
MST_R,4.6212177655475015
V6_R,-0.025670226398054514
V2_R,-0.15123875445311258
V3_R,0.6905820422681185
V4_R,1.3411061056950717
V8_R,1.546479906924707
4_R,1.0322644548947058
3b_R,1.548455849573265
FEF_R,1.5996536159303087
PEF_R,0.5679505444032021
55b_R,0.851461834081316
V3A_R,0.2527921338776158
RSC_R,-0.9737460358022747
POS2_R,-1.071163992776421
V7_R,-0.6415324972047525
IPS1_R,-1.0986046683123245
FFC_R,4.498757159133784
V3B_R,0.5821430563984269
LO1_R,1.6212767106603054
LO2_R,2.445754020003574
PIT_R,2.323489844591005
MT_R,1.9134151934648227
A1_R,9.555402261101086
PSL_R,0.9216092544003018
SFL_R,-0.9400406680882009
PCV_R,0.2618380258019885
STV_R,2.1475206842230494
7Pm_R,-6.65670072133135e-06
7m_R,-1.17955491723357
POS1_R,-1.2090202431565225
23d_R,-1.058134798925672
v23ab_R,-1.4978776292317182
d23ab_R,-0.8057195933238284
31pv_R,-0.8015041477624159
5m_R,0.450309035699981
5mv_R,0.5590816533905486
23c_R,-0.21663162677456704
5L_R,0.788315891691752
24dd_R,0.1782858951839219
24dv_R,-0.13861612140095156
7AL_R,0.8490702404851463
SCEF_R,-0.41836343001179915
6ma_R,-0.40698992929413175
7Am_R,-0.03722749228071773
7Pl_R,-0.9604220537923724
7PC_R,0.81907093506432
LIPv_R,0.4062332464486302
VIP_R,-0.04736593447932517
MIP_R,-1.005379373948963
1_R,0.9621612839041623
2_R,2.7396965411606966
3a_R,1.0118739641316485
6d_R,1.3751796393972189
6mp_R,0.3434671032452321
6v_R,0.9875156981725551
p24pr_R,-0.5172773209332453
33pr_R,-1.6431185473471857
a24pr_R,-2.9227897178392004
p32pr_R,-1.900626419789621
a24_R,-2.655459023146248
d32_R,-1.5052930769382242
8BM_R,-1.1084729314515747
p32_R,-2.6797253639712753
10r_R,-2.4970059631085255
47m_R,-1.0055817154672475
8Av_R,-0.6954192579219838
8Ad_R,-1.3917872294359441
9m_R,-1.8300728855029595
8BL_R,-0.6576369800196685
9p_R,-1.036848214388313
10d_R,-0.6094648301313037
8C_R,-1.590287374747662
44_R,-0.40253071494497894
45_R,-0.8592674616832717
47l_R,-0.8163642601470295
a47r_R,-1.03519229807508
6r_R,-0.08049644289866571
IFJa_R,0.014139118357868977
IFJp_R,-1.0060623980720593
IFSp_R,-0.990567162413549
IFSa_R,-0.5801641476455754
p9-46v_R,-0.6138183730636372
46_R,-1.2463386137381305
a9-46v_R,-1.2818885896088823
9-46d_R,-1.4939664976124702
9a_R,-1.2541925398426756
10v_R,-1.575200213694478
a10p_R,-0.9615600154841972
10pp_R,-0.5098022942417928
11l_R,-1.264192661153019
13l_R,-1.498501169789283
OFC_R,-0.9724352204158645
47s_R,-1.173857131654152
LIPd_R,-0.9185713104334843
6a_R,0.06074817116681216
i6-8_R,-1.0725070507696124
s6-8_R,0.4561614292328214
43_R,1.4563018689385596
OP4_R,3.0112762679700866
OP1_R,4.301202465589442
OP2-3_R,1.4977907247152908
52_R,6.217981014479109
RI_R,4.518896358933317
PFcm_R,3.9501337865293245
PoI2_R,0.7641721913556979
TA2_R,2.840135659740871
FOP4_R,-0.26949980105797927
MI_R,-1.0289489375149163
Pir_R,-1.456448857481896
AVI_R,-0.6774175975925517
AAIC_R,-1.822480179217638
FOP1_R,0.4308270587870269
FOP3_R,-0.10132304287399917
FOP2_R,1.4511308812547707
PFt_R,2.2036296362281247
AIP_R,0.6022174195194409
EC_R,0.07260794478697725
PreS_R,-0.7226751262363373
H_R,-0.404458653378648
ProS_R,-0.8846286580161785
PeEc_R,0.6045960522182428
STGa_R,-0.4375130907596422
PBelt_R,9.165766226305946
A5_R,6.6646950818076265
PHA1_R,0.16084774422166964
PHA3_R,0.9429992987661278
STSda_R,3.160441288924749
STSdp_R,8.189834069644727
STSvp_R,4.813224883769367
TGd_R,-0.4730093467565434
TE1a_R,-0.11798484909114591
TE1p_R,0.660039508454675
TE2a_R,0.11225287903765188
TF_R,0.5775830202308083
TE2p_R,0.779981059180851
PHT_R,1.5682112842004248
PH_R,1.857356859107008
TPOJ1_R,5.8817770028778895
TPOJ2_R,1.9876188487084832
TPOJ3_R,-0.9159812610628458
DVT_R,-0.8058491961159294
PGp_R,-1.0194361352682466
IP2_R,0.3338172475018099
IP1_R,-1.5497403591985566
IP0_R,-0.4527250574442652
PFop_R,2.1749359951080485
PF_R,1.184504203846654
PFm_R,-0.6008721324065477
PGi_R,-1.6534391347080155
PGs_R,-0.6760543364254359
V6A_R,-0.42080581467024736
VMV1_R,0.43203263695112853
VMV3_R,1.426920486114951
PHA2_R,-0.0586547070037363
V4t_R,3.378581034475843
FST_R,3.8428090645946344
V3CD_R,0.30199602942544074
LO3_R,0.6919420746509367
VMV2_R,1.0080782474203929
31pd_R,-0.61881498650339
31a_R,-0.5128374465953318
VVC_R,2.5596939082128407
25_R,-2.2129452783450962
s32_R,-2.2935908976217814
pOFC_R,-1.4946577666683067
PoI1_R,1.9809269623023933
Ig_R,1.880374737995105
FOP5_R,0.36776732320525024
p10p_R,-1.7032976019733064
p47r_R,-0.7681319933935246
TGv_R,-0.17865714950807143
MBelt_R,8.376430682225564
LBelt_R,12.319796732500524
A4_R,5.302808605071303
STSva_R,1.6575254215971895
TE1m_R,0.4770741181624601
PI_R,1.2370842002140072
a32pr_R,-2.1469813579941825
p24_R,-1.158909029581488
